TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        9474.00000        9.15631
TAB:  US_District_of_Columbia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_District_of_Columbia Confirmed 4/24/2020    93     3528     9474     6342        6     6072    32520     8501
TAB:  US_District_of_Columbia Confirmed .            94     3699     9474     6825        9     6475    27826     9975
TAB:  US_District_of_Columbia Confirmed 4/26/2020    95     3841     9474     6825        9     6825    63877    10675
TAB:  US_District_of_Columbia Confirmed .            96     3892     9474     7026        4     4332    13725     7463
TAB:  US_District_of_Columbia Confirmed 4/28/2020    97     3994     9474     6720        4     4281    10576     6833
TAB:  US_District_of_Columbia Confirmed .            98     4106     9474     6674        4     4569     9018     6674
TAB:  US_District_of_Columbia Confirmed 4/30/2020    99     4323     9474     6825       18     6825     9625     8225
TAB:  US_District_of_Columbia Confirmed .           100     4658     9474     7525       15     7525    46026    10675
TAB:  US_District_of_Columbia Confirmed 5/2/2020    101     4797     9474     7875       10     7525    23626    12075
TAB:  US_District_of_Columbia Confirmed .           102     5016     9474     8225       11     7875    43226    13475
TAB:  US_District_of_Columbia Confirmed 5/4/2020    103     5170     9474     8575       10     6125    53377    12075
TAB:  US_District_of_Columbia Confirmed .           104     5322     9474     8575        9     6125    49177    11725
TAB:  US_District_of_Columbia Confirmed 5/6/2020    105     5461     9474     8925        7     6125    37976    12075
TAB:  US_District_of_Columbia Confirmed .           106     5654     9474     9275        8     6825    66677    12425
TAB:  US_District_of_Columbia Confirmed 5/8/2020    107     5899     9474     9625        7     8225    68777    13825
TAB:  US_District_of_Columbia Confirmed .           108     6102     9474     9625        7     9275    69477    15575
TAB:  US_District_of_Columbia Confirmed 5/10/2020   109     6272     9474     9975        5     9625    60377    15925
TAB:  US_District_of_Columbia Confirmed .           110     6389     9474    10325        6     7175    65977    20125
TAB:  US_District_of_Columbia Confirmed 5/12/2020   111     6485     9474    10333        4     6861    32157    13474
TAB:  US_District_of_Columbia Confirmed .           112     6584     9474    10323        3     6863    22666    11823
TAB:  US_District_of_Columbia Confirmed 5/14/2020   113     6736     9474    10445        4     7392    18362    11494
TAB:  US_District_of_Columbia Confirmed .           114     6871     9474    10325        7     7875    16275    11725
TAB:  US_District_of_Columbia Confirmed 5/16/2020   115     7042     9474    10675        6     8575    15575    12075
TAB:  US_District_of_Columbia Confirmed .           116     7123     9474    10675        7     8575    35176    12075
TAB:  US_District_of_Columbia Confirmed 5/18/2020   117     7270     9474     9275        8     8925    14525    11725
TAB:  US_District_of_Columbia Confirmed .           118     7434     9474     9625        8     9275    15225    12075
TAB:  US_District_of_Columbia Confirmed 5/20/2020   119     7551     9474    10675        8     9625    48477    12425
TAB:  US_District_of_Columbia Confirmed .           120     7788     9474    11025        9    10325    63877    12425
TAB:  US_District_of_Columbia Confirmed 5/22/2020   121     7893     9474    11025        9    10675    15925    12425
TAB:  US_District_of_Columbia Confirmed .           122     7966     9474    11025        8     8575    36226    12425
