TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        1504.00000        7.31588
TAB:  New_Zealand Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed New_Zealand 3/6/2020         44    1504       27       4        0     0    77 4/8/2020  
AAA2     1 New_Zealand Confirmed cc1=  .919364 cc2=  .511116 lx=  3.31588 if=  39 il=  44 3/6/2020   n=   5 now=    1504 end=         27         4         0 U=     9.24 T=   50.1 p1= -98.2 p2=  5570.4 ed=    71 4/2/2020    x1=  39. x2=  44. y1=  1.20 y2=   .66     
GP: Confirmed New_Zealand 3/6/2020         44    1504       27       4        0     0    71 4/2/2020  
AAA2     1 New_Zealand Confirmed cc1=  .907879 cc2=  .574546 lx=  3.31588 if=  37 il=  45 3/7/2020   n=   8 now=    1504 end=         27         5         0 U=    12.04 T=   51.4 p1= -98.2 p2=  5570.4 ed=    79 4/10/2020   x1=  37. x2=  45. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/7/2020         45    1504       27       5        0     0    79 4/10/2020 
AAA2     1 New_Zealand Confirmed cc1=  .930283 cc2=  .576730 lx=  3.31588 if=  38 il=  45 3/7/2020   n=   7 now=    1504 end=         27         5         0 U=    10.54 T=   50.6 p1= -98.2 p2=  5570.4 ed=    75 4/6/2020    x1=  38. x2=  45. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/7/2020         45    1504       27       5        0     0    75 4/6/2020  
AAA2     1 New_Zealand Confirmed cc1=  .947918 cc2=  .569953 lx=  3.31588 if=  39 il=  45 3/7/2020   n=   6 now=    1504 end=         27         5         0 U=     9.03 T=   49.8 p1= -98.2 p2=  5570.4 ed=    71 4/2/2020    x1=  39. x2=  45. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/7/2020         45    1504       27       5        0     0    71 4/2/2020  
AAA2     1 New_Zealand Confirmed cc1=  .953197 cc2=  .544948 lx=  3.31588 if=  40 il=  45 3/7/2020   n=   5 now=    1504 end=         27         5         0 U=     7.53 T=   49.0 p1= -98.2 p2=  5570.4 ed=    66 3/28/2020   x1=  40. x2=  45. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/7/2020         45    1504       27       5        0     0    66 3/28/2020 
AAA2     1 New_Zealand Confirmed cc1=  .929103 cc2=  .612875 lx=  3.31588 if=  37 il=  46 3/8/2020   n=   9 now=    1504 end=         27         5         0 U=    13.55 T=   53.2 p1= -98.2 p2=  5570.4 ed=    85 4/16/2020   x1=  37. x2=  46. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/8/2020         46    1504       27       5        0     0    85 4/16/2020 
AAA2     1 New_Zealand Confirmed cc1=  .943594 cc2=  .610261 lx=  3.31588 if=  38 il=  46 3/8/2020   n=   8 now=    1504 end=         27         5         0 U=    12.04 T=   52.4 p1= -98.2 p2=  5570.4 ed=    80 4/11/2020   x1=  38. x2=  46. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/8/2020         46    1504       27       5        0     0    80 4/11/2020 
AAA2     1 New_Zealand Confirmed cc1=  .951613 cc2=  .598060 lx=  3.31588 if=  39 il=  46 3/8/2020   n=   7 now=    1504 end=         27         5         0 U=    10.54 T=   51.6 p1= -98.2 p2=  5570.4 ed=    76 4/7/2020    x1=  39. x2=  46. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/8/2020         46    1504       27       5        0     0    76 4/7/2020  
AAA2     1 New_Zealand Confirmed cc1=  .946407 cc2=  .568442 lx=  3.31588 if=  40 il=  46 3/8/2020   n=   6 now=    1504 end=         27         5         0 U=     9.03 T=   50.8 p1= -98.2 p2=  5570.4 ed=    72 4/3/2020    x1=  40. x2=  46. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/8/2020         46    1504       27       5        0     0    72 4/3/2020  
AAA2     1 New_Zealand Confirmed cc1=  .915756 cc2=  .507508 lx=  3.31588 if=  41 il=  46 3/8/2020   n=   5 now=    1504 end=         27         5         0 U=     7.53 T=   50.0 p1= -98.2 p2=  5570.4 ed=    67 3/29/2020   x1=  41. x2=  46. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/8/2020         46    1504       27       5        0     0    67 3/29/2020 
AAA2     1 New_Zealand Confirmed cc1=  .936370 cc2=  .634859 lx=  3.31588 if=  37 il=  47 3/9/2020   n=  10 now=    1504 end=         27         5         0 U=    15.05 T=   55.0 p1= -98.2 p2=  5570.4 ed=    90 4/21/2020   x1=  37. x2=  47. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/9/2020         47    1504       27       5        0     0    90 4/21/2020 
AAA2     1 New_Zealand Confirmed cc1=  .943394 cc2=  .627166 lx=  3.31588 if=  38 il=  47 3/9/2020   n=   9 now=    1504 end=         27         5         0 U=    13.55 T=   54.2 p1= -98.2 p2=  5570.4 ed=    86 4/17/2020   x1=  38. x2=  47. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/9/2020         47    1504       27       5        0     0    86 4/17/2020 
AAA2     1 New_Zealand Confirmed cc1=  .942622 cc2=  .609289 lx=  3.31588 if=  39 il=  47 3/9/2020   n=   8 now=    1504 end=         27         5         0 U=    12.04 T=   53.4 p1= -98.2 p2=  5570.4 ed=    81 4/12/2020   x1=  39. x2=  47. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/9/2020         47    1504       27       5        0     0    81 4/12/2020 
AAA2     1 New_Zealand Confirmed cc1=  .927885 cc2=  .574332 lx=  3.31588 if=  40 il=  47 3/9/2020   n=   7 now=    1504 end=         27         5         0 U=    10.54 T=   52.6 p1= -98.2 p2=  5570.4 ed=    77 4/8/2020    x1=  40. x2=  47. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/9/2020         47    1504       27       5        0     0    77 4/8/2020  
AAA2     1 New_Zealand Confirmed cc1=  .890049 cc2=  .512085 lx=  3.31588 if=  41 il=  47 3/9/2020   n=   6 now=    1504 end=         27         5         0 U=     9.03 T=   51.8 p1= -98.2 p2=  5570.4 ed=    73 4/4/2020    x1=  41. x2=  47. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/9/2020         47    1504       27       5        0     0    73 4/4/2020  
AAA2     1 New_Zealand Confirmed cc1=  .922540 cc2=  .514291 lx=  3.31588 if=  42 il=  47 3/9/2020   n=   5 now=    1504 end=         27         5         0 U=    19.09 T=   57.2 p1= -98.2 p2=  5570.4 ed=   102 5/3/2020    x1=  42. x2=  47. y1=   .80 y2=   .53     
GP: Confirmed New_Zealand 3/9/2020         47    1504       27       5        0     0   102 5/3/2020  
AAA2     1 New_Zealand Confirmed cc1=  .935215 cc2=  .646539 lx=  3.31588 if=  37 il=  48 3/10/2020  n=  11 now=    1504 end=         27         5         0 U=    16.56 T=   56.8 p1= -98.2 p2=  5570.4 ed=    95 4/26/2020   x1=  37. x2=  48. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/10/2020        48    1504       27       5        0     0    95 4/26/2020 
AAA2     1 New_Zealand Confirmed cc1=  .935697 cc2=  .634186 lx=  3.31588 if=  38 il=  48 3/10/2020  n=  10 now=    1504 end=         27         5         0 U=    15.05 T=   56.0 p1= -98.2 p2=  5570.4 ed=    91 4/22/2020   x1=  38. x2=  48. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/10/2020        48    1504       27       5        0     0    91 4/22/2020 
AAA2     1 New_Zealand Confirmed cc1=  .927488 cc2=  .611261 lx=  3.31588 if=  39 il=  48 3/10/2020  n=   9 now=    1504 end=         27         5         0 U=    13.55 T=   55.2 p1= -98.2 p2=  5570.4 ed=    87 4/18/2020   x1=  39. x2=  48. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/10/2020        48    1504       27       5        0     0    87 4/18/2020 
AAA2     1 New_Zealand Confirmed cc1=  .904939 cc2=  .571606 lx=  3.31588 if=  40 il=  48 3/10/2020  n=   8 now=    1504 end=         27         5         0 U=    12.04 T=   54.4 p1= -98.2 p2=  5570.4 ed=    82 4/13/2020   x1=  40. x2=  48. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/10/2020        48    1504       27       5        0     0    82 4/13/2020 
AAA2     1 New_Zealand Confirmed cc1=  .861003 cc2=  .507450 lx=  3.31588 if=  41 il=  48 3/10/2020  n=   7 now=    1504 end=         27         5         0 U=    10.54 T=   53.6 p1= -98.2 p2=  5570.4 ed=    78 4/9/2020    x1=  41. x2=  48. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/10/2020        48    1504       27       5        0     0    78 4/9/2020  
AAA2     1 New_Zealand Confirmed cc1=  .889853 cc2=  .511888 lx=  3.31588 if=  42 il=  48 3/10/2020  n=   6 now=    1504 end=         27         5         0 U=    22.91 T=   60.2 p1= -98.2 p2=  5570.4 ed=   114 5/15/2020   x1=  42. x2=  48. y1=   .80 y2=   .53     
GP: Confirmed New_Zealand 3/10/2020        48    1504       27       5        0     0   114 5/15/2020 
AAA2     1 New_Zealand Confirmed cc1=  .928972 cc2=  .651622 lx=  3.31588 if=  37 il=  49 3/11/2020  n=  12 now=    1504 end=         27         5         0 U=    18.06 T=   58.7 p1= -98.2 p2=  5570.4 ed=   101 5/2/2020    x1=  37. x2=  49. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/11/2020        49    1504       27       5        0     0   101 5/2/2020  
AAA2     1 New_Zealand Confirmed cc1=  .923875 cc2=  .635200 lx=  3.31588 if=  38 il=  49 3/11/2020  n=  11 now=    1504 end=         27         5         0 U=    16.56 T=   57.8 p1= -98.2 p2=  5570.4 ed=    96 4/27/2020   x1=  38. x2=  49. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/11/2020        49    1504       27       5        0     0    96 4/27/2020 
AAA2     1 New_Zealand Confirmed cc1=  .909527 cc2=  .608016 lx=  3.31588 if=  39 il=  49 3/11/2020  n=  10 now=    1504 end=         27         5         0 U=    15.05 T=   57.0 p1= -98.2 p2=  5570.4 ed=    92 4/23/2020   x1=  39. x2=  49. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/11/2020        49    1504       27       5        0     0    92 4/23/2020 
AAA2     1 New_Zealand Confirmed cc1=  .880757 cc2=  .564529 lx=  3.31588 if=  40 il=  49 3/11/2020  n=   9 now=    1504 end=         27         5         0 U=    13.55 T=   56.2 p1= -98.2 p2=  5570.4 ed=    88 4/19/2020   x1=  40. x2=  49. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/11/2020        49    1504       27       5        0     0    88 4/19/2020 
AAA2     1 New_Zealand Confirmed cc1=  .856679 cc2=  .503126 lx=  3.31588 if=  42 il=  49 3/11/2020  n=   7 now=    1504 end=         27         5         0 U=    26.73 T=   63.3 p1= -98.2 p2=  5570.4 ed=   126 5/27/2020   x1=  42. x2=  49. y1=   .80 y2=   .53     
GP: Confirmed New_Zealand 3/11/2020        49    1504       27       5        0     0   126 5/27/2020 
AAA2     1 New_Zealand Confirmed cc1=  .919656 cc2=  .652395 lx=  3.31588 if=  37 il=  50 3/12/2020  n=  13 now=    1504 end=         27         5         0 U=    19.57 T=   60.5 p1= -98.2 p2=  5570.4 ed=   106 5/7/2020    x1=  37. x2=  50. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/12/2020        50    1504       27       5        0     0   106 5/7/2020  
AAA2     1 New_Zealand Confirmed cc1=  .909846 cc2=  .632496 lx=  3.31588 if=  38 il=  50 3/12/2020  n=  12 now=    1504 end=         27         5         0 U=    18.06 T=   59.7 p1= -98.2 p2=  5570.4 ed=   102 5/3/2020    x1=  38. x2=  50. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/12/2020        50    1504       27       5        0     0   102 5/3/2020  
AAA2     1 New_Zealand Confirmed cc1=  .890467 cc2=  .601791 lx=  3.31588 if=  39 il=  50 3/12/2020  n=  11 now=    1504 end=         27         5         0 U=    16.56 T=   58.8 p1= -98.2 p2=  5570.4 ed=    97 4/28/2020   x1=  39. x2=  50. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/12/2020        50    1504       27       5        0     0    97 4/28/2020 
