TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4687.00000        8.45255
TAB:  US_Colorado_Arapahoe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Colorado_Arapahoe Confirmed .           126     4166     4687     5108       30     4588     6839     5108
TAB:  US_Colorado_Arapahoe Confirmed 5/28/2020   127     4201     4687     5108       30     4588     8744     5108
TAB:  US_Colorado_Arapahoe Confirmed .           128     4254     4687     5108       33     4761     6147     5108
TAB:  US_Colorado_Arapahoe Confirmed 5/30/2020   129     4353     4687     5108       34     5108     8571     5800
TAB:  US_Colorado_Arapahoe Confirmed .           130     4394     4687     5281       30     5108    20346     6147
TAB:  US_Colorado_Arapahoe Confirmed 6/1/2020    131     4416     4687     5281       29     4588    16709     5800
TAB:  US_Colorado_Arapahoe Confirmed .           132     4453     4687     5281       27     4588    12380     5974
TAB:  US_Colorado_Arapahoe Confirmed 6/3/2020    133     4496     4687     5454       27     4588    10476     5974
TAB:  US_Colorado_Arapahoe Confirmed .           134     4553     4687     5454       32     4935    10995     6147
TAB:  US_Colorado_Arapahoe Confirmed 6/5/2020    135     4591     4687     5454       36     5108    32986     6493
TAB:  US_Colorado_Arapahoe Confirmed .           136     4626     4687     5454       34     5108    25367     6666
TAB:  US_Colorado_Arapahoe Confirmed 6/7/2020    137     4637     4687     5520       20     4645    14374     6066
TAB:  US_Colorado_Arapahoe Confirmed .           138     4663     4687     5435       19     4738     8061     5599
TAB:  US_Colorado_Arapahoe Confirmed 6/9/2020    139     4687     4687     5437       21     4772     6534     5570
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .976673 cc2=  .568425 lx= 10.45255 if=  47 il=  52 3/14/2020  n=   5 now=    4687 end=      34632        10         0 U=    20.09 T=   94.2 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  47. x2=  52. y1=  2.35 y2=  2.10     
GP: Confirmed US_Colorado_Arapahoe 3/14/2020        52    4687    -          10        0     0   141 6/11/2020 
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .985470 cc2=  .607506 lx= 10.45255 if=  47 il=  53 3/15/2020  n=   6 now=    4687 end=      34632        15         0 U=    20.01 T=   94.0 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  47. x2=  53. y1=  2.35 y2=  2.05     
GP: Confirmed US_Colorado_Arapahoe 3/15/2020        53    4687    -          15        0     0   141 6/11/2020 
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .976649 cc2=  .568401 lx= 10.45255 if=  48 il=  53 3/15/2020  n=   5 now=    4687 end=      34632        15         0 U=    21.62 T=   97.3 p1= 638.9 p2=    13.5 ed=   148 6/18/2020   x1=  48. x2=  53. y1=  2.28 y2=  2.05     
GP: Confirmed US_Colorado_Arapahoe 3/15/2020        53    4687    -          15        0     0   148 6/18/2020 
