TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       40847.00000       10.61759
TAB:  Colombia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Colombia Confirmed cc1=  .964730 cc2=  .611147 lx=  6.51759 if=  45 il=  52 3/14/2020  n=   7 now=   40847 end=        748        22       758 U=    11.12 T=   66.0 p1= -98.2 p2=  5460.8 ed=    92 4/23/2020   x1=  45. x2=  52. y1=  1.89 y2=  1.26 BEST
GP: Confirmed Colombia 3/14/2020        52   40847      748      22      758     3    92 4/23/2020 
AAA1     1 Colombia Confirmed cc1=  .973280 cc2=  .595315 lx=  6.61759 if=  46 il=  52 3/14/2020  n=   6 now=   40847 end=        748        22       758 U=     9.53 T=   64.0 p1= -98.2 p2=  5460.8 ed=    86 4/17/2020   x1=  46. x2=  52. y1=  1.89 y2=  1.26 BEST
AAA2     1 Colombia Confirmed cc1=  .973418 cc2=  .595315 lx=  6.51759 if=  46 il=  52 3/14/2020  n=   6 now=   40847 end=        748        22       758 U=     9.53 T=   64.0 p1= -98.2 p2=  5460.8 ed=    86 4/17/2020   x1=  46. x2=  52. y1=  1.89 y2=  1.26 BEST
GP: Confirmed Colombia 3/14/2020        52   40847      748      22      758     3    86 4/17/2020 
AAA1     1 Colombia Confirmed cc1=  .965366 cc2=  .557118 lx=  6.61759 if=  47 il=  52 3/14/2020  n=   5 now=   40847 end=        748        22       758 U=     7.94 T=   62.0 p1= -98.2 p2=  5460.8 ed=    80 4/11/2020   x1=  47. x2=  52. y1=  1.89 y2=  1.26 BEST
AAA2     1 Colombia Confirmed cc1=  .965674 cc2=  .557118 lx=  6.51759 if=  47 il=  52 3/14/2020  n=   5 now=   40847 end=        748        22       758 U=     7.94 T=   62.0 p1= -98.2 p2=  5460.8 ed=    80 4/11/2020   x1=  47. x2=  52. y1=  1.89 y2=  1.26 BEST
GP: Confirmed Colombia 3/14/2020        52   40847      748      22      758     3    80 4/11/2020 
AAA2     1 Colombia Confirmed cc1=  .962678 cc2=  .646450 lx= 10.66759 if=  44 il=  53 3/15/2020  n=   9 now=   40847 end=      42941        34       751 U=    22.43 T=   97.1 p1=   5.1 p2=    95.1 ed=   150 6/20/2020   x1=  44. x2=  53. y1=  2.37 y2=  1.97     
GP: Confirmed Colombia 3/15/2020        53   40847    42941      34      751     3   150 6/20/2020 
