TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14374.00000        9.57318
TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Arizona_Maricopa Confirmed 4/20/2020    89     2636    14374     3451       18     2920    51246     7700
TAB:  US_Arizona_Maricopa Confirmed .            90     2738    14374     3451       19     3451    40625     7700
TAB:  US_Arizona_Maricopa Confirmed 4/22/2020    91     2846    14374     3451       13     3451    74612     7700
TAB:  US_Arizona_Maricopa Confirmed .            92     2970    14374     3982       12     3451    54432     8231
TAB:  US_Arizona_Maricopa Confirmed 4/24/2020    93     3116    14374     3982       18     3982   101165    10355
TAB:  US_Arizona_Maricopa Confirmed .            94     3234    14374     3982       15     3982    83640    13010
TAB:  US_Arizona_Maricopa Confirmed 4/26/2020    95     3359    14374     3982       12     3982    90544    12479
TAB:  US_Arizona_Maricopa Confirmed .            96     3457    14374     4513       13     3982    80454    12479
TAB:  US_Arizona_Maricopa Confirmed 4/28/2020    97     3578    14374     4513       17     4513    95854    12479
TAB:  US_Arizona_Maricopa Confirmed .            98     3723    14374     4513       14     4513    88950    14072
TAB:  US_Arizona_Maricopa Confirmed 4/30/2020    99     3972    14374     5044       18     5044    65584    11417
TAB:  US_Arizona_Maricopa Confirmed .           100     4156    14374     5044       12     5044    97978    11417
TAB:  US_Arizona_Maricopa Confirmed 5/2/2020    101     4421    14374     5576       16     5576    75674    11417
TAB:  US_Arizona_Maricopa Confirmed .           102     4585    14374     6107       14     5576    63991    12479
TAB:  US_Arizona_Maricopa Confirmed 5/4/2020    103     4751    14374     6107       12     6107    87888    13541
TAB:  US_Arizona_Maricopa Confirmed .           104     4929    14374     6638       11     6107    74081    13541
TAB:  US_Arizona_Maricopa Confirmed 5/6/2020    105     5138    14374     6638       10     6638   100102    15134
TAB:  US_Arizona_Maricopa Confirmed .           106     5196    14374     7169       11     6107    85233    14603
TAB:  US_Arizona_Maricopa Confirmed 5/8/2020    107     5525    14374     7169       11     7169    76205    16728
TAB:  US_Arizona_Maricopa Confirmed .           108     5779    14374     7700       12     7700    88950    17259
TAB:  US_Arizona_Maricopa Confirmed 5/10/2020   109     5827    14374     7700        9     7700    72488    17259
TAB:  US_Arizona_Maricopa Confirmed .           110     5988    14374     8231       11     6638    83640    17259
TAB:  US_Arizona_Maricopa Confirmed 5/12/2020   111     6219    14374     8231       13     8231    75674    17259
TAB:  US_Arizona_Maricopa Confirmed .           112     6341    14374     8231        9     7169   101165    16197
TAB:  US_Arizona_Maricopa Confirmed 5/14/2020   113     6599    14374     8762       13     8762    97978    17790
TAB:  US_Arizona_Maricopa Confirmed .           114     6821    14374     8762        9     8762    95323    18321
TAB:  US_Arizona_Maricopa Confirmed 5/16/2020   115     7096    14374     9293       12     9293   104351    20445
TAB:  US_Arizona_Maricopa Confirmed .           116     7240    14374     9293        7     9293    94261    20976
TAB:  US_Arizona_Maricopa Confirmed 5/18/2020   117     7340    14374     9824       13     7700   103289    18852
TAB:  US_Arizona_Maricopa Confirmed .           118     7482    14374     9824       12     7700    86826    19383
TAB:  US_Arizona_Maricopa Confirmed 5/20/2020   119     7644    14374    10355       12     8231    97978    18321
TAB:  US_Arizona_Maricopa Confirmed .           120     7835    14374    10355       16     9293    82578    19383
TAB:  US_Arizona_Maricopa Confirmed 5/22/2020   121     7950    14374    10355       11     9293    93199    20445
TAB:  US_Arizona_Maricopa Confirmed .           122     8177    14374    10886       19    10355    74612    20976
TAB:  US_Arizona_Maricopa Confirmed 5/24/2020   123     8277    14374    10886       19    10355    61336    20445
TAB:  US_Arizona_Maricopa Confirmed .           124     8379    14374    10886       17     9293    50715    18852
