TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      203736.00000       12.22458
TAB:  Peru Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Peru Confirmed .           114    84495   203736   252157        5   199467   756471   372590
TAB:  Peru Confirmed 5/16/2020   115    88541   203736   259684        5   222048   876904   380117
TAB:  Peru Confirmed .           116    92273   203736   267211        7   154305  1268313   365063
TAB:  Peru Confirmed 5/18/2020   117    94933   203736   267211        6   124196   726363   357536
TAB:  Peru Confirmed .           118    99483   203736   274738        8   154305   726363   342482
TAB:  Peru Confirmed 5/20/2020   119   104020   203736   282265        7   206994   869377   387644
TAB:  Peru Confirmed .           120   108769   203736   289792        5   289792  1170461   402698
TAB:  Peru Confirmed 5/22/2020   121   111698   203736   297319        8   274738   914540   402698
TAB:  Peru Confirmed .           122   115754   203736   297319        5   146778  1403800   395171
TAB:  Peru Confirmed 5/24/2020   123   119959   203736   305291        6   171946  1021148   396528
TAB:  Peru Confirmed .           124   123979   203736   344499        6   197196   800664   387265
TAB:  Peru Confirmed 5/26/2020   125   129751   203736   319900        8   319900  1042500   432807
TAB:  Peru Confirmed .           126   135905   203736   365063        7   327427  1223150   447861
TAB:  Peru Confirmed 5/28/2020   127   141779   203736   342482        8   342482  1193042   455388
TAB:  Peru Confirmed .           128   148285   203736   432807        7   350009  1095190   462915
TAB:  Peru Confirmed 5/30/2020   129   155671   203736   372590        7   372590  1479071   493023
TAB:  Peru Confirmed .           130   164476   203736   395171        5   395171  1305948   560767
TAB:  Peru Confirmed 6/1/2020    131   170039   203736   417752        6   417752  1298421   613457
TAB:  Peru Confirmed .           132   174476   203736   432807        7   206994  1448962   643565
TAB:  Peru Confirmed 6/3/2020    133   178914   203736   447861        7   199467  1494125   620984
TAB:  Peru Confirmed .           134   183198   203736   455388        7   199467  1448962   545713
TAB:  Peru Confirmed 6/5/2020    135   187400   203736   462915        5   206994  1351110   545713
TAB:  Peru Confirmed .           136   191758   203736   470442        8   214521  1479071   530659
TAB:  Peru Confirmed 6/7/2020    137   196515   203736   470442        6   229575  1321002   553240
TAB:  Peru Confirmed .           138   199696   203736   477969        7   229575  1464017   620984
TAB:  Peru Confirmed 6/9/2020    139   203736   203736   512773        7   239786  1376003   608687
AAA2     1 Peru Confirmed cc1=  .926243 cc2=  .517995 lx=  8.22458 if=  44 il=  49 3/11/2020  n=   5 now=  203736 end=       3731        11         0 U=    14.51 T=   74.6 p1= -98.2 p2=  5460.6 ed=   108 5/9/2020    x1=  44. x2=  49. y1=  2.11 y2=  1.76     
GP: Confirmed Peru 3/11/2020        49  203736     3731      11        0     0   108 5/9/2020  
AAA2     1 Peru Confirmed cc1=  .930889 cc2=  .552925 lx=  8.22458 if=  44 il=  50 3/12/2020  n=   6 now=  203736 end=       3731        15         0 U=    15.02 T=   75.7 p1= -98.2 p2=  5460.6 ed=   111 5/12/2020   x1=  44. x2=  50. y1=  2.11 y2=  1.71     
GP: Confirmed Peru 3/12/2020        50  203736     3731      15        0     0   111 5/12/2020 
AAA1     1 Peru Confirmed cc1=  .952928 cc2=  .599374 lx=  8.22458 if=  44 il=  51 3/13/2020  n=   7 now=  203736 end=       3731        28      3763 U=    13.48 T=   72.4 p1= -98.2 p2=  5460.6 ed=   104 5/5/2020    x1=  44. x2=  51. y1=  2.11 y2=  1.59 BEST
AAA2     1 Peru Confirmed cc1=  .953136 cc2=  .599374 lx=  8.12458 if=  44 il=  51 3/13/2020  n=   7 now=  203736 end=       3731        28      3763 U=    13.48 T=   72.4 p1= -98.2 p2=  5460.6 ed=   104 5/5/2020    x1=  44. x2=  51. y1=  2.11 y2=  1.59 BEST
GP: Confirmed Peru 3/13/2020        51  203736     3731      28     3763     2   104 5/5/2020  
AAA1     1 Peru Confirmed cc1=  .929039 cc2=  .551075 lx=  8.22458 if=  45 il=  51 3/13/2020  n=   6 now=  203736 end=       3731        28      3763 U=    11.55 T=   69.3 p1= -98.2 p2=  5460.6 ed=    96 4/27/2020   x1=  45. x2=  51. y1=  2.11 y2=  1.59 BEST
AAA2     1 Peru Confirmed cc1=  .929372 cc2=  .551075 lx=  8.12458 if=  45 il=  51 3/13/2020  n=   6 now=  203736 end=       3731        28      3763 U=    11.55 T=   69.3 p1= -98.2 p2=  5460.6 ed=    96 4/27/2020   x1=  45. x2=  51. y1=  2.11 y2=  1.59 BEST
GP: Confirmed Peru 3/13/2020        51  203736     3731      28     3763     2    96 4/27/2020 
AAA2     1 Peru Confirmed cc1=  .959484 cc2=  .551236 lx= 14.22458 if=  46 il=  51 3/13/2020  n=   5 now=  203736 end=    1505416        28      3763 U=    37.80 T=  141.3 p1= 638.9 p2=    13.5 ed=   230 9/8/2020    x1=  46. x2=  51. y1=  2.52 y2=  2.39     
GP: Confirmed Peru 3/13/2020        51  203736    -          28     3763     2   230 9/8/2020  
AAA1     1 Peru Confirmed cc1=  .966141 cc2=  .632808 lx=  8.22458 if=  44 il=  52 3/14/2020  n=   8 now=  203736 end=       3731        38      3763 U=    13.70 T=   72.9 p1= -98.2 p2=  5460.6 ed=   105 5/6/2020    x1=  44. x2=  52. y1=  2.11 y2=  1.52 BEST
AAA2     1 Peru Confirmed cc1=  .966343 cc2=  .632808 lx=  8.12458 if=  44 il=  52 3/14/2020  n=   8 now=  203736 end=       3731        38      3763 U=    13.70 T=   72.9 p1= -98.2 p2=  5460.6 ed=   105 5/6/2020    x1=  44. x2=  52. y1=  2.11 y2=  1.52 BEST
GP: Confirmed Peru 3/14/2020        52  203736     3731      38     3763     2   105 5/6/2020  
AAA1     1 Peru Confirmed cc1=  .951334 cc2=  .597780 lx=  8.22458 if=  45 il=  52 3/14/2020  n=   7 now=  203736 end=       3731        38      3763 U=    11.99 T=   70.3 p1= -98.2 p2=  5460.6 ed=    98 4/29/2020   x1=  45. x2=  52. y1=  2.11 y2=  1.52 BEST
AAA2     1 Peru Confirmed cc1=  .951634 cc2=  .597780 lx=  8.12458 if=  45 il=  52 3/14/2020  n=   7 now=  203736 end=       3731        38      3763 U=    11.99 T=   70.3 p1= -98.2 p2=  5460.6 ed=    98 4/29/2020   x1=  45. x2=  52. y1=  2.11 y2=  1.52 BEST
GP: Confirmed Peru 3/14/2020        52  203736     3731      38     3763     2    98 4/29/2020 
AAA2     1 Peru Confirmed cc1=  .972377 cc2=  .594412 lx= 14.22458 if=  46 il=  52 3/14/2020  n=   6 now=  203736 end=    1505416        38      3763 U=    37.33 T=  140.1 p1= 638.9 p2=    13.5 ed=   228 9/6/2020    x1=  46. x2=  52. y1=  2.52 y2=  2.36     
GP: Confirmed Peru 3/14/2020        52  203736    -          38     3763     2   228 9/6/2020  
AAA2     1 Peru Confirmed cc1=  .970331 cc2=  .562082 lx= 14.22458 if=  47 il=  52 3/14/2020  n=   5 now=  203736 end=    1505416        38      3763 U=    33.73 T=  131.6 p1= 638.9 p2=    13.5 ed=   211 8/20/2020   x1=  47. x2=  52. y1=  2.51 y2=  2.36     
GP: Confirmed Peru 3/14/2020        52  203736    -          38     3763     2   211 8/20/2020 
AAA1     1 Peru Confirmed cc1=  .971622 cc2=  .655394 lx=  8.22458 if=  44 il=  53 3/15/2020  n=   9 now=  203736 end=       3731        43      3763 U=    14.72 T=   75.0 p1= -98.2 p2=  5460.6 ed=   109 5/10/2020   x1=  44. x2=  53. y1=  2.11 y2=  1.50 BEST
AAA2     1 Peru Confirmed cc1=  .971853 cc2=  .655394 lx=  8.12458 if=  44 il=  53 3/15/2020  n=   9 now=  203736 end=       3731        43      3763 U=    14.72 T=   75.0 p1= -98.2 p2=  5460.6 ed=   109 5/10/2020   x1=  44. x2=  53. y1=  2.11 y2=  1.50 BEST
GP: Confirmed Peru 3/15/2020        53  203736     3731      43     3763     3   109 5/10/2020 
AAA1     1 Peru Confirmed cc1=  .960808 cc2=  .627475 lx=  8.22458 if=  45 il=  53 3/15/2020  n=   8 now=  203736 end=       3731        43      3763 U=    13.09 T=   72.6 p1= -98.2 p2=  5460.6 ed=   103 5/4/2020    x1=  45. x2=  53. y1=  2.11 y2=  1.50 BEST
AAA2     1 Peru Confirmed cc1=  .961124 cc2=  .627475 lx=  8.12458 if=  45 il=  53 3/15/2020  n=   8 now=  203736 end=       3731        43      3763 U=    13.09 T=   72.6 p1= -98.2 p2=  5460.6 ed=   103 5/4/2020    x1=  45. x2=  53. y1=  2.11 y2=  1.50 BEST
GP: Confirmed Peru 3/15/2020        53  203736     3731      43     3763     3   103 5/4/2020  
