TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4679.00000        8.45084
TAB:  US_New_Jersey_Somerset Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .979829 cc2=  .571578 lx=  4.41784 if=  52 il=  57 3/19/2020  n=   5 now=    4679 end=         85        21        86 U=     4.34 T=   58.5 p1= -98.2 p2=  5504.7 ed=    68 3/30/2020   x1=  52. x2=  57. y1=  1.49 y2=   .34 BEST
GP: Confirmed US_New_Jersey_Somerset 3/19/2020        57    4679       85      21       86     1    68 3/30/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .954612 cc2=  .621279 lx=  6.71084 if=  50 il=  58 3/20/2020  n=   8 now=    4679 end=        821        28        84 U=    11.66 T=   72.2 p1= -82.5 p2=   569.9 ed=    99 4/30/2020   x1=  50. x2=  58. y1=  1.90 y2=  1.22     
GP: Confirmed US_New_Jersey_Somerset 3/20/2020        58    4679      821      28       84     2    99 4/30/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .972736 cc2=  .619183 lx=  4.94084 if=  51 il=  58 3/20/2020  n=   7 now=    4679 end=        139        28        84 U=     6.24 T=   61.0 p1= -97.0 p2=  3366.2 ed=    75 4/6/2020    x1=  51. x2=  58. y1=  1.60 y2=   .48     
GP: Confirmed US_New_Jersey_Somerset 3/20/2020        58    4679      139      28       84     2    75 4/6/2020  
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .986876 cc2=  .608912 lx=  4.45084 if=  52 il=  58 3/20/2020  n=   6 now=    4679 end=         85        28        84 U=     4.34 T=   58.5 p1= -98.2 p2=  5504.7 ed=    68 3/30/2020   x1=  52. x2=  58. y1=  1.49 y2=   .11 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .987096 cc2=  .608912 lx=  4.35084 if=  52 il=  58 3/20/2020  n=   6 now=    4679 end=         85        28        84 U=     4.34 T=   58.5 p1= -98.2 p2=  5504.7 ed=    68 3/30/2020   x1=  52. x2=  58. y1=  1.49 y2=   .11 BEST
GP: Confirmed US_New_Jersey_Somerset 3/20/2020        58    4679       85      28       84     2    68 3/30/2020 
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .989152 cc2=  .580904 lx=  4.45084 if=  53 il=  58 3/20/2020  n=   5 now=    4679 end=         85        28        84 U=     3.62 T=   58.4 p1= -98.2 p2=  5504.7 ed=    66 3/28/2020   x1=  53. x2=  58. y1=  1.49 y2=   .11 BEST
