TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       20415.00000        9.92403
TAB:  Dominican_Republic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Dominican_Republic Confirmed 5/6/2020    105     8807    20415    12444       12    11690   107478    18478
TAB:  Dominican_Republic Confirmed .           106     9095    20415    12444       10    12444   130859    19987
TAB:  Dominican_Republic Confirmed 5/8/2020    107     9376    20415    13199       13    12444   137647    19987
TAB:  Dominican_Republic Confirmed .           108     9882    20415    13953       10    13199   133876    22249
TAB:  Dominican_Republic Confirmed 5/10/2020   109    10347    20415    14707        9    13953   104461    22249
TAB:  Dominican_Republic Confirmed .           110    10634    20415    14707       12    14707   142173    23758
TAB:  Dominican_Republic Confirmed 5/12/2020   111    10900    20415    15461       15    12444   127088    25266
TAB:  Dominican_Republic Confirmed .           112    11196    20415    15461       10    12444   149715    26775
TAB:  Dominican_Republic Confirmed 5/14/2020   113    11320    20415    16216       14    11690   116529    26775
TAB:  Dominican_Republic Confirmed .           114    11739    20415    16216       13    13953   130859    26775
TAB:  Dominican_Republic Confirmed 5/16/2020   115    12110    20415    16970       11    16216    92393    27529
TAB:  Dominican_Republic Confirmed .           116    12314    20415    16970       13    16216   149715    29792
TAB:  Dominican_Republic Confirmed 5/18/2020   117    12725    20415    17724       12    16970   142173    29792
TAB:  Dominican_Republic Confirmed .           118    13223    20415    17724        9    17724   143681    32054
TAB:  Dominican_Republic Confirmed 5/20/2020   119    13477    20415    18478       16    18478   128597    32809
TAB:  Dominican_Republic Confirmed .           120    13657    20415    18478       13    14707   119546    35071
TAB:  Dominican_Republic Confirmed 5/22/2020   121    13989    20415    19232       11    16216    92393    32054
TAB:  Dominican_Republic Confirmed .           122    14422    20415    19232       10    19232    81080    33563
TAB:  Dominican_Republic Confirmed 5/24/2020   123    14801    20415    19987       15    19987   124825    36580
TAB:  Dominican_Republic Confirmed .           124    15073    20415    19987       11    19987    80326    35071
TAB:  Dominican_Republic Confirmed 5/26/2020   125    15264    20415    20741       15    16216    80326    33563
TAB:  Dominican_Republic Confirmed .           126    15723    20415    20741       13    20741    72029    35071
TAB:  Dominican_Republic Confirmed 5/28/2020   127    16068    20415    21495       14    21495    67504    35826
TAB:  Dominican_Republic Confirmed .           128    16531    20415    21495       10    21495   124825    39597
TAB:  Dominican_Republic Confirmed 5/30/2020   129    16908    20415    22249       14    22249   112003    39597
TAB:  Dominican_Republic Confirmed .           130    17285    20415    22249        9    22249   136139    41105
TAB:  Dominican_Republic Confirmed 6/1/2020    131    17572    20415    23004       13    21495   114266    41860
TAB:  Dominican_Republic Confirmed .           132    17752    20415    23004        8    18478    84097    38088
TAB:  Dominican_Republic Confirmed 6/3/2020    133    18040    20415    23654        8    19292    63246    36739
TAB:  Dominican_Republic Confirmed .           134    18319    20415    23886       12    20191    49751    33915
TAB:  Dominican_Republic Confirmed 6/5/2020    135    18708    20415    24512       13    22249    48648    35071
TAB:  Dominican_Republic Confirmed .           136    19195    20415    24512       11    24512    50156    36580
TAB:  Dominican_Republic Confirmed 6/7/2020    137    19600    20415    25266       13    25266    53927    38088
TAB:  Dominican_Republic Confirmed .           138    20126    20415    26021        9    25266   102953    42614
TAB:  Dominican_Republic Confirmed 6/9/2020    139    20415    20415    26021       12    26021   146698    44122
AAA2     1 Dominican_Republic Confirmed cc1=  .882173 cc2=  .548840 lx= 11.92403 if=  39 il=  47 3/9/2020   n=   8 now=   20415 end=     150847         5         0 U=    55.17 T=  175.8 p1= 638.9 p2=    13.5 ed=   305 11/22/2020  x1=  39. x2=  47. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/9/2020         47   20415    -           5        0     0   305 11/22/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .908930 cc2=  .555376 lx= 11.92403 if=  40 il=  47 3/9/2020   n=   7 now=   20415 end=     150847         5         0 U=    48.28 T=  159.7 p1= 638.9 p2=    13.5 ed=   273 10/21/2020  x1=  40. x2=  47. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/9/2020         47   20415    -           5        0     0   273 10/21/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .933743 cc2=  .555778 lx= 11.92403 if=  41 il=  47 3/9/2020   n=   6 now=   20415 end=     150847         5         0 U=    41.38 T=  143.6 p1= 638.9 p2=    13.5 ed=   241 9/19/2020   x1=  41. x2=  47. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/9/2020         47   20415    -           5        0     0   241 9/19/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .951398 cc2=  .543150 lx= 11.92403 if=  42 il=  47 3/9/2020   n=   5 now=   20415 end=     150847         5         0 U=    34.48 T=  127.5 p1= 638.9 p2=    13.5 ed=   208 8/17/2020   x1=  42. x2=  47. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/9/2020         47   20415    -           5        0     0   208 8/17/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .910088 cc2=  .593861 lx= 11.92403 if=  39 il=  48 3/10/2020  n=   9 now=   20415 end=     150847         5       377 U=    62.07 T=  192.8 p1= 638.9 p2=    13.5 ed=   339 12/26/2020  x1=  39. x2=  48. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/10/2020        48   20415    -           5      377     1   339 12/26/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .928036 cc2=  .594703 lx= 11.92403 if=  40 il=  48 3/10/2020  n=   8 now=   20415 end=     150847         5       377 U=    55.17 T=  176.8 p1= 638.9 p2=    13.5 ed=   306 11/23/2020  x1=  40. x2=  48. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/10/2020        48   20415    -           5      377     1   306 11/23/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .941358 cc2=  .587805 lx= 11.92403 if=  41 il=  48 3/10/2020  n=   7 now=   20415 end=     150847         5       377 U=    48.28 T=  160.7 p1= 638.9 p2=    13.5 ed=   274 10/22/2020  x1=  41. x2=  48. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/10/2020        48   20415    -           5      377     1   274 10/22/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .944393 cc2=  .566429 lx= 11.92403 if=  42 il=  48 3/10/2020  n=   6 now=   20415 end=     150847         5       377 U=    41.38 T=  144.6 p1= 638.9 p2=    13.5 ed=   242 9/20/2020   x1=  42. x2=  48. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/10/2020        48   20415    -           5      377     1   242 9/20/2020 
AAA1     1 Dominican_Republic Confirmed cc1=  .925655 cc2=  .517407 lx=  5.92403 if=  43 il=  48 3/10/2020  n=   5 now=   20415 end=        373         5       377 U=    15.77 T=   71.1 p1= -98.2 p2=  5473.2 ed=   108 5/9/2020    x1=  43. x2=  48. y1=  1.78 y2=  1.46 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .925669 cc2=  .517407 lx=  5.82403 if=  43 il=  48 3/10/2020  n=   5 now=   20415 end=        373         5       377 U=    15.77 T=   71.1 p1= -98.2 p2=  5473.2 ed=   108 5/9/2020    x1=  43. x2=  48. y1=  1.78 y2=  1.46 BEST
GP: Confirmed Dominican_Republic 3/10/2020        48   20415      373       5      377     1   108 5/9/2020  
AAA2     1 Dominican_Republic Confirmed cc1=  .921526 cc2=  .620015 lx= 11.92403 if=  39 il=  49 3/11/2020  n=  10 now=   20415 end=     150847         5       377 U=    68.97 T=  209.9 p1= 638.9 p2=    13.5 ed=   372 1/28/2021   x1=  39. x2=  49. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/11/2020        49   20415    -           5      377     1   372 1/28/2021 
AAA2     1 Dominican_Republic Confirmed cc1=  .931385 cc2=  .615157 lx= 11.92403 if=  40 il=  49 3/11/2020  n=   9 now=   20415 end=     150847         5       377 U=    62.07 T=  193.8 p1= 638.9 p2=    13.5 ed=   340 12/27/2020  x1=  40. x2=  49. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/11/2020        49   20415    -           5      377     1   340 12/27/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .934708 cc2=  .601374 lx= 11.92403 if=  41 il=  49 3/11/2020  n=   8 now=   20415 end=     150847         5       377 U=    55.17 T=  177.8 p1= 638.9 p2=    13.5 ed=   307 11/24/2020  x1=  41. x2=  49. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/11/2020        49   20415    -           5      377     1   307 11/24/2020
