TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       21459.00000        9.97390
TAB:  Afghanistan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Afghanistan Confirmed 5/16/2020   115     6402    21459    39243        2    39243   129623    54307
TAB:  Afghanistan Confirmed .           116     6664    21459    42415        4    10702   142308    57478
TAB:  Afghanistan Confirmed 5/18/2020   117     7072    21459    59856        3    10702   155786    63028
TAB:  Afghanistan Confirmed .           118     7653    21459    48757        2    48757   128830    69370
TAB:  Afghanistan Confirmed 5/20/2020   119     8145    21459    52721        2    52721   132794    74127
TAB:  Afghanistan Confirmed .           120     8676    21459    57478        3    57478   149443    79676
TAB:  Afghanistan Confirmed 5/22/2020   121     9216    21459    62235        3    49550   137551    85226
TAB:  Afghanistan Confirmed .           122     9998    21459    -            3    68577   139137    93947
TAB:  Afghanistan Confirmed 5/24/2020   123    10582    21459    -            3    74920   147858   104253
TAB:  Afghanistan Confirmed .           124    11173    21459    -            2    58271   151029    97118
TAB:  Afghanistan Confirmed 5/26/2020   125    11831    21459    -            2    23387   147858   103461
TAB:  Afghanistan Confirmed .           126    12456    21459    57478        2    21802   152614   104253
TAB:  Afghanistan Confirmed 5/28/2020   127    13036    21459    -            2    21802   154200   104253
TAB:  Afghanistan Confirmed .           128    13659    21459    -            2    24180   157371   108217
TAB:  Afghanistan Confirmed 5/30/2020   129    14525    21459    48757        2    39243   144686   117731
TAB:  Afghanistan Confirmed .           130    15205    21459    -            2    47964   152614   124866
TAB:  Afghanistan Confirmed 6/1/2020    131    15750    21459    44793        2    40829   155786   117731
TAB:  Afghanistan Confirmed .           132    16509    21459    49550        2    27351   157371    93947
TAB:  Afghanistan Confirmed 6/3/2020    133    17267    21459    51928        3    34487   155786    78091
TAB:  Afghanistan Confirmed .           134    18054    21459    59063        2    53514   155786    87604
TAB:  Afghanistan Confirmed 6/5/2020    135    18969    21459    -            2    63028   157371   118524
TAB:  Afghanistan Confirmed .           136    19551    21459    -            2    41622   157371    97911
TAB:  Afghanistan Confirmed 6/7/2020    137    20342    21459    -            2    32901   136758    82848
TAB:  Afghanistan Confirmed .           138    20917    21459    60649        3    26558   147858    69370
TAB:  Afghanistan Confirmed 6/9/2020    139    21459    21459    55099        3    25766   151029    57478
AAA2     1 Afghanistan Confirmed cc1=  .833429 cc2=  .500096 lx=  5.97390 if=  40 il=  48 3/10/2020  n=   8 now=   21459 end=        393         5         0 U=    25.49 T=   85.6 p1= -98.2 p2=  5460.3 ed=   145 6/15/2020   x1=  40. x2=  48. y1=  1.79 y2=  1.47     
GP: Confirmed Afghanistan 3/10/2020        48   21459      393       5        0     0   145 6/15/2020 
AAA2     1 Afghanistan Confirmed cc1=  .860360 cc2=  .506807 lx=  5.97390 if=  41 il=  48 3/10/2020  n=   7 now=   21459 end=        393         5         0 U=    22.30 T=   80.9 p1= -98.2 p2=  5460.3 ed=   133 6/3/2020    x1=  41. x2=  48. y1=  1.79 y2=  1.47     
GP: Confirmed Afghanistan 3/10/2020        48   21459      393       5        0     0   133 6/3/2020  
AAA2     1 Afghanistan Confirmed cc1=  .886246 cc2=  .508282 lx=  5.97390 if=  42 il=  48 3/10/2020  n=   6 now=   21459 end=        393         5         0 U=    19.11 T=   76.2 p1= -98.2 p2=  5460.3 ed=   121 5/22/2020   x1=  42. x2=  48. y1=  1.79 y2=  1.47     
GP: Confirmed Afghanistan 3/10/2020        48   21459      393       5        0     0   121 5/22/2020 
AAA2     1 Afghanistan Confirmed cc1=  .742552 cc2=  .500017 lx= 11.97390 if=  33 il=  49 3/11/2020  n=  16 now=   21459 end=     158561         7       396 U=    90.22 T=  257.0 p1= 638.9 p2=    13.5 ed=   469 5/5/2021    x1=  33. x2=  49. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/11/2020        49   21459    -           7      396     6   469 5/5/2021  
AAA2     1 Afghanistan Confirmed cc1=  .759487 cc2=  .509487 lx= 11.97390 if=  34 il=  49 3/11/2020  n=  15 now=   21459 end=     158561         7       396 U=    84.58 T=  244.0 p1= 638.9 p2=    13.5 ed=   443 4/9/2021    x1=  34. x2=  49. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/11/2020        49   21459    -           7      396     6   443 4/9/2021  
AAA2     1 Afghanistan Confirmed cc1=  .777417 cc2=  .519219 lx= 11.97390 if=  35 il=  49 3/11/2020  n=  14 now=   21459 end=     158561         7       396 U=    78.94 T=  231.0 p1= 638.9 p2=    13.5 ed=   417 3/14/2021   x1=  35. x2=  49. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/11/2020        49   21459    -           7      396     6   417 3/14/2021 
AAA2     1 Afghanistan Confirmed cc1=  .796380 cc2=  .529118 lx= 11.97390 if=  36 il=  49 3/11/2020  n=  13 now=   21459 end=     158561         7       396 U=    73.30 T=  218.0 p1= 638.9 p2=    13.5 ed=   390 2/15/2021   x1=  36. x2=  49. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/11/2020        49   21459    -           7      396     6   390 2/15/2021 
AAA2     1 Afghanistan Confirmed cc1=  .816374 cc2=  .539024 lx= 11.97390 if=  37 il=  49 3/11/2020  n=  12 now=   21459 end=     158561         7       396 U=    67.66 T=  205.0 p1= 638.9 p2=    13.5 ed=   364 1/20/2021   x1=  37. x2=  49. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/11/2020        49   21459    -           7      396     6   364 1/20/2021 
AAA2     1 Afghanistan Confirmed cc1=  .837423 cc2=  .548747 lx=  6.69390 if=  38 il=  49 3/11/2020  n=  11 now=   21459 end=        807         7       396 U=    32.03 T=   98.9 p1= -96.2 p2=  2659.1 ed=   174 7/14/2020   x1=  38. x2=  49. y1=  1.90 y2=  1.56     
GP: Confirmed Afghanistan 3/11/2020        49   21459      807       7      396     6   174 7/14/2020 
AAA1     1 Afghanistan Confirmed cc1=  .859445 cc2=  .557933 lx=  5.97390 if=  39 il=  49 3/11/2020  n=  10 now=   21459 end=        393         7       396 U=    25.37 T=   84.4 p1= -98.2 p2=  5460.3 ed=   144 6/14/2020   x1=  39. x2=  49. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .859453 cc2=  .557933 lx=  5.87390 if=  39 il=  49 3/11/2020  n=  10 now=   21459 end=        393         7       396 U=    25.37 T=   84.4 p1= -98.2 p2=  5460.3 ed=   144 6/14/2020   x1=  39. x2=  49. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/11/2020        49   21459      393       7      396     6   144 6/14/2020 
AAA1     1 Afghanistan Confirmed cc1=  .881906 cc2=  .565679 lx=  5.97390 if=  40 il=  49 3/11/2020  n=   9 now=   21459 end=        393         7       396 U=    22.84 T=   80.8 p1= -98.2 p2=  5460.3 ed=   134 6/4/2020    x1=  40. x2=  49. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .881931 cc2=  .565679 lx=  5.87390 if=  40 il=  49 3/11/2020  n=   9 now=   21459 end=        393         7       396 U=    22.84 T=   80.8 p1= -98.2 p2=  5460.3 ed=   134 6/4/2020    x1=  40. x2=  49. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/11/2020        49   21459      393       7      396     6   134 6/4/2020  
AAA1     1 Afghanistan Confirmed cc1=  .903915 cc2=  .570582 lx=  5.97390 if=  41 il=  49 3/11/2020  n=   8 now=   21459 end=        393         7       396 U=    20.30 T=   77.3 p1= -98.2 p2=  5460.3 ed=   125 5/26/2020   x1=  41. x2=  49. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .903961 cc2=  .570582 lx=  5.87390 if=  41 il=  49 3/11/2020  n=   8 now=   21459 end=        393         7       396 U=    20.30 T=   77.3 p1= -98.2 p2=  5460.3 ed=   125 5/26/2020   x1=  41. x2=  49. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/11/2020        49   21459      393       7      396     6   125 5/26/2020 
AAA1     1 Afghanistan Confirmed cc1=  .923609 cc2=  .570055 lx=  5.97390 if=  42 il=  49 3/11/2020  n=   7 now=   21459 end=        393         7       396 U=    17.76 T=   73.7 p1= -98.2 p2=  5460.3 ed=   115 5/16/2020   x1=  42. x2=  49. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .923688 cc2=  .570055 lx=  5.87390 if=  42 il=  49 3/11/2020  n=   7 now=   21459 end=        393         7       396 U=    17.76 T=   73.7 p1= -98.2 p2=  5460.3 ed=   115 5/16/2020   x1=  42. x2=  49. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/11/2020        49   21459      393       7      396     6   115 5/16/2020 
AAA1     1 Afghanistan Confirmed cc1=  .936976 cc2=  .559011 lx=  5.97390 if=  43 il=  49 3/11/2020  n=   6 now=   21459 end=        393         7       396 U=    15.22 T=   70.2 p1= -98.2 p2=  5460.3 ed=   106 5/7/2020    x1=  43. x2=  49. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .937107 cc2=  .559011 lx=  5.87390 if=  43 il=  49 3/11/2020  n=   6 now=   21459 end=        393         7       396 U=    15.22 T=   70.2 p1= -98.2 p2=  5460.3 ed=   106 5/7/2020    x1=  43. x2=  49. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/11/2020        49   21459      393       7      396     6   106 5/7/2020  
AAA1     1 Afghanistan Confirmed cc1=  .934853 cc2=  .526605 lx=  5.97390 if=  44 il=  49 3/11/2020  n=   5 now=   21459 end=        393         7       396 U=    12.69 T=   66.7 p1= -98.2 p2=  5460.3 ed=    96 4/27/2020   x1=  44. x2=  49. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .935076 cc2=  .526605 lx=  5.87390 if=  44 il=  49 3/11/2020  n=   5 now=   21459 end=        393         7       396 U=    12.69 T=   66.7 p1= -98.2 p2=  5460.3 ed=    96 4/27/2020   x1=  44. x2=  49. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/11/2020        49   21459      393       7      396     6    96 4/27/2020 
AAA2     1 Afghanistan Confirmed cc1=  .788626 cc2=  .552924 lx= 11.97390 if=  33 il=  50 3/12/2020  n=  17 now=   21459 end=     158561         7       396 U=    95.86 T=  271.0 p1= 638.9 p2=    13.5 ed=   497 6/2/2021    x1=  33. x2=  50. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/12/2020        50   21459    -           7      396     9   497 6/2/2021  
AAA2     1 Afghanistan Confirmed cc1=  .804250 cc2=  .561715 lx= 11.97390 if=  34 il=  50 3/12/2020  n=  16 now=   21459 end=     158561         7       396 U=    90.22 T=  258.0 p1= 638.9 p2=    13.5 ed=   470 5/6/2021    x1=  34. x2=  50. y1=  2.48 y2=  2.31     
GP: Confirmed Afghanistan 3/12/2020        50   21459    -           7      396     9   470 5/6/2021  
AAA2     1 Afghanistan Confirmed cc1=  .820536 cc2=  .570536 lx= 10.57390 if=  35 il=  50 3/12/2020  n=  15 now=   21459 end=      39100         7       396 U=    73.75 T=  208.9 p1=  82.2 p2=    54.9 ed=   383 2/8/2021    x1=  35. x2=  50. y1=  2.36 y2=  2.16     
GP: Confirmed Afghanistan 3/12/2020        50   21459    39100       7      396     9   383 2/8/2021  
AAA1     1 Afghanistan Confirmed cc1=  .837524 cc2=  .579326 lx=  6.56390 if=  36 il=  50 3/12/2020  n=  14 now=   21459 end=        709         7       396 U=    39.82 T=  110.9 p1= -96.7 p2=  3026.7 ed=   204 8/13/2020   x1=  36. x2=  50. y1=  1.88 y2=  1.53 BEST
AAA2     1 Afghanistan Confirmed cc1=  .837524 cc2=  .579326 lx=  6.56390 if=  36 il=  50 3/12/2020  n=  14 now=   21459 end=        709         7       396 U=    39.82 T=  110.9 p1= -96.7 p2=  3026.7 ed=   204 8/13/2020   x1=  36. x2=  50. y1=  1.88 y2=  1.53 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      709       7      396     9   204 8/13/2020 
AAA1     1 Afghanistan Confirmed cc1=  .855168 cc2=  .587907 lx=  5.97390 if=  37 il=  50 3/12/2020  n=  13 now=   21459 end=        393         7       396 U=    32.98 T=   96.0 p1= -98.2 p2=  5460.3 ed=   173 7/13/2020   x1=  37. x2=  50. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .855175 cc2=  .587907 lx=  5.87390 if=  37 il=  50 3/12/2020  n=  13 now=   21459 end=        393         7       396 U=    32.98 T=   96.0 p1= -98.2 p2=  5460.3 ed=   173 7/13/2020   x1=  37. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   173 7/13/2020 
AAA1     1 Afghanistan Confirmed cc1=  .873192 cc2=  .595842 lx=  5.97390 if=  38 il=  50 3/12/2020  n=  12 now=   21459 end=        393         7       396 U=    30.45 T=   92.4 p1= -98.2 p2=  5460.3 ed=   164 7/4/2020    x1=  38. x2=  50. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .873211 cc2=  .595842 lx=  5.87390 if=  38 il=  50 3/12/2020  n=  12 now=   21459 end=        393         7       396 U=    30.45 T=   92.4 p1= -98.2 p2=  5460.3 ed=   164 7/4/2020    x1=  38. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   164 7/4/2020  
AAA1     1 Afghanistan Confirmed cc1=  .891246 cc2=  .602571 lx=  5.97390 if=  39 il=  50 3/12/2020  n=  11 now=   21459 end=        393         7       396 U=    27.91 T=   88.9 p1= -98.2 p2=  5460.3 ed=   154 6/24/2020   x1=  39. x2=  50. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .891280 cc2=  .602571 lx=  5.87390 if=  39 il=  50 3/12/2020  n=  11 now=   21459 end=        393         7       396 U=    27.91 T=   88.9 p1= -98.2 p2=  5460.3 ed=   154 6/24/2020   x1=  39. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   154 6/24/2020 
AAA1     1 Afghanistan Confirmed cc1=  .908707 cc2=  .607195 lx=  5.97390 if=  40 il=  50 3/12/2020  n=  10 now=   21459 end=        393         7       396 U=    25.37 T=   85.4 p1= -98.2 p2=  5460.3 ed=   145 6/15/2020   x1=  40. x2=  50. y1=  1.79 y2=  1.39 BEST
