TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6849.00000        8.83186
TAB:  US_New_Jersey_Camden Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Camden Confirmed 5/2/2020    101     3773     6849     6050       10     5888    19118     7018
TAB:  US_New_Jersey_Camden Confirmed .           102     3973     6849     6199       14     6199    48203     7970
TAB:  US_New_Jersey_Camden Confirmed 5/4/2020    103     4073     6849     6199       10     6199    20875     7970
TAB:  US_New_Jersey_Camden Confirmed .           104     4251     6849     6452       11     6452    36057     8476
TAB:  US_New_Jersey_Camden Confirmed 5/6/2020    105     4307     6849     6458        7     5130    22032     7907
TAB:  US_New_Jersey_Camden Confirmed .           106     4479     6849     6681       12     5852    18109     8064
TAB:  US_New_Jersey_Camden Confirmed 5/8/2020    107     4619     6849     6705       10     6705    16320     9741
TAB:  US_New_Jersey_Camden Confirmed .           108     4758     6849     6958       16     6958    46178     9488
TAB:  US_New_Jersey_Camden Confirmed 5/10/2020   109     4870     6849     7009        9     6865    21897     9177
TAB:  US_New_Jersey_Camden Confirmed .           110     4959     6849     7080        6     5494    11428     8138
TAB:  US_New_Jersey_Camden Confirmed 5/12/2020   111     5043     6849     7043        7     5495    10242     7714
TAB:  US_New_Jersey_Camden Confirmed .           112     5099     6849     8528        7     5338     9175     7419
TAB:  US_New_Jersey_Camden Confirmed 5/14/2020   113     5172     6849     7061        7     5483     8469     7189
TAB:  US_New_Jersey_Camden Confirmed .           114     5255     6849     7042       10     5662     8057     7123
TAB:  US_New_Jersey_Camden Confirmed 5/16/2020   115     5381     6849     7211       14     6199    17585     7211
TAB:  US_New_Jersey_Camden Confirmed .           116     5455     6849     7211       16     6199    35551     7211
TAB:  US_New_Jersey_Camden Confirmed 5/18/2020   117     5573     6849     7211       19     6705     9994     7464
TAB:  US_New_Jersey_Camden Confirmed .           118     5644     6849     7211       21     6958    10753     7717
TAB:  US_New_Jersey_Camden Confirmed 5/20/2020   119     5738     6849     7211       22     6705    14043     7717
TAB:  US_New_Jersey_Camden Confirmed .           120     5818     6849     7211       22     6958    11513     7717
TAB:  US_New_Jersey_Camden Confirmed 5/22/2020   121     5923     6849     7464       23     7211    16573     8729
TAB:  US_New_Jersey_Camden Confirmed .           122     5953     6849     7717       19     6699    18912     7887
TAB:  US_New_Jersey_Camden Confirmed 5/24/2020   123     6024     6849     7356       13     6388    11534     7599
TAB:  US_New_Jersey_Camden Confirmed .           124     6103     6849     7436       12     6835     9939     7586
TAB:  US_New_Jersey_Camden Confirmed 5/26/2020   125     6171     6849     7326       13     7141     9083     7650
TAB:  US_New_Jersey_Camden Confirmed .           126     6227     6849     7464       39     7211     8729     7970
TAB:  US_New_Jersey_Camden Confirmed 5/28/2020   127     6292     6849     7464       40     7211     8476     7970
TAB:  US_New_Jersey_Camden Confirmed .           128     6350     6849     7650       17     7126     8289     7708
TAB:  US_New_Jersey_Camden Confirmed 5/30/2020   129     6425     6849     7464       35     7464    30743     8476
TAB:  US_New_Jersey_Camden Confirmed .           130     6510     6849     7717       35     7464    26695     8729
TAB:  US_New_Jersey_Camden Confirmed 6/1/2020    131     6543     6849     7717       34     7464    13284     8729
TAB:  US_New_Jersey_Camden Confirmed .           132     6603     6849     7695       26     7045    11656     8214
TAB:  US_New_Jersey_Camden Confirmed 6/3/2020    133     6645     6849     7709       28     6861     8983     7898
TAB:  US_New_Jersey_Camden Confirmed .           134     6663     6849     7732       28     6798     8057     7570
TAB:  US_New_Jersey_Camden Confirmed 6/5/2020    135     6732     6849     7717       43     7211     7970     7717
TAB:  US_New_Jersey_Camden Confirmed .           136     6785     6849     7717       45     7464     7970     7717
TAB:  US_New_Jersey_Camden Confirmed 6/7/2020    137     6799     6849     7717       51     7211    17838     7717
TAB:  US_New_Jersey_Camden Confirmed .           138     6827     6849     7740       28     6912     7779     7425
TAB:  US_New_Jersey_Camden Confirmed 6/9/2020    139     6849     6849     7584       23     6921     7740     7428
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .895397 cc2=  .517432 lx= 10.83186 if=  48 il=  54 3/16/2020  n=   6 now=    6849 end=      50607         3         0 U=    56.10 T=  181.7 p1= 638.9 p2=    13.5 ed=   314 12/1/2020   x1=  48. x2=  54. y1=  2.38 y2=  2.28     
GP: Confirmed US_New_Jersey_Camden 3/16/2020        54    6849    -           3        0     0   314 12/1/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .925797 cc2=  .517548 lx= 10.83186 if=  49 il=  54 3/16/2020  n=   5 now=    6849 end=      50607         3         0 U=    46.75 T=  160.4 p1= 638.9 p2=    13.5 ed=   270 10/18/2020  x1=  49. x2=  54. y1=  2.38 y2=  2.28     
GP: Confirmed US_New_Jersey_Camden 3/16/2020        54    6849    -           3        0     0   270 10/18/2020
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .925820 cc2=  .572267 lx=  4.83186 if=  48 il=  55 3/17/2020  n=   7 now=    6849 end=        125         3         0 U=    27.14 T=   90.7 p1= -98.2 p2=  5479.2 ed=   154 6/24/2020   x1=  48. x2=  55. y1=  1.58 y2=  1.32     
GP: Confirmed US_New_Jersey_Camden 3/17/2020        55    6849      125       3        0     0   154 6/24/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .943866 cc2=  .565902 lx=  4.83186 if=  49 il=  55 3/17/2020  n=   6 now=    6849 end=        125         3         0 U=    23.26 T=   85.6 p1= -98.2 p2=  5479.2 ed=   140 6/10/2020   x1=  49. x2=  55. y1=  1.58 y2=  1.32     
GP: Confirmed US_New_Jersey_Camden 3/17/2020        55    6849      125       3        0     0   140 6/10/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .949835 cc2=  .541587 lx=  4.83186 if=  50 il=  55 3/17/2020  n=   5 now=    6849 end=        125         3         0 U=    19.38 T=   80.5 p1= -98.2 p2=  5479.2 ed=   126 5/27/2020   x1=  50. x2=  55. y1=  1.58 y2=  1.32     
GP: Confirmed US_New_Jersey_Camden 3/17/2020        55    6849      125       3        0     0   126 5/27/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .912368 cc2=  .579034 lx= 10.83186 if=  48 il=  56 3/18/2020  n=   8 now=    6849 end=      50607         8         0 U=    37.53 T=  137.4 p1= 638.9 p2=    13.5 ed=   225 9/3/2020    x1=  48. x2=  56. y1=  2.38 y2=  2.17     
GP: Confirmed US_New_Jersey_Camden 3/18/2020        56    6849    -           8        0     0   225 9/3/2020  
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .929718 cc2=  .576164 lx= 10.83186 if=  49 il=  56 3/18/2020  n=   7 now=    6849 end=      50607         8         0 U=    32.84 T=  127.2 p1= 638.9 p2=    13.5 ed=   204 8/13/2020   x1=  49. x2=  56. y1=  2.38 y2=  2.17     
GP: Confirmed US_New_Jersey_Camden 3/18/2020        56    6849    -           8        0     0   204 8/13/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .939262 cc2=  .561298 lx= 10.83186 if=  50 il=  56 3/18/2020  n=   6 now=    6849 end=      50607         8         0 U=    28.15 T=  117.1 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  50. x2=  56. y1=  2.38 y2=  2.17     
GP: Confirmed US_New_Jersey_Camden 3/18/2020        56    6849    -           8        0     0   183 7/23/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .930567 cc2=  .522319 lx= 10.83186 if=  51 il=  56 3/18/2020  n=   5 now=    6849 end=      50607         8         0 U=    23.46 T=  106.9 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  51. x2=  56. y1=  2.38 y2=  2.17     
GP: Confirmed US_New_Jersey_Camden 3/18/2020        56    6849    -           8        0     0   162 7/2/2020  
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .922967 cc2=  .606739 lx= 10.83186 if=  48 il=  57 3/19/2020  n=   9 now=    6849 end=      50607        13         0 U=    33.30 T=  127.3 p1= 638.9 p2=    13.5 ed=   205 8/14/2020   x1=  48. x2=  57. y1=  2.38 y2=  2.11     
GP: Confirmed US_New_Jersey_Camden 3/19/2020        57    6849    -          13        0     0   205 8/14/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .939741 cc2=  .606408 lx= 10.83186 if=  49 il=  57 3/19/2020  n=   8 now=    6849 end=      50607        13         0 U=    29.60 T=  119.5 p1= 638.9 p2=    13.5 ed=   189 7/29/2020   x1=  49. x2=  57. y1=  2.38 y2=  2.11     
GP: Confirmed US_New_Jersey_Camden 3/19/2020        57    6849    -          13        0     0   189 7/29/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .951221 cc2=  .597667 lx= 10.83186 if=  50 il=  57 3/19/2020  n=   7 now=    6849 end=      50607        13         0 U=    25.90 T=  111.7 p1= 638.9 p2=    13.5 ed=   172 7/12/2020   x1=  50. x2=  57. y1=  2.38 y2=  2.11     
