TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3626.00000        8.19589
TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Minnesota_Ramsey Confirmed 5/4/2020    103      535     3626     1540        2     1540    15740     4219
TAB:  US_Minnesota_Ramsey Confirmed .           104      583     3626     1942        3     1942    26055     4487
TAB:  US_Minnesota_Ramsey Confirmed 5/6/2020    105      656     3626     2344        2     2344    20830     5693
TAB:  US_Minnesota_Ramsey Confirmed .           106      717     3626     3014        2     3014    23242     6095
TAB:  US_Minnesota_Ramsey Confirmed 5/8/2020    107      800     3626     3817        2     3817    16811     6229
TAB:  US_Minnesota_Ramsey Confirmed .           108      875     3626     4755        1     4755    20294     6497
TAB:  US_Minnesota_Ramsey Confirmed 5/10/2020   109      920     3626     1540        1     1540    18151     6764
TAB:  US_Minnesota_Ramsey Confirmed .           110      986     3626     1406        1     1406    24447     8372
TAB:  US_Minnesota_Ramsey Confirmed 5/12/2020   111     1052     3626     1674        2     1540    24179     8372
TAB:  US_Minnesota_Ramsey Confirmed .           112     1124     3626     2076        3     1942    23777     9042
TAB:  US_Minnesota_Ramsey Confirmed 5/14/2020   113     1167     3626     1808        3     1808    25787     5157
TAB:  US_Minnesota_Ramsey Confirmed .           114     1287     3626     2880        2     2880    20294     9042
TAB:  US_Minnesota_Ramsey Confirmed 5/16/2020   115     1416     3626     6095        1     6095    24983    14668
TAB:  US_Minnesota_Ramsey Confirmed .           116     1530     3626    -            1    12659    23777    18017
TAB:  US_Minnesota_Ramsey Confirmed 5/18/2020   117     1625     3626    -            1    17749    24179    19491
TAB:  US_Minnesota_Ramsey Confirmed .           118     1720     3626     2344        1     2344    25787    20428
TAB:  US_Minnesota_Ramsey Confirmed 5/20/2020   119     1846     3626     3014        1     3014    25519    22840
TAB:  US_Minnesota_Ramsey Confirmed .           120     1925     3626     3817        2     2880    25787    19625
TAB:  US_Minnesota_Ramsey Confirmed 5/22/2020   121     2018     3626     3014        2     3014    22572    16276
TAB:  US_Minnesota_Ramsey Confirmed .           122     2164     3626     4487        2     3817    21098    16544
TAB:  US_Minnesota_Ramsey Confirmed 5/24/2020   123     2316     3626    -            2     5693    24045    19089
TAB:  US_Minnesota_Ramsey Confirmed .           124     2437     3626    -            2     6898    24045    19491
