TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        8191.00000        9.01079
TAB:  Azerbaijan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Azerbaijan Confirmed 5/16/2020   115     3138     8191     4387       12     4085    44333     6203
TAB:  Azerbaijan Confirmed .           116     3274     8191     4690       12     4387    13163     6506
TAB:  Azerbaijan Confirmed 5/18/2020   117     3387     8191     4690       10     4690    16795     7414
TAB:  Azerbaijan Confirmed .           118     3518     8191     4993       11     4993    21334     8321
TAB:  Azerbaijan Confirmed 5/20/2020   119     3631     8191     5295       13     4690    27386     7414
TAB:  Azerbaijan Confirmed .           120     3749     8191     5598       14     5295    34649    10137
TAB:  Azerbaijan Confirmed 5/22/2020   121     3855     8191     5900       11     5295    43122     9229
TAB:  Azerbaijan Confirmed .           122     3982     8191     5900       11     5900    53108    11953
TAB:  Azerbaijan Confirmed 5/24/2020   123     4122     8191     6203       11     6203    51595    13163
TAB:  Azerbaijan Confirmed .           124     4271     8191     6506       13     6506    50082    15887
TAB:  Azerbaijan Confirmed 5/26/2020   125     4403     8191     6808       13     6808    55227    15584
TAB:  Azerbaijan Confirmed .           126     4568     8191     7111       12     7111    55227    18308
TAB:  Azerbaijan Confirmed 5/28/2020   127     4759     8191     7414       13     7414    60069    24663
TAB:  Azerbaijan Confirmed .           128     4989     8191     8019        7     7716    28899    11348
TAB:  Azerbaijan Confirmed 5/30/2020   129     5246     8191     8321       11     8321    35254    18005
TAB:  Azerbaijan Confirmed .           130     5494     8191     8927       11     8927    44333    20729
TAB:  Azerbaijan Confirmed 6/1/2020    131     5662     8191     9532       10     9532    54622    15584
TAB:  Azerbaijan Confirmed .           132     5935     8191    10137       10    10137    46148    19216
TAB:  Azerbaijan Confirmed 6/3/2020    133     6260     8191    10742        9    10742    58858    32228
TAB:  Azerbaijan Confirmed .           134     6522     8191    11650        9    11650    38280    21939
TAB:  Azerbaijan Confirmed 6/5/2020    135     6860     8191    12255        8    12255    46754    24965
TAB:  Azerbaijan Confirmed .           136     7239     8191    13466        5    13163    58253    29202
TAB:  Azerbaijan Confirmed 6/7/2020    137     7553     8191    14374        6    14071    33741    14374
TAB:  Azerbaijan Confirmed .           138     7876     8191    15282        4    15282    55227    39491
TAB:  Azerbaijan Confirmed 6/9/2020    139     8191     8191    16189        3    12861    45240    20426
AAA2     1 Azerbaijan Confirmed cc1=  .895341 cc2=  .517377 lx= 11.01079 if=  39 il=  45 3/7/2020   n=   6 now=    8191 end=      60523         9         0 U=    51.08 T=  156.2 p1= 638.9 p2=    13.5 ed=   276 10/24/2020  x1=  39. x2=  45. y1=  2.29 y2=  2.18     
GP: Confirmed Azerbaijan 3/7/2020         45    8191    -           9        0     0   276 10/24/2020
AAA2     1 Azerbaijan Confirmed cc1=  .925787 cc2=  .517539 lx= 11.01079 if=  40 il=  45 3/7/2020   n=   5 now=    8191 end=      60523         9         0 U=    42.56 T=  137.6 p1= 638.9 p2=    13.5 ed=   238 9/16/2020   x1=  40. x2=  45. y1=  2.29 y2=  2.18     
GP: Confirmed Azerbaijan 3/7/2020         45    8191    -           9        0     0   238 9/16/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .925820 cc2=  .572267 lx=  5.89079 if=  39 il=  46 3/8/2020   n=   7 now=    8191 end=        361         9       150 U=    26.88 T=   81.1 p1= -95.6 p2=  2269.0 ed=   144 6/14/2020   x1=  39. x2=  46. y1=  1.57 y2=  1.31     
GP: Confirmed Azerbaijan 3/8/2020         46    8191      361       9      150     2   144 6/14/2020 
AAA1     1 Azerbaijan Confirmed cc1=  .944231 cc2=  .566266 lx=  5.01079 if=  40 il=  46 3/8/2020   n=   6 now=    8191 end=        150         9       150 U=    18.20 T=   64.8 p1= -98.2 p2=  5460.7 ed=   107 5/8/2020    x1=  40. x2=  46. y1=  1.36 y2=  1.03 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .944277 cc2=  .566266 lx=  4.91079 if=  40 il=  46 3/8/2020   n=   6 now=    8191 end=        150         9       150 U=    18.20 T=   64.8 p1= -98.2 p2=  5460.7 ed=   107 5/8/2020    x1=  40. x2=  46. y1=  1.36 y2=  1.03 BEST
GP: Confirmed Azerbaijan 3/8/2020         46    8191      150       9      150     2   107 5/8/2020  
AAA1     1 Azerbaijan Confirmed cc1=  .950879 cc2=  .542631 lx=  5.01079 if=  41 il=  46 3/8/2020   n=   5 now=    8191 end=        150         9       150 U=    15.17 T=   61.7 p1= -98.2 p2=  5460.7 ed=    97 4/28/2020   x1=  41. x2=  46. y1=  1.36 y2=  1.03 BEST
