TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      739503.00000       13.51373
TAB:  Brazil Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed Brazil 3/6/2020         44  739503    -          13        0     0   289 11/6/2020 
AAA2     1 Brazil Confirmed cc1=  .900685 cc2=  .567352 lx= 15.51373 if=  36 il=  44 3/6/2020   n=   8 now=  739503 end=    5464228        13         0 U=    44.27 T=  157.4 p1= 638.9 p2=    13.5 ed=   261 10/9/2020   x1=  36. x2=  44. y1=  2.74 y2=  2.56     
GP: Confirmed Brazil 3/6/2020         44  739503    -          13        0     0   261 10/9/2020 
AAA2     1 Brazil Confirmed cc1=  .885488 cc2=  .531935 lx= 15.51373 if=  37 il=  44 3/6/2020   n=   7 now=  739503 end=    5464228        13         0 U=    38.73 T=  143.2 p1= 638.9 p2=    13.5 ed=   234 9/12/2020   x1=  37. x2=  44. y1=  2.74 y2=  2.56     
GP: Confirmed Brazil 3/6/2020         44  739503    -          13        0     0   234 9/12/2020 
AAA2     1 Brazil Confirmed cc1=  .925793 cc2=  .624282 lx= 15.51373 if=  35 il=  45 3/7/2020   n=  10 now=  739503 end=    5464228        13         0 U=    55.33 T=  186.7 p1= 638.9 p2=    13.5 ed=   317 12/4/2020   x1=  35. x2=  45. y1=  2.74 y2=  2.56     
GP: Confirmed Brazil 3/7/2020         45  739503    -          13        0     0   317 12/4/2020 
AAA2     1 Brazil Confirmed cc1=  .928497 cc2=  .612269 lx= 15.51373 if=  36 il=  45 3/7/2020   n=   9 now=  739503 end=    5464228        13         0 U=    49.80 T=  172.5 p1= 638.9 p2=    13.5 ed=   290 11/7/2020   x1=  36. x2=  45. y1=  2.74 y2=  2.56     
GP: Confirmed Brazil 3/7/2020         45  739503    -          13        0     0   290 11/7/2020 
AAA2     1 Brazil Confirmed cc1=  .921333 cc2=  .587999 lx= 15.51373 if=  37 il=  45 3/7/2020   n=   8 now=  739503 end=    5464228        13         0 U=    44.27 T=  158.4 p1= 638.9 p2=    13.5 ed=   262 10/10/2020  x1=  37. x2=  45. y1=  2.74 y2=  2.56     
GP: Confirmed Brazil 3/7/2020         45  739503    -          13        0     0   262 10/10/2020
AAA2     1 Brazil Confirmed cc1=  .896366 cc2=  .542813 lx= 15.51373 if=  38 il=  45 3/7/2020   n=   7 now=  739503 end=    5464228        13         0 U=    51.85 T=  177.8 p1= 638.9 p2=    13.5 ed=   300 11/17/2020  x1=  38. x2=  45. y1=  2.70 y2=  2.56     
GP: Confirmed Brazil 3/7/2020         45  739503    -          13        0     0   300 11/17/2020
AAA2     1 Brazil Confirmed cc1=  .922661 cc2=  .544696 lx= 15.51373 if=  39 il=  45 3/7/2020   n=   6 now=  739503 end=    5464228        13         0 U=    44.44 T=  158.8 p1= 638.9 p2=    13.5 ed=   263 10/11/2020  x1=  39. x2=  45. y1=  2.70 y2=  2.56     
GP: Confirmed Brazil 3/7/2020         45  739503    -          13        0     0   263 10/11/2020
