TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3064.00000        8.02748
TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_Snohomish Confirmed .            92     2216     3064     2454        9     2252     2656     2481
TAB:  US_Washington_Snohomish Confirmed 4/24/2020    93     2243     3064     2459       11     2313     2604     2485
TAB:  US_Washington_Snohomish Confirmed .            94     2297     3064     2503       10     2476     2723     2586
TAB:  US_Washington_Snohomish Confirmed 4/26/2020    95     2311     3064     2547       30     2547     2773     2660
TAB:  US_Washington_Snohomish Confirmed .            96     2332     3064     2547       31     2547     4811     2773
TAB:  US_Washington_Snohomish Confirmed 4/28/2020    97     2365     3064     2547       29     2547     7301     2999
TAB:  US_Washington_Snohomish Confirmed .            98     2389     3064     2547       21     2547     7188     2999
TAB:  US_Washington_Snohomish Confirmed 4/30/2020    99     2433     3064     2660       30     2660     5716     3339
TAB:  US_Washington_Snohomish Confirmed .           100     2453     3064     2660       27     2660     6509     3339
TAB:  US_Washington_Snohomish Confirmed 5/2/2020    101     2493     3064     2660       22     2660    19527     3452
TAB:  US_Washington_Snohomish Confirmed .           102     2509     3064     2773       18     2660    21338     3679
TAB:  US_Washington_Snohomish Confirmed 5/4/2020    103     2537     3064     2773       29     2773    10810     3679
TAB:  US_Washington_Snohomish Confirmed .           104     2549     3064     2773       28     2660     7980     3565
TAB:  US_Washington_Snohomish Confirmed 5/6/2020    105     2584     3064     2773       24     2773    14319     3792
TAB:  US_Washington_Snohomish Confirmed .           106     2627     3064     2773       20     2773    10244     4018
TAB:  US_Washington_Snohomish Confirmed 5/8/2020    107     2634     3064     2773       17     2773    10697     3792
TAB:  US_Washington_Snohomish Confirmed .           108     2664     3064     2886       13     2773    14433     4018
TAB:  US_Washington_Snohomish Confirmed 5/10/2020   109     2681     3064     2886       24     2773     7414     3792
TAB:  US_Washington_Snohomish Confirmed .           110     2690     3064     2866       11     2714     4861     3321
TAB:  US_Washington_Snohomish Confirmed 5/12/2020   111     2711     3064     2894       13     2808     4271     3281
TAB:  US_Washington_Snohomish Confirmed .           112     2720     3064     2882       13     2766     3807     3248
TAB:  US_Washington_Snohomish Confirmed 5/14/2020   113     2739     3064     2886       28     2773     3679     3226
TAB:  US_Washington_Snohomish Confirmed .           114     2756     3064     2886       25     2886     3565     3226
TAB:  US_Washington_Snohomish Confirmed 5/16/2020   115     2773     3064     2886       21     2886     3452     3226
TAB:  US_Washington_Snohomish Confirmed .           116     2784     3064     2886       18     2886     4131     3226
