TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3243.00000        8.08425
TAB:  US_New_York_Monroe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Monroe Confirmed 4/24/2020    93     1199     3243     1497       18     1497     3055     2456
TAB:  US_New_York_Monroe Confirmed .            94     1285     3243     1617       14     1617     5930     2935
TAB:  US_New_York_Monroe Confirmed 4/26/2020    95     1316     3243     1737       11     1617    10243     3294
TAB:  US_New_York_Monroe Confirmed .            96     1331     3243     1737        9     1377     8806     2935
TAB:  US_New_York_Monroe Confirmed 4/28/2020    97     1371     3243     1737       10     1497     7967     3055
TAB:  US_New_York_Monroe Confirmed .            98     1404     3243     1857        8     1497    15275     3414
TAB:  US_New_York_Monroe Confirmed 4/30/2020    99     1441     3243     1857       10     1617    16354     3893
TAB:  US_New_York_Monroe Confirmed .           100     1478     3243     1857        7     1737    10243     3534
TAB:  US_New_York_Monroe Confirmed 5/2/2020    101     1534     3243     1976        8     1857     9884     3774
TAB:  US_New_York_Monroe Confirmed .           102     1566     3243     1976        7     1857     8326     3774
TAB:  US_New_York_Monroe Confirmed 5/4/2020    103     1595     3243     1976        9     1976     6889     4013
TAB:  US_New_York_Monroe Confirmed .           104     1623     3243     2096        8     1737    13119     3654
TAB:  US_New_York_Monroe Confirmed 5/6/2020    105     1655     3243     2245        6     1836     4810     3469
TAB:  US_New_York_Monroe Confirmed .           106     1688     3243     2096        8     1976     4373     3414
TAB:  US_New_York_Monroe Confirmed 5/8/2020    107     1735     3243     2096        7     2096     4972     3055
TAB:  US_New_York_Monroe Confirmed .           108     1775     3243     2216        7     2096     7008     3294
TAB:  US_New_York_Monroe Confirmed 5/10/2020   109     1821     3243     2216        5     2096    10243     3534
TAB:  US_New_York_Monroe Confirmed .           110     1850     3243     2216        6     2216     8925     3654
TAB:  US_New_York_Monroe Confirmed 5/12/2020   111     1890     3243     2336        7     2216     8686     3654
TAB:  US_New_York_Monroe Confirmed .           112     1959     3243     2336        6     2336    21026     3893
TAB:  US_New_York_Monroe Confirmed 5/14/2020   113     2019     3243     2456        5     2336     5810     4253
TAB:  US_New_York_Monroe Confirmed .           114     2091     3243     2575        4     2456    11082     5331
TAB:  US_New_York_Monroe Confirmed 5/16/2020   115     2192     3243     2695        3     2695    23542     7847
TAB:  US_New_York_Monroe Confirmed .           116     2258     3243     2815        2     2815    13598     8446
TAB:  US_New_York_Monroe Confirmed 5/18/2020   117     2303     3243     2935        1     2935    18870     8206
TAB:  US_New_York_Monroe Confirmed .           118     2376     3243     3893        2     2815    23542     9644
TAB:  US_New_York_Monroe Confirmed 5/20/2020   119     2465     3243     4013        2     4013    20068     9165
TAB:  US_New_York_Monroe Confirmed .           120     2530     3243     4253        1     4253    19828    10603
TAB:  US_New_York_Monroe Confirmed 5/22/2020   121     2601     3243     4732        2     4612    17072    10842
TAB:  US_New_York_Monroe Confirmed .           122     2661     3243     3294        1     3294    19828     5331
TAB:  US_New_York_Monroe Confirmed 5/24/2020   123     2697     3243     5211        2     2935    21505     4373
TAB:  US_New_York_Monroe Confirmed .           124     2733     3243     2935        3     2935    21865     5091
TAB:  US_New_York_Monroe Confirmed 5/26/2020   125     2762     3243     2935        4     2815    21266     5091
TAB:  US_New_York_Monroe Confirmed .           126     2791     3243     2935        6     2935    20068     4852
TAB:  US_New_York_Monroe Confirmed 5/28/2020   127     2824     3243     2935        5     2935    21505     5331
TAB:  US_New_York_Monroe Confirmed .           128     2860     3243     3055        7     3055    21865     5331
TAB:  US_New_York_Monroe Confirmed 5/30/2020   129     2909     3243     3174        6     3174    23303     5571
TAB:  US_New_York_Monroe Confirmed .           130     2942     3243     3294        7     3174    22823     5690
TAB:  US_New_York_Monroe Confirmed 6/1/2020    131     2964     3243     3294       10     3294    23782    11082
TAB:  US_New_York_Monroe Confirmed .           132     2989     3243     3294       10     3055    21026     7727
TAB:  US_New_York_Monroe Confirmed 6/3/2020    133     3048     3243     3414        8     3294    14556     8925
TAB:  US_New_York_Monroe Confirmed .           134     3081     3243     3534        6     3414    12400     6889
TAB:  US_New_York_Monroe Confirmed 6/5/2020    135     3117     3243     3534       10     3534    10962     5930
TAB:  US_New_York_Monroe Confirmed .           136     3167     3243     3654        5     3534    16354     6050
TAB:  US_New_York_Monroe Confirmed 6/7/2020    137     3190     3243     3654        7     3534    13358     5571
TAB:  US_New_York_Monroe Confirmed .           138     3203     3243     3654        7     3294    21865     5571
TAB:  US_New_York_Monroe Confirmed 6/9/2020    139     3243     3243     3744        4     3467    10013     4965
AAA2     1 US_New_York_Monroe Confirmed cc1=  .909977 cc2=  .532013 lx=  4.08425 if=  50 il=  56 3/18/2020  n=   6 now=    3243 end=         59        19         0 U=     5.50 T=   56.7 p1= -98.2 p2=  5496.6 ed=    69 3/31/2020   x1=  50. x2=  56. y1=  1.22 y2=   .13     
GP: Confirmed US_New_York_Monroe 3/18/2020        56    3243       59      19        0     0    69 3/31/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .962163 cc2=  .553915 lx=  4.08425 if=  51 il=  56 3/18/2020  n=   5 now=    3243 end=         59        19         0 U=     3.92 T=   56.5 p1= -98.2 p2=  5496.6 ed=    65 3/27/2020   x1=  51. x2=  56. y1=  1.41 y2=   .13     
GP: Confirmed US_New_York_Monroe 3/18/2020        56    3243       59      19        0     0    65 3/27/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .939341 cc2=  .585788 lx=  4.68425 if=  50 il=  57 3/19/2020  n=   7 now=    3243 end=        108        30        59 U=     6.17 T=   58.5 p1= -96.7 p2=  3002.8 ed=    73 4/4/2020    x1=  50. x2=  57. y1=  1.38 y2=   .25     
GP: Confirmed US_New_York_Monroe 3/19/2020        57    3243      108      30       59     1    73 4/4/2020  
AAA2     1 US_New_York_Monroe Confirmed cc1=  .975922 cc2=  .597958 lx=  4.57425 if=  51 il=  57 3/19/2020  n=   6 now=    3243 end=         96        30        59 U=     4.41 T=   57.7 p1= -97.0 p2=  3378.1 ed=    68 3/30/2020   x1=  51. x2=  57. y1=  1.52 y2=   .16     
GP: Confirmed US_New_York_Monroe 3/19/2020        57    3243       96      30       59     1    68 3/30/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .974024 cc2=  .565776 lx=  4.08425 if=  52 il=  57 3/19/2020  n=   5 now=    3243 end=         59        30        59 U=     3.12 T=   55.8 p1= -98.2 p2=  5496.6 ed=    63 3/25/2020   x1=  52. x2=  57. y1=  1.22 y2=  -.38 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .974025 cc2=  .565776 lx=  4.08325 if=  52 il=  57 3/19/2020  n=   5 now=    3243 end=         59        30        59 U=     3.12 T=   55.8 p1= -98.2 p2=  5496.6 ed=    63 3/25/2020   x1=  52. x2=  57. y1=  1.22 y2=  -.38 BEST
GP: Confirmed US_New_York_Monroe 3/19/2020        57    3243       59      30       59     1    63 3/25/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .957890 cc2=  .624557 lx=  4.57425 if=  50 il=  58 3/20/2020  n=   8 now=    3243 end=         96        36        58 U=     5.86 T=   57.9 p1= -97.0 p2=  3378.1 ed=    71 4/2/2020    x1=  50. x2=  58. y1=  1.36 y2=  -.01     
GP: Confirmed US_New_York_Monroe 3/20/2020        58    3243       96      36       58     2    71 4/2/2020  
AAA2     1 US_New_York_Monroe Confirmed cc1=  .983805 cc2=  .630252 lx=  4.36425 if=  51 il=  58 3/20/2020  n=   7 now=    3243 end=         78        36        58 U=     4.07 T=   57.0 p1= -97.6 p2=  4157.7 ed=    66 3/28/2020   x1=  51. x2=  58. y1=  1.47 y2=  -.25     
GP: Confirmed US_New_York_Monroe 3/20/2020        58    3243       78      36       58     2    66 3/28/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .983846 cc2=  .605881 lx=  4.08425 if=  52 il=  58 3/20/2020  n=   6 now=    3243 end=         59        36        58 U=     3.14 T=   55.8 p1= -98.2 p2=  5496.6 ed=    63 3/25/2020   x1=  52. x2=  58. y1=  1.22 y2=  -.69 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .983846 cc2=  .605881 lx=  4.08425 if=  52 il=  58 3/20/2020  n=   6 now=    3243 end=         59        36        58 U=     3.14 T=   55.8 p1= -98.2 p2=  5496.6 ed=    63 3/25/2020   x1=  52. x2=  58. y1=  1.22 y2=  -.69 BEST
GP: Confirmed US_New_York_Monroe 3/20/2020        58    3243       59      36       58     2    63 3/25/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .983455 cc2=  .575207 lx=  4.08425 if=  53 il=  58 3/20/2020  n=   5 now=    3243 end=         59        36        58 U=     2.61 T=   56.2 p1= -98.2 p2=  5496.6 ed=    62 3/24/2020   x1=  53. x2=  58. y1=  1.22 y2=  -.69 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .984713 cc2=  .575207 lx=  3.98425 if=  53 il=  58 3/20/2020  n=   5 now=    3243 end=         59        36        58 U=     2.61 T=   56.2 p1= -98.2 p2=  5496.6 ed=    62 3/24/2020   x1=  53. x2=  58. y1=  1.22 y2=  -.69 BEST
GP: Confirmed US_New_York_Monroe 3/20/2020        58    3243       59      36       58     2    62 3/24/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .969455 cc2=  .653227 lx=  4.71425 if=  50 il=  59 3/21/2020  n=   9 now=    3243 end=        111        46        65 U=     5.95 T=   58.3 p1= -96.6 p2=  2921.6 ed=    72 4/3/2020    x1=  50. x2=  59. y1=  1.39 y2=  -.12     
GP: Confirmed US_New_York_Monroe 3/21/2020        59    3243      111      46       65     1    72 4/3/2020  
AAA2     1 US_New_York_Monroe Confirmed cc1=  .988515 cc2=  .655182 lx=  4.51425 if=  51 il=  59 3/21/2020  n=   8 now=    3243 end=         91        46        65 U=     4.24 T=   57.4 p1= -97.2 p2=  3563.7 ed=    67 3/29/2020   x1=  51. x2=  59. y1=  1.51 y2=  -.38     
GP: Confirmed US_New_York_Monroe 3/21/2020        59    3243       91      46       65     1    67 3/29/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .988125 cc2=  .634572 lx=  4.34425 if=  52 il=  59 3/21/2020  n=   7 now=    3243 end=         77        46        65 U=     3.58 T=   56.6 p1= -97.6 p2=  4211.7 ed=    65 3/27/2020   x1=  52. x2=  59. y1=  1.30 y2=  -.66     
GP: Confirmed US_New_York_Monroe 3/21/2020        59    3243       77      46       65     1    65 3/27/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .987470 cc2=  .609505 lx=  4.22425 if=  53 il=  59 3/21/2020  n=   6 now=    3243 end=         68        46        65 U=     2.74 T=   56.5 p1= -97.9 p2=  4769.1 ed=    62 3/24/2020   x1=  53. x2=  59. y1=  1.26 y2=  -.93 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .987470 cc2=  .609505 lx=  4.22125 if=  53 il=  59 3/21/2020  n=   6 now=    3243 end=         68        46        65 U=     2.74 T=   56.5 p1= -97.9 p2=  4769.1 ed=    62 3/24/2020   x1=  53. x2=  59. y1=  1.26 y2=  -.93 BEST
GP: Confirmed US_New_York_Monroe 3/21/2020        59    3243       68      46       65     1    62 3/24/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .994321 cc2=  .586073 lx=  7.03425 if=  54 il=  59 3/21/2020  n=   5 now=    3243 end=       1134        46        65 U=    13.55 T=   74.8 p1= -65.0 p2=   286.0 ed=   106 5/7/2020    x1=  54. x2=  59. y1=  1.53 y2=  1.16     
