TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6667.00000        8.80493
TAB:  US_Ohio_Franklin Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .997499 cc2=  .589250 lx= 10.80493 if=  54 il=  59 3/21/2020  n=   5 now=    6667 end=      49262        21       615 U=    22.35 T=  104.8 p1= 638.9 p2=    13.5 ed=   157 6/27/2020   x1=  54. x2=  59. y1=  2.27 y2=  2.05     
GP: Confirmed US_Ohio_Franklin 3/21/2020        59    6667    -          21      615     1   157 6/27/2020 
AAA1     1 US_Ohio_Franklin Confirmed cc1=  .988371 cc2=  .655037 lx= 10.76493 if=  52 il=  60 3/22/2020  n=   8 now=    6667 end=      47331        34     47414 U=    20.16 T=   99.9 p1= 609.9 p2=    14.1 ed=   147 6/17/2020   x1=  52. x2=  60. y1=  2.38 y2=  1.98 BEST
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .988371 cc2=  .655037 lx= 10.76593 if=  52 il=  60 3/22/2020  n=   8 now=    6667 end=      47331        34     47414 U=    20.16 T=   99.9 p1= 609.9 p2=    14.1 ed=   147 6/17/2020   x1=  52. x2=  60. y1=  2.38 y2=  1.98 BEST
GP: Confirmed US_Ohio_Franklin 3/22/2020        60    6667    -          34    -         1   147 6/17/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .985703 cc2=  .632150 lx= 10.80493 if=  53 il=  60 3/22/2020  n=   7 now=    6667 end=      49262        34     47414 U=    24.32 T=  108.3 p1= 638.9 p2=    13.5 ed=   165 7/5/2020    x1=  53. x2=  60. y1=  2.27 y2=  1.98     
GP: Confirmed US_Ohio_Franklin 3/22/2020        60    6667    -          34    -         1   165 7/5/2020  
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .996789 cc2=  .618824 lx= 10.80493 if=  54 il=  60 3/22/2020  n=   6 now=    6667 end=      49262        34     47414 U=    20.84 T=  101.4 p1= 638.9 p2=    13.5 ed=   150 6/20/2020   x1=  54. x2=  60. y1=  2.27 y2=  1.98     
GP: Confirmed US_Ohio_Franklin 3/22/2020        60    6667    -          34    -         1   150 6/20/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .996873 cc2=  .588625 lx= 10.80493 if=  55 il=  60 3/22/2020  n=   5 now=    6667 end=      49262        34     47414 U=    19.40 T=   98.5 p1= 638.9 p2=    13.5 ed=   144 6/14/2020   x1=  55. x2=  60. y1=  2.24 y2=  1.98     
GP: Confirmed US_Ohio_Franklin 3/22/2020        60    6667    -          34    -         1   144 6/14/2020 
