TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       15271.00000        9.63371
TAB:  US_Massachusetts_Essex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .946700 cc2=  .538451 lx=  5.63371 if=  50 il=  55 3/17/2020  n=   5 now=   15271 end=        279         8         0 U=    15.18 T=   74.3 p1= -98.2 p2=  5473.5 ed=   110 5/11/2020   x1=  50. x2=  55. y1=  1.60 y2=  1.27     
GP: Confirmed US_Massachusetts_Essex 3/17/2020        55   15271      279       8        0     0   110 5/11/2020 
AAA1     1 US_Massachusetts_Essex Confirmed cc1=  .977448 cc2=  .623895 lx=  5.63371 if=  49 il=  56 3/18/2020  n=   7 now=   15271 end=        279        14       279 U=    11.08 T=   68.1 p1= -98.2 p2=  5473.5 ed=    94 4/25/2020   x1=  49. x2=  56. y1=  1.73 y2=  1.10 BEST
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .977454 cc2=  .623895 lx=  5.53371 if=  49 il=  56 3/18/2020  n=   7 now=   15271 end=        279        14       279 U=    11.08 T=   68.1 p1= -98.2 p2=  5473.5 ed=    94 4/25/2020   x1=  49. x2=  56. y1=  1.73 y2=  1.10 BEST
GP: Confirmed US_Massachusetts_Essex 3/18/2020        56   15271      279      14      279     2    94 4/25/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .966022 cc2=  .588057 lx=  5.72371 if=  50 il=  56 3/18/2020  n=   6 now=   15271 end=        306        14       279 U=    12.27 T=   69.8 p1= -98.0 p2=  4990.5 ed=    98 4/29/2020   x1=  50. x2=  56. y1=  1.62 y2=  1.13     
GP: Confirmed US_Massachusetts_Essex 3/18/2020        56   15271      306      14      279     2    98 4/29/2020 
AAA1     1 US_Massachusetts_Essex Confirmed cc1=  .954477 cc2=  .546229 lx=  5.63371 if=  51 il=  56 3/18/2020  n=   5 now=   15271 end=        279        14       279 U=     9.99 T=   67.0 p1= -98.2 p2=  5473.5 ed=    90 4/21/2020   x1=  51. x2=  56. y1=  1.60 y2=  1.10 BEST
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .954605 cc2=  .546229 lx=  5.53371 if=  51 il=  56 3/18/2020  n=   5 now=   15271 end=        279        14       279 U=     9.99 T=   67.0 p1= -98.2 p2=  5473.5 ed=    90 4/21/2020   x1=  51. x2=  56. y1=  1.60 y2=  1.10 BEST
GP: Confirmed US_Massachusetts_Essex 3/18/2020        56   15271      279      14      279     2    90 4/21/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .983898 cc2=  .650564 lx=  6.69371 if=  49 il=  57 3/19/2020  n=   8 now=   15271 end=        807        19       282 U=    13.80 T=   75.2 p1= -94.7 p2=  1892.3 ed=   107 5/8/2020    x1=  49. x2=  57. y1=  1.90 y2=  1.32     
GP: Confirmed US_Massachusetts_Essex 3/19/2020        57   15271      807      19      282     1   107 5/8/2020  
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .977063 cc2=  .623510 lx=  7.45371 if=  50 il=  57 3/19/2020  n=   7 now=   15271 end=       1726        19       282 U=    17.29 T=   83.0 p1= -88.7 p2=   884.8 ed=   123 5/24/2020   x1=  50. x2=  57. y1=  1.91 y2=  1.51     
GP: Confirmed US_Massachusetts_Essex 3/19/2020        57   15271     1726      19      282     1   123 5/24/2020 
AAA1     1 US_Massachusetts_Essex Confirmed cc1=  .971490 cc2=  .593526 lx=  5.63371 if=  51 il=  57 3/19/2020  n=   6 now=   15271 end=        279        19       282 U=     9.87 T=   66.8 p1= -98.2 p2=  5473.5 ed=    90 4/21/2020   x1=  51. x2=  57. y1=  1.60 y2=   .99 BEST
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .971510 cc2=  .593526 lx=  5.53371 if=  51 il=  57 3/19/2020  n=   6 now=   15271 end=        279        19       282 U=     9.87 T=   66.8 p1= -98.2 p2=  5473.5 ed=    90 4/21/2020   x1=  51. x2=  57. y1=  1.60 y2=   .99 BEST
GP: Confirmed US_Massachusetts_Essex 3/19/2020        57   15271      279      19      282     1    90 4/21/2020 
