TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      142759.00000       11.86891
TAB:  Chile Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Chile Confirmed .           120    57581   142759   118671        2   118671   909811   187236
TAB:  Chile Confirmed 5/22/2020   121    61857   142759   139768        2   129219   883440   197785
TAB:  Chile Confirmed .           122    65393   142759   145042        2   145042   857068   224156
TAB:  Chile Confirmed 5/24/2020   123    69102   142759   118671        1   118671   830697   213607
TAB:  Chile Confirmed .           124    73997   142759   208333        2   171413  1025845   287447
TAB:  Chile Confirmed 5/26/2020   125    77961   142759   203059        2   187236   830697   292721
TAB:  Chile Confirmed .           126    82289   142759   239979        3   203059   983651   319093
TAB:  Chile Confirmed 5/28/2020   127    86943   142759   276899        2   218882   915085   350738
TAB:  Chile Confirmed .           128    90638   142759   245253        2   155590  1046942   313819
TAB:  Chile Confirmed 5/30/2020   129    94858   142759   192510        2   166139   973102   308544
TAB:  Chile Confirmed .           130    99688   142759   292721        3   213607  1004748   350738
TAB:  Chile Confirmed 6/1/2020    131   105158   142759   334916        2   287447  1015296   382384
TAB:  Chile Confirmed .           132   108686   142759   313819        4   287447   994199   440401
TAB:  Chile Confirmed 6/3/2020    133   113628   142759   319093        3   224156  1004748   445675
TAB:  Chile Confirmed .           134   118292   142759   329641        2   208333   994199   419304
TAB:  Chile Confirmed 6/5/2020    135   122499   142759   319093        3   208333   899263   403481
TAB:  Chile Confirmed .           136   127745   142759   382384        3   276899  1004748   408755
TAB:  Chile Confirmed 6/7/2020    137   134150   142759   356013        2   345464  1015296   530064
TAB:  Chile Confirmed .           138   138846   142759    -            3   366561  1046942   524789
TAB:  Chile Confirmed 6/9/2020    139   142759   142759   398207        2   224156   983651   535338
AAA2     1 Chile Confirmed cc1=  .921303 cc2=  .513055 lx=  7.86891 if=  41 il=  46 3/8/2020   n=   5 now=  142759 end=       2614         8         0 U=    16.29 T=   74.6 p1= -98.2 p2=  5461.3 ed=   113 5/14/2020   x1=  41. x2=  46. y1=  2.06 y2=  1.76     
GP: Confirmed Chile 3/8/2020         46  142759     2614       8        0     0   113 5/14/2020 
AAA2     1 Chile Confirmed cc1=  .931209 cc2=  .553244 lx=  7.86891 if=  41 il=  47 3/9/2020   n=   6 now=  142759 end=       2614         8         0 U=    19.55 T=   81.3 p1= -98.2 p2=  5461.3 ed=   127 5/28/2020   x1=  41. x2=  47. y1=  2.06 y2=  1.76     
GP: Confirmed Chile 3/9/2020         47  142759     2614       8        0     0   127 5/28/2020 
