TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       13464.00000        9.50777
TAB:  Nigeria Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Nigeria Confirmed .            56        8    13464        0        0        0        0        0
TAB:  Nigeria Confirmed 3/19/2020    57        8    13464        0        0        0        0        0
TAB:  Nigeria Confirmed .            58       12    13464      248        1      248      248      248
TAB:  Nigeria Confirmed 3/21/2020    59       22    13464     2238        1     2238     2238     2238
TAB:  Nigeria Confirmed .            60       30    13464      248        1      248     1243     1243
TAB:  Nigeria Confirmed 3/23/2020    61       40    13464      248        1      248    41037      746
TAB:  Nigeria Confirmed .            62       44    13464      248        4      248      746      746
TAB:  Nigeria Confirmed 3/25/2020    63       51    13464      248        6      248     1243     1243
TAB:  Nigeria Confirmed .            64       65    13464      248        8      248     2735     2735
TAB:  Nigeria Confirmed 3/27/2020    65       70    13464      248        9      248     3233      746
TAB:  Nigeria Confirmed .            66       89    13464      248        7      248     9202     1243
TAB:  Nigeria Confirmed 3/29/2020    67      111    13464      248        7      248    65412     4725
TAB:  Nigeria Confirmed .            68      131    13464      248        4      248    40043     3730
TAB:  Nigeria Confirmed 3/31/2020    69      135    13464      248        7      248    28602     3730
TAB:  Nigeria Confirmed .            70      174    13464      746        8      248    23130     4725
TAB:  Nigeria Confirmed 4/2/2020     71      184    13464      746       10      248    62924     3233
TAB:  Nigeria Confirmed .            72      210    13464      746       11      248    18653     2735
TAB:  Nigeria Confirmed 4/4/2020     73      214    13464      746       11      248    35566     1741
TAB:  Nigeria Confirmed .            74      232    13464      746       13      248    65412     2238
TAB:  Nigeria Confirmed 4/6/2020     75      238    13464      248       14      248    13181     2238
TAB:  Nigeria Confirmed .            76      254    13464      248       20      248    15669     1741
TAB:  Nigeria Confirmed 4/8/2020     77      276    13464      248       17      248    18653     1741
TAB:  Nigeria Confirmed .            78      288    13464      248       17      248    20643     1741
TAB:  Nigeria Confirmed 4/10/2020    79      305    13464      248       18      248    21140     1741
TAB:  Nigeria Confirmed .            80      318    13464      248       19      248    20643     2238
TAB:  Nigeria Confirmed 4/12/2020    81      323    13464      248       23      248    19151     2238
TAB:  Nigeria Confirmed .            82      343    13464      461       20      461     6333      964
TAB:  Nigeria Confirmed 4/14/2020    83      373    13464      611       25      611     7948     2323
TAB:  Nigeria Confirmed .            84      407    13464      746       27      746    11192     2238
TAB:  Nigeria Confirmed 4/16/2020    85      442    13464      746       24      746     2735     1741
TAB:  Nigeria Confirmed .            86      493    13464      746       20      746     4228     1741
TAB:  Nigeria Confirmed 4/18/2020    87      542    13464     1243       13      746    26115     2238
TAB:  Nigeria Confirmed .            88      627    13464     1243       16     1243     2735     2238
TAB:  Nigeria Confirmed 4/20/2020    89      665    13464     1243       10     1243     3233     2238
TAB:  Nigeria Confirmed .            90      665    13464     1243        9      746     9202     2735
TAB:  Nigeria Confirmed 4/22/2020    91      873    13464     2238        5     1741     6217     3730
TAB:  Nigeria Confirmed .            92      981    13464     2735        5     2238    10197     4228
TAB:  Nigeria Confirmed 4/24/2020    93     1095    13464     3233        5     3233     7212     5223
TAB:  Nigeria Confirmed .            94     1182    13464     3730        3     1741    38053     5720
TAB:  Nigeria Confirmed 4/26/2020    95     1273    13464     4725        3     1741    63422     6715
TAB:  Nigeria Confirmed .            96     1337    13464     1741        4     1741    87298     7212
TAB:  Nigeria Confirmed 4/28/2020    97     1532    13464     5720        4     3730    89786     8705
TAB:  Nigeria Confirmed .            98     1728    13464     6715        2     6715    61432    10694
TAB:  Nigeria Confirmed 4/30/2020    99     1932    13464     8705        2     8207    80832    13181
TAB:  Nigeria Confirmed .           100     2170    13464    10694        2    10694    90780    16663
TAB:  Nigeria Confirmed 5/2/2020    101     2388    13464    13181        2    10197    32581    17161
TAB:  Nigeria Confirmed .           102     2558    13464     4725        1     4725    97745    20643
TAB:  Nigeria Confirmed 5/4/2020    103     2802    13464     6217        2     5720    95755    22633
TAB:  Nigeria Confirmed .           104     2950    13464     5223        2     4228    83319    24125
TAB:  Nigeria Confirmed 5/6/2020    105     3145    13464     5223        3     4725    96750    28104
TAB:  Nigeria Confirmed .           106     3526    13464    26612        2     8705    72873    31089
TAB:  Nigeria Confirmed 5/8/2020    107     3912    13464    31089        2    18653    75858    40540
TAB:  Nigeria Confirmed .           108     4151    13464    36063        3    22135    85806    45514
TAB:  Nigeria Confirmed 5/10/2020   109     4399    13464    -            2     6217    96750    47504
TAB:  Nigeria Confirmed .           110     4641    13464    -            2     5720    89786    48001
TAB:  Nigeria Confirmed 5/12/2020   111     4787    13464     5720        3     5720    98739    48001
TAB:  Nigeria Confirmed .           112     4971    13464    12187        4     5720    93765    49494
TAB:  Nigeria Confirmed 5/14/2020   113     5162    13464     6217        4     6217    93765    50489
TAB:  Nigeria Confirmed .           114     5450    13464    10197        3     6715    93765    49494
TAB:  Nigeria Confirmed 5/16/2020   115     5621    13464     7710        3     7212    91775    48996
TAB:  Nigeria Confirmed .           116     5959    13464    10197        4     8207    90780    49991
TAB:  Nigeria Confirmed 5/18/2020   117     6175    13464     9202        3     9202    98739    49991
TAB:  Nigeria Confirmed .           118     6401    13464    10694        6     9699    95755    33079
TAB:  Nigeria Confirmed 5/20/2020   119     6677    13464    11192        6    10694    96750    44519
TAB:  Nigeria Confirmed .           120     7016    13464    12187       10    11689    98739    49991
TAB:  Nigeria Confirmed 5/22/2020   121     7261    13464    13181        6    12187    88293    48499
TAB:  Nigeria Confirmed .           122     7526    13464    13679        6    13181    96750    47504
TAB:  Nigeria Confirmed 5/24/2020   123     7839    13464    14674        5    13679    86304    47007
TAB:  Nigeria Confirmed .           124     8068    13464    15171        6    12187    92770    42530
TAB:  Nigeria Confirmed 5/26/2020   125     8344    13464    14674        4    13679    75858    37555
TAB:  Nigeria Confirmed .           126     8733    13464    16166        5    15171    94760    44519
TAB:  Nigeria Confirmed 5/28/2020   127     8915    13464    16166        4    15669    94760    42032
TAB:  Nigeria Confirmed .           128     9302    13464    16663        5    16663    93765    43525
TAB:  Nigeria Confirmed 5/30/2020   129     9855    13464    18156        7    18156    94760    44022
TAB:  Nigeria Confirmed .           130    10162    13464    19151        6    19151    83319    44519
TAB:  Nigeria Confirmed 6/1/2020    131    10578    13464    20643        6    20145    97745    44022
TAB:  Nigeria Confirmed .           132    10819    13464    21140        6    12684    89786    43525
TAB:  Nigeria Confirmed 6/3/2020    133    11166    13464    22135        5    13181    98739    43525
TAB:  Nigeria Confirmed .           134    11516    13464    22633        8    14674    96750    45514
TAB:  Nigeria Confirmed 6/5/2020    135    11844    13464    23627        6    15669    87298    43525
TAB:  Nigeria Confirmed .           136    12233    13464    23627        4    17658    80832    46012
TAB:  Nigeria Confirmed 6/7/2020    137    12486    13464    24125        5    17658    97745    45017
TAB:  Nigeria Confirmed .           138    12801    13464    24622        6    17161    95755    44022
TAB:  Nigeria Confirmed 6/9/2020    139    13464    13464    25617        6    25617    89288    46509
AAA2     1 Nigeria Confirmed cc1=  .784465 cc2=  .517203 lx= 11.01777 if=  37 il=  50 3/12/2020  n=  13 now=   13464 end=      60947         2         0 U=   200.07 T=  517.1 p1= 352.7 p2=    22.1 ed=   999 undefine    x1=  37. x2=  50. y1=  2.40 y2=  2.33     
GP: Confirmed Nigeria 3/12/2020        50   13464    -           2        0     0   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .801784 cc2=  .524434 lx= 11.17777 if=  38 il=  50 3/12/2020  n=  12 now=   13464 end=      71523         2         0 U=   187.45 T=  490.5 p1= 431.2 p2=    18.8 ed=   999 undefine    x1=  38. x2=  50. y1=  2.41 y2=  2.35     
GP: Confirmed Nigeria 3/12/2020        50   13464    -           2        0     0   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .819346 cc2=  .530671 lx=  9.93777 if=  39 il=  50 3/12/2020  n=  11 now=   13464 end=      20697         2         0 U=   152.14 T=  388.4 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  39. x2=  50. y1=  2.30 y2=  2.22     
GP: Confirmed Nigeria 3/12/2020        50   13464    20697       2        0     0   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .836660 cc2=  .535149 lx= 10.49777 if=  40 il=  50 3/12/2020  n=  10 now=   13464 end=      36234         2         0 U=   146.39 T=  384.2 p1= 169.1 p2=    37.2 ed=   729 1/20/2022   x1=  40. x2=  50. y1=  2.35 y2=  2.28     
GP: Confirmed Nigeria 3/12/2020        50   13464    36234       2        0     0   729 1/20/2022 
AAA2     1 Nigeria Confirmed cc1=  .852803 cc2=  .536575 lx= 10.62777 if=  41 il=  50 3/12/2020  n=   9 now=   13464 end=      41265         2         0 U=   133.44 T=  356.4 p1= 206.5 p2=    32.6 ed=   671 11/23/2021  x1=  41. x2=  50. y1=  2.36 y2=  2.30     
GP: Confirmed Nigeria 3/12/2020        50   13464    -           2        0     0   671 11/23/2021
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .532692 lx= 10.92777 if=  42 il=  50 3/12/2020  n=   8 now=   13464 end=      55702         2         0 U=   122.08 T=  333.9 p1= 313.7 p2=    24.2 ed=   622 10/5/2021   x1=  42. x2=  50. y1=  2.39 y2=  2.33     
GP: Confirmed Nigeria 3/12/2020        50   13464    -           2        0     0   622 10/5/2021 
AAA2     1 Nigeria Confirmed cc1=  .872872 cc2=  .519318 lx= 11.18777 if=  43 il=  50 3/12/2020  n=   7 now=   13464 end=      72241         2         0 U=   109.45 T=  307.3 p1= 436.5 p2=    18.6 ed=   565 8/9/2021    x1=  43. x2=  50. y1=  2.41 y2=  2.35     
GP: Confirmed Nigeria 3/12/2020        50   13464    -           2        0     0   565 8/9/2021  
AAA1     1 Nigeria Confirmed cc1=  .818317 cc2=  .560118 lx=  9.78777 if=  37 il=  51 3/13/2020  n=  14 now=   13464 end=      17814         2     17778 U=   190.61 T=  471.8 p1=  32.3 p2=    75.6 ed=   999 undefine    x1=  37. x2=  51. y1=  2.28 y2=  2.21 BEST
AAA2     1 Nigeria Confirmed cc1=  .818317 cc2=  .560118 lx=  9.71677 if=  37 il=  51 3/13/2020  n=  14 now=   13464 end=      17814         2     17778 U=   190.61 T=  471.8 p1=  32.3 p2=    75.6 ed=   999 undefine    x1=  37. x2=  51. y1=  2.28 y2=  2.21 BEST
GP: Confirmed Nigeria 3/13/2020        51   13464    17814       2    17778     1   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .832050 cc2=  .564789 lx= 10.95777 if=  38 il=  51 3/13/2020  n=  13 now=   13464 end=      57398         2     17778 U=   198.94 T=  514.3 p1= 326.3 p2=    23.5 ed=   999 undefine    x1=  38. x2=  51. y1=  2.39 y2=  2.33     
GP: Confirmed Nigeria 3/13/2020        51   13464    -           2    17778     1   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .845154 cc2=  .567804 lx= 10.59777 if=  39 il=  51 3/13/2020  n=  12 now=   13464 end=      40045         2     17778 U=   177.41 T=  457.8 p1= 197.4 p2=    33.6 ed=   999 undefine    x1=  39. x2=  51. y1=  2.36 y2=  2.29     
GP: Confirmed Nigeria 3/13/2020        51   13464    40045       2    17778     1   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .856893 cc2=  .568218 lx=  9.93777 if=  40 il=  51 3/13/2020  n=  11 now=   13464 end=      20697         2     17778 U=   152.14 T=  389.4 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  40. x2=  51. y1=  2.30 y2=  2.22     
GP: Confirmed Nigeria 3/13/2020        51   13464    20697       2    17778     1   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .564514 lx= 11.40777 if=  41 il=  51 3/13/2020  n=  10 now=   13464 end=      90018         2     17778 U=   159.53 T=  429.3 p1= 568.6 p2=    15.0 ed=   999 undefine    x1=  41. x2=  51. y1=  2.43 y2=  2.37     
GP: Confirmed Nigeria 3/13/2020        51   13464    -           2    17778     1   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .870388 cc2=  .554161 lx= 10.84777 if=  42 il=  51 3/13/2020  n=   9 now=   13464 end=      51419         2     17778 U=   136.30 T=  366.9 p1= 281.9 p2=    26.2 ed=   688 12/10/2021  x1=  42. x2=  51. y1=  2.38 y2=  2.32     
GP: Confirmed Nigeria 3/13/2020        51   13464    -           2    17778     1   688 12/10/2021
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .532692 lx= 10.70777 if=  43 il=  51 3/13/2020  n=   8 now=   13464 end=      44702         2     17778 U=   119.54 T=  326.4 p1= 232.0 p2=    30.1 ed=   608 9/21/2021   x1=  43. x2=  51. y1=  2.37 y2=  2.30     
GP: Confirmed Nigeria 3/13/2020        51   13464    -           2    17778     1   608 9/21/2021 
AAA2     1 Nigeria Confirmed cc1=  .840168 cc2=  .590168 lx= 11.06777 if=  37 il=  52 3/14/2020  n=  15 now=   13464 end=      64072         2     51464 U=   231.93 T=  594.6 p1= 375.9 p2=    21.0 ed=   999 undefine    x1=  37. x2=  52. y1=  2.40 y2=  2.34     
GP: Confirmed Nigeria 3/14/2020        52   13464    -           2    -         2   999 undefine  
AAA1     1 Nigeria Confirmed cc1=  .850420 cc2=  .592221 lx= 10.84777 if=  38 il=  52 3/14/2020  n=  14 now=   13464 end=      51419         2     51464 U=   212.02 T=  543.5 p1= 281.9 p2=    26.2 ed=   999 undefine    x1=  38. x2=  52. y1=  2.38 y2=  2.32 BEST
AAA2     1 Nigeria Confirmed cc1=  .850420 cc2=  .592221 lx= 10.87177 if=  38 il=  52 3/14/2020  n=  14 now=   13464 end=      51419         2     51464 U=   212.02 T=  543.5 p1= 281.9 p2=    26.2 ed=   999 undefine    x1=  38. x2=  52. y1=  2.38 y2=  2.32 BEST
GP: Confirmed Nigeria 3/14/2020        52   13464    -           2    -         2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .859338 cc2=  .592077 lx= 11.49777 if=  39 il=  52 3/14/2020  n=  13 now=   13464 end=      98496         2     51464 U=   209.08 T=  549.6 p1= 631.6 p2=    13.7 ed=   999 undefine    x1=  39. x2=  52. y1=  2.44 y2=  2.38     
GP: Confirmed Nigeria 3/14/2020        52   13464    -           2    -         2   999 undefine  
AAA1     1 Nigeria Confirmed cc1=  .866025 cc2=  .588675 lx= 10.84777 if=  40 il=  52 3/14/2020  n=  12 now=   13464 end=      51419         2     51464 U=   181.74 T=  473.3 p1= 281.9 p2=    26.2 ed=   999 undefine    x1=  40. x2=  52. y1=  2.38 y2=  2.32 BEST
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .588675 lx= 10.92977 if=  40 il=  52 3/14/2020  n=  12 now=   13464 end=      51419         2     51464 U=   181.74 T=  473.3 p1= 281.9 p2=    26.2 ed=   999 undefine    x1=  40. x2=  52. y1=  2.38 y2=  2.32 BEST
GP: Confirmed Nigeria 3/14/2020        52   13464    -           2    -         2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .869048 cc2=  .580373 lx=  9.93777 if=  41 il=  52 3/14/2020  n=  11 now=   13464 end=      20697         2     51464 U=   152.14 T=  390.4 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  41. x2=  52. y1=  2.30 y2=  2.22     
GP: Confirmed Nigeria 3/14/2020        52   13464    20697       2    -         2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .564514 lx= 10.62777 if=  42 il=  52 3/14/2020  n=  10 now=   13464 end=      41265         2     51464 U=   148.27 T=  392.4 p1= 206.5 p2=    32.6 ed=   999 undefine    x1=  42. x2=  52. y1=  2.36 y2=  2.30     
GP: Confirmed Nigeria 3/14/2020        52   13464    -           2    -         2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .852803 cc2=  .536575 lx= 10.70777 if=  43 il=  52 3/14/2020  n=   9 now=   13464 end=      44702         2     51464 U=   134.48 T=  361.9 p1= 232.0 p2=    30.1 ed=   679 12/1/2021   x1=  43. x2=  52. y1=  2.37 y2=  2.30     
GP: Confirmed Nigeria 3/14/2020        52   13464    -           2    -         2   679 12/1/2021 
AAA2     1 Nigeria Confirmed cc1=  .853913 cc2=  .611377 lx= 11.17777 if=  37 il=  53 3/15/2020  n=  16 now=   13464 end=      71523         2     20930 U=   249.93 T=  640.3 p1= 431.2 p2=    18.8 ed=   999 undefine    x1=  37. x2=  53. y1=  2.41 y2=  2.35     
GP: Confirmed Nigeria 3/15/2020        53   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .860916 cc2=  .610916 lx= 10.95777 if=  38 il=  53 3/15/2020  n=  15 now=   13464 end=      57398         2     20930 U=   229.55 T=  587.6 p1= 326.3 p2=    23.5 ed=   999 undefine    x1=  38. x2=  53. y1=  2.39 y2=  2.33     
GP: Confirmed Nigeria 3/15/2020        53   13464    -           2    20930     2   999 undefine  
AAA1     1 Nigeria Confirmed cc1=  .866025 cc2=  .607827 lx=  9.93777 if=  39 il=  53 3/15/2020  n=  14 now=   13464 end=      20697         2     20930 U=   193.64 T=  483.7 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  39. x2=  53. y1=  2.30 y2=  2.22 BEST
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .607827 lx=  9.86277 if=  39 il=  53 3/15/2020  n=  14 now=   13464 end=      20697         2     20930 U=   193.64 T=  483.7 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  39. x2=  53. y1=  2.30 y2=  2.22 BEST
GP: Confirmed Nigeria 3/15/2020        53   13464    20697       2    20930     2   999 undefine  
AAA1     1 Nigeria Confirmed cc1=  .868243 cc2=  .600982 lx=  9.93777 if=  40 il=  53 3/15/2020  n=  13 now=   13464 end=      20697         2     20930 U=   179.81 T=  452.9 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  40. x2=  53. y1=  2.30 y2=  2.22 BEST
AAA2     1 Nigeria Confirmed cc1=  .868243 cc2=  .600982 lx=  9.98577 if=  40 il=  53 3/15/2020  n=  13 now=   13464 end=      20697         2     20930 U=   179.81 T=  452.9 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  40. x2=  53. y1=  2.30 y2=  2.22 BEST
GP: Confirmed Nigeria 3/15/2020        53   13464    20697       2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .588675 lx= 11.49777 if=  41 il=  53 3/15/2020  n=  12 now=   13464 end=      98496         2     20930 U=   192.99 T=  512.3 p1= 631.6 p2=    13.7 ed=   999 undefine    x1=  41. x2=  53. y1=  2.44 y2=  2.38     
GP: Confirmed Nigeria 3/15/2020        53   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .856893 cc2=  .568218 lx= 11.49777 if=  42 il=  53 3/15/2020  n=  11 now=   13464 end=      98496         2     20930 U=   176.91 T=  474.0 p1= 631.6 p2=    13.7 ed=   999 undefine    x1=  42. x2=  53. y1=  2.44 y2=  2.38     
GP: Confirmed Nigeria 3/15/2020        53   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .836660 cc2=  .535149 lx= 11.18777 if=  43 il=  53 3/15/2020  n=  10 now=   13464 end=      72241         2     20930 U=   156.35 T=  420.6 p1= 436.5 p2=    18.6 ed=   999 undefine    x1=  43. x2=  53. y1=  2.41 y2=  2.35     
GP: Confirmed Nigeria 3/15/2020        53   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .861994 cc2=  .626292 lx= 11.06777 if=  37 il=  54 3/16/2020  n=  17 now=   13464 end=      64072         2     20930 U=   262.86 T=  668.9 p1= 375.9 p2=    21.0 ed=   999 undefine    x1=  37. x2=  54. y1=  2.40 y2=  2.34     
GP: Confirmed Nigeria 3/16/2020        54   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .623490 lx= 10.95777 if=  38 il=  54 3/16/2020  n=  16 now=   13464 end=      57398         2     20930 U=   244.85 T=  624.2 p1= 326.3 p2=    23.5 ed=   999 undefine    x1=  38. x2=  54. y1=  2.39 y2=  2.33     
GP: Confirmed Nigeria 3/16/2020        54   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .867722 cc2=  .617722 lx= 10.30777 if=  39 il=  54 3/16/2020  n=  15 now=   13464 end=      29964         2     20930 U=   215.48 T=  541.7 p1= 122.5 p2=    44.9 ed=   999 undefine    x1=  39. x2=  54. y1=  2.33 y2=  2.26     
GP: Confirmed Nigeria 3/16/2020        54   13464    29964       2    20930     2   999 undefine  
AAA1     1 Nigeria Confirmed cc1=  .866025 cc2=  .607827 lx=  9.93777 if=  40 il=  54 3/16/2020  n=  14 now=   13464 end=      20697         2     20930 U=   193.64 T=  484.7 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  40. x2=  54. y1=  2.30 y2=  2.22 BEST
AAA2     1 Nigeria Confirmed cc1=  .866025 cc2=  .607827 lx=  9.99677 if=  40 il=  54 3/16/2020  n=  14 now=   13464 end=      20697         2     20930 U=   193.64 T=  484.7 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  40. x2=  54. y1=  2.30 y2=  2.22 BEST
GP: Confirmed Nigeria 3/16/2020        54   13464    20697       2    20930     2   999 undefine  
AAA1     1 Nigeria Confirmed cc1=  .859338 cc2=  .592077 lx=  9.93777 if=  41 il=  54 3/16/2020  n=  13 now=   13464 end=      20697         2     20930 U=   179.81 T=  453.9 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  41. x2=  54. y1=  2.30 y2=  2.22 BEST
AAA2     1 Nigeria Confirmed cc1=  .859338 cc2=  .592077 lx=  9.98577 if=  41 il=  54 3/16/2020  n=  13 now=   13464 end=      20697         2     20930 U=   179.81 T=  453.9 p1=  53.7 p2=    65.1 ed=   999 undefine    x1=  41. x2=  54. y1=  2.30 y2=  2.22 BEST
GP: Confirmed Nigeria 3/16/2020        54   13464    20697       2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .845154 cc2=  .567804 lx= 11.49777 if=  42 il=  54 3/16/2020  n=  12 now=   13464 end=      98496         2     20930 U=   192.99 T=  513.3 p1= 631.6 p2=    13.7 ed=   999 undefine    x1=  42. x2=  54. y1=  2.44 y2=  2.38     
GP: Confirmed Nigeria 3/16/2020        54   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .819346 cc2=  .530671 lx= 11.18777 if=  43 il=  54 3/16/2020  n=  11 now=   13464 end=      72241         2     20930 U=   171.99 T=  458.3 p1= 436.5 p2=    18.6 ed=   999 undefine    x1=  43. x2=  54. y1=  2.41 y2=  2.35     
GP: Confirmed Nigeria 3/16/2020        54   13464    -           2    20930     2   999 undefine  
AAA2     1 Nigeria Confirmed cc1=  .883288 cc2=  .653873 lx= 11.50777 if=  37 il=  55 3/17/2020  n=  18 now=   13464 end=      99486         3       248 U=   179.40 T=  475.3 p1= 638.9 p2=    13.5 ed=   999 undefine    x1=  37. x2=  55. y1=  2.44 y2=  2.34     
GP: Confirmed Nigeria 3/17/2020        55   13464    -           3      248     3   999 undefine  
