TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       53185.00000       10.88153
TAB:  Canada_Quebec Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Canada_Quebec Confirmed .           138    53047    53185    58784       24    54687    62567    58784
TAB:  Canada_Quebec Confirmed 6/9/2020    139    53185    53185    58784       19    54372    62567    58154
AAA2     1 Canada_Quebec Confirmed cc1=  .863644 cc2=  .510090 lx= 12.88153 if=  38 il=  45 3/7/2020   n=   7 now=   53185 end=     392986         3         0 U=    78.53 T=  238.7 p1= 638.9 p2=    13.5 ed=   424 3/21/2021   x1=  38. x2=  45. y1=  2.56 y2=  2.47     
GP: Confirmed Canada_Quebec 3/7/2020         45   53185    -           3        0     0   424 3/21/2021 
AAA2     1 Canada_Quebec Confirmed cc1=  .895486 cc2=  .517522 lx= 12.88153 if=  39 il=  45 3/7/2020   n=   6 now=   53185 end=     392986         3         0 U=    67.31 T=  211.0 p1= 638.9 p2=    13.5 ed=   369 1/25/2021   x1=  39. x2=  45. y1=  2.56 y2=  2.47     
GP: Confirmed Canada_Quebec 3/7/2020         45   53185    -           3        0     0   369 1/25/2021 
AAA2     1 Canada_Quebec Confirmed cc1=  .925809 cc2=  .517561 lx= 12.88153 if=  40 il=  45 3/7/2020   n=   5 now=   53185 end=     392986         3         0 U=    56.09 T=  183.4 p1= 638.9 p2=    13.5 ed=   315 12/2/2020   x1=  40. x2=  45. y1=  2.56 y2=  2.47     
GP: Confirmed Canada_Quebec 3/7/2020         45   53185    -           3        0     0   315 12/2/2020 
AAA2     1 Canada_Quebec Confirmed cc1=  .877944 cc2=  .561716 lx= 12.88153 if=  37 il=  46 3/8/2020   n=   9 now=   53185 end=     392986         4       982 U=    79.04 T=  239.0 p1= 638.9 p2=    13.5 ed=   425 3/22/2021   x1=  37. x2=  46. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/8/2020         46   53185    -           4      982     1   425 3/22/2021 
AAA2     1 Canada_Quebec Confirmed cc1=  .904301 cc2=  .570968 lx= 12.88153 if=  38 il=  46 3/8/2020   n=   8 now=   53185 end=     392986         4       982 U=    70.26 T=  217.6 p1= 638.9 p2=    13.5 ed=   383 2/8/2021    x1=  38. x2=  46. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/8/2020         46   53185    -           4      982     1   383 2/8/2021  
AAA2     1 Canada_Quebec Confirmed cc1=  .930504 cc2=  .576950 lx= 12.88153 if=  39 il=  46 3/8/2020   n=   7 now=   53185 end=     392986         4       982 U=    61.48 T=  196.1 p1= 638.9 p2=    13.5 ed=   341 12/28/2020  x1=  39. x2=  46. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/8/2020         46   53185    -           4      982     1   341 12/28/2020
AAA2     1 Canada_Quebec Confirmed cc1=  .954166 cc2=  .576202 lx= 12.88153 if=  40 il=  46 3/8/2020   n=   6 now=   53185 end=     392986         4       982 U=    52.70 T=  174.7 p1= 638.9 p2=    13.5 ed=   299 11/16/2020  x1=  40. x2=  46. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/8/2020         46   53185    -           4      982     1   299 11/16/2020
AAA1     1 Canada_Quebec Confirmed cc1=  .970347 cc2=  .562099 lx=  6.88153 if=  41 il=  46 3/8/2020   n=   5 now=   53185 end=        974         4       982 U=    22.23 T=   83.9 p1= -98.2 p2=  5460.5 ed=   136 6/6/2020    x1=  41. x2=  46. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .970363 cc2=  .562099 lx=  6.78153 if=  41 il=  46 3/8/2020   n=   5 now=   53185 end=        974         4       982 U=    22.23 T=   83.9 p1= -98.2 p2=  5460.5 ed=   136 6/6/2020    x1=  41. x2=  46. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/8/2020         46   53185      974       4      982     1   136 6/6/2020  
AAA2     1 Canada_Quebec Confirmed cc1=  .909215 cc2=  .607704 lx= 12.88153 if=  37 il=  47 3/9/2020   n=  10 now=   53185 end=     392986         4       982 U=    87.83 T=  261.5 p1= 638.9 p2=    13.5 ed=   468 5/4/2021    x1=  37. x2=  47. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/9/2020         47   53185    -           4      982     3   468 5/4/2021  
AAA2     1 Canada_Quebec Confirmed cc1=  .929607 cc2=  .613379 lx= 12.88153 if=  38 il=  47 3/9/2020   n=   9 now=   53185 end=     392986         4       982 U=    79.04 T=  240.0 p1= 638.9 p2=    13.5 ed=   426 3/23/2021   x1=  38. x2=  47. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/9/2020         47   53185    -           4      982     3   426 3/23/2021 
AAA2     1 Canada_Quebec Confirmed cc1=  .948235 cc2=  .614901 lx= 12.88153 if=  39 il=  47 3/9/2020   n=   8 now=   53185 end=     392986         4       982 U=    70.26 T=  218.6 p1= 638.9 p2=    13.5 ed=   384 2/9/2021    x1=  39. x2=  47. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/9/2020         47   53185    -           4      982     3   384 2/9/2021  
AAA1     1 Canada_Quebec Confirmed cc1=  .962974 cc2=  .609420 lx=  6.88153 if=  40 il=  47 3/9/2020   n=   7 now=   53185 end=        974         4       982 U=    31.12 T=  100.0 p1= -98.2 p2=  5460.5 ed=   173 7/13/2020   x1=  40. x2=  47. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .962986 cc2=  .609420 lx=  6.78153 if=  40 il=  47 3/9/2020   n=   7 now=   53185 end=        974         4       982 U=    31.12 T=  100.0 p1= -98.2 p2=  5460.5 ed=   173 7/13/2020   x1=  40. x2=  47. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/9/2020         47   53185      974       4      982     3   173 7/13/2020 
