TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      113702.00000       11.64134
TAB:  Pakistan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Pakistan Confirmed .            82     5496   113702     9164        7     7008   209703    19946
TAB:  Pakistan Confirmed 4/14/2020    83     5837   113702    10501       19     6301    90316    27304
TAB:  Pakistan Confirmed .            84     6383   113702    10501       17    10501    52509    27304
TAB:  Pakistan Confirmed 4/16/2020    85     6919   113702    10501       11    10501    52509    31505
TAB:  Pakistan Confirmed .            86     7025   113702    14702       10    10501    44107    27304
TAB:  Pakistan Confirmed 4/18/2020    87     7638   113702    14702       16    10501   518792    31505
TAB:  Pakistan Confirmed .            88     8348   113702    14702       14    14702    52509    31505
TAB:  Pakistan Confirmed 4/20/2020    89     8418   113702    14702       13    14702   178531    35706
TAB:  Pakistan Confirmed .            90     9565   113702    18903       10    14702   165929    44107
TAB:  Pakistan Confirmed 4/22/2020    91    10076   113702    18903       15    18903   426376    56710
TAB:  Pakistan Confirmed .            92    11155   113702    18903       10    18903   468383    77713
TAB:  Pakistan Confirmed 4/24/2020    93    11940   113702    23104       14    23104   245743   102918
TAB:  Pakistan Confirmed .            94    12723   113702    23104        8    18903   447379   144925
TAB:  Pakistan Confirmed 4/26/2020    95    13328   113702    27304       13    18903   686822   191134
TAB:  Pakistan Confirmed .            96    13915   113702    27304       10    14702   653216   153327
TAB:  Pakistan Confirmed 4/28/2020    97    14612   113702    31505       10    18903   636413   136524
TAB:  Pakistan Confirmed .            98    15525   113702    31505       13    23104   649015   170130
TAB:  Pakistan Confirmed 4/30/2020    99    16817   113702    35706        9    31505   535595   195334
TAB:  Pakistan Confirmed .           100    18114   113702    35706        8    35706   758235   228940
TAB:  Pakistan Confirmed 5/2/2020    101    19103   113702    39907       10    39907   665818   220539
TAB:  Pakistan Confirmed .           102    20084   113702    44107        8    31505   775038   224740
TAB:  Pakistan Confirmed 5/4/2020    103    20941   113702    44107        9    27304   808644   262546
TAB:  Pakistan Confirmed .           104    22049   113702    48308       11    31505   825447   275149
TAB:  Pakistan Confirmed 5/6/2020    105    24073   113702    52509        7    48308   766636   317156
TAB:  Pakistan Confirmed .           106    24644   113702    56710        7    52509   783439   291952
TAB:  Pakistan Confirmed 5/8/2020    107    26435   113702    56710        8    56710   754034   262546
TAB:  Pakistan Confirmed .           108    28736   113702    65111        6    60910   775038   170130
TAB:  Pakistan Confirmed 5/10/2020   109    30334   113702    69312        8    65111   833848   128122
TAB:  Pakistan Confirmed .           110    32081   113702    73513        9    73513   674220   111319
TAB:  Pakistan Confirmed 5/12/2020   111    34336   113702    77713        6    77713   800242   123922
TAB:  Pakistan Confirmed .           112    35298   113702    86115        6    48308   703625   119721
TAB:  Pakistan Confirmed 5/14/2020   113    35788   113702    86115        6    35706   707826   102918
TAB:  Pakistan Confirmed .           114    38799   113702    94516        6    60910   758235   115520
TAB:  Pakistan Confirmed 5/16/2020   115    39475   113702    94516        5    56710   758235   153327
TAB:  Pakistan Confirmed .           116    40151   113702    98717        8    44107   728830   136524
TAB:  Pakistan Confirmed 5/18/2020   117    42125   113702   102918       10    56710   833848   161728
TAB:  Pakistan Confirmed .           118    43966   113702   102918        7    65111   808644   203736
TAB:  Pakistan Confirmed 5/20/2020   119    45898   113702   107119        6    73513   783439   237342
TAB:  Pakistan Confirmed .           120    48091   113702   111319        6    90316   775038   228940
TAB:  Pakistan Confirmed 5/22/2020   121    50694   113702   119721        7   115520   783439   333959
TAB:  Pakistan Confirmed .           122    52437   113702   123922        9   119721   808644   312955
TAB:  Pakistan Confirmed 5/24/2020   123    54601   113702   128122        7   107119   758235   321357
TAB:  Pakistan Confirmed .           124    56349   113702   132323        9    73513   808644   346561
TAB:  Pakistan Confirmed 5/26/2020   125    57705   113702   136524        9    69312   833848   266747
TAB:  Pakistan Confirmed .           126    59151   113702   140725        6    69312   817045   254145
TAB:  Pakistan Confirmed 5/28/2020   127    61227   113702   140725        6    77713   808644   275149
TAB:  Pakistan Confirmed .           128    64028   113702   144925        7   107119   825447   296152
TAB:  Pakistan Confirmed 5/30/2020   129    66457   113702   149126        8   144925   800242   354963
TAB:  Pakistan Confirmed .           130    69496   113702   153327        6   153327   833848   325558
TAB:  Pakistan Confirmed 6/1/2020    131    72460   113702   161728       10   161728   817045   392770
TAB:  Pakistan Confirmed .           132    76398   113702   165929        7   165929   833848   417974
TAB:  Pakistan Confirmed 6/3/2020    133    80463   113702   178531        6   174331   825447   459982
TAB:  Pakistan Confirmed .           134    85264   113702   186933        9   186933   833848   573402
TAB:  Pakistan Confirmed 6/5/2020    135    89249   113702   195334        7   195334   791841   649015
TAB:  Pakistan Confirmed .           136    93983   113702   207937        7   207937   833848   405372
TAB:  Pakistan Confirmed 6/7/2020    137    98943   113702   220539        6   220539   745633   279349
TAB:  Pakistan Confirmed .           138   108317   113702   241543        7   241543   758235   308755
TAB:  Pakistan Confirmed 6/9/2020    139   113702   113702   262546        6   262546   716227   325558
AAA2     1 Pakistan Confirmed cc1=  .914871 cc2=  .536906 lx=  7.64134 if=  35 il=  41 3/3/2020   n=   6 now=  113702 end=       2082         5         0 U=    42.43 T=  117.2 p1= -98.2 p2=  5461.2 ed=   217 8/26/2020   x1=  35. x2=  41. y1=  1.94 y2=  1.80     
GP: Confirmed Pakistan 3/3/2020         41  113702     2082       5        0     0   217 8/26/2020 
AAA2     1 Pakistan Confirmed cc1=  .921025 cc2=  .567471 lx=  7.64134 if=  35 il=  42 3/4/2020   n=   7 now=  113702 end=       2082         5         0 U=    49.50 T=  131.0 p1= -98.2 p2=  5461.2 ed=   247 9/25/2020   x1=  35. x2=  42. y1=  1.94 y2=  1.80     
GP: Confirmed Pakistan 3/4/2020         42  113702     2082       5        0     0   247 9/25/2020 
AAA2     1 Pakistan Confirmed cc1=  .900391 cc2=  .522426 lx=  7.64134 if=  36 il=  42 3/4/2020   n=   6 now=  113702 end=       2082         5         0 U=    42.43 T=  118.2 p1= -98.2 p2=  5461.2 ed=   218 8/27/2020   x1=  36. x2=  42. y1=  1.94 y2=  1.80     
GP: Confirmed Pakistan 3/4/2020         42  113702     2082       5        0     0   218 8/27/2020 
AAA2     1 Pakistan Confirmed cc1=  .913371 cc2=  .580038 lx=  7.64134 if=  35 il=  43 3/5/2020   n=   8 now=  113702 end=       2082         5         0 U=    56.57 T=  144.7 p1= -98.2 p2=  5461.2 ed=   278 10/26/2020  x1=  35. x2=  43. y1=  1.94 y2=  1.80     
GP: Confirmed Pakistan 3/5/2020         43  113702     2082       5        0     0   278 10/26/2020
AAA2     1 Pakistan Confirmed cc1=  .885369 cc2=  .531815 lx=  7.64134 if=  36 il=  43 3/5/2020   n=   7 now=  113702 end=       2082         5         0 U=    49.50 T=  132.0 p1= -98.2 p2=  5461.2 ed=   248 9/26/2020   x1=  36. x2=  43. y1=  1.94 y2=  1.80     
GP: Confirmed Pakistan 3/5/2020         43  113702     2082       5        0     0   248 9/26/2020 
AAA1     1 Pakistan Confirmed cc1=  .927574 cc2=  .611347 lx=  7.64134 if=  35 il=  44 3/6/2020   n=   9 now=  113702 end=       2082         6      2100 U=    52.29 T=  136.4 p1= -98.2 p2=  5461.2 ed=   259 10/7/2020   x1=  35. x2=  44. y1=  1.94 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .927655 cc2=  .611347 lx=  7.54134 if=  35 il=  44 3/6/2020   n=   9 now=  113702 end=       2082         6      2100 U=    52.29 T=  136.4 p1= -98.2 p2=  5461.2 ed=   259 10/7/2020   x1=  35. x2=  44. y1=  1.94 y2=  1.77 BEST
GP: Confirmed Pakistan 3/6/2020         44  113702     2082       6     2100     3   259 10/7/2020 
AAA1     1 Pakistan Confirmed cc1=  .904437 cc2=  .571103 lx=  7.64134 if=  36 il=  44 3/6/2020   n=   8 now=  113702 end=       2082         6      2100 U=    46.48 T=  126.1 p1= -98.2 p2=  5461.2 ed=   235 9/13/2020   x1=  36. x2=  44. y1=  1.94 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .904551 cc2=  .571103 lx=  7.54134 if=  36 il=  44 3/6/2020   n=   8 now=  113702 end=       2082         6      2100 U=    46.48 T=  126.1 p1= -98.2 p2=  5461.2 ed=   235 9/13/2020   x1=  36. x2=  44. y1=  1.94 y2=  1.77 BEST
GP: Confirmed Pakistan 3/6/2020         44  113702     2082       6     2100     3   235 9/13/2020 
AAA1     1 Pakistan Confirmed cc1=  .860358 cc2=  .506805 lx=  7.64134 if=  37 il=  44 3/6/2020   n=   7 now=  113702 end=       2082         6      2100 U=    40.67 T=  115.8 p1= -98.2 p2=  5461.2 ed=   211 8/20/2020   x1=  37. x2=  44. y1=  1.94 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .860530 cc2=  .506805 lx=  7.54134 if=  37 il=  44 3/6/2020   n=   7 now=  113702 end=       2082         6      2100 U=    40.67 T=  115.8 p1= -98.2 p2=  5461.2 ed=   211 8/20/2020   x1=  37. x2=  44. y1=  1.94 y2=  1.77 BEST
GP: Confirmed Pakistan 3/6/2020         44  113702     2082       6     2100     3   211 8/20/2020 
AAA2     1 Pakistan Confirmed cc1=  .923823 cc2=  .545858 lx= 13.64134 if=  38 il=  44 3/6/2020   n=   6 now=  113702 end=     840150         6      2100 U=   178.33 T=  484.9 p1= 638.9 p2=    13.5 ed=   999 undefine    x1=  38. x2=  44. y1=  2.51 y2=  2.47     
GP: Confirmed Pakistan 3/6/2020         44  113702    -           6     2100     3   999 undefine  
AAA2     1 Pakistan Confirmed cc1=  .925745 cc2=  .517497 lx= 13.64134 if=  39 il=  44 3/6/2020   n=   5 now=  113702 end=     840150         6      2100 U=   148.61 T=  411.4 p1= 638.9 p2=    13.5 ed=   999 undefine    x1=  39. x2=  44. y1=  2.51 y2=  2.47     
GP: Confirmed Pakistan 3/6/2020         44  113702    -           6     2100     3   999 undefine  
AAA1     1 Pakistan Confirmed cc1=  .929713 cc2=  .628202 lx=  7.64134 if=  35 il=  45 3/7/2020   n=  10 now=  113702 end=       2082         6      1788 U=    58.10 T=  147.6 p1= -98.2 p2=  5461.2 ed=   284 11/1/2020   x1=  35. x2=  45. y1=  1.94 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .929810 cc2=  .628202 lx=  7.54134 if=  35 il=  45 3/7/2020   n=  10 now=  113702 end=       2082         6      1788 U=    58.10 T=  147.6 p1= -98.2 p2=  5461.2 ed=   284 11/1/2020   x1=  35. x2=  45. y1=  1.94 y2=  1.77 BEST
GP: Confirmed Pakistan 3/7/2020         45  113702     2082       6     1788     5   284 11/1/2020 
AAA1     1 Pakistan Confirmed cc1=  .907484 cc2=  .591257 lx=  7.64134 if=  36 il=  45 3/7/2020   n=   9 now=  113702 end=       2082         6      1788 U=    52.29 T=  137.4 p1= -98.2 p2=  5461.2 ed=   260 10/8/2020   x1=  36. x2=  45. y1=  1.94 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .907617 cc2=  .591257 lx=  7.54134 if=  36 il=  45 3/7/2020   n=   9 now=  113702 end=       2082         6      1788 U=    52.29 T=  137.4 p1= -98.2 p2=  5461.2 ed=   260 10/8/2020   x1=  36. x2=  45. y1=  1.94 y2=  1.77 BEST
GP: Confirmed Pakistan 3/7/2020         45  113702     2082       6     1788     5   260 10/8/2020 
AAA1     1 Pakistan Confirmed cc1=  .871592 cc2=  .538258 lx=  7.64134 if=  37 il=  45 3/7/2020   n=   8 now=  113702 end=       2082         6      1788 U=    46.48 T=  127.1 p1= -98.2 p2=  5461.2 ed=   236 9/14/2020   x1=  37. x2=  45. y1=  1.94 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .871780 cc2=  .538258 lx=  7.54134 if=  37 il=  45 3/7/2020   n=   8 now=  113702 end=       2082         6      1788 U=    46.48 T=  127.1 p1= -98.2 p2=  5461.2 ed=   236 9/14/2020   x1=  37. x2=  45. y1=  1.94 y2=  1.77 BEST
GP: Confirmed Pakistan 3/7/2020         45  113702     2082       6     1788     5   236 9/14/2020 
AAA2     1 Pakistan Confirmed cc1=  .944911 cc2=  .591358 lx= 11.87134 if=  38 il=  45 3/7/2020   n=   7 now=  113702 end=     143105         6      1788 U=   177.49 T=  455.1 p1=  25.9 p2=    79.5 ed=   999 undefine    x1=  38. x2=  45. y1=  2.35 y2=  2.31     
GP: Confirmed Pakistan 3/7/2020         45  113702   143105       6     1788     5   999 undefine  
AAA1     1 Pakistan Confirmed cc1=  .943484 cc2=  .565519 lx=  7.64134 if=  39 il=  45 3/7/2020   n=   6 now=  113702 end=       2082         6      1788 U=    89.53 T=  203.1 p1= -98.2 p2=  5461.2 ed=   414 3/11/2021   x1=  39. x2=  45. y1=  1.83 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .943493 cc2=  .565519 lx=  7.54134 if=  39 il=  45 3/7/2020   n=   6 now=  113702 end=       2082         6      1788 U=    89.53 T=  203.1 p1= -98.2 p2=  5461.2 ed=   414 3/11/2021   x1=  39. x2=  45. y1=  1.83 y2=  1.77 BEST
GP: Confirmed Pakistan 3/7/2020         45  113702     2082       6     1788     5   414 3/11/2021 
AAA1     1 Pakistan Confirmed cc1=  .917154 cc2=  .508906 lx=  7.64134 if=  40 il=  45 3/7/2020   n=   5 now=  113702 end=       2082         6      1788 U=    74.61 T=  176.8 p1= -98.2 p2=  5461.2 ed=   352 1/8/2021    x1=  40. x2=  45. y1=  1.83 y2=  1.77 BEST
AAA2     1 Pakistan Confirmed cc1=  .917180 cc2=  .508906 lx=  7.54134 if=  40 il=  45 3/7/2020   n=   5 now=  113702 end=       2082         6      1788 U=    74.61 T=  176.8 p1= -98.2 p2=  5461.2 ed=   352 1/8/2021    x1=  40. x2=  45. y1=  1.83 y2=  1.77 BEST
GP: Confirmed Pakistan 3/7/2020         45  113702     2082       6     1788     5   352 1/8/2021  
AAA2     1 Pakistan Confirmed cc1=  .924869 cc2=  .636194 lx=  7.64134 if=  35 il=  46 3/8/2020   n=  11 now=  113702 end=       2082         6         0 U=    63.91 T=  158.9 p1= -98.2 p2=  5461.2 ed=   309 11/26/2020  x1=  35. x2=  46. y1=  1.94 y2=  1.77     
GP: Confirmed Pakistan 3/8/2020         46  113702     2082       6        0     0   309 11/26/2020
AAA2     1 Pakistan Confirmed cc1=  .902004 cc2=  .600493 lx=  7.64134 if=  36 il=  46 3/8/2020   n=  10 now=  113702 end=       2082         6         0 U=    58.10 T=  148.6 p1= -98.2 p2=  5461.2 ed=   285 11/2/2020   x1=  36. x2=  46. y1=  1.94 y2=  1.77     
GP: Confirmed Pakistan 3/8/2020         46  113702     2082       6        0     0   285 11/2/2020 
AAA2     1 Pakistan Confirmed cc1=  .869889 cc2=  .553661 lx=  7.64134 if=  37 il=  46 3/8/2020   n=   9 now=  113702 end=       2082         6         0 U=    52.29 T=  138.4 p1= -98.2 p2=  5461.2 ed=   261 10/9/2020   x1=  37. x2=  46. y1=  1.94 y2=  1.77     
GP: Confirmed Pakistan 3/8/2020         46  113702     2082       6        0     0   261 10/9/2020 
AAA2     1 Pakistan Confirmed cc1=  .947568 cc2=  .614235 lx=  7.64134 if=  38 il=  46 3/8/2020   n=   8 now=  113702 end=       2082         6         0 U=   119.37 T=  256.9 p1= -98.2 p2=  5461.2 ed=   538 7/13/2021   x1=  38. x2=  46. y1=  1.83 y2=  1.77     
GP: Confirmed Pakistan 3/8/2020         46  113702     2082       6        0     0   538 7/13/2021 
AAA2     1 Pakistan Confirmed cc1=  .939455 cc2=  .585901 lx=  7.64134 if=  39 il=  46 3/8/2020   n=   7 now=  113702 end=       2082         6         0 U=   104.45 T=  230.5 p1= -98.2 p2=  5461.2 ed=   476 5/12/2021   x1=  39. x2=  46. y1=  1.83 y2=  1.77     
GP: Confirmed Pakistan 3/8/2020         46  113702     2082       6        0     0   476 5/12/2021 
AAA2     1 Pakistan Confirmed cc1=  .910519 cc2=  .532554 lx=  7.64134 if=  40 il=  46 3/8/2020   n=   6 now=  113702 end=       2082         6         0 U=    89.53 T=  204.1 p1= -98.2 p2=  5461.2 ed=   415 3/12/2021   x1=  40. x2=  46. y1=  1.83 y2=  1.77     
GP: Confirmed Pakistan 3/8/2020         46  113702     2082       6        0     0   415 3/12/2021 
AAA2     1 Pakistan Confirmed cc1=  .915942 cc2=  .638592 lx=  7.64134 if=  35 il=  47 3/9/2020   n=  12 now=  113702 end=       2082         6         0 U=    69.72 T=  170.2 p1= -98.2 p2=  5461.2 ed=   334 12/21/2020  x1=  35. x2=  47. y1=  1.94 y2=  1.77     
GP: Confirmed Pakistan 3/9/2020         47  113702     2082       6        0     0   334 12/21/2020
AAA2     1 Pakistan Confirmed cc1=  .891866 cc2=  .603191 lx=  7.64134 if=  36 il=  47 3/9/2020   n=  11 now=  113702 end=       2082         6         0 U=    63.91 T=  159.9 p1= -98.2 p2=  5461.2 ed=   310 11/27/2020  x1=  36. x2=  47. y1=  1.94 y2=  1.77     
GP: Confirmed Pakistan 3/9/2020         47  113702     2082       6        0     0   310 11/27/2020
AAA2     1 Pakistan Confirmed cc1=  .861462 cc2=  .559951 lx=  7.64134 if=  37 il=  47 3/9/2020   n=  10 now=  113702 end=       2082         6         0 U=    58.10 T=  149.6 p1= -98.2 p2=  5461.2 ed=   286 11/3/2020   x1=  37. x2=  47. y1=  1.94 y2=  1.77     
GP: Confirmed Pakistan 3/9/2020         47  113702     2082       6        0     0   286 11/3/2020 
AAA2     1 Pakistan Confirmed cc1=  .940185 cc2=  .623958 lx=  7.64134 if=  38 il=  47 3/9/2020   n=   9 now=  113702 end=       2082         6         0 U=   134.29 T=  284.2 p1= -98.2 p2=  5461.2 ed=   601 9/14/2021   x1=  38. x2=  47. y1=  1.83 y2=  1.77     
GP: Confirmed Pakistan 3/9/2020         47  113702     2082       6        0     0   601 9/14/2021 
AAA2     1 Pakistan Confirmed cc1=  .925511 cc2=  .592177 lx=  7.64134 if=  39 il=  47 3/9/2020   n=   8 now=  113702 end=       2082         6         0 U=   119.37 T=  257.9 p1= -98.2 p2=  5461.2 ed=   539 7/14/2021   x1=  39. x2=  47. y1=  1.83 y2=  1.77     
GP: Confirmed Pakistan 3/9/2020         47  113702     2082       6        0     0   539 7/14/2021 
AAA2     1 Pakistan Confirmed cc1=  .892275 cc2=  .538722 lx=  7.64134 if=  40 il=  47 3/9/2020   n=   7 now=  113702 end=       2082         6         0 U=   104.45 T=  231.5 p1= -98.2 p2=  5461.2 ed=   477 5/13/2021   x1=  40. x2=  47. y1=  1.83 y2=  1.77     
GP: Confirmed Pakistan 3/9/2020         47  113702     2082       6        0     0   477 5/13/2021 
AAA2     1 Pakistan Confirmed cc1=  .900531 cc2=  .633269 lx= 13.64134 if=  35 il=  48 3/10/2020  n=  13 now=  113702 end=     840150        16         0 U=    74.26 T=  225.2 p1= 638.9 p2=    13.5 ed=   400 2/25/2021   x1=  35. x2=  48. y1=  2.56 y2=  2.39     
GP: Confirmed Pakistan 3/10/2020        48  113702    -          16        0     0   400 2/25/2021 
AAA2     1 Pakistan Confirmed cc1=  .879261 cc2=  .601911 lx= 13.64134 if=  36 il=  48 3/10/2020  n=  12 now=  113702 end=     840150        16         0 U=    68.55 T=  211.5 p1= 638.9 p2=    13.5 ed=   373 1/29/2021   x1=  36. x2=  48. y1=  2.56 y2=  2.39     
GP: Confirmed Pakistan 3/10/2020        48  113702    -          16        0     0   373 1/29/2021 
AAA2     1 Pakistan Confirmed cc1=  .844731 cc2=  .556056 lx= 13.64134 if=  37 il=  48 3/10/2020  n=  11 now=  113702 end=     840150        16         0 U=    62.83 T=  197.9 p1= 638.9 p2=    13.5 ed=   346 1/2/2021    x1=  37. x2=  48. y1=  2.56 y2=  2.39     
GP: Confirmed Pakistan 3/10/2020        48  113702    -          16        0     0   346 1/2/2021  
AAA2     1 Pakistan Confirmed cc1=  .910805 cc2=  .652606 lx= 13.64134 if=  35 il=  49 3/11/2020  n=  14 now=  113702 end=     840150        19         0 U=    73.30 T=  222.7 p1= 638.9 p2=    13.5 ed=   395 2/20/2021   x1=  35. x2=  49. y1=  2.56 y2=  2.37     
GP: Confirmed Pakistan 3/11/2020        49  113702    -          19        0     0   395 2/20/2021 
AAA2     1 Pakistan Confirmed cc1=  .896157 cc2=  .628896 lx= 13.64134 if=  36 il=  49 3/11/2020  n=  13 now=  113702 end=     840150        19         0 U=    68.06 T=  210.3 p1= 638.9 p2=    13.5 ed=   370 1/26/2021   x1=  36. x2=  49. y1=  2.56 y2=  2.37     
GP: Confirmed Pakistan 3/11/2020        49  113702    -          19        0     0   370 1/26/2021 
AAA2     1 Pakistan Confirmed cc1=  .871688 cc2=  .594338 lx= 13.64134 if=  37 il=  49 3/11/2020  n=  12 now=  113702 end=     840150        19         0 U=    62.83 T=  197.9 p1= 638.9 p2=    13.5 ed=   346 1/2/2021    x1=  37. x2=  49. y1=  2.56 y2=  2.37     
GP: Confirmed Pakistan 3/11/2020        49  113702    -          19        0     0   346 1/2/2021  
