TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       10859.00000        9.29275
TAB:  US_Connecticut_Hartford Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 US_Connecticut_Hartford Confirmed cc1=  .996577 cc2=  .695065 lx=  6.68275 if=  52 il=  62 3/24/2020  n=  10 now=   10859 end=        798        88       726 U=     9.02 T=   69.1 p1= -92.7 p2=  1360.8 ed=    90 4/21/2020   x1=  52. x2=  62. y1=  1.90 y2=   .79 BEST
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .996577 cc2=  .695065 lx=  6.68275 if=  52 il=  62 3/24/2020  n=  10 now=   10859 end=        798        88       726 U=     9.02 T=   69.1 p1= -92.7 p2=  1360.8 ed=    90 4/21/2020   x1=  52. x2=  62. y1=  1.90 y2=   .79 BEST
GP: Confirmed US_Connecticut_Hartford 3/24/2020        62   10859      798      88      726     1    90 4/21/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .995475 cc2=  .679248 lx=  6.81275 if=  53 il=  62 3/24/2020  n=   9 now=   10859 end=        909        88       726 U=     9.34 T=   69.9 p1= -91.6 p2=  1194.6 ed=    91 4/22/2020   x1=  53. x2=  62. y1=  1.81 y2=   .85     
GP: Confirmed US_Connecticut_Hartford 3/24/2020        62   10859      909      88      726     1    91 4/22/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .993982 cc2=  .660649 lx=  7.21275 if=  54 il=  62 3/24/2020  n=   8 now=   10859 end=       1356        88       726 U=    10.58 T=   72.6 p1= -87.5 p2=   800.8 ed=    97 4/28/2020   x1=  54. x2=  62. y1=  1.76 y2=  1.01     
GP: Confirmed US_Connecticut_Hartford 3/24/2020        62   10859     1356      88      726     1    97 4/28/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .991468 cc2=  .637914 lx=  7.55275 if=  55 il=  62 3/24/2020  n=   7 now=   10859 end=       1905        88       726 U=    11.66 T=   75.1 p1= -82.5 p2=   570.0 ed=   102 5/3/2020    x1=  55. x2=  62. y1=  1.72 y2=  1.12     
GP: Confirmed US_Connecticut_Hartford 3/24/2020        62   10859     1905      88      726     1   102 5/3/2020  
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .987189 cc2=  .609225 lx=  7.75275 if=  56 il=  62 3/24/2020  n=   6 now=   10859 end=       2327        88       726 U=    12.21 T=   76.5 p1= -78.6 p2=   466.7 ed=   105 5/6/2020    x1=  56. x2=  62. y1=  1.68 y2=  1.19     
GP: Confirmed US_Connecticut_Hartford 3/24/2020        62   10859     2327      88      726     1   105 5/6/2020  
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .979788 cc2=  .571540 lx= 10.38275 if=  57 il=  62 3/24/2020  n=   5 now=   10859 end=      32297        88       726 U=    21.01 T=   99.3 p1= 197.4 p2=    33.6 ed=   148 6/18/2020   x1=  57. x2=  62. y1=  2.01 y2=  1.78     
GP: Confirmed US_Connecticut_Hartford 3/24/2020        62   10859    32297      88      726     1   148 6/18/2020 
AAA1     1 US_Connecticut_Hartford Confirmed cc1=  .997230 cc2=  .708555 lx=  7.00275 if=  52 il=  63 3/25/2020  n=  11 now=   10859 end=       1099       116      1063 U=     9.69 T=   70.9 p1= -89.9 p2=   988.1 ed=    93 4/24/2020   x1=  52. x2=  63. y1=  1.95 y2=   .81 BEST
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .997230 cc2=  .708555 lx=  7.00775 if=  52 il=  63 3/25/2020  n=  11 now=   10859 end=       1099       116      1063 U=     9.69 T=   70.9 p1= -89.9 p2=   988.1 ed=    93 4/24/2020   x1=  52. x2=  63. y1=  1.95 y2=   .81 BEST
GP: Confirmed US_Connecticut_Hartford 3/25/2020        63   10859     1099     116     1063     1    93 4/24/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .996479 cc2=  .694967 lx=  7.18275 if=  53 il=  63 3/25/2020  n=  10 now=   10859 end=       1316       116      1063 U=    10.18 T=   72.0 p1= -87.9 p2=   825.2 ed=    96 4/27/2020   x1=  53. x2=  63. y1=  1.87 y2=   .89     
GP: Confirmed US_Connecticut_Hartford 3/25/2020        63   10859     1316     116     1063     1    96 4/27/2020 
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .995552 cc2=  .679324 lx=  7.61275 if=  54 il=  63 3/25/2020  n=   9 now=   10859 end=       2023       116      1063 U=    11.56 T=   75.1 p1= -81.4 p2=   536.8 ed=   102 5/3/2020    x1=  54. x2=  63. y1=  1.83 y2=  1.05     
GP: Confirmed US_Connecticut_Hartford 3/25/2020        63   10859     2023     116     1063     1   102 5/3/2020  
AAA2     1 US_Connecticut_Hartford Confirmed cc1=  .993984 cc2=  .660651 lx=  7.99275 if=  55 il=  63 3/25/2020  n=   8 now=   10859 end=       2959       116      1063 U=    12.82 T=   78.1 p1= -72.8 p2=   367.0 ed=   108 5/9/2020    x1=  55. x2=  63. y1=  1.80 y2=  1.18     
GP: Confirmed US_Connecticut_Hartford 3/25/2020        63   10859     2959     116     1063     1   108 5/9/2020  
