TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        7672.00000        8.94533
TAB:  US_Pennsylvania_Montgomery Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .990273 cc2=  .582025 lx=  4.94533 if=  47 il=  52 3/14/2020  n=   5 now=    7672 end=        140        20       140 U=     9.31 T=   58.2 p1= -98.2 p2=  5480.0 ed=    80 4/11/2020   x1=  47. x2=  52. y1=  1.20 y2=   .67 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .990313 cc2=  .582025 lx=  4.84533 if=  47 il=  52 3/14/2020  n=   5 now=    7672 end=        140        20       140 U=     9.31 T=   58.2 p1= -98.2 p2=  5480.0 ed=    80 4/11/2020   x1=  47. x2=  52. y1=  1.20 y2=   .67 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/14/2020        52    7672      140      20      140     1    80 4/11/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .983336 cc2=  .629783 lx=  4.94533 if=  46 il=  53 3/15/2020  n=   7 now=    7672 end=        140        20         0 U=    11.63 T=   60.8 p1= -98.2 p2=  5480.0 ed=    88 4/19/2020   x1=  46. x2=  53. y1=  1.27 y2=   .67     
GP: Confirmed US_Pennsylvania_Montgomery 3/15/2020        53    7672      140      20        0     0    88 4/19/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .975188 cc2=  .597223 lx=  4.94533 if=  47 il=  53 3/15/2020  n=   6 now=    7672 end=        140        20         0 U=    11.17 T=   60.5 p1= -98.2 p2=  5480.0 ed=    86 4/17/2020   x1=  47. x2=  53. y1=  1.20 y2=   .67     
GP: Confirmed US_Pennsylvania_Montgomery 3/15/2020        53    7672      140      20        0     0    86 4/17/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .962278 cc2=  .554029 lx=  4.94533 if=  48 il=  53 3/15/2020  n=   5 now=    7672 end=        140        20         0 U=    12.98 T=   61.7 p1= -98.2 p2=  5480.0 ed=    92 4/23/2020   x1=  48. x2=  53. y1=  1.05 y2=   .67     
GP: Confirmed US_Pennsylvania_Montgomery 3/15/2020        53    7672      140      20        0     0    92 4/23/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .987490 cc2=  .654157 lx=  5.72533 if=  46 il=  54 3/16/2020  n=   8 now=    7672 end=        306        30       228 U=    12.81 T=   64.8 p1= -96.0 p2=  2507.2 ed=    95 4/26/2020   x1=  46. x2=  54. y1=  1.47 y2=   .84     
