TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       11255.00000        9.32857
TAB:  US_Michigan_Oakland Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .955482 cc2=  .547233 lx= 11.32857 if=  51 il=  56 3/18/2020  n=   5 now=   11255 end=      83163        59         0 U=    14.53 T=   84.8 p1= 638.9 p2=    13.5 ed=   119 5/20/2020   x1=  51. x2=  56. y1=  2.33 y2=  1.98     
GP: Confirmed US_Michigan_Oakland 3/18/2020        56   11255    -          59        0     0   119 5/20/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .978768 cc2=  .645434 lx= 11.32857 if=  49 il=  57 3/19/2020  n=   8 now=   11255 end=      83163       105         0 U=    15.12 T=   85.7 p1= 638.9 p2=    13.5 ed=   121 5/22/2020   x1=  49. x2=  57. y1=  2.43 y2=  1.90     
GP: Confirmed US_Michigan_Oakland 3/19/2020        57   11255    -         105        0     0   121 5/22/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .978350 cc2=  .624797 lx= 11.32857 if=  50 il=  57 3/19/2020  n=   7 now=   11255 end=      83163       105         0 U=    13.23 T=   82.1 p1= 638.9 p2=    13.5 ed=   113 5/14/2020   x1=  50. x2=  57. y1=  2.43 y2=  1.90     
GP: Confirmed US_Michigan_Oakland 3/19/2020        57   11255    -         105        0     0   113 5/14/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .967351 cc2=  .589386 lx= 11.32857 if=  51 il=  57 3/19/2020  n=   6 now=   11255 end=      83163       105         0 U=    14.05 T=   83.7 p1= 638.9 p2=    13.5 ed=   116 5/17/2020   x1=  51. x2=  57. y1=  2.33 y2=  1.90     
GP: Confirmed US_Michigan_Oakland 3/19/2020        57   11255    -         105        0     0   116 5/17/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .956683 cc2=  .548435 lx= 11.32857 if=  52 il=  57 3/19/2020  n=   5 now=   11255 end=      83163       105         0 U=    14.01 T=   83.6 p1= 638.9 p2=    13.5 ed=   116 5/17/2020   x1=  52. x2=  57. y1=  2.26 y2=  1.90     
GP: Confirmed US_Michigan_Oakland 3/19/2020        57   11255    -         105        0     0   116 5/17/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .982333 cc2=  .666105 lx= 11.32857 if=  49 il=  58 3/20/2020  n=   9 now=   11255 end=      83163       184         0 U=    14.59 T=   84.4 p1= 638.9 p2=    13.5 ed=   118 5/19/2020   x1=  49. x2=  58. y1=  2.43 y2=  1.81     
GP: Confirmed US_Michigan_Oakland 3/20/2020        58   11255    -         184        0     0   118 5/19/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .983353 cc2=  .650020 lx= 11.32857 if=  50 il=  58 3/20/2020  n=   8 now=   11255 end=      83163       184         0 U=    12.97 T=   81.5 p1= 638.9 p2=    13.5 ed=   112 5/13/2020   x1=  50. x2=  58. y1=  2.43 y2=  1.81     
