TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      207693.00000       12.24382
TAB:  US_New_York_NYC Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_NYC Confirmed 5/4/2020    103   175651   207693   195270       14   186480   231687   204061
TAB:  US_New_York_NYC Confirmed .           104   176874   207693   206108       21   181984   208206   197717
TAB:  US_New_York_NYC Confirmed 5/6/2020    105   178351   207693   204083       17   184549   204083   193802
TAB:  US_New_York_NYC Confirmed .           106   180216   207693   203507       21   192625   205684   199154
TAB:  US_New_York_NYC Confirmed 5/8/2020    107   181783   207693   203341       40   195668   203341   203341
TAB:  US_New_York_NYC Confirmed .           108   183289   207693   203341       43   195668   211015   203341
TAB:  US_New_York_NYC Confirmed 5/10/2020   109   184417   207693   203341       48   195668   310767   211015
TAB:  US_New_York_NYC Confirmed .           110   185357   207693   203054       29   189554   223303   201929
TAB:  US_New_York_NYC Confirmed 5/12/2020   111   186123   207693   202027       20   189689   204083   197915
TAB:  US_New_York_NYC Confirmed .           112   187250   207693   200017       23   193909   202053   197981
TAB:  US_New_York_NYC Confirmed 5/14/2020   113   188545   207693   203341       67   203341   226361   226361
TAB:  US_New_York_NYC Confirmed .           114   190357   207693   203341       59   203341   464233   218688
TAB:  US_New_York_NYC Confirmed 5/16/2020   115   191600   207693   203341       54   203341   257054   226361
TAB:  US_New_York_NYC Confirmed .           116   192593   207693   203341       53   203341   264727   226361
TAB:  US_New_York_NYC Confirmed 5/18/2020   117   193230   207693   203341       53   195668   387500   226361
TAB:  US_New_York_NYC Confirmed .           118   193821   207693   206022       33   196250   282568   212536
TAB:  US_New_York_NYC Confirmed 5/20/2020   119   194550   207693   205648       33   197930   218880   207854
TAB:  US_New_York_NYC Confirmed .           120   195675   207693   203341       52   203341   218688   211015
TAB:  US_New_York_NYC Confirmed 5/22/2020   121   196484   207693   203341       47   203341   226361   218688
TAB:  US_New_York_NYC Confirmed .           122   197266   207693   203341       41   203341   241708   218688
TAB:  US_New_York_NYC Confirmed 5/24/2020   123   198123   207693   211015       39   203341   264727   218688
TAB:  US_New_York_NYC Confirmed .           124   198731   207693   211015       49   203341   241708   218688
TAB:  US_New_York_NYC Confirmed 5/26/2020   125   199301   207693   207453       30   203372   256425   211534
TAB:  US_New_York_NYC Confirmed .           126   199968   207693   208079       28   205760   225467   211556
TAB:  US_New_York_NYC Confirmed 5/28/2020   127   201051   207693   211015       50   203341   579332   226361
TAB:  US_New_York_NYC Confirmed .           128   201999   207693   211015       47   203341   970669   264727
TAB:  US_New_York_NYC Confirmed 5/30/2020   129   202751   207693   211015       56   211015   671411   295421
TAB:  US_New_York_NYC Confirmed .           130   203303   207693   211015       55   211015   617698   280074
TAB:  US_New_York_NYC Confirmed 6/1/2020    131   203764   207693   210407       36   205211   641612   251969
TAB:  US_New_York_NYC Confirmed .           132   204377   207693   209775       21   207161   256827   222845
TAB:  US_New_York_NYC Confirmed 6/3/2020    133   204872   207693   210216       22   207778   239463   219965
TAB:  US_New_York_NYC Confirmed .           134   205406   207693   211015       58   211015   234034   226361
TAB:  US_New_York_NYC Confirmed 6/5/2020    135   205940   207693   211015       57   211015  1292946   226361
TAB:  US_New_York_NYC Confirmed .           136   206511   207693   211015       55   211015   303094   226361
TAB:  US_New_York_NYC Confirmed 6/7/2020    137   206969   207693   211713       23   209743   353511   223529
TAB:  US_New_York_NYC Confirmed .           138   207353   207693   211341       25   210170   225391   218366
TAB:  US_New_York_NYC Confirmed 6/9/2020    139   207693   207693   212171       26   209943   221081   216626
AAA2     1 US_New_York_NYC Confirmed cc1=  .925741 cc2=  .517493 lx= 14.24382 if=  40 il=  45 3/7/2020   n=   5 now=  207693 end=    1534655        11         0 U=    27.12 T=  112.1 p1= 638.9 p2=    13.5 ed=   176 7/16/2020   x1=  40. x2=  45. y1=  2.66 y2=  2.47     
GP: Confirmed US_New_York_NYC 3/7/2020         45  207693    -          11        0     0   176 7/16/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .931864 cc2=  .553900 lx=  8.24382 if=  40 il=  46 3/8/2020   n=   6 now=  207693 end=       3804        12         0 U=    16.73 T=   75.3 p1= -98.2 p2=  5459.9 ed=   114 5/15/2020   x1=  40. x2=  46. y1=  2.11 y2=  1.75     
GP: Confirmed US_New_York_NYC 3/8/2020         46  207693     3804      12        0     0   114 5/15/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .931603 cc2=  .523355 lx=  8.24382 if=  41 il=  46 3/8/2020   n=   5 now=  207693 end=       3804        12         0 U=    13.94 T=   70.4 p1= -98.2 p2=  5459.9 ed=   103 5/4/2020    x1=  41. x2=  46. y1=  2.11 y2=  1.75     
GP: Confirmed US_New_York_NYC 3/8/2020         46  207693     3804      12        0     0   103 5/4/2020  
AAA2     1 US_New_York_NYC Confirmed cc1=  .949764 cc2=  .596210 lx=  8.24382 if=  40 il=  47 3/9/2020   n=   7 now=  207693 end=       3804        20         0 U=    15.50 T=   72.7 p1= -98.2 p2=  5459.9 ed=   109 5/10/2020   x1=  40. x2=  47. y1=  2.11 y2=  1.66     
GP: Confirmed US_New_York_NYC 3/9/2020         47  207693     3804      20        0     0   109 5/10/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .946188 cc2=  .568224 lx=  8.24382 if=  41 il=  47 3/9/2020   n=   6 now=  207693 end=       3804        20         0 U=    13.29 T=   69.0 p1= -98.2 p2=  5459.9 ed=   100 5/1/2020    x1=  41. x2=  47. y1=  2.11 y2=  1.66     
GP: Confirmed US_New_York_NYC 3/9/2020         47  207693     3804      20        0     0   100 5/1/2020  
AAA2     1 US_New_York_NYC Confirmed cc1=  .917385 cc2=  .509136 lx=  8.24382 if=  42 il=  47 3/9/2020   n=   5 now=  207693 end=       3804        20         0 U=    11.07 T=   65.4 p1= -98.2 p2=  5459.9 ed=    91 4/22/2020   x1=  42. x2=  47. y1=  2.11 y2=  1.66     
GP: Confirmed US_New_York_NYC 3/9/2020         47  207693     3804      20        0     0    91 4/22/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .960423 cc2=  .627090 lx=  8.24382 if=  40 il=  48 3/10/2020  n=   8 now=  207693 end=       3804        26         0 U=    15.91 T=   73.6 p1= -98.2 p2=  5459.9 ed=   111 5/12/2020   x1=  40. x2=  48. y1=  2.11 y2=  1.61     
GP: Confirmed US_New_York_NYC 3/10/2020        48  207693     3804      26        0     0   111 5/12/2020 
