TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4017.00000        8.29829
TAB:  Hungary Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Hungary Confirmed .           120     3641     4017     4081       39     3932    11204     5268
TAB:  Hungary Confirmed 5/22/2020   121     3678     4017     4081       41     4081    12837     5416
TAB:  Hungary Confirmed .           122     3713     4017     4081       36     4081    13282     5713
TAB:  Hungary Confirmed 5/24/2020   123     3741     4017     4081       32     4081    19515     6307
TAB:  Hungary Confirmed .           124     3756     4017     4140       18     3877     8433     4665
TAB:  Hungary Confirmed 5/26/2020   125     3771     4017     4183       21     3833     6283     4438
TAB:  Hungary Confirmed .           126     3793     4017     4175       23     3861     5600     4488
TAB:  Hungary Confirmed 5/28/2020   127     3816     4017     4170       25     3943     5306     4430
TAB:  Hungary Confirmed .           128     3841     4017     4229       41     3932     5119     4526
TAB:  Hungary Confirmed 5/30/2020   129     3867     4017     4229       50     4081     5268     4674
TAB:  Hungary Confirmed .           130     3876     4017     4229       52     4081     4823     4526
TAB:  Hungary Confirmed 6/1/2020    131     3892     4017     4199       50     3996     5574     4352
TAB:  Hungary Confirmed .           132     3921     4017     4229       57     4081    10462     4674
TAB:  Hungary Confirmed 6/3/2020    133     3931     4017     4229       62     4229     5268     4526
TAB:  Hungary Confirmed .           134     3954     4017     4229       58     4229     5268     4526
TAB:  Hungary Confirmed 6/5/2020    135     3970     4017     4229       57     4229    15063     4674
TAB:  Hungary Confirmed .           136     3990     4017     4229       55     4229     5119     4674
TAB:  Hungary Confirmed 6/7/2020    137     4008     4017     4229       45     4229    20108     4674
TAB:  Hungary Confirmed .           138     4014     4017     4225       28     4106     4701     4392
TAB:  Hungary Confirmed 6/9/2020    139     4017     4017     4226       29     4046     4427     4271
AAA2     1 Hungary Confirmed cc1=  .937306 cc2=  .529058 lx= 10.29829 if=  42 il=  47 3/9/2020   n=   5 now=    4017 end=      29681         9         0 U=    29.36 T=  108.4 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  42. x2=  47. y1=  2.26 y2=  2.09     
GP: Confirmed Hungary 3/9/2020         47    4017    -           9        0     0   177 7/17/2020 
AAA2     1 Hungary Confirmed cc1=  .948424 cc2=  .570459 lx=  4.29829 if=  42 il=  48 3/10/2020  n=   6 now=    4017 end=         73         9         0 U=    11.11 T=   56.3 p1= -98.2 p2=  5502.7 ed=    82 4/13/2020   x1=  42. x2=  48. y1=  1.28 y2=   .74     
GP: Confirmed Hungary 3/10/2020        48    4017       73       9        0     0    82 4/13/2020 
AAA2     1 Hungary Confirmed cc1=  .961251 cc2=  .553003 lx=  4.29829 if=  43 il=  48 3/10/2020  n=   5 now=    4017 end=         73         9         0 U=     9.26 T=   54.9 p1= -98.2 p2=  5502.7 ed=    76 4/7/2020    x1=  43. x2=  48. y1=  1.28 y2=   .74     
GP: Confirmed Hungary 3/10/2020        48    4017       73       9        0     0    76 4/7/2020  
AAA2     1 Hungary Confirmed cc1=  .965876 cc2=  .612323 lx=  4.29829 if=  42 il=  49 3/11/2020  n=   7 now=    4017 end=         73        13         0 U=     9.56 T=   54.3 p1= -98.2 p2=  5502.7 ed=    76 4/7/2020    x1=  42. x2=  49. y1=  1.28 y2=   .55     
GP: Confirmed Hungary 3/11/2020        49    4017       73      13        0     0    76 4/7/2020  
AAA2     1 Hungary Confirmed cc1=  .974911 cc2=  .596946 lx=  4.29829 if=  43 il=  49 3/11/2020  n=   6 now=    4017 end=         73        13         0 U=     8.19 T=   53.5 p1= -98.2 p2=  5502.7 ed=    72 4/3/2020    x1=  43. x2=  49. y1=  1.28 y2=   .55     
GP: Confirmed Hungary 3/11/2020        49    4017       73      13        0     0    72 4/3/2020  
AAA2     1 Hungary Confirmed cc1=  .967861 cc2=  .559613 lx=  4.29829 if=  44 il=  49 3/11/2020  n=   5 now=    4017 end=         73        13         0 U=     6.83 T=   52.8 p1= -98.2 p2=  5502.7 ed=    68 3/30/2020   x1=  44. x2=  49. y1=  1.28 y2=   .55     
GP: Confirmed Hungary 3/11/2020        49    4017       73      13        0     0    68 3/30/2020 
AAA2     1 Hungary Confirmed cc1=  .969684 cc2=  .636351 lx=  4.29829 if=  42 il=  50 3/12/2020  n=   8 now=    4017 end=         73        13         0 U=    10.92 T=   56.0 p1= -98.2 p2=  5502.7 ed=    81 4/12/2020   x1=  42. x2=  50. y1=  1.28 y2=   .55     
GP: Confirmed Hungary 3/12/2020        50    4017       73      13        0     0    81 4/12/2020 
AAA2     1 Hungary Confirmed cc1=  .971603 cc2=  .618050 lx=  4.29829 if=  43 il=  50 3/12/2020  n=   7 now=    4017 end=         73        13         0 U=     9.56 T=   55.3 p1= -98.2 p2=  5502.7 ed=    77 4/8/2020    x1=  43. x2=  50. y1=  1.28 y2=   .55     
GP: Confirmed Hungary 3/12/2020        50    4017       73      13        0     0    77 4/8/2020  
AAA2     1 Hungary Confirmed cc1=  .959890 cc2=  .581925 lx=  4.29829 if=  44 il=  50 3/12/2020  n=   6 now=    4017 end=         73        13         0 U=     8.19 T=   54.5 p1= -98.2 p2=  5502.7 ed=    73 4/4/2020    x1=  44. x2=  50. y1=  1.28 y2=   .55     
GP: Confirmed Hungary 3/12/2020        50    4017       73      13        0     0    73 4/4/2020  
AAA2     1 Hungary Confirmed cc1=  .955382 cc2=  .547133 lx=  4.29829 if=  45 il=  50 3/12/2020  n=   5 now=    4017 end=         73        13         0 U=     9.64 T=   55.3 p1= -98.2 p2=  5502.7 ed=    78 4/9/2020    x1=  45. x2=  50. y1=  1.07 y2=   .55     
GP: Confirmed Hungary 3/12/2020        50    4017       73      13        0     0    78 4/9/2020  
AAA1     1 Hungary Confirmed cc1=  .977433 cc2=  .661205 lx=  4.33829 if=  42 il=  51 3/13/2020  n=   9 now=    4017 end=         76        19        74 U=     9.36 T=   54.1 p1= -98.1 p2=  5285.5 ed=    76 4/7/2020    x1=  42. x2=  51. y1=  1.29 y2=   .33 BEST
AAA2     1 Hungary Confirmed cc1=  .977433 cc2=  .661205 lx=  4.33929 if=  42 il=  51 3/13/2020  n=   9 now=    4017 end=         76        19        74 U=     9.36 T=   54.1 p1= -98.1 p2=  5285.5 ed=    76 4/7/2020    x1=  42. x2=  51. y1=  1.29 y2=   .33 BEST
GP: Confirmed Hungary 3/13/2020        51    4017       76      19       74     4    76 4/7/2020  
AAA1     1 Hungary Confirmed cc1=  .980069 cc2=  .646736 lx=  4.29829 if=  43 il=  51 3/13/2020  n=   8 now=    4017 end=         73        19        74 U=     8.17 T=   53.5 p1= -98.2 p2=  5502.7 ed=    72 4/3/2020    x1=  43. x2=  51. y1=  1.28 y2=   .30 BEST
AAA2     1 Hungary Confirmed cc1=  .980305 cc2=  .646736 lx=  4.19829 if=  43 il=  51 3/13/2020  n=   8 now=    4017 end=         73        19        74 U=     8.17 T=   53.5 p1= -98.2 p2=  5502.7 ed=    72 4/3/2020    x1=  43. x2=  51. y1=  1.28 y2=   .30 BEST
GP: Confirmed Hungary 3/13/2020        51    4017       73      19       74     4    72 4/3/2020  
AAA1     1 Hungary Confirmed cc1=  .973432 cc2=  .619878 lx=  4.29829 if=  44 il=  51 3/13/2020  n=   7 now=    4017 end=         73        19        74 U=     7.15 T=   53.2 p1= -98.2 p2=  5502.7 ed=    70 4/1/2020    x1=  44. x2=  51. y1=  1.28 y2=   .30 BEST
AAA2     1 Hungary Confirmed cc1=  .973972 cc2=  .619878 lx=  4.19829 if=  44 il=  51 3/13/2020  n=   7 now=    4017 end=         73        19        74 U=     7.15 T=   53.2 p1= -98.2 p2=  5502.7 ed=    70 4/1/2020    x1=  44. x2=  51. y1=  1.28 y2=   .30 BEST
GP: Confirmed Hungary 3/13/2020        51    4017       73      19       74     4    70 4/1/2020  
AAA1     1 Hungary Confirmed cc1=  .969673 cc2=  .591708 lx=  4.55829 if=  45 il=  51 3/13/2020  n=   6 now=    4017 end=         95        19        74 U=     8.88 T=   55.2 p1= -97.6 p2=  4228.4 ed=    76 4/7/2020    x1=  45. x2=  51. y1=  1.15 y2=   .48 BEST
AAA2     1 Hungary Confirmed cc1=  .969673 cc2=  .591708 lx=  4.55629 if=  45 il=  51 3/13/2020  n=   6 now=    4017 end=         95        19        74 U=     8.88 T=   55.2 p1= -97.6 p2=  4228.4 ed=    76 4/7/2020    x1=  45. x2=  51. y1=  1.15 y2=   .48 BEST
GP: Confirmed Hungary 3/13/2020        51    4017       95      19       74     4    76 4/7/2020  
AAA2     1 Hungary Confirmed cc1=  .964193 cc2=  .555944 lx= 10.29829 if=  46 il=  51 3/13/2020  n=   5 now=    4017 end=      29681        19        74 U=    39.27 T=  129.4 p1= 638.9 p2=    13.5 ed=   222 8/31/2020   x1=  46. x2=  51. y1=  2.12 y2=  2.00     
GP: Confirmed Hungary 3/13/2020        51    4017    -          19       74     4   222 8/31/2020 
AAA2     1 Hungary Confirmed cc1=  .978767 cc2=  .677256 lx=  8.49829 if=  42 il=  52 3/14/2020  n=  10 now=    4017 end=       4906        30       519 U=    23.47 T=   90.2 p1=  22.1 p2=    81.9 ed=   145 6/15/2020   x1=  42. x2=  52. y1=  2.05 y2=  1.63     
GP: Confirmed Hungary 3/14/2020        52    4017     4906      30      519     1   145 6/15/2020 
