TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       16492.00000        9.71063
TAB:  US_New_Jersey_Passaic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .957969 cc2=  .580004 lx= 11.71063 if=  51 il=  57 3/19/2020  n=   6 now=   16492 end=     121860        38     30769 U=    19.30 T=   97.3 p1= 638.9 p2=    13.5 ed=   142 6/12/2020   x1=  51. x2=  57. y1=  2.40 y2=  2.09     
GP: Confirmed US_New_Jersey_Passaic 3/19/2020        57   16492    -          38    30769     1   142 6/12/2020 
AAA1     1 US_New_Jersey_Passaic Confirmed cc1=  .976562 cc2=  .568314 lx= 10.33063 if=  52 il=  57 3/19/2020  n=   5 now=   16492 end=      30657        38     30769 U=    13.71 T=   83.1 p1=  85.9 p2=    53.8 ed=   115 5/16/2020   x1=  52. x2=  57. y1=  2.27 y2=  1.90 BEST
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .976562 cc2=  .568314 lx= 10.32663 if=  52 il=  57 3/19/2020  n=   5 now=   16492 end=      30657        38     30769 U=    13.71 T=   83.1 p1=  85.9 p2=    53.8 ed=   115 5/16/2020   x1=  52. x2=  57. y1=  2.27 y2=  1.90 BEST
GP: Confirmed US_New_Jersey_Passaic 3/19/2020        57   16492    30657      38    30769     1   115 5/16/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .956683 cc2=  .655171 lx= 11.71063 if=  48 il=  58 3/20/2020  n=  10 now=   16492 end=     121860        49       304 U=    24.75 T=  108.9 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  48. x2=  58. y1=  2.46 y2=  2.06     
GP: Confirmed US_New_Jersey_Passaic 3/20/2020        58   16492    -          49      304     1   167 7/7/2020  
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .968494 cc2=  .652267 lx= 11.71063 if=  49 il=  58 3/20/2020  n=   9 now=   16492 end=     121860        49       304 U=    22.28 T=  103.8 p1= 638.9 p2=    13.5 ed=   156 6/26/2020   x1=  49. x2=  58. y1=  2.46 y2=  2.06     
GP: Confirmed US_New_Jersey_Passaic 3/20/2020        58   16492    -          49      304     1   156 6/26/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .974831 cc2=  .641498 lx= 11.71063 if=  50 il=  58 3/20/2020  n=   8 now=   16492 end=     121860        49       304 U=    19.80 T=   98.7 p1= 638.9 p2=    13.5 ed=   145 6/15/2020   x1=  50. x2=  58. y1=  2.46 y2=  2.06     
GP: Confirmed US_New_Jersey_Passaic 3/20/2020        58   16492    -          49      304     1   145 6/15/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .971781 cc2=  .618227 lx= 11.71063 if=  51 il=  58 3/20/2020  n=   7 now=   16492 end=     121860        49       304 U=    20.41 T=  100.0 p1= 638.9 p2=    13.5 ed=   148 6/18/2020   x1=  51. x2=  58. y1=  2.40 y2=  2.06     
GP: Confirmed US_New_Jersey_Passaic 3/20/2020        58   16492    -          49      304     1   148 6/18/2020 
AAA2     1 US_New_Jersey_Passaic Confirmed cc1=  .984359 cc2=  .606395 lx=  7.32063 if=  52 il=  58 3/20/2020  n=   6 now=   16492 end=       1511        49       304 U=     9.10 T=   69.2 p1= -90.8 p2=  1091.5 ed=    90 4/21/2020   x1=  52. x2=  58. y1=  1.89 y2=  1.23     
GP: Confirmed US_New_Jersey_Passaic 3/20/2020        58   16492     1511      49      304     1    90 4/21/2020 
