TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       25215.00000       10.13519
TAB:  Ireland Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Ireland Confirmed .           102    21506    25215    24586       11    23647    37115    30851
TAB:  Ireland Confirmed 5/4/2020    103    21772    25215    24669        7    23829    37686    29078
TAB:  Ireland Confirmed .           104    21983    25215    24761        8    23910    33780    28675
TAB:  Ireland Confirmed 5/6/2020    105    22248    25215    24771        9    24270    33111    28107
TAB:  Ireland Confirmed .           106    22385    25215    24686       11    23553    32133    28086
TAB:  Ireland Confirmed 5/8/2020    107    22541    25215    24515       11    23563    31496    27530
TAB:  Ireland Confirmed .           108    22760    25215    24496       13    24030    30873    27296
TAB:  Ireland Confirmed 5/10/2020   109    22996    25215    24686       24    24686    39591    28413
TAB:  Ireland Confirmed .           110    23135    25215    24686       22    24686    42386    28413
TAB:  Ireland Confirmed 5/12/2020   111    23242    25215    24781       18    24041    29368    26704
TAB:  Ireland Confirmed .           112    23401    25215    24681       15    24241    29075    26438
TAB:  Ireland Confirmed 5/14/2020   113    23827    25215    25618       26    24686    48907    27481
TAB:  Ireland Confirmed .           114    23956    25215    25618       28    25618    71265    28413
TAB:  Ireland Confirmed 5/16/2020   115    24048    25215    25618       28    24686    43318    28413
TAB:  Ireland Confirmed .           116    24112    25215    25618       30    24686    51702    28413
TAB:  Ireland Confirmed 5/18/2020   117    24200    25215    25432       15    24526    29356    26790
TAB:  Ireland Confirmed .           118    24251    25215    25450       17    24485    27382    26278
TAB:  Ireland Confirmed 5/20/2020   119    24315    25215    25471       17    24515    27110    25744
TAB:  Ireland Confirmed .           120    24391    25215    25450       22    24761    27106    26002
TAB:  Ireland Confirmed 5/22/2020   121    24506    25215    25618       50    24686    27481    26549
TAB:  Ireland Confirmed .           122    24582    25215    25618       53    24686    29344    26549
TAB:  Ireland Confirmed 5/24/2020   123    24639    25215    25618       57    24686    29344    26549
TAB:  Ireland Confirmed .           124    24698    25215    25618       64    24686    43318    26549
TAB:  Ireland Confirmed 5/26/2020   125    24735    25215    25484       39    24910    26776    25915
TAB:  Ireland Confirmed .           126    24803    25215    25488       40    25217    26840    26028
TAB:  Ireland Confirmed 5/28/2020   127    24841    25215    25522       42    25259    26047    25784
TAB:  Ireland Confirmed .           128    24876    25215    25522       43    25259    26047    25784
TAB:  Ireland Confirmed 5/30/2020   129    24929    25215    25522       46    25259    26047    25784
TAB:  Ireland Confirmed .           130    24990    25215    25618       81    25618    35865    27481
TAB:  Ireland Confirmed 6/1/2020    131    25062    25215    25618       79    25618    30276    26549
TAB:  Ireland Confirmed .           132    25066    25215    25618       81    25618    34934    27481
TAB:  Ireland Confirmed 6/3/2020    133    25111    25215    25441       52    25271    29866    26462
TAB:  Ireland Confirmed .           134    25142    25215    25512       53    25247    26308    25778
TAB:  Ireland Confirmed 6/5/2020    135    25163    25215    25527       56    25267    25787    25527
TAB:  Ireland Confirmed .           136    25183    25215    25531       60    25531    25531    25531
TAB:  Ireland Confirmed 6/7/2020    137    25201    25215    25531       69    25531    25531    25531
TAB:  Ireland Confirmed .           138    25207    25215    25531       73    25273    25531    25531
TAB:  Ireland Confirmed 6/9/2020    139    25215    25215    25531       77    25531    25531    25531
AAA2     1 Ireland Confirmed cc1=  .912719 cc2=  .504470 lx= 12.13519 if=  38 il=  43 3/5/2020   n=   5 now=   25215 end=     186315         6         0 U=    31.30 T=  116.1 p1= 638.9 p2=    13.5 ed=   189 7/29/2020   x1=  38. x2=  43. y1=  2.50 y2=  2.34     
GP: Confirmed Ireland 3/5/2020         43   25215    -           6        0     0   189 7/29/2020 
AAA2     1 Ireland Confirmed cc1=  .938208 cc2=  .560243 lx= 12.13519 if=  38 il=  44 3/6/2020   n=   6 now=   25215 end=     186315        18         0 U=    22.06 T=   93.1 p1= 638.9 p2=    13.5 ed=   145 6/15/2020   x1=  38. x2=  44. y1=  2.50 y2=  2.22     
GP: Confirmed Ireland 3/6/2020         44   25215    -          18        0     0   145 6/15/2020 
AAA2     1 Ireland Confirmed cc1=  .962902 cc2=  .554654 lx= 12.13519 if=  39 il=  44 3/6/2020   n=   5 now=   25215 end=     186315        18         0 U=    18.38 T=   84.9 p1= 638.9 p2=    13.5 ed=   128 5/29/2020   x1=  39. x2=  44. y1=  2.50 y2=  2.22     
GP: Confirmed Ireland 3/6/2020         44   25215    -          18        0     0   128 5/29/2020 
AAA2     1 Ireland Confirmed cc1=  .956551 cc2=  .602998 lx= 12.13519 if=  38 il=  45 3/7/2020   n=   7 now=   25215 end=     186315        18      1397 U=    25.73 T=  102.2 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  38. x2=  45. y1=  2.50 y2=  2.22     
GP: Confirmed Ireland 3/7/2020         45   25215    -          18     1397     1   162 7/2/2020  
AAA2     1 Ireland Confirmed cc1=  .970419 cc2=  .592454 lx= 12.13519 if=  39 il=  45 3/7/2020   n=   6 now=   25215 end=     186315        18      1397 U=    22.06 T=   94.1 p1= 638.9 p2=    13.5 ed=   146 6/16/2020   x1=  39. x2=  45. y1=  2.50 y2=  2.22     
GP: Confirmed Ireland 3/7/2020         45   25215    -          18     1397     1   146 6/16/2020 
AAA1     1 Ireland Confirmed cc1=  .970732 cc2=  .562483 lx=  7.18519 if=  40 il=  45 3/7/2020   n=   5 now=   25215 end=       1319        18      1397 U=     9.72 T=   59.2 p1= -94.8 p2=  1911.7 ed=    82 4/13/2020   x1=  40. x2=  45. y1=  1.97 y2=  1.46 BEST
AAA2     1 Ireland Confirmed cc1=  .970732 cc2=  .562483 lx=  7.18519 if=  40 il=  45 3/7/2020   n=   5 now=   25215 end=       1319        18      1397 U=     9.72 T=   59.2 p1= -94.8 p2=  1911.7 ed=    82 4/13/2020   x1=  40. x2=  45. y1=  1.97 y2=  1.46 BEST
GP: Confirmed Ireland 3/7/2020         45   25215     1319      18     1397     1    82 4/13/2020 
AAA2     1 Ireland Confirmed cc1=  .960162 cc2=  .626828 lx= 12.13519 if=  38 il=  46 3/8/2020   n=   8 now=   25215 end=     186315        19       465 U=    28.79 T=  109.9 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  38. x2=  46. y1=  2.50 y2=  2.22     
GP: Confirmed Ireland 3/8/2020         46   25215    -          19      465     3   177 7/17/2020 
AAA1     1 Ireland Confirmed cc1=  .964877 cc2=  .611324 lx=  6.58519 if=  39 il=  46 3/8/2020   n=   7 now=   25215 end=        724        19       465 U=    11.81 T=   61.3 p1= -97.1 p2=  3482.7 ed=    89 4/20/2020   x1=  39. x2=  46. y1=  1.88 y2=  1.29 BEST
AAA2     1 Ireland Confirmed cc1=  .964877 cc2=  .611324 lx=  6.59019 if=  39 il=  46 3/8/2020   n=   7 now=   25215 end=        724        19       465 U=    11.81 T=   61.3 p1= -97.1 p2=  3482.7 ed=    89 4/20/2020   x1=  39. x2=  46. y1=  1.88 y2=  1.29 BEST
GP: Confirmed Ireland 3/8/2020         46   25215      724      19      465     3    89 4/20/2020 
AAA1     1 Ireland Confirmed cc1=  .957850 cc2=  .579886 lx=  6.13519 if=  40 il=  46 3/8/2020   n=   6 now=   25215 end=        461        19       465 U=     9.18 T=   56.6 p1= -98.2 p2=  5469.6 ed=    78 4/9/2020    x1=  40. x2=  46. y1=  1.81 y2=  1.16 BEST
AAA2     1 Ireland Confirmed cc1=  .957961 cc2=  .579886 lx=  6.03519 if=  40 il=  46 3/8/2020   n=   6 now=   25215 end=        461        19       465 U=     9.18 T=   56.6 p1= -98.2 p2=  5469.6 ed=    78 4/9/2020    x1=  40. x2=  46. y1=  1.81 y2=  1.16 BEST
GP: Confirmed Ireland 3/8/2020         46   25215      461      19      465     3    78 4/9/2020  
AAA1     1 Ireland Confirmed cc1=  .931849 cc2=  .523601 lx=  6.13519 if=  41 il=  46 3/8/2020   n=   5 now=   25215 end=        461        19       465 U=     9.37 T=   56.9 p1= -98.2 p2=  5469.6 ed=    78 4/9/2020    x1=  41. x2=  46. y1=  1.69 y2=  1.16 BEST
AAA2     1 Ireland Confirmed cc1=  .931996 cc2=  .523601 lx=  6.03519 if=  41 il=  46 3/8/2020   n=   5 now=   25215 end=        461        19       465 U=     9.37 T=   56.9 p1= -98.2 p2=  5469.6 ed=    78 4/9/2020    x1=  41. x2=  46. y1=  1.69 y2=  1.16 BEST
GP: Confirmed Ireland 3/8/2020         46   25215      461      19      465     3    78 4/9/2020  
AAA2     1 Ireland Confirmed cc1=  .959213 cc2=  .642985 lx=  6.13519 if=  38 il=  47 3/9/2020   n=   9 now=   25215 end=        461        21         0 U=    13.13 T=   61.8 p1= -98.2 p2=  5469.6 ed=    92 4/23/2020   x1=  38. x2=  47. y1=  1.81 y2=  1.13     
GP: Confirmed Ireland 3/9/2020         47   25215      461      21        0     0    92 4/23/2020 
AAA2     1 Ireland Confirmed cc1=  .958689 cc2=  .625356 lx=  6.13519 if=  39 il=  47 3/9/2020   n=   8 now=   25215 end=        461        21         0 U=    11.67 T=   60.2 p1= -98.2 p2=  5469.6 ed=    87 4/18/2020   x1=  39. x2=  47. y1=  1.81 y2=  1.13     
GP: Confirmed Ireland 3/9/2020         47   25215      461      21        0     0    87 4/18/2020 
AAA2     1 Ireland Confirmed cc1=  .945541 cc2=  .591988 lx=  6.13519 if=  40 il=  47 3/9/2020   n=   7 now=   25215 end=        461        21         0 U=    10.21 T=   58.5 p1= -98.2 p2=  5469.6 ed=    82 4/13/2020   x1=  40. x2=  47. y1=  1.81 y2=  1.13     
GP: Confirmed Ireland 3/9/2020         47   25215      461      21        0     0    82 4/13/2020 
AAA2     1 Ireland Confirmed cc1=  .918998 cc2=  .541034 lx=  6.13519 if=  41 il=  47 3/9/2020   n=   6 now=   25215 end=        461        21         0 U=    10.61 T=   59.0 p1= -98.2 p2=  5469.6 ed=    83 4/14/2020   x1=  41. x2=  47. y1=  1.69 y2=  1.13     
GP: Confirmed Ireland 3/9/2020         47   25215      461      21        0     0    83 4/14/2020 
AAA2     1 Ireland Confirmed cc1=  .968839 cc2=  .667328 lx=  6.13519 if=  38 il=  48 3/10/2020  n=  10 now=   25215 end=        461        34         0 U=    11.69 T=   59.2 p1= -98.2 p2=  5469.6 ed=    86 4/17/2020   x1=  38. x2=  48. y1=  1.81 y2=   .96     
GP: Confirmed Ireland 3/10/2020        48   25215      461      34        0     0    86 4/17/2020 
AAA2     1 Ireland Confirmed cc1=  .968263 cc2=  .652035 lx=  6.13519 if=  39 il=  48 3/10/2020  n=   9 now=   25215 end=        461        34         0 U=    10.52 T=   58.1 p1= -98.2 p2=  5469.6 ed=    82 4/13/2020   x1=  39. x2=  48. y1=  1.81 y2=   .96     
GP: Confirmed Ireland 3/10/2020        48   25215      461      34        0     0    82 4/13/2020 
AAA2     1 Ireland Confirmed cc1=  .958617 cc2=  .625283 lx=  6.13519 if=  40 il=  48 3/10/2020  n=   8 now=   25215 end=        461        34         0 U=     9.36 T=   57.0 p1= -98.2 p2=  5469.6 ed=    79 4/10/2020   x1=  40. x2=  48. y1=  1.81 y2=   .96     
GP: Confirmed Ireland 3/10/2020        48   25215      461      34        0     0    79 4/10/2020 
AAA2     1 Ireland Confirmed cc1=  .943165 cc2=  .589612 lx=  6.13519 if=  41 il=  48 3/10/2020  n=   7 now=   25215 end=        461        34         0 U=     9.52 T=   57.1 p1= -98.2 p2=  5469.6 ed=    79 4/10/2020   x1=  41. x2=  48. y1=  1.69 y2=   .96     
GP: Confirmed Ireland 3/10/2020        48   25215      461      34        0     0    79 4/10/2020 
AAA2     1 Ireland Confirmed cc1=  .923790 cc2=  .545826 lx=  6.13519 if=  42 il=  48 3/10/2020  n=   6 now=   25215 end=        461        34         0 U=    11.77 T=   59.3 p1= -98.2 p2=  5469.6 ed=    87 4/18/2020   x1=  42. x2=  48. y1=  1.47 y2=   .96     
GP: Confirmed Ireland 3/10/2020        48   25215      461      34        0     0    87 4/18/2020 
AAA2     1 Ireland Confirmed cc1=  .975739 cc2=  .687064 lx=  6.13519 if=  38 il=  49 3/11/2020  n=  11 now=   25215 end=        461        43         0 U=    11.59 T=   59.0 p1= -98.2 p2=  5469.6 ed=    86 4/17/2020   x1=  38. x2=  49. y1=  1.81 y2=   .86     
GP: Confirmed Ireland 3/11/2020        49   25215      461      43        0     0    86 4/17/2020 
AAA2     1 Ireland Confirmed cc1=  .975262 cc2=  .673751 lx=  6.13519 if=  39 il=  49 3/11/2020  n=  10 now=   25215 end=        461        43         0 U=    10.53 T=   58.1 p1= -98.2 p2=  5469.6 ed=    82 4/13/2020   x1=  39. x2=  49. y1=  1.81 y2=   .86     
GP: Confirmed Ireland 3/11/2020        49   25215      461      43        0     0    82 4/13/2020 
AAA2     1 Ireland Confirmed cc1=  .968185 cc2=  .651957 lx=  6.13519 if=  40 il=  49 3/11/2020  n=   9 now=   25215 end=        461        43         0 U=     9.48 T=   57.2 p1= -98.2 p2=  5469.6 ed=    79 4/10/2020   x1=  40. x2=  49. y1=  1.81 y2=   .86     
GP: Confirmed Ireland 3/11/2020        49   25215      461      43        0     0    79 4/10/2020 
AAA2     1 Ireland Confirmed cc1=  .959084 cc2=  .625751 lx=  6.13519 if=  41 il=  49 3/11/2020  n=   8 now=   25215 end=        461        43         0 U=     9.64 T=   57.3 p1= -98.2 p2=  5469.6 ed=    80 4/11/2020   x1=  41. x2=  49. y1=  1.69 y2=   .86     
GP: Confirmed Ireland 3/11/2020        49   25215      461      43        0     0    80 4/11/2020 
AAA2     1 Ireland Confirmed cc1=  .949622 cc2=  .596068 lx=  6.13519 if=  42 il=  49 3/11/2020  n=   7 now=   25215 end=        461        43         0 U=    11.59 T=   59.0 p1= -98.2 p2=  5469.6 ed=    86 4/17/2020   x1=  42. x2=  49. y1=  1.47 y2=   .86     
GP: Confirmed Ireland 3/11/2020        49   25215      461      43        0     0    86 4/17/2020 
AAA2     1 Ireland Confirmed cc1=  .926271 cc2=  .548306 lx=  6.13519 if=  43 il=  49 3/11/2020  n=   6 now=   25215 end=        461        43         0 U=     9.93 T=   57.6 p1= -98.2 p2=  5469.6 ed=    81 4/12/2020   x1=  43. x2=  49. y1=  1.47 y2=   .86     
GP: Confirmed Ireland 3/11/2020        49   25215      461      43        0     0    81 4/12/2020 
AAA1     1 Ireland Confirmed cc1=  .977432 cc2=  .700082 lx=  6.13519 if=  38 il=  50 3/12/2020  n=  12 now=   25215 end=        461        43       465 U=    12.64 T=   60.9 p1= -98.2 p2=  5469.6 ed=    90 4/21/2020   x1=  38. x2=  50. y1=  1.81 y2=   .86 BEST
AAA2     1 Ireland Confirmed cc1=  .977687 cc2=  .700082 lx=  6.03519 if=  38 il=  50 3/12/2020  n=  12 now=   25215 end=        461        43       465 U=    12.64 T=   60.9 p1= -98.2 p2=  5469.6 ed=    90 4/21/2020   x1=  38. x2=  50. y1=  1.81 y2=   .86 BEST
GP: Confirmed Ireland 3/12/2020        50   25215      461      43      465     6    90 4/21/2020 
AAA1     1 Ireland Confirmed cc1=  .975645 cc2=  .686970 lx=  6.13519 if=  39 il=  50 3/12/2020  n=  11 now=   25215 end=        461        43       465 U=    11.59 T=   60.0 p1= -98.2 p2=  5469.6 ed=    87 4/18/2020   x1=  39. x2=  50. y1=  1.81 y2=   .86 BEST
AAA2     1 Ireland Confirmed cc1=  .976057 cc2=  .686970 lx=  6.03519 if=  39 il=  50 3/12/2020  n=  11 now=   25215 end=        461        43       465 U=    11.59 T=   60.0 p1= -98.2 p2=  5469.6 ed=    87 4/18/2020   x1=  39. x2=  50. y1=  1.81 y2=   .86 BEST
GP: Confirmed Ireland 3/12/2020        50   25215      461      43      465     6    87 4/18/2020 
AAA1     1 Ireland Confirmed cc1=  .968673 cc2=  .667162 lx=  6.13519 if=  40 il=  50 3/12/2020  n=  10 now=   25215 end=        461        43       465 U=    10.53 T=   59.1 p1= -98.2 p2=  5469.6 ed=    83 4/14/2020   x1=  40. x2=  50. y1=  1.81 y2=   .86 BEST
AAA2     1 Ireland Confirmed cc1=  .969254 cc2=  .667162 lx=  6.03519 if=  40 il=  50 3/12/2020  n=  10 now=   25215 end=        461        43       465 U=    10.53 T=   59.1 p1= -98.2 p2=  5469.6 ed=    83 4/14/2020   x1=  40. x2=  50. y1=  1.81 y2=   .86 BEST
GP: Confirmed Ireland 3/12/2020        50   25215      461      43      465     6    83 4/14/2020 
AAA1     1 Ireland Confirmed cc1=  .962199 cc2=  .645971 lx=  6.13519 if=  41 il=  50 3/12/2020  n=   9 now=   25215 end=        461        43       465 U=    10.85 T=   59.4 p1= -98.2 p2=  5469.6 ed=    84 4/15/2020   x1=  41. x2=  50. y1=  1.69 y2=   .86 BEST
AAA2     1 Ireland Confirmed cc1=  .962756 cc2=  .645971 lx=  6.03519 if=  41 il=  50 3/12/2020  n=   9 now=   25215 end=        461        43       465 U=    10.85 T=   59.4 p1= -98.2 p2=  5469.6 ed=    84 4/15/2020   x1=  41. x2=  50. y1=  1.69 y2=   .86 BEST
GP: Confirmed Ireland 3/12/2020        50   25215      461      43      465     6    84 4/15/2020 
AAA1     1 Ireland Confirmed cc1=  .957578 cc2=  .624244 lx=  6.13519 if=  42 il=  50 3/12/2020  n=   8 now=   25215 end=        461        43       465 U=    13.24 T=   61.4 p1= -98.2 p2=  5469.6 ed=    92 4/23/2020   x1=  42. x2=  50. y1=  1.47 y2=   .86 BEST
AAA2     1 Ireland Confirmed cc1=  .957914 cc2=  .624244 lx=  6.03519 if=  42 il=  50 3/12/2020  n=   8 now=   25215 end=        461        43       465 U=    13.24 T=   61.4 p1= -98.2 p2=  5469.6 ed=    92 4/23/2020   x1=  42. x2=  50. y1=  1.47 y2=   .86 BEST
GP: Confirmed Ireland 3/12/2020        50   25215      461      43      465     6    92 4/23/2020 
AAA1     1 Ireland Confirmed cc1=  .939429 cc2=  .585876 lx=  6.13519 if=  43 il=  50 3/12/2020  n=   7 now=   25215 end=        461        43       465 U=    11.59 T=   60.0 p1= -98.2 p2=  5469.6 ed=    87 4/18/2020   x1=  43. x2=  50. y1=  1.47 y2=   .86 BEST
AAA2     1 Ireland Confirmed cc1=  .939969 cc2=  .585876 lx=  6.03519 if=  43 il=  50 3/12/2020  n=   7 now=   25215 end=        461        43       465 U=    11.59 T=   60.0 p1= -98.2 p2=  5469.6 ed=    87 4/18/2020   x1=  43. x2=  50. y1=  1.47 y2=   .86 BEST
GP: Confirmed Ireland 3/12/2020        50   25215      461      43      465     6    87 4/18/2020 
AAA2     1 Ireland Confirmed cc1=  .935281 cc2=  .557316 lx= 12.13519 if=  44 il=  50 3/12/2020  n=   6 now=   25215 end=     186315        43       465 U=    60.65 T=  178.9 p1= 638.9 p2=    13.5 ed=   322 12/9/2020   x1=  44. x2=  50. y1=  2.22 y2=  2.13     
GP: Confirmed Ireland 3/12/2020        50   25215    -          43      465     6   322 12/9/2020 
AAA2     1 Ireland Confirmed cc1=  .953574 cc2=  .545326 lx= 12.13519 if=  45 il=  50 3/12/2020  n=   5 now=   25215 end=     186315        43       465 U=    50.54 T=  157.4 p1= 638.9 p2=    13.5 ed=   276 10/24/2020  x1=  45. x2=  50. y1=  2.22 y2=  2.13     
GP: Confirmed Ireland 3/12/2020        50   25215    -          43      465     6   276 10/24/2020
AAA1     1 Ireland Confirmed cc1=  .978268 cc2=  .711007 lx=  7.36519 if=  38 il=  51 3/13/2020  n=  13 now=   25215 end=       1580        90      1397 U=    13.77 T=   65.5 p1= -93.7 p2=  1595.9 ed=    97 4/28/2020   x1=  38. x2=  51. y1=  2.00 y2=  1.05 BEST
