TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6935.00000        8.84434
TAB:  Honduras Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed Honduras 3/18/2020        56    6935    -           9      128     1   225 9/3/2020  
AAA1     1 Honduras Confirmed cc1=  .968983 cc2=  .560735 lx=  4.84434 if=  51 il=  56 3/18/2020  n=   5 now=    6935 end=        127         9       128 U=    11.11 T=   66.8 p1= -98.2 p2=  5460.6 ed=    93 4/24/2020   x1=  51. x2=  56. y1=  1.42 y2=   .97 BEST
AAA2     1 Honduras Confirmed cc1=  .969023 cc2=  .560735 lx=  4.74434 if=  51 il=  56 3/18/2020  n=   5 now=    6935 end=        127         9       128 U=    11.11 T=   66.8 p1= -98.2 p2=  5460.6 ed=    93 4/24/2020   x1=  51. x2=  56. y1=  1.42 y2=   .97 BEST
GP: Confirmed Honduras 3/18/2020        56    6935      127       9      128     1    93 4/24/2020 
AAA2     1 Honduras Confirmed cc1=  .944568 cc2=  .611235 lx= 10.84434 if=  49 il=  57 3/19/2020  n=   8 now=    6935 end=      51243        12       128 U=    41.19 T=  144.5 p1= 638.9 p2=    13.5 ed=   241 9/19/2020   x1=  49. x2=  57. y1=  2.32 y2=  2.12     
GP: Confirmed Honduras 3/19/2020        57    6935    -          12      128     3   241 9/19/2020 
AAA1     1 Honduras Confirmed cc1=  .964238 cc2=  .610684 lx=  5.27434 if=  50 il=  57 3/19/2020  n=   7 now=    6935 end=        195        12       128 U=    14.11 T=   71.5 p1= -97.2 p2=  3556.4 ed=   104 5/5/2020    x1=  50. x2=  57. y1=  1.52 y2=  1.03 BEST
AAA2     1 Honduras Confirmed cc1=  .964238 cc2=  .610684 lx=  5.27834 if=  50 il=  57 3/19/2020  n=   7 now=    6935 end=        195        12       128 U=    14.11 T=   71.5 p1= -97.2 p2=  3556.4 ed=   104 5/5/2020    x1=  50. x2=  57. y1=  1.52 y2=  1.03 BEST
GP: Confirmed Honduras 3/19/2020        57    6935      195      12      128     3   104 5/5/2020  
AAA1     1 Honduras Confirmed cc1=  .979585 cc2=  .601620 lx=  4.84434 if=  51 il=  57 3/19/2020  n=   6 now=    6935 end=        127        12       128 U=    10.62 T=   66.1 p1= -98.2 p2=  5460.6 ed=    91 4/22/2020   x1=  51. x2=  57. y1=  1.42 y2=   .86 BEST
AAA2     1 Honduras Confirmed cc1=  .979705 cc2=  .601620 lx=  4.74434 if=  51 il=  57 3/19/2020  n=   6 now=    6935 end=        127        12       128 U=    10.62 T=   66.1 p1= -98.2 p2=  5460.6 ed=    91 4/22/2020   x1=  51. x2=  57. y1=  1.42 y2=   .86 BEST
GP: Confirmed Honduras 3/19/2020        57    6935      127      12      128     3    91 4/22/2020 
AAA1     1 Honduras Confirmed cc1=  .982292 cc2=  .574043 lx=  4.84434 if=  52 il=  57 3/19/2020  n=   5 now=    6935 end=        127        12       128 U=     8.85 T=   64.6 p1= -98.2 p2=  5460.6 ed=    85 4/16/2020   x1=  52. x2=  57. y1=  1.42 y2=   .86 BEST
AAA2     1 Honduras Confirmed cc1=  .982627 cc2=  .574043 lx=  4.74434 if=  52 il=  57 3/19/2020  n=   5 now=    6935 end=        127        12       128 U=     8.85 T=   64.6 p1= -98.2 p2=  5460.6 ed=    85 4/16/2020   x1=  52. x2=  57. y1=  1.42 y2=   .86 BEST
GP: Confirmed Honduras 3/19/2020        57    6935      127      12      128     3    85 4/16/2020 
AAA2     1 Honduras Confirmed cc1=  .950832 cc2=  .634604 lx= 10.84434 if=  49 il=  58 3/20/2020  n=   9 now=    6935 end=      51243        24         0 U=    32.06 T=  123.3 p1= 638.9 p2=    13.5 ed=   198 8/7/2020    x1=  49. x2=  58. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/20/2020        58    6935    -          24        0     0   198 8/7/2020  
AAA2     1 Honduras Confirmed cc1=  .967595 cc2=  .634262 lx= 10.84434 if=  50 il=  58 3/20/2020  n=   8 now=    6935 end=      51243        24         0 U=    28.49 T=  116.0 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  50. x2=  58. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/20/2020        58    6935    -          24        0     0   183 7/23/2020 
AAA2     1 Honduras Confirmed cc1=  .979122 cc2=  .625568 lx= 10.84434 if=  51 il=  58 3/20/2020  n=   7 now=    6935 end=      51243        24         0 U=    24.93 T=  108.8 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  51. x2=  58. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/20/2020        58    6935    -          24        0     0   167 7/7/2020  
AAA2     1 Honduras Confirmed cc1=  .980478 cc2=  .602513 lx= 10.84434 if=  52 il=  58 3/20/2020  n=   6 now=    6935 end=      51243        24         0 U=    21.37 T=  101.5 p1= 638.9 p2=    13.5 ed=   151 6/21/2020   x1=  52. x2=  58. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/20/2020        58    6935    -          24        0     0   151 6/21/2020 
AAA2     1 Honduras Confirmed cc1=  .968591 cc2=  .560343 lx= 10.84434 if=  53 il=  58 3/20/2020  n=   5 now=    6935 end=      51243        24         0 U=    20.83 T=  100.4 p1= 638.9 p2=    13.5 ed=   149 6/19/2020   x1=  53. x2=  58. y1=  2.28 y2=  2.04     
GP: Confirmed Honduras 3/20/2020        58    6935    -          24        0     0   149 6/19/2020 
AAA2     1 Honduras Confirmed cc1=  .963299 cc2=  .661788 lx= 10.84434 if=  49 il=  59 3/21/2020  n=  10 now=    6935 end=      51243        24      5764 U=    35.62 T=  131.5 p1= 638.9 p2=    13.5 ed=   215 8/24/2020   x1=  49. x2=  59. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/21/2020        59    6935    -          24     5764     1   215 8/24/2020 
AAA2     1 Honduras Confirmed cc1=  .976037 cc2=  .659810 lx= 10.84434 if=  50 il=  59 3/21/2020  n=   9 now=    6935 end=      51243        24      5764 U=    32.06 T=  124.3 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  50. x2=  59. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/21/2020        59    6935    -          24     5764     1   199 8/8/2020  
AAA2     1 Honduras Confirmed cc1=  .983795 cc2=  .650461 lx= 10.84434 if=  51 il=  59 3/21/2020  n=   8 now=    6935 end=      51243        24      5764 U=    28.49 T=  117.0 p1= 638.9 p2=    13.5 ed=   184 7/24/2020   x1=  51. x2=  59. y1=  2.32 y2=  2.04     
GP: Confirmed Honduras 3/21/2020        59    6935    -          24     5764     1   184 7/24/2020 
AAA1     1 Honduras Confirmed cc1=  .983415 cc2=  .629861 lx=  8.66434 if=  52 il=  59 3/21/2020  n=   7 now=    6935 end=       5792        24      5764 U=    18.74 T=   90.9 p1= -16.5 p2=   119.7 ed=   135 6/5/2020    x1=  52. x2=  59. y1=  2.08 y2=  1.70 BEST
AAA2     1 Honduras Confirmed cc1=  .983415 cc2=  .629861 lx=  8.66634 if=  52 il=  59 3/21/2020  n=   7 now=    6935 end=       5792        24      5764 U=    18.74 T=   90.9 p1= -16.5 p2=   119.7 ed=   135 6/5/2020    x1=  52. x2=  59. y1=  2.08 y2=  1.70 BEST
GP: Confirmed Honduras 3/21/2020        59    6935     5792      24     5764     1   135 6/5/2020  
AAA2     1 Honduras Confirmed cc1=  .975290 cc2=  .597326 lx= 10.84434 if=  53 il=  59 3/21/2020  n=   6 now=    6935 end=      51243        24      5764 U=    25.00 T=  109.9 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  53. x2=  59. y1=  2.28 y2=  2.04     
GP: Confirmed Honduras 3/21/2020        59    6935    -          24     5764     1   168 7/8/2020  
AAA2     1 Honduras Confirmed cc1=  .963454 cc2=  .555205 lx= 10.84434 if=  54 il=  59 3/21/2020  n=   5 now=    6935 end=      51243        24      5764 U=    30.08 T=  120.3 p1= 638.9 p2=    13.5 ed=   191 7/31/2020   x1=  54. x2=  59. y1=  2.20 y2=  2.04     
GP: Confirmed Honduras 3/21/2020        59    6935    -          24     5764     1   191 7/31/2020 
AAA2     1 Honduras Confirmed cc1=  .970237 cc2=  .681562 lx= 10.84434 if=  49 il=  60 3/22/2020  n=  11 now=    6935 end=      51243        26       384 U=    37.77 T=  136.5 p1= 638.9 p2=    13.5 ed=   225 9/3/2020    x1=  49. x2=  60. y1=  2.32 y2=  2.03     
GP: Confirmed Honduras 3/22/2020        60    6935    -          26      384     2   225 9/3/2020  
AAA2     1 Honduras Confirmed cc1=  .979009 cc2=  .677498 lx= 10.84434 if=  50 il=  60 3/22/2020  n=  10 now=    6935 end=      51243        26       384 U=    34.33 T=  129.6 p1= 638.9 p2=    13.5 ed=   210 8/19/2020   x1=  50. x2=  60. y1=  2.32 y2=  2.03     
GP: Confirmed Honduras 3/22/2020        60    6935    -          26      384     2   210 8/19/2020 
AAA2     1 Honduras Confirmed cc1=  .983108 cc2=  .666880 lx=  7.89434 if=  51 il=  60 3/22/2020  n=   9 now=    6935 end=       2682        26       384 U=    20.44 T=   91.4 p1= -61.3 p2=   258.6 ed=   139 6/9/2020    x1=  51. x2=  60. y1=  1.97 y2=  1.53     
GP: Confirmed Honduras 3/22/2020        60    6935     2682      26      384     2   139 6/9/2020  
AAA1     1 Honduras Confirmed cc1=  .981552 cc2=  .648219 lx=  5.74434 if=  52 il=  60 3/22/2020  n=   8 now=    6935 end=        312        26       384 U=    11.29 T=   70.3 p1= -95.5 p2=  2222.8 ed=    96 4/27/2020   x1=  52. x2=  60. y1=  1.62 y2=   .91 BEST
AAA2     1 Honduras Confirmed cc1=  .981552 cc2=  .648219 lx=  5.74734 if=  52 il=  60 3/22/2020  n=   8 now=    6935 end=        312        26       384 U=    11.29 T=   70.3 p1= -95.5 p2=  2222.8 ed=    96 4/27/2020   x1=  52. x2=  60. y1=  1.62 y2=   .91 BEST
GP: Confirmed Honduras 3/22/2020        60    6935      312      26      384     2    96 4/27/2020 
AAA1     1 Honduras Confirmed cc1=  .973557 cc2=  .620004 lx=  5.90434 if=  53 il=  60 3/22/2020  n=   7 now=    6935 end=        366        26       384 U=    11.73 T=   71.4 p1= -94.7 p2=  1894.8 ed=    99 4/30/2020   x1=  53. x2=  60. y1=  1.57 y2=   .97 BEST
AAA2     1 Honduras Confirmed cc1=  .973557 cc2=  .620004 lx=  5.90834 if=  53 il=  60 3/22/2020  n=   7 now=    6935 end=        366        26       384 U=    11.73 T=   71.4 p1= -94.7 p2=  1894.8 ed=    99 4/30/2020   x1=  53. x2=  60. y1=  1.57 y2=   .97 BEST
GP: Confirmed Honduras 3/22/2020        60    6935      366      26      384     2    99 4/30/2020 
AAA2     1 Honduras Confirmed cc1=  .963747 cc2=  .585782 lx= 10.84434 if=  54 il=  60 3/22/2020  n=   6 now=    6935 end=      51243        26       384 U=    33.95 T=  128.8 p1= 638.9 p2=    13.5 ed=   208 8/17/2020   x1=  54. x2=  60. y1=  2.20 y2=  2.03     
GP: Confirmed Honduras 3/22/2020        60    6935    -          26      384     2   208 8/17/2020 
AAA2     1 Honduras Confirmed cc1=  .946108 cc2=  .537860 lx= 10.84434 if=  55 il=  60 3/22/2020  n=   5 now=    6935 end=      51243        26       384 U=    34.62 T=  130.2 p1= 638.9 p2=    13.5 ed=   211 8/20/2020   x1=  55. x2=  60. y1=  2.17 y2=  2.03     
GP: Confirmed Honduras 3/22/2020        60    6935    -          26      384     2   211 8/20/2020 
AAA2     1 Honduras Confirmed cc1=  .974467 cc2=  .697117 lx= 10.84434 if=  49 il=  61 3/23/2020  n=  12 now=    6935 end=      51243        30       128 U=    38.67 T=  138.6 p1= 638.9 p2=    13.5 ed=   229 9/7/2020    x1=  49. x2=  61. y1=  2.32 y2=  2.01     
GP: Confirmed Honduras 3/23/2020        61    6935    -          30      128     6   229 9/7/2020  
AAA2     1 Honduras Confirmed cc1=  .980503 cc2=  .691828 lx=  7.45434 if=  50 il=  61 3/23/2020  n=  11 now=    6935 end=       1727        30       128 U=    21.50 T=   91.1 p1= -75.1 p2=   401.6 ed=   141 6/11/2020   x1=  50. x2=  61. y1=  1.91 y2=  1.40     
GP: Confirmed Honduras 3/23/2020        61    6935     1727      30      128     6   141 6/11/2020 
AAA1     1 Honduras Confirmed cc1=  .983654 cc2=  .682143 lx=  5.35434 if=  51 il=  61 3/23/2020  n=  10 now=    6935 end=        211        30       128 U=    11.50 T=   68.7 p1= -97.0 p2=  3286.7 ed=    95 4/26/2020   x1=  51. x2=  61. y1=  1.54 y2=   .67 BEST
AAA2     1 Honduras Confirmed cc1=  .983654 cc2=  .682143 lx=  5.35734 if=  51 il=  61 3/23/2020  n=  10 now=    6935 end=        211        30       128 U=    11.50 T=   68.7 p1= -97.0 p2=  3286.7 ed=    95 4/26/2020   x1=  51. x2=  61. y1=  1.54 y2=   .67 BEST
GP: Confirmed Honduras 3/23/2020        61    6935      211      30      128     6    95 4/26/2020 
AAA1     1 Honduras Confirmed cc1=  .982606 cc2=  .666378 lx=  4.84434 if=  52 il=  61 3/23/2020  n=   9 now=    6935 end=        127        30       128 U=     8.52 T=   64.1 p1= -98.2 p2=  5460.6 ed=    84 4/15/2020   x1=  52. x2=  61. y1=  1.42 y2=   .37 BEST
AAA2     1 Honduras Confirmed cc1=  .982709 cc2=  .666378 lx=  4.74434 if=  52 il=  61 3/23/2020  n=   9 now=    6935 end=        127        30       128 U=     8.52 T=   64.1 p1= -98.2 p2=  5460.6 ed=    84 4/15/2020   x1=  52. x2=  61. y1=  1.42 y2=   .37 BEST
GP: Confirmed Honduras 3/23/2020        61    6935      127      30      128     6    84 4/15/2020 
AAA1     1 Honduras Confirmed cc1=  .976009 cc2=  .642676 lx=  4.84434 if=  53 il=  61 3/23/2020  n=   8 now=    6935 end=        127        30       128 U=     8.39 T=   64.1 p1= -98.2 p2=  5460.6 ed=    83 4/14/2020   x1=  53. x2=  61. y1=  1.32 y2=   .37 BEST
AAA2     1 Honduras Confirmed cc1=  .976176 cc2=  .642676 lx=  4.74434 if=  53 il=  61 3/23/2020  n=   8 now=    6935 end=        127        30       128 U=     8.39 T=   64.1 p1= -98.2 p2=  5460.6 ed=    83 4/14/2020   x1=  53. x2=  61. y1=  1.32 y2=   .37 BEST
GP: Confirmed Honduras 3/23/2020        61    6935      127      30      128     6    83 4/14/2020 
AAA1     1 Honduras Confirmed cc1=  .966074 cc2=  .612520 lx=  4.84434 if=  54 il=  61 3/23/2020  n=   7 now=    6935 end=        127        30       128 U=     9.34 T=   64.4 p1= -98.2 p2=  5460.6 ed=    86 4/17/2020   x1=  54. x2=  61. y1=  1.12 y2=   .37 BEST
AAA2     1 Honduras Confirmed cc1=  .966159 cc2=  .612520 lx=  4.74434 if=  54 il=  61 3/23/2020  n=   7 now=    6935 end=        127        30       128 U=     9.34 T=   64.4 p1= -98.2 p2=  5460.6 ed=    86 4/17/2020   x1=  54. x2=  61. y1=  1.12 y2=   .37 BEST
GP: Confirmed Honduras 3/23/2020        61    6935      127      30      128     6    86 4/17/2020 
AAA1     1 Honduras Confirmed cc1=  .952840 cc2=  .574875 lx=  4.84434 if=  55 il=  61 3/23/2020  n=   6 now=    6935 end=        127        30       128 U=     9.23 T=   64.4 p1= -98.2 p2=  5460.6 ed=    86 4/17/2020   x1=  55. x2=  61. y1=  1.02 y2=   .37 BEST
