TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3186.00000        8.06652
TAB:  US_Kentucky_Jefferson Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Kentucky_Jefferson Confirmed .           104     1497     3186     2412        9     1824     4060     2648
TAB:  US_Kentucky_Jefferson Confirmed 5/6/2020    105     1535     3186     2412       10     1824     5590     2530
TAB:  US_Kentucky_Jefferson Confirmed .           106     1578     3186     2412       10     1942     8886     2648
TAB:  US_Kentucky_Jefferson Confirmed 5/8/2020    107     1610     3186     2412       11     1824     7356     2766
TAB:  US_Kentucky_Jefferson Confirmed .           108     1642     3186     2412       13     1706     5473     2648
TAB:  US_Kentucky_Jefferson Confirmed 5/10/2020   109     1642     3186     2412       16     1706     4767     2412
TAB:  US_Kentucky_Jefferson Confirmed .           110     1691     3186     2428        5     1839     3097     2364
TAB:  US_Kentucky_Jefferson Confirmed 5/12/2020   111     1713     3186     2412       19     1824     2766     2295
TAB:  US_Kentucky_Jefferson Confirmed .           112     1713     3186     2330        6     1813     2549     2201
TAB:  US_Kentucky_Jefferson Confirmed 5/14/2020   113     1741     3186     2073        5     1823     2487     2173
TAB:  US_Kentucky_Jefferson Confirmed .           114     1772     3186     2077        5     1916     2449     2201
TAB:  US_Kentucky_Jefferson Confirmed 5/16/2020   115     1865     3186     2379        6     2219     2830     2452
TAB:  US_Kentucky_Jefferson Confirmed .           116     1890     3186     2412       21     2295     3354     2766
TAB:  US_Kentucky_Jefferson Confirmed 5/18/2020   117     1916     3186     2412       26     2177     3590     2766
TAB:  US_Kentucky_Jefferson Confirmed .           118     1959     3186     2412       21     2059     4060     3001
TAB:  US_Kentucky_Jefferson Confirmed 5/20/2020   119     1968     3186     2530       20     2059     3825     2883
TAB:  US_Kentucky_Jefferson Confirmed .           120     1994     3186     2530       27     2059     8533     3001
TAB:  US_Kentucky_Jefferson Confirmed 5/22/2020   121     2021     3186     2530       33     2059     3825     2883
TAB:  US_Kentucky_Jefferson Confirmed .           122     2050     3186     2530       35     2177    15831     2883
TAB:  US_Kentucky_Jefferson Confirmed 5/24/2020   123     2050     3186     2530       34     2177     5944     2883
TAB:  US_Kentucky_Jefferson Confirmed .           124     2050     3186     2511       15     2097     3257     2578
TAB:  US_Kentucky_Jefferson Confirmed 5/26/2020   125     2219     3186     2648       30     2648     4531     3472
TAB:  US_Kentucky_Jefferson Confirmed .           126     2253     3186     2648       17     2648     6297     3943
TAB:  US_Kentucky_Jefferson Confirmed 5/28/2020   127     2267     3186     2766       18     2295     7356     4060
TAB:  US_Kentucky_Jefferson Confirmed .           128     2329     3186     2766       18     2530     9946     4060
TAB:  US_Kentucky_Jefferson Confirmed 5/30/2020   129     2437     3186     2883       17     2883    20304     4884
TAB:  US_Kentucky_Jefferson Confirmed .           130     2478     3186     3001       14     2883     7945     4884
TAB:  US_Kentucky_Jefferson Confirmed 6/1/2020    131     2519     3186     3119       12     2883     9710     3943
TAB:  US_Kentucky_Jefferson Confirmed .           132     2562     3186     3119       15     2648    11711     3825
TAB:  US_Kentucky_Jefferson Confirmed 6/3/2020    133     2612     3186     3236       11     2883    13948     4060
TAB:  US_Kentucky_Jefferson Confirmed .           134     2760     3186     3354       11     3236    22422     4178
TAB:  US_Kentucky_Jefferson Confirmed 6/5/2020    135     2843     3186     3472       11     3472    15831     4060
TAB:  US_Kentucky_Jefferson Confirmed .           136     3043     3186     4531        5     3707    17479     4413
TAB:  US_Kentucky_Jefferson Confirmed 6/7/2020    137     3073     3186     4767        4     4413     4884     4649
TAB:  US_Kentucky_Jefferson Confirmed .           138     3104     3186     5002        4     3119     5120     4767
TAB:  US_Kentucky_Jefferson Confirmed 6/9/2020    139     3186     3186     5237        3     3354     5355     5002
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .913358 cc2=  .505109 lx= 10.06652 if=  47 il=  52 3/14/2020  n=   5 now=    3186 end=      23541         4         0 U=    33.75 T=  124.9 p1= 638.9 p2=    13.5 ed=   204 8/13/2020   x1=  47. x2=  52. y1=  2.31 y2=  2.16     
GP: Confirmed US_Kentucky_Jefferson 3/14/2020        52    3186    -           4        0     0   204 8/13/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .941931 cc2=  .563967 lx= 10.06652 if=  47 il=  53 3/15/2020  n=   6 now=    3186 end=      23541         4         0 U=    40.49 T=  140.5 p1= 638.9 p2=    13.5 ed=   236 9/14/2020   x1=  47. x2=  53. y1=  2.31 y2=  2.16     
GP: Confirmed US_Kentucky_Jefferson 3/15/2020        53    3186    -           4        0     0   236 9/14/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .955965 cc2=  .547716 lx= 10.06652 if=  48 il=  53 3/15/2020  n=   5 now=    3186 end=      23541         4         0 U=    33.75 T=  125.9 p1= 638.9 p2=    13.5 ed=   205 8/14/2020   x1=  48. x2=  53. y1=  2.31 y2=  2.16     
GP: Confirmed US_Kentucky_Jefferson 3/15/2020        53    3186    -           4        0     0   205 8/14/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .961637 cc2=  .608083 lx= 10.06652 if=  47 il=  54 3/16/2020  n=   7 now=    3186 end=      23541         6        58 U=    35.71 T=  129.5 p1= 638.9 p2=    13.5 ed=   213 8/22/2020   x1=  47. x2=  54. y1=  2.31 y2=  2.11     
GP: Confirmed US_Kentucky_Jefferson 3/16/2020        54    3186    -           6       58     1   213 8/22/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .972437 cc2=  .594473 lx=  7.28652 if=  48 il=  54 3/16/2020  n=   6 now=    3186 end=       1460         6        58 U=    21.26 T=   90.2 p1= -54.2 p2=   218.2 ed=   140 6/10/2020   x1=  48. x2=  54. y1=  1.99 y2=  1.70     
GP: Confirmed US_Kentucky_Jefferson 3/16/2020        54    3186     1460       6       58     1   140 6/10/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .970618 cc2=  .562370 lx=  4.06652 if=  49 il=  54 3/16/2020  n=   5 now=    3186 end=         58         6        58 U=     8.61 T=   61.1 p1= -98.2 p2=  5493.1 ed=    81 4/12/2020   x1=  49. x2=  54. y1=  1.40 y2=   .82 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .970695 cc2=  .562370 lx=  3.96652 if=  49 il=  54 3/16/2020  n=   5 now=    3186 end=         58         6        58 U=     8.61 T=   61.1 p1= -98.2 p2=  5493.1 ed=    81 4/12/2020   x1=  49. x2=  54. y1=  1.40 y2=   .82 BEST
GP: Confirmed US_Kentucky_Jefferson 3/16/2020        54    3186       58       6       58     1    81 4/12/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .972485 cc2=  .639152 lx= 10.06652 if=  47 il=  55 3/17/2020  n=   8 now=    3186 end=      23541         7        58 U=    37.24 T=  133.0 p1= 638.9 p2=    13.5 ed=   220 8/29/2020   x1=  47. x2=  55. y1=  2.31 y2=  2.09     
GP: Confirmed US_Kentucky_Jefferson 3/17/2020        55    3186    -           7       58     3   220 8/29/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .980642 cc2=  .627089 lx=  4.06652 if=  48 il=  55 3/17/2020  n=   7 now=    3186 end=         58         7        58 U=    10.75 T=   63.1 p1= -98.2 p2=  5493.1 ed=    88 4/19/2020   x1=  48. x2=  55. y1=  1.40 y2=   .75 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .980642 cc2=  .627089 lx=  4.06052 if=  48 il=  55 3/17/2020  n=   7 now=    3186 end=         58         7        58 U=    10.75 T=   63.1 p1= -98.2 p2=  5493.1 ed=    88 4/19/2020   x1=  48. x2=  55. y1=  1.40 y2=   .75 BEST
GP: Confirmed US_Kentucky_Jefferson 3/17/2020        55    3186       58       7       58     3    88 4/19/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .979544 cc2=  .601579 lx=  4.06652 if=  49 il=  55 3/17/2020  n=   6 now=    3186 end=         58         7        58 U=     9.22 T=   61.9 p1= -98.2 p2=  5493.1 ed=    83 4/14/2020   x1=  49. x2=  55. y1=  1.40 y2=   .75 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .979742 cc2=  .601579 lx=  3.96652 if=  49 il=  55 3/17/2020  n=   6 now=    3186 end=         58         7        58 U=     9.22 T=   61.9 p1= -98.2 p2=  5493.1 ed=    83 4/14/2020   x1=  49. x2=  55. y1=  1.40 y2=   .75 BEST
GP: Confirmed US_Kentucky_Jefferson 3/17/2020        55    3186       58       7       58     3    83 4/14/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .968444 cc2=  .560196 lx=  4.06652 if=  50 il=  55 3/17/2020  n=   5 now=    3186 end=         58         7        58 U=    10.77 T=   63.1 p1= -98.2 p2=  5493.1 ed=    88 4/19/2020   x1=  50. x2=  55. y1=  1.22 y2=   .75 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .968595 cc2=  .560196 lx=  3.96652 if=  50 il=  55 3/17/2020  n=   5 now=    3186 end=         58         7        58 U=    10.77 T=   63.1 p1= -98.2 p2=  5493.1 ed=    88 4/19/2020   x1=  50. x2=  55. y1=  1.22 y2=   .75 BEST
GP: Confirmed US_Kentucky_Jefferson 3/17/2020        55    3186       58       7       58     3    88 4/19/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .978590 cc2=  .662362 lx=  4.66652 if=  47 il=  56 3/18/2020  n=   9 now=    3186 end=        106         8        58 U=    15.26 T=   70.5 p1= -96.7 p2=  3005.7 ed=   106 5/7/2020    x1=  47. x2=  56. y1=  1.54 y2=   .95     
GP: Confirmed US_Kentucky_Jefferson 3/18/2020        56    3186      106       8       58     4   106 5/7/2020  
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .984876 cc2=  .651543 lx=  4.06652 if=  48 il=  56 3/18/2020  n=   8 now=    3186 end=         58         8        58 U=    11.17 T=   63.7 p1= -98.2 p2=  5493.1 ed=    90 4/21/2020   x1=  48. x2=  56. y1=  1.40 y2=   .69 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .984998 cc2=  .651543 lx=  3.96652 if=  48 il=  56 3/18/2020  n=   8 now=    3186 end=         58         8        58 U=    11.17 T=   63.7 p1= -98.2 p2=  5493.1 ed=    90 4/21/2020   x1=  48. x2=  56. y1=  1.40 y2=   .69 BEST
