TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6595.00000        8.79407
TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Erie Confirmed .           110     4483     6595     6384        4     4882    20657     7672
TAB:  US_New_York_Erie Confirmed 5/12/2020   111     4530     6595     6120        4     4685    16249     7217
TAB:  US_New_York_Erie Confirmed .           112     4606     6595     6160        4     4878    14136     7157
TAB:  US_New_York_Erie Confirmed 5/14/2020   113     4671     6595     6036        5     5045    12165     7150
TAB:  US_New_York_Erie Confirmed .           114     4782     6595     5969       12     5482    11329     7674
TAB:  US_New_York_Erie Confirmed 5/16/2020   115     4867     6595     5969       15     5969    10598     7918
TAB:  US_New_York_Erie Confirmed .           116     4954     6595     6213       15     5969    11817     7918
TAB:  US_New_York_Erie Confirmed 5/18/2020   117     4993     6595     6213       15     5482     9380     7431
TAB:  US_New_York_Erie Confirmed .           118     5037     6595     6213       16     5238    14009     7431
TAB:  US_New_York_Erie Confirmed 5/20/2020   119     5131     6595     6354       16     5768    16522     7528
TAB:  US_New_York_Erie Confirmed .           120     5270     6595     6456       13     6213    32039     7674
TAB:  US_New_York_Erie Confirmed 5/22/2020   121     5397     6595     7187        9     6456    14009     7918
TAB:  US_New_York_Erie Confirmed .           122     5552     6595     7431        7     6456    18639     8405
TAB:  US_New_York_Erie Confirmed 5/24/2020   123     5626     6595     7674        7     6700    34232     8649
TAB:  US_New_York_Erie Confirmed .           124     5700     6595     7918        7     5969    47877     8649
TAB:  US_New_York_Erie Confirmed 5/26/2020   125     5753     6595     7918        7     5969    39105     8649
TAB:  US_New_York_Erie Confirmed .           126     5810     6595     7918        7     5969    27654     8405
TAB:  US_New_York_Erie Confirmed 5/28/2020   127     5886     6595     7918        8     6213    21563     8405
TAB:  US_New_York_Erie Confirmed .           128     5935     6595     8162        9     6213    32283     8893
TAB:  US_New_York_Erie Confirmed 5/30/2020   129     6014     6595     8162       11     6456    20588     8893
TAB:  US_New_York_Erie Confirmed .           130     6070     6595     8162       11     6456    36912     9867
TAB:  US_New_York_Erie Confirmed 6/1/2020    131     6123     6595     8091        7     6620    15446     8385
TAB:  US_New_York_Erie Confirmed .           132     6173     6595     8541        7     6675    11573     8075
TAB:  US_New_York_Erie Confirmed 6/3/2020    133     6234     6595     8217        6     6732    10060     7961
TAB:  US_New_York_Erie Confirmed .           134     6308     6595     8162       13     6944    17664     8893
TAB:  US_New_York_Erie Confirmed 6/5/2020    135     6359     6595     8162       14     6944    15228     8893
TAB:  US_New_York_Erie Confirmed .           136     6429     6595     8162       17     7187    13766     8649
TAB:  US_New_York_Erie Confirmed 6/7/2020    137     6486     6595     8162       17     7187    14740     8649
TAB:  US_New_York_Erie Confirmed .           138     6531     6595     8162       19     7187    22050     8893
