TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       18180.00000        9.80808
TAB:  Israel Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Israel Confirmed cc1=  .939100 cc2=  .530852 lx=  5.80808 if=  32 il=  37 2/28/2020  n=   5 now=   18180 end=        332         6         0 U=    13.55 T=   55.8 p1= -98.2 p2=  5475.9 ed=    87 4/18/2020   x1=  32. x2=  37. y1=  1.76 y2=  1.39     
GP: Confirmed Israel 2/28/2020        37   18180      332       6        0     0    87 4/18/2020 
AAA2     1 Israel Confirmed cc1=  .908047 cc2=  .574714 lx= 11.80808 if=  30 il=  38 2/29/2020  n=   8 now=   18180 end=     134333        11      1007 U=    35.24 T=  117.0 p1= 638.9 p2=    13.5 ed=   200 8/9/2020    x1=  30. x2=  38. y1=  2.47 y2=  2.24     
GP: Confirmed Israel 2/29/2020        38   18180    -          11     1007     1   200 8/9/2020  
AAA2     1 Israel Confirmed cc1=  .935283 cc2=  .581730 lx= 11.80808 if=  31 il=  38 2/29/2020  n=   7 now=   18180 end=     134333        11      1007 U=    30.84 T=  107.1 p1= 638.9 p2=    13.5 ed=   179 7/19/2020   x1=  31. x2=  38. y1=  2.47 y2=  2.24     
GP: Confirmed Israel 2/29/2020        38   18180    -          11     1007     1   179 7/19/2020 
AAA2     1 Israel Confirmed cc1=  .960529 cc2=  .582565 lx= 11.80808 if=  32 il=  38 2/29/2020  n=   6 now=   18180 end=     134333        11      1007 U=    26.43 T=   97.3 p1= 638.9 p2=    13.5 ed=   159 6/29/2020   x1=  32. x2=  38. y1=  2.47 y2=  2.24     
GP: Confirmed Israel 2/29/2020        38   18180    -          11     1007     1   159 6/29/2020 
AAA1     1 Israel Confirmed cc1=  .979306 cc2=  .571058 lx=  6.94808 if=  33 il=  38 2/29/2020  n=   5 now=   18180 end=       1041        11      1007 U=    11.81 T=   55.9 p1= -94.3 p2=  1746.4 ed=    83 4/14/2020   x1=  33. x2=  38. y1=  1.94 y2=  1.52 BEST
AAA2     1 Israel Confirmed cc1=  .979306 cc2=  .571058 lx=  6.95008 if=  33 il=  38 2/29/2020  n=   5 now=   18180 end=       1041        11      1007 U=    11.81 T=   55.9 p1= -94.3 p2=  1746.4 ed=    83 4/14/2020   x1=  33. x2=  38. y1=  1.94 y2=  1.52 BEST
GP: Confirmed Israel 2/29/2020        38   18180     1041      11     1007     1    83 4/14/2020 
AAA2     1 Israel Confirmed cc1=  .932508 cc2=  .616280 lx= 11.80808 if=  30 il=  39 3/1/2020   n=   9 now=   18180 end=     134333        16       335 U=    33.63 T=  113.0 p1= 638.9 p2=    13.5 ed=   192 8/1/2020    x1=  30. x2=  39. y1=  2.47 y2=  2.20     
GP: Confirmed Israel 3/1/2020         39   18180    -          16      335     1   192 8/1/2020  
AAA2     1 Israel Confirmed cc1=  .954510 cc2=  .621176 lx= 11.80808 if=  31 il=  39 3/1/2020   n=   8 now=   18180 end=     134333        16       335 U=    29.89 T=  104.8 p1= 638.9 p2=    13.5 ed=   175 7/15/2020   x1=  31. x2=  39. y1=  2.47 y2=  2.20     
GP: Confirmed Israel 3/1/2020         39   18180    -          16      335     1   175 7/15/2020 
AAA2     1 Israel Confirmed cc1=  .973803 cc2=  .620250 lx= 11.80808 if=  32 il=  39 3/1/2020   n=   7 now=   18180 end=     134333        16       335 U=    26.16 T=   96.6 p1= 638.9 p2=    13.5 ed=   158 6/28/2020   x1=  32. x2=  39. y1=  2.47 y2=  2.20     
GP: Confirmed Israel 3/1/2020         39   18180    -          16      335     1   158 6/28/2020 
AAA2     1 Israel Confirmed cc1=  .987109 cc2=  .609145 lx=  7.26808 if=  33 il=  39 3/1/2020   n=   6 now=   18180 end=       1433        16       335 U=    12.49 T=   57.8 p1= -92.1 p2=  1268.7 ed=    87 4/18/2020   x1=  33. x2=  39. y1=  1.98 y2=  1.50     
GP: Confirmed Israel 3/1/2020         39   18180     1433      16      335     1    87 4/18/2020 
AAA1     1 Israel Confirmed cc1=  .990441 cc2=  .582192 lx=  5.80808 if=  34 il=  39 3/1/2020   n=   5 now=   18180 end=        332        16       335 U=     7.71 T=   47.6 p1= -98.2 p2=  5475.9 ed=    65 3/27/2020   x1=  34. x2=  39. y1=  1.76 y2=  1.11 BEST
AAA2     1 Israel Confirmed cc1=  .990520 cc2=  .582192 lx=  5.70808 if=  34 il=  39 3/1/2020   n=   5 now=   18180 end=        332        16       335 U=     7.71 T=   47.6 p1= -98.2 p2=  5475.9 ed=    65 3/27/2020   x1=  34. x2=  39. y1=  1.76 y2=  1.11 BEST
GP: Confirmed Israel 3/1/2020         39   18180      332      16      335     1    65 3/27/2020 
AAA2     1 Israel Confirmed cc1=  .948479 cc2=  .646968 lx= 11.80808 if=  30 il=  40 3/2/2020   n=  10 now=   18180 end=     134333        16       335 U=    37.37 T=  122.2 p1= 638.9 p2=    13.5 ed=   210 8/19/2020   x1=  30. x2=  40. y1=  2.47 y2=  2.20     
GP: Confirmed Israel 3/2/2020         40   18180    -          16      335     2   210 8/19/2020 
AAA2     1 Israel Confirmed cc1=  .964364 cc2=  .648136 lx= 11.80808 if=  31 il=  40 3/2/2020   n=   9 now=   18180 end=     134333        16       335 U=    33.63 T=  114.0 p1= 638.9 p2=    13.5 ed=   193 8/2/2020    x1=  31. x2=  40. y1=  2.47 y2=  2.20     
GP: Confirmed Israel 3/2/2020         40   18180    -          16      335     2   193 8/2/2020  
AAA2     1 Israel Confirmed cc1=  .976829 cc2=  .643496 lx=  7.31808 if=  32 il=  40 3/2/2020   n=   8 now=   18180 end=       1507        16       335 U=    16.80 T=   65.4 p1= -91.7 p2=  1206.4 ed=   105 5/6/2020    x1=  32. x2=  40. y1=  1.99 y2=  1.51     
GP: Confirmed Israel 3/2/2020         40   18180     1507      16      335     2   105 5/6/2020  
AAA1     1 Israel Confirmed cc1=  .984399 cc2=  .630846 lx=  5.80808 if=  33 il=  40 3/2/2020   n=   7 now=   18180 end=        332        16       335 U=    10.79 T=   52.0 p1= -98.2 p2=  5475.9 ed=    77 4/8/2020    x1=  33. x2=  40. y1=  1.76 y2=  1.11 BEST
AAA2     1 Israel Confirmed cc1=  .984463 cc2=  .630846 lx=  5.70808 if=  33 il=  40 3/2/2020   n=   7 now=   18180 end=        332        16       335 U=    10.79 T=   52.0 p1= -98.2 p2=  5475.9 ed=    77 4/8/2020    x1=  33. x2=  40. y1=  1.76 y2=  1.11 BEST
GP: Confirmed Israel 3/2/2020         40   18180      332      16      335     2    77 4/8/2020  
AAA1     1 Israel Confirmed cc1=  .981460 cc2=  .603495 lx=  5.80808 if=  34 il=  40 3/2/2020   n=   6 now=   18180 end=        332        16       335 U=     9.25 T=   50.3 p1= -98.2 p2=  5475.9 ed=    72 4/3/2020    x1=  34. x2=  40. y1=  1.76 y2=  1.11 BEST
AAA2     1 Israel Confirmed cc1=  .981668 cc2=  .603495 lx=  5.70808 if=  34 il=  40 3/2/2020   n=   6 now=   18180 end=        332        16       335 U=     9.25 T=   50.3 p1= -98.2 p2=  5475.9 ed=    72 4/3/2020    x1=  34. x2=  40. y1=  1.76 y2=  1.11 BEST
GP: Confirmed Israel 3/2/2020         40   18180      332      16      335     2    72 4/3/2020  
AAA2     1 Israel Confirmed cc1=  .978394 cc2=  .570145 lx=  8.02808 if=  35 il=  40 3/2/2020   n=   5 now=   18180 end=       3065        16       335 U=    18.08 T=   70.0 p1= -83.1 p2=   593.1 ed=   112 5/13/2020   x1=  35. x2=  40. y1=  1.94 y2=  1.66     
GP: Confirmed Israel 3/2/2020         40   18180     3065      16      335     2   112 5/13/2020 
AAA2     1 Israel Confirmed cc1=  .958393 cc2=  .669718 lx= 11.80808 if=  30 il=  41 3/3/2020   n=  11 now=   18180 end=     134333        19       335 U=    38.35 T=  124.7 p1= 638.9 p2=    13.5 ed=   215 8/24/2020   x1=  30. x2=  41. y1=  2.47 y2=  2.18     
GP: Confirmed Israel 3/3/2020         41   18180    -          19      335     5   215 8/24/2020 
AAA2     1 Israel Confirmed cc1=  .970023 cc2=  .668512 lx=  6.78808 if=  31 il=  41 3/3/2020   n=  10 now=   18180 end=        887        19       335 U=    17.58 T=   64.7 p1= -95.1 p2=  2049.6 ed=   106 5/7/2020    x1=  31. x2=  41. y1=  1.92 y2=  1.35     
GP: Confirmed Israel 3/3/2020         41   18180      887      19      335     5   106 5/7/2020  
AAA1     1 Israel Confirmed cc1=  .979117 cc2=  .662889 lx=  5.80808 if=  32 il=  41 3/3/2020   n=   9 now=   18180 end=        332        19       335 U=    12.73 T=   54.4 p1= -98.2 p2=  5475.9 ed=    84 4/15/2020   x1=  32. x2=  41. y1=  1.76 y2=  1.05 BEST
AAA2     1 Israel Confirmed cc1=  .979180 cc2=  .662889 lx=  5.70808 if=  32 il=  41 3/3/2020   n=   9 now=   18180 end=        332        19       335 U=    12.73 T=   54.4 p1= -98.2 p2=  5475.9 ed=    84 4/15/2020   x1=  32. x2=  41. y1=  1.76 y2=  1.05 BEST
GP: Confirmed Israel 3/3/2020         41   18180      332      19      335     5    84 4/15/2020 
AAA1     1 Israel Confirmed cc1=  .982134 cc2=  .648801 lx=  5.80808 if=  33 il=  41 3/3/2020   n=   8 now=   18180 end=        332        19       335 U=    11.31 T=   52.9 p1= -98.2 p2=  5475.9 ed=    79 4/10/2020   x1=  33. x2=  41. y1=  1.76 y2=  1.05 BEST
AAA2     1 Israel Confirmed cc1=  .982324 cc2=  .648801 lx=  5.70808 if=  33 il=  41 3/3/2020   n=   8 now=   18180 end=        332        19       335 U=    11.31 T=   52.9 p1= -98.2 p2=  5475.9 ed=    79 4/10/2020   x1=  33. x2=  41. y1=  1.76 y2=  1.05 BEST
GP: Confirmed Israel 3/3/2020         41   18180      332      19      335     5    79 4/10/2020 
AAA1     1 Israel Confirmed cc1=  .976228 cc2=  .622675 lx=  5.80808 if=  34 il=  41 3/3/2020   n=   7 now=   18180 end=        332        19       335 U=     9.90 T=   51.4 p1= -98.2 p2=  5475.9 ed=    74 4/5/2020    x1=  34. x2=  41. y1=  1.76 y2=  1.05 BEST
AAA2     1 Israel Confirmed cc1=  .976568 cc2=  .622675 lx=  5.70808 if=  34 il=  41 3/3/2020   n=   7 now=   18180 end=        332        19       335 U=     9.90 T=   51.4 p1= -98.2 p2=  5475.9 ed=    74 4/5/2020    x1=  34. x2=  41. y1=  1.76 y2=  1.05 BEST
GP: Confirmed Israel 3/3/2020         41   18180      332      19      335     5    74 4/5/2020  
AAA1     1 Israel Confirmed cc1=  .974626 cc2=  .596662 lx=  5.80808 if=  35 il=  41 3/3/2020   n=   6 now=   18180 end=        332        19       335 U=    12.06 T=   53.7 p1= -98.2 p2=  5475.9 ed=    82 4/13/2020   x1=  35. x2=  41. y1=  1.55 y2=  1.05 BEST
AAA2     1 Israel Confirmed cc1=  .974764 cc2=  .596662 lx=  5.70808 if=  35 il=  41 3/3/2020   n=   6 now=   18180 end=        332        19       335 U=    12.06 T=   53.7 p1= -98.2 p2=  5475.9 ed=    82 4/13/2020   x1=  35. x2=  41. y1=  1.55 y2=  1.05 BEST
GP: Confirmed Israel 3/3/2020         41   18180      332      19      335     5    82 4/13/2020 
AAA1     1 Israel Confirmed cc1=  .959734 cc2=  .551485 lx=  5.80808 if=  36 il=  41 3/3/2020   n=   5 now=   18180 end=        332        19       335 U=    11.51 T=   53.1 p1= -98.2 p2=  5475.9 ed=    80 4/11/2020   x1=  36. x2=  41. y1=  1.49 y2=  1.05 BEST
AAA2     1 Israel Confirmed cc1=  .959999 cc2=  .551485 lx=  5.70808 if=  36 il=  41 3/3/2020   n=   5 now=   18180 end=        332        19       335 U=    11.51 T=   53.1 p1= -98.2 p2=  5475.9 ed=    80 4/11/2020   x1=  36. x2=  41. y1=  1.49 y2=  1.05 BEST
GP: Confirmed Israel 3/3/2020         41   18180      332      19      335     5    80 4/11/2020 
AAA2     1 Israel Confirmed cc1=  .966187 cc2=  .688837 lx=  6.87808 if=  30 il=  42 3/4/2020   n=  12 now=   18180 end=        970        24       332 U=    19.35 T=   67.3 p1= -94.7 p2=  1874.2 ed=   113 5/14/2020   x1=  30. x2=  42. y1=  1.93 y2=  1.31     
GP: Confirmed Israel 3/4/2020         42   18180      970      24      332     7   113 5/14/2020 
AAA1     1 Israel Confirmed cc1=  .975954 cc2=  .687279 lx=  5.80808 if=  31 il=  42 3/4/2020   n=  11 now=   18180 end=        332        24       332 U=    13.88 T=   55.4 p1= -98.2 p2=  5475.9 ed=    88 4/19/2020   x1=  31. x2=  42. y1=  1.76 y2=   .97 BEST
AAA2     1 Israel Confirmed cc1=  .976000 cc2=  .687279 lx=  5.70808 if=  31 il=  42 3/4/2020   n=  11 now=   18180 end=        332        24       332 U=    13.88 T=   55.4 p1= -98.2 p2=  5475.9 ed=    88 4/19/2020   x1=  31. x2=  42. y1=  1.76 y2=   .97 BEST
GP: Confirmed Israel 3/4/2020         42   18180      332      24      332     7    88 4/19/2020 
AAA1     1 Israel Confirmed cc1=  .982308 cc2=  .680797 lx=  5.80808 if=  32 il=  42 3/4/2020   n=  10 now=   18180 end=        332        24       332 U=    12.62 T=   54.2 p1= -98.2 p2=  5475.9 ed=    83 4/14/2020   x1=  32. x2=  42. y1=  1.76 y2=   .97 BEST
AAA2     1 Israel Confirmed cc1=  .982463 cc2=  .680797 lx=  5.70808 if=  32 il=  42 3/4/2020   n=  10 now=   18180 end=        332        24       332 U=    12.62 T=   54.2 p1= -98.2 p2=  5475.9 ed=    83 4/14/2020   x1=  32. x2=  42. y1=  1.76 y2=   .97 BEST
GP: Confirmed Israel 3/4/2020         42   18180      332      24      332     7    83 4/14/2020 
AAA1     1 Israel Confirmed cc1=  .983221 cc2=  .666993 lx=  5.80808 if=  33 il=  42 3/4/2020   n=   9 now=   18180 end=        332        24       332 U=    11.36 T=   53.0 p1= -98.2 p2=  5475.9 ed=    79 4/10/2020   x1=  33. x2=  42. y1=  1.76 y2=   .97 BEST
AAA2     1 Israel Confirmed cc1=  .983517 cc2=  .666993 lx=  5.70808 if=  33 il=  42 3/4/2020   n=   9 now=   18180 end=        332        24       332 U=    11.36 T=   53.0 p1= -98.2 p2=  5475.9 ed=    79 4/10/2020   x1=  33. x2=  42. y1=  1.76 y2=   .97 BEST
GP: Confirmed Israel 3/4/2020         42   18180      332      24      332     7    79 4/10/2020 
AAA1     1 Israel Confirmed cc1=  .977451 cc2=  .644117 lx=  5.80808 if=  34 il=  42 3/4/2020   n=   8 now=   18180 end=        332        24       332 U=    10.10 T=   51.8 p1= -98.2 p2=  5475.9 ed=    75 4/6/2020    x1=  34. x2=  42. y1=  1.76 y2=   .97 BEST
AAA2     1 Israel Confirmed cc1=  .977902 cc2=  .644117 lx=  5.70808 if=  34 il=  42 3/4/2020   n=   8 now=   18180 end=        332        24       332 U=    10.10 T=   51.8 p1= -98.2 p2=  5475.9 ed=    75 4/6/2020    x1=  34. x2=  42. y1=  1.76 y2=   .97 BEST
GP: Confirmed Israel 3/4/2020         42   18180      332      24      332     7    75 4/6/2020  
AAA1     1 Israel Confirmed cc1=  .978678 cc2=  .625124 lx=  5.80808 if=  35 il=  42 3/4/2020   n=   7 now=   18180 end=        332        24       332 U=    12.02 T=   53.6 p1= -98.2 p2=  5475.9 ed=    81 4/12/2020   x1=  35. x2=  42. y1=  1.55 y2=   .97 BEST
AAA2     1 Israel Confirmed cc1=  .978929 cc2=  .625124 lx=  5.70808 if=  35 il=  42 3/4/2020   n=   7 now=   18180 end=        332        24       332 U=    12.02 T=   53.6 p1= -98.2 p2=  5475.9 ed=    81 4/12/2020   x1=  35. x2=  42. y1=  1.55 y2=   .97 BEST
GP: Confirmed Israel 3/4/2020         42   18180      332      24      332     7    81 4/12/2020 
AAA1     1 Israel Confirmed cc1=  .967842 cc2=  .589877 lx=  5.80808 if=  36 il=  42 3/4/2020   n=   6 now=   18180 end=        332        24       332 U=    11.55 T=   53.2 p1= -98.2 p2=  5475.9 ed=    80 4/11/2020   x1=  36. x2=  42. y1=  1.49 y2=   .97 BEST
