Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20
Antigua and Barbuda,Antigua_and_Barbuda,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.403,0.605,0.807,1.008,1.008,1.008,1.008,1.008,1.008,1.412,1.815,2.218,3.429,4.639,5.445,6.252,7.059,7.059,7.059,7.462,9.076,10.689,12.303,13.916,15.933,16.739,17.546,18.353,19.563,19.966,20.773,21.58,22.387,22.79,23.193,23.193,23.193,23.193,23.193,23.395,23.597,23.798,24.0
Antigua and Barbuda,Antigua_and_Barbuda,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.0,1.4,1.8,2.0,2.0,2.0,2.0,2.2,2.4,2.6,2.8,3.0,3.0,3.0,3.0,3.0,3.0
Argentina,Argentina,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.445,0.667,1.112,2.891,5.337,7.784,11.342,15.123,17.569,21.794,26.687,32.914,41.143,52.04,62.715,76.725,95.184,117.868,161.902,211.273,275.766,333.366,409.869,481.701,568.212,647.828,744.124,866.885,970.297,1068.817,1184.461,1324.79,1413.08,1524.276,1634.36,1734.437,1810.94,1927.473,2021.1,2135.41,2245.049,2352.242,2456.322,2588.867,2706.068,2828.384,2953.368,3064.12,3166.42,3272.056,3422.616,3593.413,3780.0
Argentina,Argentina,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.448,0.673,0.897,1.121,1.345,1.57,1.794,2.018,2.242,2.242,2.467,2.691,3.139,3.588,4.036,4.709,5.83,6.952,8.97,12.109,15.024,18.388,22.424,25.788,29.824,34.309,38.794,42.606,47.091,51.576,56.958,63.461,71.982,79.83,87.455,95.079,101.806,108.309,115.485,122.885,130.061,136.788,142.394,149.57,156.073,164.145,174.012,185.0
Armenia,Armenia,,,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.437,0.656,0.875,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.749,3.28,6.997,12.463,23.614,39.793,56.41,77.619,101.669,125.283,150.646,183.661,212.959,241.164,269.588,299.105,336.712,374.975,422.42,475.332,528.244,584.217,652.434,715.403,778.81,836.095,877.637,909.341,942.356,967.5,996.798,1031.781,1066.327,1098.249,1136.293,1178.273,1219.378,1265.075,1314.051,1363.902,1416.814,1476.285,1536.412,1603.098,1677.0
Armenia,Armenia,,,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.441,0.661,1.323,1.984,2.425,3.087,4.409,5.291,6.173,7.055,7.937,8.157,8.598,9.26,10.362,11.465,12.567,13.669,14.992,16.094,17.197,18.52,19.843,20.724,21.827,23.15,24.252,25.134,26.677,28.0
Australia,Australia,Australian Capital Territory,Australian_Capital_Territory,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.405,0.608,1.013,1.419,1.824,2.432,3.446,4.864,8.31,14.187,21.281,27.969,36.887,45.602,53.507,61.208,69.113,74.585,79.044,82.287,85.124,88.164,91.407,93.839,95.663,97.285,98.704,100.122,101.541,102.96,103.568,104.176,104.176,104.176,104.176,104.379,104.379,104.581,104.784,104.987,105.189,105.595,106.0
Australia,Australia,Australian Capital Territory,Australian_Capital_Territory,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2.4,2.6,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Australia,Australia,New South Wales,New_South_Wales,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.603,1.407,2.212,3.016,3.82,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.021,4.423,4.825,6.635,10.253,13.872,17.893,22.316,27.342,32.57,39.204,47.045,54.484,65.34,78.207,94.09,115.401,144.553,179.737,218.941,262.97,316.248,408.529,489.35,592.085,727.993,885.413,1033.384,1223.977,1419.597,1621.247,1784.699,1940.913,2077.826,2198.053,2290.736,2400.91,2492.386,2570.393,2639.754,2696.048,2744.701,2788.932,2823.311,2849.246,2868.747,2881.614,2889.656,2903.529,2918.205,2935.696,2951.177,2965.652,2974.699,2982.741,2987.768,2994.0
Australia,Australia,New South Wales,New_South_Wales,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.443,0.664,0.886,1.329,1.55,1.772,1.993,2.215,2.215,2.215,2.215,2.215,2.658,3.322,3.987,4.872,5.758,6.201,6.423,6.866,7.087,7.309,7.53,7.973,8.195,8.416,8.638,9.081,9.523,10.409,11.295,13.067,15.06,17.497,19.49,21.483,22.812,23.919,24.584,25.47,26.356,27.02,27.463,27.906,28.128,28.349,28.57,28.792,28.792,29.899,31.45,33.0
Australia,Australia,Northern Territory,Northern_Territory,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.8,2.6,3.4,4.4,5.0,6.8,8.2,10.2,12.0,13.8,14.8,16.2,17.4,18.8,21.0,23.0,24.8,26.2,27.4,27.8,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Australia,Australia,Northern Territory,Northern_Territory,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Australia,Queensland,Queensland,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.801,1.201,1.801,2.202,2.402,2.402,2.602,2.802,3.403,4.003,4.403,4.804,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.004,5.805,6.605,7.406,8.607,9.808,10.608,11.409,12.21,13.01,13.811,14.812,16.213,17.614,21.617,27.822,36.428,46.036,57.645,69.454,89.069,113.689,144.313,180.541,225.576,276.215,328.056,382.498,441.744,502.992,554.833,604.071,654.11,699.345,741.378,784.812,827.045,859.87,887.892,907.708,921.719,932.327,943.936,954.544,964.352,973.159,982.166,988.971,994.375,999.179,1004.783,1008.987,1012.99,1017.593,1020.996,1023.198,1024.599,1026.0
Australia,Australia,Queensland,Queensland,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,1.0,1.4,1.6,1.8,2.4,2.8,3.2,3.6,4.0,4.0,4.0,4.0,4.0,4.2,4.4,4.6,4.8,5.0,5.0,5.0,5.2,5.4,5.6,5.8,6.0,6.0,6.0,6.0
Australia,Australia,South Australia,South_Australia,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.0,1.401,1.801,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.201,2.401,2.601,2.801,3.402,3.802,4.602,5.402,6.203,6.603,7.003,7.403,7.804,9.604,12.005,14.607,18.608,22.61,26.812,31.414,37.417,45.021,59.227,78.636,104.248,128.259,161.874,193.288,223.902,249.714,276.726,297.136,319.146,335.153,354.562,374.971,388.978,397.782,406.586,410.387,412.989,417.19,420.792,424.394,427.195,429.796,430.797,431.597,432.798,433.998,434.398,434.799,435.599,436.199,436.799,437.4,438.0
Australia,Australia,South Australia,South_Australia,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.2,1.8,2.4,3.0,3.4,3.6,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Australia,Australia,Tasmania,Tasmania,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.403,0.605,0.806,1.008,1.008,1.209,1.411,1.612,2.016,2.419,3.023,3.628,4.434,5.241,6.047,7.055,8.062,8.869,10.683,13.706,17.334,20.962,26.203,32.451,37.49,44.343,52.002,58.049,62.483,66.917,68.933,70.545,73.367,75.987,79.414,82.84,87.678,93.926,101.988,111.462,120.33,129.602,140.486,149.153,156.409,165.882,174.751,180.797,187.852,194.302,199.341,203.17,205.589,207.0
Australia,Australia,Tasmania,Tasmania,,,Deaths,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.732,1.22,1.707,2.195,2.439,2.439,2.439,2.683,2.927,3.415,3.902,4.634,5.122,5.854,6.341,6.829,7.317,7.805,8.049,8.293,8.537,8.537,8.78,9.268,10.0
Australia,Australia,Victoria,Victoria,,,Confirmed,jhu,2020-04-27 02:25:40.834103,0.0,0.0,0.0,0.201,0.402,0.603,0.804,1.206,1.608,2.211,2.813,3.416,3.818,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.019,4.622,5.225,6.23,7.234,8.44,9.043,9.646,10.048,10.45,11.454,13.062,15.273,17.282,22.306,29.139,36.976,47.024,61.693,78.775,93.243,106.105,137.855,190.305,237.328,295.606,364.935,423.413,467.423,533.738,605.68,677.019,756.798,835.975,906.51,970.012,1029.093,1072.901,1111.083,1142.231,1167.752,1190.46,1211.762,1233.264,1248.738,1262.603,1275.264,1286.919,1293.752,1300.584,1308.22,1315.656,1321.684,1329.12,1335.952,1339.569,1342.584,1346.0
