TAB:  US_District_of_Columbia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_District_of_Columbia Deaths    3/11/2020    49        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            50        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/13/2020    51        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            52        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/15/2020    53        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            54        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/17/2020    55        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            56        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/19/2020    57        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            58        1      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/21/2020    59        0      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            60        2      495        0        0     2975     2975     2975
TAB:  US_District_of_Columbia Deaths    3/23/2020    61        2      495        0        0      172      175      175
TAB:  US_District_of_Columbia Deaths    .            62        2      495        0        0      180      211      190
TAB:  US_District_of_Columbia Deaths    3/25/2020    63        2      495        0        0      875      875      875
TAB:  US_District_of_Columbia Deaths    .            64        3      495        0        0      875     1575     1575
TAB:  US_District_of_Columbia Deaths    3/27/2020    65        3      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            66        4      495       45        1       45       45       45
TAB:  US_District_of_Columbia Deaths    3/29/2020    67        5      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            68        9      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    3/31/2020    69        9      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    .            70        9      495        0        0        0        0        0
TAB:  US_District_of_Columbia Deaths    4/2/2020     71       12      495        9        1        9      155       27
TAB:  US_District_of_Columbia Deaths    .            72       15      495       45        2       27      374      137
TAB:  US_District_of_Columbia Deaths    4/4/2020     73       21      495    -            1     1508     2660     2660
TAB:  US_District_of_Columbia Deaths    .            74       22      495      374        1      374      429      393
TAB:  US_District_of_Columbia Deaths    4/6/2020     75       24      495      137        2       27      649      137
TAB:  US_District_of_Columbia Deaths    .            76       22      495       27        2       27     2422      137
TAB:  US_District_of_Columbia Deaths    4/8/2020     77       27      495       27        3       27      521       82
TAB:  US_District_of_Columbia Deaths    .            78       32      495       63        5       45     1069      100
TAB:  US_District_of_Columbia Deaths    4/10/2020    79       38      495      118        3      100     2093      191
TAB:  US_District_of_Columbia Deaths    .            80       47      495      301        3      246     2002      466
TAB:  US_District_of_Columbia Deaths    4/12/2020    81       50      495      356        3      210     1727      502
TAB:  US_District_of_Columbia Deaths    .            82       52      495      301        3       63     2203      393
TAB:  US_District_of_Columbia Deaths    4/14/2020    83       67      495      466        1      466     3410      959
TAB:  US_District_of_Columbia Deaths    .            84       72      495      374        1      374     3300     1087
TAB:  US_District_of_Columbia Deaths    4/16/2020    85       81      495      374        1      374     3337     1234
TAB:  US_District_of_Columbia Deaths    .            86       86      495      118        1      118     2733      850
TAB:  US_District_of_Columbia Deaths    4/18/2020    87       91      495      100        2      100     3245      777
TAB:  US_District_of_Columbia Deaths    .            88       96      495      110        2      110     1546      594
TAB:  US_District_of_Columbia Deaths    4/20/2020    89      105      495      605        2      141     1006      542
TAB:  US_District_of_Columbia Deaths    .            90      112      495      191        4      155     1051      502
TAB:  US_District_of_Columbia Deaths    4/22/2020    91      127      495      301        3      265     1033      575
TAB:  US_District_of_Columbia Deaths    .            92      139      495      722        3      356     1051      630
TAB:  US_District_of_Columbia Deaths    4/24/2020    93      153      495      539        2      466     1654      813
TAB:  US_District_of_Columbia Deaths    .            94      165      495      740        2      575     2989      941
TAB:  US_District_of_Columbia Deaths    4/26/2020    95      178      495      831        3      319     2989     1033
TAB:  US_District_of_Columbia Deaths    .            96      185      495      246        2      246     2934      996
TAB:  US_District_of_Columbia Deaths    4/28/2020    97      190      495      210        2      210     1581      868
TAB:  US_District_of_Columbia Deaths    .            98      205      495      813        3      265     2898      850
TAB:  US_District_of_Columbia Deaths    4/30/2020    99      224      495      831        3      447     2788      941
TAB:  US_District_of_Columbia Deaths    .           100      231      495      831        3      429     3629      886
TAB:  US_District_of_Columbia Deaths    5/2/2020    101      240      495      813        4      301     1654      831
TAB:  US_District_of_Columbia Deaths    .           102      251      495      708        2      286      975      786
TAB:  US_District_of_Columbia Deaths    5/4/2020    103      258      495      768        3      290      884      680
TAB:  US_District_of_Columbia Deaths    .           104      264      495      737        3      290      842      614
TAB:  US_District_of_Columbia Deaths    5/6/2020    105      277      495      722        7      338      831      594
TAB:  US_District_of_Columbia Deaths    .           106      285      495      396        5      362     1071      582
TAB:  US_District_of_Columbia Deaths    5/8/2020    107      304      495      703        6      466      795      612
TAB:  US_District_of_Columbia Deaths    .           108      311      495      685        5      484     1106      630
TAB:  US_District_of_Columbia Deaths    5/10/2020   109      323      495      667        5      502     1380      630
TAB:  US_District_of_Columbia Deaths    .           110      328      495      594        7      356      923      612
TAB:  US_District_of_Columbia Deaths    5/12/2020   111      336      495      557        6      356     1325      594
TAB:  US_District_of_Columbia Deaths    .           112      350      495      575        6      466     2020      649
TAB:  US_District_of_Columbia Deaths    5/14/2020   113      358      495      575        7      484     1215      630
TAB:  US_District_of_Columbia Deaths    .           114      368      495      649        8      521     1014      649
TAB:  US_District_of_Columbia Deaths    5/16/2020   115      375      495      594        8      447     1325      630
TAB:  US_District_of_Columbia Deaths    .           116      383      495      586        6      430      747      590
TAB:  US_District_of_Columbia Deaths    5/18/2020   117      392      495      587        8      469      708      590
TAB:  US_District_of_Columbia Deaths    .           118      400      495      587        7      499      739      598
TAB:  US_District_of_Columbia Deaths    5/20/2020   119      407      495      587        6      510      659      598
TAB:  US_District_of_Columbia Deaths    .           120      412      495      584        7      451      639      568
TAB:  US_District_of_Columbia Deaths    5/22/2020   121      418      495      578        8      453      636      562
TAB:  US_District_of_Columbia Deaths    .           122      427      495      582       18      528      636      582
TAB:  US_District_of_Columbia Deaths    5/24/2020   123      432      495      575       19      521      813      594
TAB:  US_District_of_Columbia Deaths    .           124      440      495      575       23      539     2221      612
TAB:  US_District_of_Columbia Deaths    5/26/2020   125      440      495      568       10      524      615      568
TAB:  US_District_of_Columbia Deaths    .           126      445      495      562        8      457      611      546
TAB:  US_District_of_Columbia Deaths    5/28/2020   127      453      495      557       19      521      612      575
TAB:  US_District_of_Columbia Deaths    .           128      460      495      557       25      539      813      612
TAB:  US_District_of_Columbia Deaths    5/30/2020   129      462      495      557       25      539      612      575
TAB:  US_District_of_Columbia Deaths    .           130      466      495      559       12      480      615      563
TAB:  US_District_of_Columbia Deaths    6/1/2020    131      468      495      537       12      475      584      540
TAB:  US_District_of_Columbia Deaths    .           132      470      495      546       10      475      584      531
TAB:  US_District_of_Columbia Deaths    6/3/2020    133      473      495      546        8      479      578      528
TAB:  US_District_of_Columbia Deaths    .           134      475      495      540        9      485      575      529
TAB:  US_District_of_Columbia Deaths    6/5/2020    135      479      495      539       20      502      575      539
TAB:  US_District_of_Columbia Deaths    .           136      483      495      521       23      502      575      539
TAB:  US_District_of_Columbia Deaths    6/7/2020    137      489      495      539       28      521      575      557
TAB:  US_District_of_Columbia Deaths    .           138      491      495      539       31      521      594      557
TAB:  US_District_of_Columbia Deaths    6/9/2020    139      495      495      539       46      539      630      575
