TAB:  Italy_Puglia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Puglia Deaths    .            98      410      526      521        6      417      754      556
TAB:  Italy_Puglia Deaths    4/30/2020    99      415      526      514        5      425      647      547
TAB:  Italy_Puglia Deaths    .           100      421      526      515        7      440      600      542
TAB:  Italy_Puglia Deaths    5/2/2020    101      422      526      514       13      437      573      514
TAB:  Italy_Puglia Deaths    .           102      424      526      503        9      429      547      509
TAB:  Italy_Puglia Deaths    5/4/2020    103      429      526      500        8      439      548      506
TAB:  Italy_Puglia Deaths    .           104      433      526      495       16      456      806      514
TAB:  Italy_Puglia Deaths    5/6/2020    105      438      526      495       19      456     1466      534
TAB:  Italy_Puglia Deaths    .           106      441      526      495       20      456     1233      514
TAB:  Italy_Puglia Deaths    5/8/2020    107      443      526      495       23      456     1175      534
TAB:  Italy_Puglia Deaths    .           108      443      526      489        9      447      548      489
TAB:  Italy_Puglia Deaths    5/10/2020   109      448      526      483       13      462      531      489
TAB:  Italy_Puglia Deaths    .           110      451      526      476       29      456      534      495
TAB:  Italy_Puglia Deaths    5/12/2020   111      456      526      476       22      476      903      573
TAB:  Italy_Puglia Deaths    .           112      460      526      495       32      476     3118      650
TAB:  Italy_Puglia Deaths    5/14/2020   113      461      526      495       34      476     1097      612
TAB:  Italy_Puglia Deaths    .           114      461      526      495       35      456      612      534
TAB:  Italy_Puglia Deaths    5/16/2020   115      463      526      490       20      466      542      504
TAB:  Italy_Puglia Deaths    .           116      470      526      495       43      495     1408      573
TAB:  Italy_Puglia Deaths    5/18/2020   117      471      526      495       44      495      786      573
TAB:  Italy_Puglia Deaths    .           118      473      526      495       45      476      748      573
TAB:  Italy_Puglia Deaths    5/20/2020   119      478      526      495       40      495     3215      612
TAB:  Italy_Puglia Deaths    .           120      478      526      495       41      495      806      592
TAB:  Italy_Puglia Deaths    5/22/2020   121      482      526      495       41      495      864      612
TAB:  Italy_Puglia Deaths    .           122      486      526      495       24      495     1078      650
TAB:  Italy_Puglia Deaths    5/24/2020   123      487      526      514       24      495     1525      650
TAB:  Italy_Puglia Deaths    .           124      491      526      514       40      514      961      631
TAB:  Italy_Puglia Deaths    5/26/2020   125      494      526      514       36      514     1311      670
TAB:  Italy_Puglia Deaths    .           126      495      526      514       37      514     2457      670
TAB:  Italy_Puglia Deaths    5/28/2020   127      496      526      515       27      500      738      588
TAB:  Italy_Puglia Deaths    .           128      500      526      516       19      516      724      622
TAB:  Italy_Puglia Deaths    5/30/2020   129      500      526      514       30      514      670      592
TAB:  Italy_Puglia Deaths    .           130      504      526      514       24      514      650      592
TAB:  Italy_Puglia Deaths    6/1/2020    131      506      526      514       20      514      670      592
TAB:  Italy_Puglia Deaths    .           132      508      526      534       39      534      689      612
TAB:  Italy_Puglia Deaths    6/3/2020    133      511      526      534       37      534     1816      612
TAB:  Italy_Puglia Deaths    .           134      514      526      534       34      534      981      612
TAB:  Italy_Puglia Deaths    6/5/2020    135      521      526      534       27      534     1117      709
TAB:  Italy_Puglia Deaths    .           136      522      526      534       25      534     1719      728
TAB:  Italy_Puglia Deaths    6/7/2020    137      525      526      534       16      534     3817      767
TAB:  Italy_Puglia Deaths    .           138      525      526      534       15      534     2069      748
TAB:  Italy_Puglia Deaths    6/9/2020    139      526      526      534       14      534     1272      748
