TAB:  US_New_Jersey_Bergen Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Bergen Deaths    .            60        6     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/23/2020    61        6     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            62        6     1628    -            1    10555    10555    10555
TAB:  US_New_Jersey_Bergen Deaths    3/25/2020    63        6     1628     2796        1     2796    10555    10555
TAB:  US_New_Jersey_Bergen Deaths    .            64        6     1628       90        1       90    10555    10555
TAB:  US_New_Jersey_Bergen Deaths    3/27/2020    65        6     1628       30        1       30     8089     1172
TAB:  US_New_Jersey_Bergen Deaths    .            66       13     1628    -            1     6345     8089     8089
TAB:  US_New_Jersey_Bergen Deaths    3/29/2020    67       23     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            68       23     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    3/31/2020    69        4     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            70       75     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    4/2/2020     71      120     1628        0        0        0        0        0
TAB:  US_New_Jersey_Bergen Deaths    .            72      132     1628      150        1      150     6345      751
TAB:  US_New_Jersey_Bergen Deaths    4/4/2020     73      179     1628      210        3      210     7427      511
TAB:  US_New_Jersey_Bergen Deaths    .            74      189     1628      210        4      210     3037      451
TAB:  US_New_Jersey_Bergen Deaths    4/6/2020     75      200     1628      210        5      210     1232      451
TAB:  US_New_Jersey_Bergen Deaths    .            76      263     1628      390        2      330     1172      571
TAB:  US_New_Jersey_Bergen Deaths    4/8/2020     77      314     1628      451        2      390     9833      751
TAB:  US_New_Jersey_Bergen Deaths    .            78      345     1628      451        3      451     3578      751
TAB:  US_New_Jersey_Bergen Deaths    4/10/2020    79      390     1628      511        3      511     2315      811
TAB:  US_New_Jersey_Bergen Deaths    .            80      435     1628      571        2      571     5864     1172
TAB:  US_New_Jersey_Bergen Deaths    4/12/2020    81      453     1628      631        4      571    10675      992
TAB:  US_New_Jersey_Bergen Deaths    .            82      482     1628      571        4      571     3759      872
TAB:  US_New_Jersey_Bergen Deaths    4/14/2020    83      550     1628      691        3      691     5623     1112
TAB:  US_New_Jersey_Bergen Deaths    .            84      608     1628      811        3      751     9352     1232
TAB:  US_New_Jersey_Bergen Deaths    4/16/2020    85      668     1628      872        2      872     4901     1533
TAB:  US_New_Jersey_Bergen Deaths    .            86      714     1628      992        3      932     6585     1653
TAB:  US_New_Jersey_Bergen Deaths    4/18/2020    87      741     1628      992        4      872    10796     1774
TAB:  US_New_Jersey_Bergen Deaths    .            88      767     1628      992        4      811     9292     1533
TAB:  US_New_Jersey_Bergen Deaths    4/20/2020    89      787     1628      992        4      811    10074     1353
TAB:  US_New_Jersey_Bergen Deaths    .            90      787     1628      992        4      811    10254     1353
TAB:  US_New_Jersey_Bergen Deaths    4/22/2020    91      876     1628     1333        5     1019     5411     1437
TAB:  US_New_Jersey_Bergen Deaths    .            92      907     1628     1089        3     1089     3735     1337
TAB:  US_New_Jersey_Bergen Deaths    4/24/2020    93      934     1628     1293        6     1112     3759     1593
TAB:  US_New_Jersey_Bergen Deaths    .            94      954     1628     1293        6      992     2977     1473
TAB:  US_New_Jersey_Bergen Deaths    4/26/2020    95      955     1628     1128        4      969     2473     1288
TAB:  US_New_Jersey_Bergen Deaths    .            96      960     1628     1125        3      963     1933     1233
TAB:  US_New_Jersey_Bergen Deaths    4/28/2020    97     1002     1628     1135        3     1115     1778     1232
TAB:  US_New_Jersey_Bergen Deaths    .            98     1057     1628     1276        6     1185     1712     1294
TAB:  US_New_Jersey_Bergen Deaths    4/30/2020    99     1136     1628     1413        7     1293     1774     1533
TAB:  US_New_Jersey_Bergen Deaths    .           100     1187     1628     1413        4     1413     1834     1593
TAB:  US_New_Jersey_Bergen Deaths    5/2/2020    101     1202     1628     1473        5     1413     1774     1593
TAB:  US_New_Jersey_Bergen Deaths    .           102     1210     1628     1653        5     1232     1774     1593
TAB:  US_New_Jersey_Bergen Deaths    5/4/2020    103     1215     1628     1473        5     1232     1834     1593
TAB:  US_New_Jersey_Bergen Deaths    .           104     1261     1628     1473        6     1353    11457     1714
TAB:  US_New_Jersey_Bergen Deaths    5/6/2020    105     1289     1628     1478        7     1400     4202     1657
TAB:  US_New_Jersey_Bergen Deaths    .           106     1319     1628     1473        9     1473     3638     1894
TAB:  US_New_Jersey_Bergen Deaths    5/8/2020    107     1329     1628     1533        9     1413     2736     1774
TAB:  US_New_Jersey_Bergen Deaths    .           108     1348     1628     1517        6     1386     2338     1660
TAB:  US_New_Jersey_Bergen Deaths    5/10/2020   109     1355     1628     1535        6     1387     2052     1630
TAB:  US_New_Jersey_Bergen Deaths    .           110     1358     1628     1513        6     1370     1857     1599
TAB:  US_New_Jersey_Bergen Deaths    5/12/2020   111     1388     1628     1530        9     1458     1785     1612
TAB:  US_New_Jersey_Bergen Deaths    .           112     1409     1628     1547        6     1502     1749     1626
TAB:  US_New_Jersey_Bergen Deaths    5/14/2020   113     1423     1628     1593       14     1533     1774     1653
TAB:  US_New_Jersey_Bergen Deaths    .           114     1443     1628     1593       22     1533     1774     1653
TAB:  US_New_Jersey_Bergen Deaths    5/16/2020   115     1450     1628     1593       23     1473     8450     1653
TAB:  US_New_Jersey_Bergen Deaths    .           116     1455     1628     1593       24     1473     2075     1653
TAB:  US_New_Jersey_Bergen Deaths    5/18/2020   117     1460     1628     1576       10     1473     1680     1594
TAB:  US_New_Jersey_Bergen Deaths    .           118     1474     1628     1581       14     1531     1647     1597
TAB:  US_New_Jersey_Bergen Deaths    5/20/2020   119     1500     1628     1663       12     1576     1818     1644
TAB:  US_New_Jersey_Bergen Deaths    .           120     1508     1628     1653       30     1593     1954     1774
TAB:  US_New_Jersey_Bergen Deaths    5/22/2020   121     1515     1628     1653       32     1593     1834     1714
TAB:  US_New_Jersey_Bergen Deaths    .           122     1521     1628     1607       13     1536     1758     1642
TAB:  US_New_Jersey_Bergen Deaths    5/24/2020   123     1525     1628     1612       16     1535     1698     1646
TAB:  US_New_Jersey_Bergen Deaths    .           124     1525     1628     1647       22     1531     1647     1630
TAB:  US_New_Jersey_Bergen Deaths    5/26/2020   125     1528     1628     1607       18     1533     1623     1607
TAB:  US_New_Jersey_Bergen Deaths    .           126     1547     1628     1607       19     1607     1623     1623
TAB:  US_New_Jersey_Bergen Deaths    5/28/2020   127     1553     1628     1607       16     1607     1623     1623
TAB:  US_New_Jersey_Bergen Deaths    .           128     1567     1628     1653       50     1593     1653     1653
TAB:  US_New_Jersey_Bergen Deaths    5/30/2020   129     1573     1628     1653       54     1653     1714     1714
TAB:  US_New_Jersey_Bergen Deaths    .           130     1579     1628     1653       54     1593     1774     1714
TAB:  US_New_Jersey_Bergen Deaths    6/1/2020    131     1580     1628     1653       54     1593     1894     1714
TAB:  US_New_Jersey_Bergen Deaths    .           132     1584     1628     1640       21     1595     1698     1663
TAB:  US_New_Jersey_Bergen Deaths    6/3/2020    133     1595     1628     1653       59     1653     1834     1714
TAB:  US_New_Jersey_Bergen Deaths    .           134     1603     1628     1653       50     1653     1954     1774
TAB:  US_New_Jersey_Bergen Deaths    6/5/2020    135     1611     1628     1653       48     1653     3097     1834
TAB:  US_New_Jersey_Bergen Deaths    .           136     1612     1628     1653       49     1653     3638     1834
TAB:  US_New_Jersey_Bergen Deaths    6/7/2020    137     1618     1628     1653       50     1653     2255     1834
TAB:  US_New_Jersey_Bergen Deaths    .           138     1621     1628     1665       50     1617     1953     1737
TAB:  US_New_Jersey_Bergen Deaths    6/9/2020    139     1628     1628     1679       27     1665     1942     1748
