TAB:  US_Massachusetts_Norfolk Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Norfolk Deaths    .            56        0      870        0        0      161      161      161
TAB:  US_Massachusetts_Norfolk Deaths    3/19/2020    57        0      870        0        0      161     1455     1455
TAB:  US_Massachusetts_Norfolk Deaths    .            58        0      870        0        0      161      485      485
TAB:  US_Massachusetts_Norfolk Deaths    3/21/2020    59        0      870        0        0      161     5335     5335
TAB:  US_Massachusetts_Norfolk Deaths    .            60        0      870        0        0      161     5982      808
TAB:  US_Massachusetts_Norfolk Deaths    3/23/2020    61        0      870        0        0      161      808      808
TAB:  US_Massachusetts_Norfolk Deaths    .            62        0      870        0        0      485    13420      808
TAB:  US_Massachusetts_Norfolk Deaths    3/25/2020    63        1      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            64        2      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    3/27/2020    65        6      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            66        8      870        0        0     1131     3718     3718
TAB:  US_Massachusetts_Norfolk Deaths    3/29/2020    67        9      870        0        0      808     6952     1455
TAB:  US_Massachusetts_Norfolk Deaths    .            68       10      870        0        0      808    15683     1778
TAB:  US_Massachusetts_Norfolk Deaths    3/31/2020    69       12      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            70       15      870       16        2       16       16       16
TAB:  US_Massachusetts_Norfolk Deaths    4/2/2020     71       21      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            72       24      870       48        1       48       48       48
TAB:  US_Massachusetts_Norfolk Deaths    4/4/2020     73       25      870       48        3       48       48       48
TAB:  US_Massachusetts_Norfolk Deaths    .            74       26      870       16        3       16     6379       48
TAB:  US_Massachusetts_Norfolk Deaths    4/6/2020     75       29      870       36        1       36       44       39
TAB:  US_Massachusetts_Norfolk Deaths    .            76       35      870       57        1       57       94       94
TAB:  US_Massachusetts_Norfolk Deaths    4/8/2020     77       41      870       80        1       80      241      208
TAB:  US_Massachusetts_Norfolk Deaths    .            78       41      870       80        2       80      144      112
TAB:  US_Massachusetts_Norfolk Deaths    4/10/2020    79       41      870       80        3       48      305      112
TAB:  US_Massachusetts_Norfolk Deaths    .            80       79      870        0        0     4689    50932     9539
TAB:  US_Massachusetts_Norfolk Deaths    4/12/2020    81       91      870        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Deaths    .            82       91      870      112        1      112      112      112
TAB:  US_Massachusetts_Norfolk Deaths    4/14/2020    83       91      870       80        2       80      112      112
TAB:  US_Massachusetts_Norfolk Deaths    .            84      147      870     1237        1     1237     1237     1237
TAB:  US_Massachusetts_Norfolk Deaths    4/16/2020    85      147      870      305        1      305     1108      466
TAB:  US_Massachusetts_Norfolk Deaths    .            86      173      870      241        1      241     4097      401
TAB:  US_Massachusetts_Norfolk Deaths    4/18/2020    87      195      870      241        1      241     1655      401
TAB:  US_Massachusetts_Norfolk Deaths    .            88      244      870      755        1      755     3872      948
TAB:  US_Massachusetts_Norfolk Deaths    4/20/2020    89      244      870      401        1      401     2330      755
TAB:  US_Massachusetts_Norfolk Deaths    .            90      290      870      530        1      530     5929     1173
TAB:  US_Massachusetts_Norfolk Deaths    4/22/2020    91      290      870      401        1      401     6122      723
TAB:  US_Massachusetts_Norfolk Deaths    .            92      290      870      369        2      305     5769      562
TAB:  US_Massachusetts_Norfolk Deaths    4/24/2020    93      290      870      369        2      305     5479      562
TAB:  US_Massachusetts_Norfolk Deaths    .            94      400      870     1108        1     1108     3680     1751
TAB:  US_Massachusetts_Norfolk Deaths    4/26/2020    95      414      870     1044        2     1044     4676     1558
TAB:  US_Massachusetts_Norfolk Deaths    .            96      429      870      433        2      433     3455     1430
TAB:  US_Massachusetts_Norfolk Deaths    4/28/2020    97      448      870      948        4      466     6186     1462
TAB:  US_Massachusetts_Norfolk Deaths    .            98      484      870      980        3      562     5929     1365
TAB:  US_Massachusetts_Norfolk Deaths    4/30/2020    99      499      870     1108        3      530     5222     1173
TAB:  US_Massachusetts_Norfolk Deaths    .           100      522      870      883        2      562     5769     1108
TAB:  US_Massachusetts_Norfolk Deaths    5/2/2020    101      535      870      594        3      594     4108      982
TAB:  US_Massachusetts_Norfolk Deaths    .           102      550      870      596        3      596     2686      890
TAB:  US_Massachusetts_Norfolk Deaths    5/4/2020    103      555      870      584        3      584     2140      814
TAB:  US_Massachusetts_Norfolk Deaths    .           104      575      870      617        2      617     1782      775
TAB:  US_Massachusetts_Norfolk Deaths    5/6/2020    105      596      870      658        2      658     1585      786
TAB:  US_Massachusetts_Norfolk Deaths    .           106      608      870      755        7      658     1494      948
TAB:  US_Massachusetts_Norfolk Deaths    5/8/2020    107      623      870      755        7      691     1333      915
TAB:  US_Massachusetts_Norfolk Deaths    .           108      635      870      755        8      691     1944      915
TAB:  US_Massachusetts_Norfolk Deaths    5/10/2020   109      650      870      763        8      729     1249      880
TAB:  US_Massachusetts_Norfolk Deaths    .           110      661      870      771        5      738     1148      850
TAB:  US_Massachusetts_Norfolk Deaths    5/12/2020   111      663      870      765        4      693     1018      811
TAB:  US_Massachusetts_Norfolk Deaths    .           112      676      870      769        4      735      977      804
TAB:  US_Massachusetts_Norfolk Deaths    5/14/2020   113      696      870      787       16      755     1783      883
TAB:  US_Massachusetts_Norfolk Deaths    .           114      710      870      787       14      787     6251      948
TAB:  US_Massachusetts_Norfolk Deaths    5/16/2020   115      719      870      819       21      819     3101      980
TAB:  US_Massachusetts_Norfolk Deaths    .           116      725      870      819       21      755     1558      948
TAB:  US_Massachusetts_Norfolk Deaths    5/18/2020   117      728      870      817       16      732      992      867
TAB:  US_Massachusetts_Norfolk Deaths    .           118      735      870      816       15      757      898      843
TAB:  US_Massachusetts_Norfolk Deaths    5/20/2020   119      749      870      825       12      816      898      862
TAB:  US_Massachusetts_Norfolk Deaths    .           120      759      870      833       13      828      916      869
TAB:  US_Massachusetts_Norfolk Deaths    5/22/2020   121      771      870      851       22      819      980      915
TAB:  US_Massachusetts_Norfolk Deaths    .           122      774      870      851       24      851      948      915
TAB:  US_Massachusetts_Norfolk Deaths    5/24/2020   123      782      870      851       22      787      948      883
TAB:  US_Massachusetts_Norfolk Deaths    .           124      784      870      850       14      793      920      878
TAB:  US_Massachusetts_Norfolk Deaths    5/26/2020   125      791      870      852       13      811      907      870
TAB:  US_Massachusetts_Norfolk Deaths    .           126      794      870      852       13      812      898      862
TAB:  US_Massachusetts_Norfolk Deaths    5/28/2020   127      799      870      862       13      817      884      862
TAB:  US_Massachusetts_Norfolk Deaths    .           128      811      870      883       31      851     1848      915
TAB:  US_Massachusetts_Norfolk Deaths    5/30/2020   129      815      870      883       28      851     4226      915
TAB:  US_Massachusetts_Norfolk Deaths    .           130      821      870      883       33      883     1012      915
TAB:  US_Massachusetts_Norfolk Deaths    6/1/2020    131      841      870      883       28      883     1430     1012
TAB:  US_Massachusetts_Norfolk Deaths    .           132      845      870      883       18      883     1880     1012
TAB:  US_Massachusetts_Norfolk Deaths    6/3/2020    133      850      870      915       21      883     1976     1012
TAB:  US_Massachusetts_Norfolk Deaths    .           134      854      870      915       29      851     3101     1044
TAB:  US_Massachusetts_Norfolk Deaths    6/5/2020    135      855      870      915       29      851     1623     1044
TAB:  US_Massachusetts_Norfolk Deaths    .           136      859      870      915       28      883     1269     1012
TAB:  US_Massachusetts_Norfolk Deaths    6/7/2020    137      863      870      915       30      883     6186     1076
TAB:  US_Massachusetts_Norfolk Deaths    .           138      866      870      915       30      883     1173     1044
TAB:  US_Massachusetts_Norfolk Deaths    6/9/2020    139      870      870      915       29      883     1173      980
