TAB:  US_Minnesota_Ramsey Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Minnesota_Ramsey Deaths    .            28        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    2/20/2020    29        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            30        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    2/22/2020    31        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            32        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    2/24/2020    33        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            34        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    2/26/2020    35        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            36        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    2/28/2020    37        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            38        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/1/2020     39        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            40        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/3/2020     41        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            42        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/5/2020     43        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            44        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/7/2020     45        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            46        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/9/2020     47        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            48        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/11/2020    49        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            50        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/13/2020    51        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            52        0      164        0        0       66       66       66
TAB:  US_Minnesota_Ramsey Deaths    3/15/2020    53        0      164        0        0       66       66       66
TAB:  US_Minnesota_Ramsey Deaths    .            54        0      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    3/17/2020    55        0      164        0        0     1406     1406     1406
TAB:  US_Minnesota_Ramsey Deaths    .            56        0      164        0        0       66      870      200
TAB:  US_Minnesota_Ramsey Deaths    3/19/2020    57        0      164        0        0       66      736      736
TAB:  US_Minnesota_Ramsey Deaths    .            58        0      164        0        0       66     1272      200
TAB:  US_Minnesota_Ramsey Deaths    3/21/2020    59        1      164        0        0       66     1406      200
TAB:  US_Minnesota_Ramsey Deaths    .            60        1      164        0        0       66      200      200
TAB:  US_Minnesota_Ramsey Deaths    3/23/2020    61        1      164        0        0       66      200      200
TAB:  US_Minnesota_Ramsey Deaths    .            62        1      164        0        0       66      334      200
TAB:  US_Minnesota_Ramsey Deaths    3/25/2020    63        1      164        0        0       66      468      468
TAB:  US_Minnesota_Ramsey Deaths    .            64        2      164        0        0       66      602      468
TAB:  US_Minnesota_Ramsey Deaths    3/27/2020    65        2      164        0        0       66     2746      200
TAB:  US_Minnesota_Ramsey Deaths    .            66        2      164        0        0       66    11587      736
TAB:  US_Minnesota_Ramsey Deaths    3/29/2020    67        2      164        0        0       66    24045     1272
TAB:  US_Minnesota_Ramsey Deaths    .            68        2      164    -            1      780      780      780
TAB:  US_Minnesota_Ramsey Deaths    3/31/2020    69        2      164    -            1      556      556      556
TAB:  US_Minnesota_Ramsey Deaths    .            70        2      164    -            1      993      993      993
TAB:  US_Minnesota_Ramsey Deaths    4/2/2020     71        2      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            72        2      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    4/4/2020     73        2      164    -            1     1062     1062     1062
TAB:  US_Minnesota_Ramsey Deaths    .            74        2      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    4/6/2020     75        3      164        7        1        7       10       10
TAB:  US_Minnesota_Ramsey Deaths    .            76        3      164        5        1        5        6        6
TAB:  US_Minnesota_Ramsey Deaths    4/8/2020     77        3      164        4        2        4        6        4
TAB:  US_Minnesota_Ramsey Deaths    .            78        5      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    4/10/2020    79        5      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    .            80        6      164        9        1        9       33       33
TAB:  US_Minnesota_Ramsey Deaths    4/12/2020    81        6      164        9        2        3       45        9
TAB:  US_Minnesota_Ramsey Deaths    .            82        6      164        3        3        3       57        9
TAB:  US_Minnesota_Ramsey Deaths    4/14/2020    83        7      164        9        5        9       45       15
TAB:  US_Minnesota_Ramsey Deaths    .            84        7      164        9        7        9       27       15
TAB:  US_Minnesota_Ramsey Deaths    4/16/2020    85        7      164        9       10        9      638       21
TAB:  US_Minnesota_Ramsey Deaths    .            86        9      164       21        1       21      983       75
TAB:  US_Minnesota_Ramsey Deaths    4/18/2020    87        9      164       15        1       15      112       27
TAB:  US_Minnesota_Ramsey Deaths    .            88        9      164       15        6       15      989       45
TAB:  US_Minnesota_Ramsey Deaths    4/20/2020    89       10      164       15        7        9      172       27
TAB:  US_Minnesota_Ramsey Deaths    .            90       11      164       15        6       15      729       51
TAB:  US_Minnesota_Ramsey Deaths    4/22/2020    91       11      164       15        8       15     1098       63
TAB:  US_Minnesota_Ramsey Deaths    .            92       14      164       39        1       39      505       69
TAB:  US_Minnesota_Ramsey Deaths    4/24/2020    93       18      164      426        1      426      838      838
TAB:  US_Minnesota_Ramsey Deaths    .            94       20      164        0        0        0        0        0
TAB:  US_Minnesota_Ramsey Deaths    4/26/2020    95       20      164       21        1       21       21       21
TAB:  US_Minnesota_Ramsey Deaths    .            96       22      164       27        2       21       27       27
TAB:  US_Minnesota_Ramsey Deaths    4/28/2020    97       22      164       21        3       21       27       27
TAB:  US_Minnesota_Ramsey Deaths    .            98       24      164       27        4       27       57       39
TAB:  US_Minnesota_Ramsey Deaths    4/30/2020    99       26      164       33        4       33      245       57
TAB:  US_Minnesota_Ramsey Deaths    .           100       29      164       51        2       39      190       57
TAB:  US_Minnesota_Ramsey Deaths    5/2/2020    101       31      164       51        2       51      747       75
TAB:  US_Minnesota_Ramsey Deaths    .           102       34      164       63        2       63      656      136
TAB:  US_Minnesota_Ramsey Deaths    5/4/2020    103       34      164       57        3       57     1189       99
TAB:  US_Minnesota_Ramsey Deaths    .           104       37      164       51        2       51      511       87
TAB:  US_Minnesota_Ramsey Deaths    5/6/2020    105       38      164       63        3       45     1098       99
TAB:  US_Minnesota_Ramsey Deaths    .           106       39      164       45        4       39      923      124
TAB:  US_Minnesota_Ramsey Deaths    5/8/2020    107       42      164       63        3       57     1165      148
TAB:  US_Minnesota_Ramsey Deaths    .           108       43      164       69        4       57     1098      239
TAB:  US_Minnesota_Ramsey Deaths    5/10/2020   109       45      164       69        6       63      796      184
TAB:  US_Minnesota_Ramsey Deaths    .           110       47      164       69        7       69     1074      323
TAB:  US_Minnesota_Ramsey Deaths    5/12/2020   111       49      164       75        8       75     1032      184
TAB:  US_Minnesota_Ramsey Deaths    .           112       55      164       99        3       99      953      214
TAB:  US_Minnesota_Ramsey Deaths    5/14/2020   113       56      164      112        3      105      814      275
TAB:  US_Minnesota_Ramsey Deaths    .           114       61      164      130        2      130     1129      336
TAB:  US_Minnesota_Ramsey Deaths    5/16/2020   115       67      164      196        3      178      881      396
TAB:  US_Minnesota_Ramsey Deaths    .           116       71      164      251        2      227      971      457
TAB:  US_Minnesota_Ramsey Deaths    5/18/2020   117       72      164    -            2       87     1098      390
TAB:  US_Minnesota_Ramsey Deaths    .           118       74      164       81        2       75     1177      463
TAB:  US_Minnesota_Ramsey Deaths    5/20/2020   119       80      164      305        2      118     1165      426
TAB:  US_Minnesota_Ramsey Deaths    .           120       86      164      366        2      208      983      517
TAB:  US_Minnesota_Ramsey Deaths    5/22/2020   121       93      164      481        2      445     1117      675
TAB:  US_Minnesota_Ramsey Deaths    .           122       94      164      487        2      475     1165      705
TAB:  US_Minnesota_Ramsey Deaths    5/24/2020   123       97      164    -            2       99     1129      699
TAB:  US_Minnesota_Ramsey Deaths    .           124       97      164       99        2       99     1044      669
TAB:  US_Minnesota_Ramsey Deaths    5/26/2020   125       98      164       99        5       99     1117      584
TAB:  US_Minnesota_Ramsey Deaths    .           126      103      164      451        3      112     1020      596
TAB:  US_Minnesota_Ramsey Deaths    5/28/2020   127      110      164    -            3      166     1165      590
TAB:  US_Minnesota_Ramsey Deaths    .           128      115      164    -            3      196     1177      547
TAB:  US_Minnesota_Ramsey Deaths    5/30/2020   129      122      164      257        2      257     1105      578
TAB:  US_Minnesota_Ramsey Deaths    .           130      124      164      269        2      160     1153      578
TAB:  US_Minnesota_Ramsey Deaths    6/1/2020    131      128      164    -            3      142     1201      578
TAB:  US_Minnesota_Ramsey Deaths    .           132      133      164    -            3      160     1201      620
TAB:  US_Minnesota_Ramsey Deaths    6/3/2020    133      134      164      148        3      148     1165      560
TAB:  US_Minnesota_Ramsey Deaths    .           134      140      164    -            4      166     1201      535
TAB:  US_Minnesota_Ramsey Deaths    6/5/2020    135      149      164    -            3      275     1165      638
TAB:  US_Minnesota_Ramsey Deaths    .           136      152      164      366        3      287     1165      638
TAB:  US_Minnesota_Ramsey Deaths    6/7/2020    137      155      164    -            3      172     1189      632
TAB:  US_Minnesota_Ramsey Deaths    .           138      158      164    -            4      166     1141      608
TAB:  US_Minnesota_Ramsey Deaths    6/9/2020    139      164      164    -            3      166     1153      572
