TAB:  US Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US Confirmed .            74   533588  1979489  5135468        1   691302  2563943   953821
TAB:  US Confirmed 4/6/2020     75   547799  1979489   567337        1   567337  3036925   834320
TAB:  US Confirmed .            76   511498  1979489   514831        2   514831  1682491   875744
TAB:  US Confirmed 4/8/2020     77   501610  1979489   511047        3   511047  2703906  1049970
TAB:  US Confirmed .            78   515813  1979489  4762848        1   738807  2488167  1027536
TAB:  US Confirmed 4/10/2020    79   531332  1979489  5810861        1   687256   687256   687256
TAB:  US Confirmed .            80   575859  1979489    -            1   648282  1608334   826436
TAB:  US Confirmed 4/12/2020    81   611415  1979489   671550        2   671550  2787393   929131
TAB:  US Confirmed .            82   645004  1979489    -            1   710735  1105942   774478
TAB:  US Confirmed 4/14/2020    83   697642  1979489   805713        2   788386  3266173  1030967
TAB:  US Confirmed .            84   700893  1979489   807595        4   807595  2282335  1018272
TAB:  US Confirmed 4/16/2020    85   725123  1979489   837137        4   781942  2640204  1039522
TAB:  US Confirmed .            86   740175  1979489   832021        4   767398  3206917  1009734
TAB:  US Confirmed 4/18/2020    87   770604  1979489   865976        5   865976  2833341  1084573
TAB:  US Confirmed .            88   788311  1979489   883816        6   883816  2563943  1093832
TAB:  US Confirmed 4/20/2020    89   815688  1979489   910121        6   910121  3067447  1179787
TAB:  US Confirmed .            90   814396  1979489   929274        6   915507  2140772  1080711
TAB:  US Confirmed 4/22/2020    91   844583  1979489   937302        9   937302  3324957  1174094
TAB:  US Confirmed .            92   878402  1979489   975554        9   955016  2926663  1222010
TAB:  US Confirmed 4/24/2020    93   912042  1979489  1013207        7  1013207  1903114  1227642
TAB:  US Confirmed .            94   945197  1979489  1046290        7  1046290  3579414  1464806
TAB:  US Confirmed 4/26/2020    95   973082  1979489  1086239        6  1086239  3756993  1504790
TAB:  US Confirmed .            96   995513  1979489  1123724       11  1123724  2622023  1473327
TAB:  US Confirmed 4/28/2020    97  1019316  1979489  1174094        7  1134629  3463086  1549015
TAB:  US Confirmed .            98  1046385  1979489  1169494        9  1169494  3508482  1580156
TAB:  US Confirmed 4/30/2020    99  1074583  1979489  1222010       11  1201472  3686569  1714922
TAB:  US Confirmed .           100  1109176  1979489  1251538       11  1251538  2496658  1521100
TAB:  US Confirmed 5/2/2020    101  1138403  1979489  1282436       12  1282436  4369363  1940678
TAB:  US Confirmed .           102  1162946  1979489  1314620       10  1314620  4191054  1853951
TAB:  US Confirmed 5/4/2020    103  1185489  1979489  1342718       10  1342718  1484844  1410041
TAB:  US Confirmed .           104  1209184  1979489  1367268       11  1367268  1673945  1495050
TAB:  US Confirmed 5/6/2020    105  1234438  1979489  1399126       17  1399126  3673964  1942671
TAB:  US Confirmed .           106  1259149  1979489  1421515       13  1421515  4029407  2105552
TAB:  US Confirmed 5/8/2020    107  1286378  1979489  1441735       14  1441735  4034786  2105556
TAB:  US Confirmed .           108  1311564  1979489  1471925       15  1471925  4280942  2258450
TAB:  US Confirmed 5/10/2020   109  1331260  1979489  1498131       11  1498131  4033430  2126717
TAB:  US Confirmed .           110  1349275  1979489  1531589       13  1504953  4674678  2144225
TAB:  US Confirmed 5/12/2020   111  1371356  1979489  1530448       15  1530448  4278026  2157089
TAB:  US Confirmed .           112  1393074  1979489  1559271       13  1559271  3936342  2126279
TAB:  US Confirmed 5/14/2020   113  1421319  1979489  1591694       13  1571156  3748183  2125682
TAB:  US Confirmed .           114  1445143  1979489  1611748       20  1611748  3604454  2139229
TAB:  US Confirmed 5/16/2020   115  1470487  1979489  1642402       17  1642402  3500662  2167971
TAB:  US Confirmed .           116  1488578  1979489  1650820       15  1650820  3565382  2217374
TAB:  US Confirmed 5/18/2020   117  1509917  1979489  1694730       14  1675580  3456483  2230916
TAB:  US Confirmed .           118  1530282  1979489  1706899       11  1689744  3336603  2204388
TAB:  US Confirmed 5/20/2020   119  1553724  1979489  1721227       17  1721227  3633701  2284903
TAB:  US Confirmed .           120  1579070  1979489  1742918       22  1742918  4487672  2429107
TAB:  US Confirmed 5/22/2020   121  1602947  1979489  1763893       20  1763893  3577614  2302030
TAB:  US Confirmed .           122  1624355  1979489  1799526       26  1799526  3670221  2409535
TAB:  US Confirmed 5/24/2020   123  1646234  1979489  1809007       17  1809007  3988804  2460699
TAB:  US Confirmed .           124  1665277  1979489  1833397       16  1833397  3020161  2350705
TAB:  US Confirmed 5/26/2020   125  1683715  1979489  1847269       16  1847269  3402864  2483648
TAB:  US Confirmed .           126  1701210  1979489  1860712       17  1860712  3143416  2446639
TAB:  US Confirmed 5/28/2020   127  1723413  1979489  1876548       16  1876548  3048401  2446639
TAB:  US Confirmed .           128  1747993  1979489  1901061       14  1901061  3108603  2521150
TAB:  US Confirmed 5/30/2020   129  1772222  1979489  1917977       12  1917977  3261446  2589712
TAB:  US Confirmed .           130  1791191  1979489  1963402       12  1943669  3403888  2673779
TAB:  US Confirmed 6/1/2020    131  1811736  1979489  1981916       12  1961378  3686569  2680207
TAB:  US Confirmed .           132  1832163  1979489  2002863       14  1982529  3507552  2694206
TAB:  US Confirmed 6/3/2020    133  1851766  1979489  2022011       14  2002474  3877963  2705783
TAB:  US Confirmed .           134  1873174  1979489  2040575       13  2021233  3607273  2717544
TAB:  US Confirmed 6/5/2020    135  1902721  1979489  2061940       21  2061940  4069902  2839216
TAB:  US Confirmed .           136  1926009  1979489  2085312       19  2085312  2375442  2206199
TAB:  US Confirmed 6/7/2020    137  1944470  1979489  2103594       19  2103594  4019957  2874545
TAB:  US Confirmed .           138  1961428  1979489  2126796       20  2082603  2193086  2148893
TAB:  US Confirmed 6/9/2020    139  1979489  1979489  2142922       22  2084848  2305528  2212611
