TAB:  US_Michigan_Kent Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Kent Confirmed .           104     1914     4225     5229        3     2107    29422     8350
TAB:  US_Michigan_Kent Confirmed 5/6/2020    105     2016     4225     2731        2     2731    27705     8350
TAB:  US_Michigan_Kent Confirmed .           106     2076     4225     3199        3     2731    30359     8662
TAB:  US_Michigan_Kent Confirmed 5/8/2020    107     2135     4225     2731        3     2731    29110     8662
TAB:  US_Michigan_Kent Confirmed .           108     2213     4225     2887        3     2887    30671     8819
TAB:  US_Michigan_Kent Confirmed 5/10/2020   109     2281     4225     3043        4     3043    30359     8975
TAB:  US_Michigan_Kent Confirmed .           110     2332     4225     3043        6     3043    25052     8350
TAB:  US_Michigan_Kent Confirmed 5/12/2020   111     2416     4225     3199        5     3199    28018     8662
TAB:  US_Michigan_Kent Confirmed .           112     2446     4225     3202        6     3202    16504     7636
TAB:  US_Michigan_Kent Confirmed 5/14/2020   113     2627     4225     3824        9     3824    16155     7570
TAB:  US_Michigan_Kent Confirmed .           114     2705     4225     4136        8     4136    13813     7726
TAB:  US_Michigan_Kent Confirmed 5/16/2020   115     2766     4225     4292        9     4292    11940     7570
TAB:  US_Michigan_Kent Confirmed .           116     2825     4225     4448        6     3043    21930     6789
TAB:  US_Michigan_Kent Confirmed 5/18/2020   117     2868     4225     4292        8     2887    22398     6477
TAB:  US_Michigan_Kent Confirmed .           118     2934     4225     4368        7     3152     9534     5888
TAB:  US_Michigan_Kent Confirmed 5/20/2020   119     3036     4225     4448       10     3668    10067     6633
TAB:  US_Michigan_Kent Confirmed .           120     3145     4225     4604        9     4604    14282     6946
TAB:  US_Michigan_Kent Confirmed 5/22/2020   121     3231     4225     4760        7     4760    18028     7102
TAB:  US_Michigan_Kent Confirmed .           122     3308     4225     4916        7     4916    17716     7102
TAB:  US_Michigan_Kent Confirmed 5/24/2020   123     3359     4225     5072        7     3668    12877     6946
TAB:  US_Michigan_Kent Confirmed .           124     3385     4225     5072        7     3512     8819     6477
TAB:  US_Michigan_Kent Confirmed 5/26/2020   125     3420     4225     4960        4     3496     7267     5583
TAB:  US_Michigan_Kent Confirmed .           126     3454     4225     3570        4     3535     7052     5418
TAB:  US_Michigan_Kent Confirmed 5/28/2020   127     3540     4225     4858        5     3882     6912     5380
TAB:  US_Michigan_Kent Confirmed .           128     3596     4225     4849        4     4072     6708     5255
TAB:  US_Michigan_Kent Confirmed 5/30/2020   129     3642     4225     4916       14     4136     6633     5385
TAB:  US_Michigan_Kent Confirmed .           130     3715     4225     4916       12     4448    14438     5541
TAB:  US_Michigan_Kent Confirmed 6/1/2020    131     3748     4225     4916       13     4448     6321     5385
TAB:  US_Michigan_Kent Confirmed .           132     3777     4225     4916       15     3980     6165     5072
TAB:  US_Michigan_Kent Confirmed 6/3/2020    133     3815     4225     4817        8     4007     7429     5088
TAB:  US_Michigan_Kent Confirmed .           134     3851     4225     4870       10     4061     5920     4900
TAB:  US_Michigan_Kent Confirmed 6/5/2020    135     4130     4225     5152        7     5152     6070     5580
TAB:  US_Michigan_Kent Confirmed .           136     4164     4225     5320        8     5320     6381     5803
TAB:  US_Michigan_Kent Confirmed 6/7/2020    137     4190     4225     6046        7     4224     6576     5880
TAB:  US_Michigan_Kent Confirmed .           138     4203     4225     5442        8     4223     6707     5939
TAB:  US_Michigan_Kent Confirmed 6/9/2020    139     4225     4225     5983        9     5441     6775     5983
