TAB:  US_Michigan_Oakland Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Oakland Deaths    4/14/2020    83      364     1056      596        3      406      821      574
TAB:  US_Michigan_Oakland Deaths    .            84      392     1056      591        3      543      937      611
TAB:  US_Michigan_Oakland Deaths    4/16/2020    85      420     1056      643        5      604     2048      838
TAB:  US_Michigan_Oakland Deaths    .            86      442     1056      643        4      643     2633      799
TAB:  US_Michigan_Oakland Deaths    4/18/2020    87      458     1056      643        5      643     1774      838
TAB:  US_Michigan_Oakland Deaths    .            88      471     1056      653        2      513      838      698
TAB:  US_Michigan_Oakland Deaths    4/20/2020    89      479     1056      644        3      501      752      659
TAB:  US_Michigan_Oakland Deaths    .            90      506     1056      660        4      653      752      691
TAB:  US_Michigan_Oakland Deaths    4/22/2020    91      529     1056      730        5      679      806      751
TAB:  US_Michigan_Oakland Deaths    .            92      567     1056      721        4      721     1657      877
TAB:  US_Michigan_Oakland Deaths    4/24/2020    93      585     1056      760        5      760     2009      955
TAB:  US_Michigan_Oakland Deaths    .            94      612     1056      799        5      799     2594      994
TAB:  US_Michigan_Oakland Deaths    4/26/2020    95      620     1056      955        5      682     1970      994
TAB:  US_Michigan_Oakland Deaths    .            96      631     1056      956        3      654     1380      881
TAB:  US_Michigan_Oakland Deaths    4/28/2020    97      654     1056      965        3      735     1249      945
TAB:  US_Michigan_Oakland Deaths    .            98      668     1056      824        3      757     1155      934
TAB:  US_Michigan_Oakland Deaths    4/30/2020    99      696     1056      994        6      838     1267      994
TAB:  US_Michigan_Oakland Deaths    .           100      705     1056      994        6      838     2633     1033
TAB:  US_Michigan_Oakland Deaths    5/2/2020    101      745     1056      916        4      877     1345     1072
TAB:  US_Michigan_Oakland Deaths    .           102      757     1056      916        5      916     1384     1150
TAB:  US_Michigan_Oakland Deaths    5/4/2020    103      762     1056     1072        5      799     1384     1111
TAB:  US_Michigan_Oakland Deaths    .           104      772     1056     1071        5      775     3139     1071
TAB:  US_Michigan_Oakland Deaths    5/6/2020    105      774     1056     1047        5      784     1152      994
TAB:  US_Michigan_Oakland Deaths    .           106      789     1056     1034        4      821     1112      994
TAB:  US_Michigan_Oakland Deaths    5/8/2020    107      805     1056     1025        4      862     1074      981
TAB:  US_Michigan_Oakland Deaths    .           108      841     1056     1066        3      953     1141     1053
TAB:  US_Michigan_Oakland Deaths    5/10/2020   109      843     1056     1072        8      955     1228     1072
TAB:  US_Michigan_Oakland Deaths    .           110      849     1056     1072       11      838     1150     1033
TAB:  US_Michigan_Oakland Deaths    5/12/2020   111      872     1056      994        7      994     3803     1111
TAB:  US_Michigan_Oakland Deaths    .           112      874     1056     1072        9      916     2477     1072
TAB:  US_Michigan_Oakland Deaths    5/14/2020   113      888     1056     1111       14      916     1267     1072
TAB:  US_Michigan_Oakland Deaths    .           114      896     1056     1111       14      955     1735     1111
TAB:  US_Michigan_Oakland Deaths    5/16/2020   115      910     1056     1111       17      994     1970     1150
TAB:  US_Michigan_Oakland Deaths    .           116      912     1056     1087       10      959     1250     1064
TAB:  US_Michigan_Oakland Deaths    5/18/2020   117      913     1056     1074        9      920     1085     1024
TAB:  US_Michigan_Oakland Deaths    .           118      928     1056     1079        9      980     1100     1046
TAB:  US_Michigan_Oakland Deaths    5/20/2020   119      935     1056     1072       30      994     1891     1072
TAB:  US_Michigan_Oakland Deaths    .           120      939     1056     1072       27      994     1072     1033
TAB:  US_Michigan_Oakland Deaths    5/22/2020   121      944     1056     1052        9      955     1063     1025
TAB:  US_Michigan_Oakland Deaths    .           122      954     1056     1047       12     1006     1155     1055
TAB:  US_Michigan_Oakland Deaths    5/24/2020   123      955     1056     1072       24      994     1072     1033
TAB:  US_Michigan_Oakland Deaths    .           124      955     1056     1047       10      956     1052     1015
TAB:  US_Michigan_Oakland Deaths    5/26/2020   125      958     1056      994        9      962     1047     1004
TAB:  US_Michigan_Oakland Deaths    .           126      961     1056     1047       11      962     1047     1004
TAB:  US_Michigan_Oakland Deaths    5/28/2020   127      971     1056     1016       12     1005     1037     1021
TAB:  US_Michigan_Oakland Deaths    .           128      975     1056     1033       42      994     1228     1033
TAB:  US_Michigan_Oakland Deaths    5/30/2020   129      983     1056     1033       48     1033     1111     1072
TAB:  US_Michigan_Oakland Deaths    .           130      988     1056     1033       45     1033     1228     1111
TAB:  US_Michigan_Oakland Deaths    6/1/2020    131      992     1056     1033       33      994     1189     1111
TAB:  US_Michigan_Oakland Deaths    .           132      999     1056     1072       28     1033     1423     1189
TAB:  US_Michigan_Oakland Deaths    6/3/2020    133     1003     1056     1072       41     1033     1345     1189
TAB:  US_Michigan_Oakland Deaths    .           134     1006     1056     1072       43     1033     3101     1189
TAB:  US_Michigan_Oakland Deaths    6/5/2020    135     1048     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .           136     1055     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    6/7/2020    137     1055     1056        0        0        0        0        0
TAB:  US_Michigan_Oakland Deaths    .           138     1056     1056        0        0        0        0        0
