TAB:  US_Louisiana_Jefferson Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Louisiana_Jefferson Deaths    3/1/2020     39        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            40        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/3/2020     41        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            42        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/5/2020     43        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            44        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/7/2020     45        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            46        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/9/2020     47        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            48        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/11/2020    49        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            50        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/13/2020    51        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            52        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/15/2020    53        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            54        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/17/2020    55        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            56        0      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/19/2020    57        1      462        0        0      733      733      733
TAB:  US_Louisiana_Jefferson Deaths    .            58        2      462        0        0     6600     6600     6600
TAB:  US_Louisiana_Jefferson Deaths    3/21/2020    59        3      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    .            60        3      462        0        0    29774    29774    29774
TAB:  US_Louisiana_Jefferson Deaths    3/23/2020    61        5      462        0        0      440    19214     2200
TAB:  US_Louisiana_Jefferson Deaths    .            62        6      462        0        0      378     6089      860
TAB:  US_Louisiana_Jefferson Deaths    3/25/2020    63        7      462       13        1       13       13       13
TAB:  US_Louisiana_Jefferson Deaths    .            64       12      462        0        0     1026     3080     1613
TAB:  US_Louisiana_Jefferson Deaths    3/27/2020    65       24      462        0        0     1320     3080     1906
TAB:  US_Louisiana_Jefferson Deaths    .            66       26      462        0        0        0        0        0
TAB:  US_Louisiana_Jefferson Deaths    3/29/2020    67       28      462       25        1       25       25       25
TAB:  US_Louisiana_Jefferson Deaths    .            68       37      462       59        1       59       93       93
TAB:  US_Louisiana_Jefferson Deaths    3/31/2020    69       57      462      503        1      503     3250     3250
TAB:  US_Louisiana_Jefferson Deaths    .            70       64      462      349        1      349      912      912
TAB:  US_Louisiana_Jefferson Deaths    4/2/2020     71       73      462      127        1      127     3387      435
TAB:  US_Louisiana_Jefferson Deaths    .            72       85      462      110        1      110     3114      332
TAB:  US_Louisiana_Jefferson Deaths    4/4/2020     73       95      462      124        1      124     1104      208
TAB:  US_Louisiana_Jefferson Deaths    .            74      113      462      196        1      196      912      315
TAB:  US_Louisiana_Jefferson Deaths    4/6/2020     75      121      462      230        2      196     1339      298
TAB:  US_Louisiana_Jefferson Deaths    .            76      137      462      264        3      230      810      401
TAB:  US_Louisiana_Jefferson Deaths    4/8/2020     77      149      462      278        2      254      486      313
TAB:  US_Louisiana_Jefferson Deaths    .            78      158      462      270        4      215      426      297
TAB:  US_Louisiana_Jefferson Deaths    4/10/2020    79      165      462      282        2      197      356      261
TAB:  US_Louisiana_Jefferson Deaths    .            80      166      462      248        2      178      314      236
TAB:  US_Louisiana_Jefferson Deaths    4/12/2020    81      173      462      231        3      185      285      219
TAB:  US_Louisiana_Jefferson Deaths    .            82      186      462      227        2      227      277      238
TAB:  US_Louisiana_Jefferson Deaths    4/14/2020    83      210      462      282        2      282      309      296
TAB:  US_Louisiana_Jefferson Deaths    .            84      247      462      401        2      383      401      401
TAB:  US_Louisiana_Jefferson Deaths    4/16/2020    85      261      462      435        3      435      435      435
TAB:  US_Louisiana_Jefferson Deaths    .            86      269      462      452        3      298      452      452
TAB:  US_Louisiana_Jefferson Deaths    4/18/2020    87      275      462      452        3      281      452      435
TAB:  US_Louisiana_Jefferson Deaths    .            88      282      462      298        2      298      503      435
TAB:  US_Louisiana_Jefferson Deaths    4/20/2020    89      286      462      430        2      294      461      314
TAB:  US_Louisiana_Jefferson Deaths    .            90      288      462      293        3      291      439      418
TAB:  US_Louisiana_Jefferson Deaths    4/22/2020    91      297      462      404        2      308      422      409
TAB:  US_Louisiana_Jefferson Deaths    .            92      306      462      401        3      325      412      404
TAB:  US_Louisiana_Jefferson Deaths    4/24/2020    93      323      462      401        4      401      418      418
TAB:  US_Louisiana_Jefferson Deaths    .            94      325      462      401        5      366      435      418
TAB:  US_Louisiana_Jefferson Deaths    4/26/2020    95      329      462      401        8      332      418      401
TAB:  US_Louisiana_Jefferson Deaths    .            96      331      462      398        5      334      414      377
TAB:  US_Louisiana_Jefferson Deaths    4/28/2020    97      340      462      401        6      367      405      381
TAB:  US_Louisiana_Jefferson Deaths    .            98      340      462      397        8      359      397      373
TAB:  US_Louisiana_Jefferson Deaths    4/30/2020    99      346      462      401       14      366      401      383
TAB:  US_Louisiana_Jefferson Deaths    .           100      368      462      412        7      412      422      418
TAB:  US_Louisiana_Jefferson Deaths    5/2/2020    101      369      462      418        7      418      426      422
TAB:  US_Louisiana_Jefferson Deaths    .           102      371      462      418       12      366      435      418
TAB:  US_Louisiana_Jefferson Deaths    5/4/2020    103      377      462      418       11      383      725      418
TAB:  US_Louisiana_Jefferson Deaths    .           104      381      462      435       11      383      605      435
TAB:  US_Louisiana_Jefferson Deaths    5/6/2020    105      387      462      435       13      401      588      503
TAB:  US_Louisiana_Jefferson Deaths    .           106      391      462      435       20      401      554      486
TAB:  US_Louisiana_Jefferson Deaths    5/8/2020    107      392      462      435       25      401      503      469
TAB:  US_Louisiana_Jefferson Deaths    .           108      396      462      430        8      410      480      435
TAB:  US_Louisiana_Jefferson Deaths    5/10/2020   109      397      462      434       10      404      452      425
TAB:  US_Louisiana_Jefferson Deaths    .           110      402      462      435       29      418      452      435
TAB:  US_Louisiana_Jefferson Deaths    5/12/2020   111      405      462      435       32      418      469      452
TAB:  US_Louisiana_Jefferson Deaths    .           112      408      462      435       31      418      469      452
TAB:  US_Louisiana_Jefferson Deaths    5/14/2020   113      423      462      456        7      448      496      456
TAB:  US_Louisiana_Jefferson Deaths    .           114      424      462      461        7      451      514      506
TAB:  US_Louisiana_Jefferson Deaths    5/16/2020   115      427      462      469       10      435      537      503
TAB:  US_Louisiana_Jefferson Deaths    .           116      430      462      469       14      435      554      520
TAB:  US_Louisiana_Jefferson Deaths    5/18/2020   117      430      462      469       17      435      537      503
TAB:  US_Louisiana_Jefferson Deaths    .           118      429      462      469       16      435      520      469
TAB:  US_Louisiana_Jefferson Deaths    5/20/2020   119      431      462      465        9      435      501      465
TAB:  US_Louisiana_Jefferson Deaths    .           120      432      462      466        9      434      483      461
TAB:  US_Louisiana_Jefferson Deaths    5/22/2020   121      432      462      462        8      435      466      457
TAB:  US_Louisiana_Jefferson Deaths    .           122      432      462      460       12      434      470      458
TAB:  US_Louisiana_Jefferson Deaths    5/24/2020   123      433      462      434        9      434      465      458
TAB:  US_Louisiana_Jefferson Deaths    .           124      437      462      457       15      450      460      457
TAB:  US_Louisiana_Jefferson Deaths    5/26/2020   125      438      462      452       26      452      469      469
TAB:  US_Louisiana_Jefferson Deaths    .           126      438      462      452       30      435      622      452
TAB:  US_Louisiana_Jefferson Deaths    5/28/2020   127      441      462      452       31      452      452      452
TAB:  US_Louisiana_Jefferson Deaths    .           128      446      462      469       16      452      469      469
TAB:  US_Louisiana_Jefferson Deaths    5/30/2020   129      447      462      469       20      452      469      469
TAB:  US_Louisiana_Jefferson Deaths    .           130      450      462      469       25      469      588      588
TAB:  US_Louisiana_Jefferson Deaths    6/1/2020    131      451      462      469       26      452      503      469
TAB:  US_Louisiana_Jefferson Deaths    .           132      453      462      469       26      452      537      486
TAB:  US_Louisiana_Jefferson Deaths    6/3/2020    133      454      462      469       28      452      537      486
TAB:  US_Louisiana_Jefferson Deaths    .           134      455      462      469       30      452      571      486
TAB:  US_Louisiana_Jefferson Deaths    6/5/2020    135      457      462      469       32      469      895      503
TAB:  US_Louisiana_Jefferson Deaths    .           136      458      462      469       33      469     1237      520
TAB:  US_Louisiana_Jefferson Deaths    6/7/2020    137      459      462      469       34      469     1117      520
TAB:  US_Louisiana_Jefferson Deaths    .           138      462      462      486       19      469      588      520
TAB:  US_Louisiana_Jefferson Deaths    6/9/2020    139      462      462      486       20      469      639      520
