TAB:  Italy_Friuli_Venezia_Giulia Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/14/2020    23        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            24        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/16/2020    25        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            26        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/18/2020    27        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            28        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/20/2020    29        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            30        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/22/2020    31        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            32        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/24/2020    33        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            34        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/26/2020    35        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            36        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    2/28/2020    37        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            38        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/1/2020     39        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            40        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/3/2020     41        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            42        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/5/2020     43        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            44        0      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/7/2020     45        0      340        0        0    12678    12678    12678
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            46        1      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/9/2020     47        1      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            48        3      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/11/2020    49        6      340        0        0      303      303      303
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            50        8      340        0        0      545     5398      788
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/13/2020    51       10      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            52       13      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/15/2020    53       14      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            54       22      340        0        0      424    22141     2972
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/17/2020    55       30      340        0        0      434     7901     1591
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            56       31      340        0        0        0        0        0
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/19/2020    57       36      340       46        1       46       46       46
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            58       38      340       41        1       41       48       43
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/21/2020    59       42      340       49        1       49       52       51
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            60       47      340       69        4       56       69       69
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/23/2020    61       54      340       81        2       81      144       94
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            62       64      340      106        1      106      144      131
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/25/2020    63       70      340      169        2      119      169      157
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            64       72      340      157        4       94     1136      157
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/27/2020    65       76      340      144        3       81      885      157
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            66       87      340      169        5      131      697      357
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/29/2020    67       98      340      219        3      157     1588      244
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            68      107      340      257        2      182     1350      282
TAB:  Italy_Friuli_Venezia_Giulia Deaths    3/31/2020    69      113      340      194        2      194     1940      533
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            70      122      340      207        2      157     2179      496
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/2/2020     71      129      340      295        2      169     1827      357
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            72      136      340      363        2      177      672      311
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/4/2020     73      145      340      230        2      206      769      347
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            74      154      340      307        2      232     1061      370
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/6/2020     75      158      340      315        2      227      486      323
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            76      164      340      225        2      191      427      301
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/8/2020     77      169      340      229        2      190      382      266
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            78      171      340      182        2      182      336      248
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/10/2020    79      179      340      219        7      207      320      270
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            80      185      340      232        8      232      307      270
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/12/2020    81      195      340      282        7      257      307      282
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            82      202      340      295        8      270      433      320
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/14/2020    83      206      340      295       10      257      420      307
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            84      212      340      295       11      244      420      320
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/16/2020    85      217      340      295       12      244     1714      332
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            86      220      340      293        5      242      559      305
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/18/2020    87      222      340      292        5      230      352      295
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            88      225      340      295        8      232      298      280
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/20/2020    89      239      340      303        8      288      411      311
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            90      241      340      310        7      291      407      328
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/22/2020    91      246      340      307       13      295      408      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            92      256      340      320       10      307      508      408
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/24/2020    93      258      340      329        5      283      497      339
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            94      263      340      333        5      284      485      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/26/2020    95      264      340      332        5      270      434      339
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            96      271      340      336        5      295      432      338
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/28/2020    97      278      340      332        8      320      634      408
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .            98      285      340      357       10      332      483      420
TAB:  Italy_Friuli_Venezia_Giulia Deaths    4/30/2020    99      289      340      357        9      332     1915      433
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           100      294      340      357        9      320     1174      433
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/2/2020    101      295      340      357        7      307      734      433
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           102      297      340      366        5      302      457      378
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/4/2020    103      299      340      363        5      303      439      368
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           104      303      340      364        4      312      423      364
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/6/2020    105      306      340      357       12      320      420      370
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           106      308      340      357       14      320      747      370
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/8/2020    107      308      340      357       14      307      395      357
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           108      308      340      360        6      309      378      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/10/2020   109      310      340      357        6      312      372      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           110      312      340      357       19      320      370      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/12/2020   111      313      340      357       21      320      357      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           112      316      340      357       20      320      357      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/14/2020   113      317      340      345       19      320      357      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           114      318      340      345       27      320      357      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/16/2020   115      319      340      345       27      320      671      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           116      319      340      345       25      320      370      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/18/2020   117      320      340      343       16      322      343      333
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           118      320      340      326       15      323      338      333
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/20/2020   119      322      340      332       35      320      345      332
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           120      323      340      332       50      332      345      345
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/22/2020   121      325      340      332       45      332      383      357
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           122      327      340      332       35      332     1940      383
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/24/2020   123      329      340      332       20      332     1161      458
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           124      329      340      345       20      332      847      395
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/26/2020   125      329      340      332       22      332      584      408
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           126      331      340      345       25      332      546      420
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/28/2020   127      333      340      345       35      332     1551      458
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           128      333      340      345       41      345      609      433
TAB:  Italy_Friuli_Venezia_Giulia Deaths    5/30/2020   129      333      340      345       43      332      898      408
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           130      333      340      345       42      332      797      395
TAB:  Italy_Friuli_Venezia_Giulia Deaths    6/1/2020    131      335      340      342       44      339      406      364
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           132      336      340      345       47      345      420      383
TAB:  Italy_Friuli_Venezia_Giulia Deaths    6/3/2020    133      336      340      343       42      338      374      357
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           134      336      340      343       43      335      367      352
TAB:  Italy_Friuli_Venezia_Giulia Deaths    6/5/2020    135      338      340      345       49      345      395      370
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           136      338      340      345       53      345      445      383
TAB:  Italy_Friuli_Venezia_Giulia Deaths    6/7/2020    137      339      340      345       52      345      471      370
TAB:  Italy_Friuli_Venezia_Giulia Deaths    .           138      340      340      345       46      345      584      370
TAB:  Italy_Friuli_Venezia_Giulia Deaths    6/9/2020    139      340      340      345       50      345      445      370
