TAB:  US_Massachusetts_Middlesex Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Middlesex Deaths    3/29/2020    67        6     1720        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Deaths    .            68        8     1720        0        0        0        0        0
TAB:  US_Massachusetts_Middlesex Deaths    3/31/2020    69       17     1720      158        1      158     3018      413
TAB:  US_Massachusetts_Middlesex Deaths    .            70       20     1720      158        1      158     2065      349
TAB:  US_Massachusetts_Middlesex Deaths    4/2/2020     71       28     1720      285        1      285     3780      603
TAB:  US_Massachusetts_Middlesex Deaths    .            72       38     1720      158        1      158     7339     1112
TAB:  US_Massachusetts_Middlesex Deaths    4/4/2020     73       38     1720       95        2       95     1493      476
TAB:  US_Massachusetts_Middlesex Deaths    .            74       41     1720       49        2       38     1683      149
TAB:  US_Massachusetts_Middlesex Deaths    4/6/2020     75       47     1720       57        2       55      220      102
TAB:  US_Massachusetts_Middlesex Deaths    .            76       68     1720      239        1      239      477      274
TAB:  US_Massachusetts_Middlesex Deaths    4/8/2020     77       80     1720      349        3      349      794      667
TAB:  US_Massachusetts_Middlesex Deaths    .            78       80     1720      285        3      285     2573      540
TAB:  US_Massachusetts_Middlesex Deaths    4/10/2020    79       80     1720      222        3       95      349      285
TAB:  US_Massachusetts_Middlesex Deaths    .            80      137     1720      667        2      667     1429     1048
TAB:  US_Massachusetts_Middlesex Deaths    4/12/2020    81      149     1720      857        2      857     1938     1302
TAB:  US_Massachusetts_Middlesex Deaths    .            82      149     1720      794        2      158     1429      857
TAB:  US_Massachusetts_Middlesex Deaths    4/14/2020    83      149     1720      158        3      158     2128      794
TAB:  US_Massachusetts_Middlesex Deaths    .            84      221     1720     1048        2     1048     1811     1302
TAB:  US_Massachusetts_Middlesex Deaths    4/16/2020    85      239     1720     1493        2      476     4225     1493
TAB:  US_Massachusetts_Middlesex Deaths    .            86      258     1720     1239        2      285     6195     1556
TAB:  US_Massachusetts_Middlesex Deaths    4/18/2020    87      294     1720     1429        2      349    11596     1874
TAB:  US_Massachusetts_Middlesex Deaths    .            88      372     1720     2065        2     2001     5750     2891
TAB:  US_Massachusetts_Middlesex Deaths    4/20/2020    89      400     1720     2319        2     1938     7085     3399
TAB:  US_Massachusetts_Middlesex Deaths    .            90      428     1720     2637        2      667     6958     3336
TAB:  US_Massachusetts_Middlesex Deaths    4/22/2020    91      428     1720      476        1      476     9499     2700
TAB:  US_Massachusetts_Middlesex Deaths    .            92      428     1720      476        2      413    10198     2255
TAB:  US_Massachusetts_Middlesex Deaths    4/24/2020    93      428     1720     1817        2      438     4775     1817
TAB:  US_Massachusetts_Middlesex Deaths    .            94      629     1720     4543        2     2382    10834     4098
TAB:  US_Massachusetts_Middlesex Deaths    4/26/2020    95      670     1720     2764        2     2764    10961     5877
TAB:  US_Massachusetts_Middlesex Deaths    .            96      700     1720      730        2      730    11279     5623
TAB:  US_Massachusetts_Middlesex Deaths    4/28/2020    97      731     1720      794        2      730    11406     4607
TAB:  US_Massachusetts_Middlesex Deaths    .            98      802     1720     3653        3      921     8610     4416
TAB:  US_Massachusetts_Middlesex Deaths    4/30/2020    99      845     1720     3209        2      984    10834     4098
TAB:  US_Massachusetts_Middlesex Deaths    .           100      885     1720     3018        2      984     7720     3780
TAB:  US_Massachusetts_Middlesex Deaths    5/2/2020    101      923     1720     2983        2     1046     5024     3009
TAB:  US_Massachusetts_Middlesex Deaths    .           102      972     1720     2672        2     1122     4500     2950
TAB:  US_Massachusetts_Middlesex Deaths    5/4/2020    103      997     1720     2350        2     1159     3951     2432
TAB:  US_Massachusetts_Middlesex Deaths    .           104     1028     1720     1247        2     1174     3504     2230
TAB:  US_Massachusetts_Middlesex Deaths    5/6/2020    105     1070     1720     1572        2     1243     3170     2066
TAB:  US_Massachusetts_Middlesex Deaths    .           106     1103     1720     1513        2     1272     2898     1964
TAB:  US_Massachusetts_Middlesex Deaths    5/8/2020    107     1132     1720     1493        4     1302     2764     2001
TAB:  US_Massachusetts_Middlesex Deaths    .           108     1169     1720     2446        6     1366     2573     1938
TAB:  US_Massachusetts_Middlesex Deaths    5/10/2020   109     1207     1720     1683        5     1429     3081     2065
TAB:  US_Massachusetts_Middlesex Deaths    .           110     1235     1720     2283        7     1435     4448     1953
TAB:  US_Massachusetts_Middlesex Deaths    5/12/2020   111     1244     1720     1620        3     1325     2235     1757
TAB:  US_Massachusetts_Middlesex Deaths    .           112     1282     1720     1650        5     1484     2169     1771
TAB:  US_Massachusetts_Middlesex Deaths    5/14/2020   113     1327     1720     1562        4     1562     2945     1885
TAB:  US_Massachusetts_Middlesex Deaths    .           114     1347     1720     2065        8     1556     2764     1938
TAB:  US_Massachusetts_Middlesex Deaths    5/16/2020   115     1370     1720     2001        8     1620     2192     1938
TAB:  US_Massachusetts_Middlesex Deaths    .           116     1394     1720     1935        4     1479     2062     1808
TAB:  US_Massachusetts_Middlesex Deaths    5/18/2020   117     1412     1720     1788        5     1492     2002     1788
TAB:  US_Massachusetts_Middlesex Deaths    .           118     1436     1720     1762        6     1563     2001     1802
TAB:  US_Massachusetts_Middlesex Deaths    5/20/2020   119     1462     1720     1747       13     1620     2001     1811
TAB:  US_Massachusetts_Middlesex Deaths    .           120     1478     1720     1808        7     1674     2726     1846
TAB:  US_Massachusetts_Middlesex Deaths    5/22/2020   121     1496     1720     1738        7     1683     1959     1827
TAB:  US_Massachusetts_Middlesex Deaths    .           122     1512     1720     1740        8     1614     1914     1788
TAB:  US_Massachusetts_Middlesex Deaths    5/24/2020   123     1518     1720     1741        9     1559     1904     1741
TAB:  US_Massachusetts_Middlesex Deaths    .           124     1527     1720     1771       10     1553     1885     1714
TAB:  US_Massachusetts_Middlesex Deaths    5/26/2020   125     1535     1720     1754        9     1556     1866     1716
TAB:  US_Massachusetts_Middlesex Deaths    .           126     1549     1720     1716       10     1601     1863     1737
TAB:  US_Massachusetts_Middlesex Deaths    5/28/2020   127     1564     1720     1747       25     1620     1874     1747
TAB:  US_Massachusetts_Middlesex Deaths    .           128     1583     1720     1747       36     1683     2954     1811
TAB:  US_Massachusetts_Middlesex Deaths    5/30/2020   129     1596     1720     1747       45     1747     2001     1811
TAB:  US_Massachusetts_Middlesex Deaths    .           130     1615     1720     1747       40     1747     2510     1874
TAB:  US_Massachusetts_Middlesex Deaths    6/1/2020    131     1650     1720     1811       26     1747     2891     2128
TAB:  US_Massachusetts_Middlesex Deaths    .           132     1663     1720     1811       29     1811     4734     2065
TAB:  US_Massachusetts_Middlesex Deaths    6/3/2020    133     1676     1720     1811       26     1811     6703     2192
TAB:  US_Massachusetts_Middlesex Deaths    .           134     1689     1720     1811       21     1747     7021     2192
TAB:  US_Massachusetts_Middlesex Deaths    6/5/2020    135     1695     1720     1874       27     1747     4607     2065
TAB:  US_Massachusetts_Middlesex Deaths    .           136     1701     1720     1874       33     1747     5941     2128
TAB:  US_Massachusetts_Middlesex Deaths    6/7/2020    137     1705     1720     1874       34     1747     4670     2128
TAB:  US_Massachusetts_Middlesex Deaths    .           138     1711     1720     1832       29     1721     3166     2055
TAB:  US_Massachusetts_Middlesex Deaths    6/9/2020    139     1720     1720     1874       40     1747     2446     2065
