TAB:  US_New_York_Erie Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Erie Deaths    .            58        0      560        0        0      852      852      852
TAB:  US_New_York_Erie Deaths    3/21/2020    59        0      560        0        0      209      275      275
TAB:  US_New_York_Erie Deaths    .            60        0      560        0        0      119      119      119
TAB:  US_New_York_Erie Deaths    3/23/2020    61        0      560        0        0      279      417      380
TAB:  US_New_York_Erie Deaths    .            62        0      560        0        0      365    20344      852
TAB:  US_New_York_Erie Deaths    3/25/2020    63        1      560        0        0      365     1583     1096
TAB:  US_New_York_Erie Deaths    .            64        2      560        0        0     1827    15959     5238
TAB:  US_New_York_Erie Deaths    3/27/2020    65        5      560        0        0     2558    27654     8405
TAB:  US_New_York_Erie Deaths    .            66        6      560        0        0     4263    15471     5482
TAB:  US_New_York_Erie Deaths    3/29/2020    67        7      560        0        0     4994    33989     9380
TAB:  US_New_York_Erie Deaths    .            68        7      560        0        0      609    44466     6213
TAB:  US_New_York_Erie Deaths    3/31/2020    69        8      560        0        0        0        0        0
TAB:  US_New_York_Erie Deaths    .            70       11      560        0        0      851    12593     4168
TAB:  US_New_York_Erie Deaths    4/2/2020     71       12      560       10        2       10       10       10
TAB:  US_New_York_Erie Deaths    .            72       19      560        0        0        0        0        0
TAB:  US_New_York_Erie Deaths    4/4/2020     73       22      560      217        1      217      217      217
TAB:  US_New_York_Erie Deaths    .            74       27      560      113        1      113      382      341
TAB:  US_New_York_Erie Deaths    4/6/2020     75       30      560       51        1       51      465      113
TAB:  US_New_York_Erie Deaths    .            76       39      560      175        1      175     1561      258
TAB:  US_New_York_Erie Deaths    4/8/2020     77       45      560      217        1      217     1044      279
TAB:  US_New_York_Erie Deaths    .            78       51      560      196        1      196     1003      444
TAB:  US_New_York_Erie Deaths    4/10/2020    79       53      560       72        1       72      589      196
TAB:  US_New_York_Erie Deaths    .            80       53      560       51        3       51      486      175
TAB:  US_New_York_Erie Deaths    4/12/2020    81       57      560       62        3       62      205      116
TAB:  US_New_York_Erie Deaths    .            82       66      560       96        1       96      179      122
TAB:  US_New_York_Erie Deaths    4/14/2020    83       73      560      113        3      113      217      155
TAB:  US_New_York_Erie Deaths    .            84      101      560      340        1      340      655      495
TAB:  US_New_York_Erie Deaths    4/16/2020    85      107      560      403        1      403     1210      879
TAB:  US_New_York_Erie Deaths    .            86      107      560      403        1      403      941      589
TAB:  US_New_York_Erie Deaths    4/18/2020    87      115      560      113        2      113      755      527
TAB:  US_New_York_Erie Deaths    .            88      135      560      589        2      444     2554      692
TAB:  US_New_York_Erie Deaths    4/20/2020    89      135      560      175        3      175     2430      548
TAB:  US_New_York_Erie Deaths    .            90      162      560      361        2      361     3671      672
TAB:  US_New_York_Erie Deaths    4/22/2020    91      162      560      299        3      299     3899      672
TAB:  US_New_York_Erie Deaths    .            92      188      560      713        2      465     2637      734
TAB:  US_New_York_Erie Deaths    4/24/2020    93      198      560      755        2      486     3857      775
TAB:  US_New_York_Erie Deaths    .            94      198      560      403        2      217     3630      713
TAB:  US_New_York_Erie Deaths    4/26/2020    95      207      560      215        2      215     1364      636
TAB:  US_New_York_Erie Deaths    .            96      207      560      210        2      210      795      447
TAB:  US_New_York_Erie Deaths    4/28/2020    97      207      560      214        3      208      601      366
TAB:  US_New_York_Erie Deaths    .            98      247      560      542        2      406      651      578
TAB:  US_New_York_Erie Deaths    4/30/2020    99      266      560      507        2      507      920      632
TAB:  US_New_York_Erie Deaths    .           100      266      560      589        3      299      982      610
TAB:  US_New_York_Erie Deaths    5/2/2020    101      266      560      610        5      279      713      568
TAB:  US_New_York_Erie Deaths    .           102      266      560      568        5      279     1148      506
TAB:  US_New_York_Erie Deaths    5/4/2020    103      283      560      424        5      299      734      486
TAB:  US_New_York_Erie Deaths    .           104      308      560      548        8      382     1396      548
TAB:  US_New_York_Erie Deaths    5/6/2020    105      323      560      568        9      444     2699      610
TAB:  US_New_York_Erie Deaths    .           106      323      560      568        9      424     1396      589
TAB:  US_New_York_Erie Deaths    5/8/2020    107      346      560      589        7      444     1892      672
TAB:  US_New_York_Erie Deaths    .           108      357      560      610       10      444     3092      713
TAB:  US_New_York_Erie Deaths    5/10/2020   109      357      560      610       10      403     2223      672
TAB:  US_New_York_Erie Deaths    .           110      357      560      584        7      361     1022      594
TAB:  US_New_York_Erie Deaths    5/12/2020   111      357      560      576        5      361      702      555
TAB:  US_New_York_Erie Deaths    .           112      400      560      610       11      589     2699      755
TAB:  US_New_York_Erie Deaths    5/14/2020   113      400      560      610       12      589     2947      734
TAB:  US_New_York_Erie Deaths    .           114      411      560      610       12      424     1706      755
TAB:  US_New_York_Erie Deaths    5/16/2020   115      420      560      630        8      424     3423      734
TAB:  US_New_York_Erie Deaths    .           116      420      560      628       12      427     2825      662
TAB:  US_New_York_Erie Deaths    5/18/2020   117      420      560      604        7      422      720      611
TAB:  US_New_York_Erie Deaths    .           118      449      560      638        7      613     1248      683
TAB:  US_New_York_Erie Deaths    5/20/2020   119      449      560      630       17      548      879      692
TAB:  US_New_York_Erie Deaths    .           120      449      560      630       14      506      713      630
TAB:  US_New_York_Erie Deaths    5/22/2020   121      449      560      610       19      486      672      589
TAB:  US_New_York_Erie Deaths    .           122      480      560      630       22      610      775      692
TAB:  US_New_York_Erie Deaths    5/24/2020   123      480      560      630       18      610      755      672
TAB:  US_New_York_Erie Deaths    .           124      480      560      630       25      548      713      651
TAB:  US_New_York_Erie Deaths    5/26/2020   125      480      560      630       21      527     3981      651
TAB:  US_New_York_Erie Deaths    .           126      504      560      630       22      630      858      692
TAB:  US_New_York_Erie Deaths    5/28/2020   127      504      560      630       20      548     3671      672
TAB:  US_New_York_Erie Deaths    .           128      516      560      651       19      568     3154      713
TAB:  US_New_York_Erie Deaths    5/30/2020   129      516      560      640       15      522     1141      655
TAB:  US_New_York_Erie Deaths    .           130      516      560      634       11      522      793      634
TAB:  US_New_York_Erie Deaths    6/1/2020    131      524      560      645       14      533      696      617
TAB:  US_New_York_Erie Deaths    .           132      524      560      636       19      531      657      606
TAB:  US_New_York_Erie Deaths    6/3/2020    133      524      560      629       17      526      635      594
TAB:  US_New_York_Erie Deaths    .           134      549      560      642       12      631      726      658
TAB:  US_New_York_Erie Deaths    6/5/2020    135      549      560      651       30      630      755      713
TAB:  US_New_York_Erie Deaths    .           136      549      560      651       33      630     1148      692
TAB:  US_New_York_Erie Deaths    6/7/2020    137      560      560      651       26      568     1313      692
TAB:  US_New_York_Erie Deaths    .           138      560      560      651       28      568      941      692
TAB:  US_New_York_Erie Deaths    6/9/2020    139      560      560      651       39      568      755      672
