TAB:  Italy_Liguria Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Liguria Confirmed .           102     8359     9834     9627       15     9627    16167    12897
TAB:  Italy_Liguria Confirmed 5/4/2020    103     8412     9834     9619        6     8562    13989    11170
TAB:  Italy_Liguria Confirmed .           104     8475     9834     9656        7     8661    13174    10652
TAB:  Italy_Liguria Confirmed 5/6/2020    105     8551     9834     9754        8     8807    12532    10575
TAB:  Italy_Liguria Confirmed .           106     8645     9834     9991       13     8901    12171    10717
TAB:  Italy_Liguria Confirmed 5/8/2020    107     8723     9834     9991       17     9264    11807    10717
TAB:  Italy_Liguria Confirmed .           108     8738     9834     9991       17     9264    11444    10354
TAB:  Italy_Liguria Confirmed 5/10/2020   109     8788     9834     9817        9     8870    11206    10006
TAB:  Italy_Liguria Confirmed .           110     8832     9834     9851        9     8973    10894     9906
TAB:  Italy_Liguria Confirmed 5/12/2020   111     8863     9834     9818       10     9011    10679     9818
TAB:  Italy_Liguria Confirmed .           112     8930     9834     9991       21     9264    13987    10354
TAB:  Italy_Liguria Confirmed 5/14/2020   113     8995     9834     9991       24     9264    10354     9991
TAB:  Italy_Liguria Confirmed .           114     9060     9834     9991       30     9627    13624    10354
TAB:  Italy_Liguria Confirmed 5/16/2020   115     9111     9834     9991       32     9627    23070    10717
TAB:  Italy_Liguria Confirmed .           116     9159     9834     9991       33     9627    28156    11081
TAB:  Italy_Liguria Confirmed 5/18/2020   117     9191     9834     9991       39     9264    15077    10717
TAB:  Italy_Liguria Confirmed .           118     9257     9834     9991       46     9627    16167    11081
TAB:  Italy_Liguria Confirmed 5/20/2020   119     9289     9834     9991       57     9991    13987    11444
TAB:  Italy_Liguria Confirmed .           120     9344     9834     9991       53     9991    13260    11081
TAB:  Italy_Liguria Confirmed 5/22/2020   121     9389     9834     9991       51     9991    25613    11444
TAB:  Italy_Liguria Confirmed .           122     9427     9834     9930       25     9930    13980    10942
TAB:  Italy_Liguria Confirmed 5/24/2020   123     9480     9834     9991       48     9991    21617    12534
TAB:  Italy_Liguria Confirmed .           124     9497     9834    10032       25     9719    11907    10782
TAB:  Italy_Liguria Confirmed 5/26/2020   125     9550     9834    10059       25     9939    11680    10659
TAB:  Italy_Liguria Confirmed .           126     9589     9834     9991       41     9991    12534    11081
TAB:  Italy_Liguria Confirmed 5/28/2020   127     9605     9834    10151       28     9812    11226    10547
TAB:  Italy_Liguria Confirmed .           128     9619     9834    10126       28     9632    10894    10236
TAB:  Italy_Liguria Confirmed 5/30/2020   129     9651     9834    10141       31     9818    10679    10248
TAB:  Italy_Liguria Confirmed .           130     9663     9834    10146       33     9720    10573    10146
TAB:  Italy_Liguria Confirmed 6/1/2020    131     9719     9834     9991       50     9991    10717    10354
TAB:  Italy_Liguria Confirmed .           132     9734     9834     9991       48     9991    10717    10354
TAB:  Italy_Liguria Confirmed 6/3/2020    133     9751     9834     9991       52     9991    10354    10354
TAB:  Italy_Liguria Confirmed .           134     9772     9834     9991       54     9991    10354    10354
TAB:  Italy_Liguria Confirmed 6/5/2020    135     9786     9834    10154       53     9841    10363    10154
TAB:  Italy_Liguria Confirmed .           136     9799     9834    10157       49     9846    10260    10053
TAB:  Italy_Liguria Confirmed 6/7/2020    137     9812     9834    10157       50     9950    10260    10157
TAB:  Italy_Liguria Confirmed .           138     9826     9834    10158       52     9953    10158    10055
TAB:  Italy_Liguria Confirmed 6/9/2020    139     9834     9834    10158       62     9953    10158    10055
