TAB:  US_Florida_Palm_Beach Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Florida_Palm_Beach Deaths    .            82       92      388      117        2      116      165      126
TAB:  US_Florida_Palm_Beach Deaths    4/14/2020    83       93      388      115        3      113      149      120
TAB:  US_Florida_Palm_Beach Deaths    .            84      105      388      136        7      136      179      164
TAB:  US_Florida_Palm_Beach Deaths    4/16/2020    85      112      388      150        7      150      222      179
TAB:  US_Florida_Palm_Beach Deaths    .            86      113      388      150        8      136      293      179
TAB:  US_Florida_Palm_Beach Deaths    4/18/2020    87      114      388      144        3      114      175      153
TAB:  US_Florida_Palm_Beach Deaths    .            88      121      388      148        3      134      164      154
TAB:  US_Florida_Palm_Beach Deaths    4/20/2020    89      122      388      147        3      130      159      147
TAB:  US_Florida_Palm_Beach Deaths    .            90      131      388      164        9      150      207      179
TAB:  US_Florida_Palm_Beach Deaths    4/22/2020    91      131      388      164       11      150      179      164
TAB:  US_Florida_Palm_Beach Deaths    .            92      144      388      179        6      164      293      207
TAB:  US_Florida_Palm_Beach Deaths    4/24/2020    93      155      388      193        4      193      766      236
TAB:  US_Florida_Palm_Beach Deaths    .            94      155      388      193        4      193      766      265
TAB:  US_Florida_Palm_Beach Deaths    4/26/2020    95      155      388      193        7      164     1239      265
TAB:  US_Florida_Palm_Beach Deaths    .            96      156      388      193        9      150      508      293
TAB:  US_Florida_Palm_Beach Deaths    4/28/2020    97      173      388      207        4      207     1010      408
TAB:  US_Florida_Palm_Beach Deaths    .            98      178      388      465        4      222     1898      465
TAB:  US_Florida_Palm_Beach Deaths    4/30/2020    99      186      388      222        2      222     2013      394
TAB:  US_Florida_Palm_Beach Deaths    .           100      191      388      236        4      207     1956      365
TAB:  US_Florida_Palm_Beach Deaths    5/2/2020    101      195      388      236        3      207     1368      394
TAB:  US_Florida_Palm_Beach Deaths    .           102      196      388      236        3      193      809      351
TAB:  US_Florida_Palm_Beach Deaths    5/4/2020    103      196      388      241        6      198      654      301
TAB:  US_Florida_Palm_Beach Deaths    .           104      205      388      243        6      231      458      308
TAB:  US_Florida_Palm_Beach Deaths    5/6/2020    105      215      388      254        3      251      489      332
TAB:  US_Florida_Palm_Beach Deaths    .           106      222      388      365        4      265      652      379
TAB:  US_Florida_Palm_Beach Deaths    5/8/2020    107      229      388      279        3      279      723      437
TAB:  US_Florida_Palm_Beach Deaths    .           108      237      388      523        5      279     1454      537
TAB:  US_Florida_Palm_Beach Deaths    5/10/2020   109      237      388      508        4      265      766      480
TAB:  US_Florida_Palm_Beach Deaths    .           110      238      388      293        4      236      609      422
TAB:  US_Florida_Palm_Beach Deaths    5/12/2020   111      245      388      351        5      265      551      394
TAB:  US_Florida_Palm_Beach Deaths    .           112      254      388      480        6      293     2787      437
TAB:  US_Florida_Palm_Beach Deaths    5/14/2020   113      263      388      508        6      308     1253      451
TAB:  US_Florida_Palm_Beach Deaths    .           114      271      388      537        5      322     1067      551
TAB:  US_Florida_Palm_Beach Deaths    5/16/2020   115      275      388      551        4      322     1010      551
TAB:  US_Florida_Palm_Beach Deaths    .           116      275      388      551        7      279     1067      480
TAB:  US_Florida_Palm_Beach Deaths    5/18/2020   117      275      388      523        8      279     1010      480
TAB:  US_Florida_Palm_Beach Deaths    .           118      284      388      337        3      301      665      448
TAB:  US_Florida_Palm_Beach Deaths    5/20/2020   119      291      388      508        7      336      652      465
TAB:  US_Florida_Palm_Beach Deaths    .           120      308      388      566        5      351     1511      609
TAB:  US_Florida_Palm_Beach Deaths    5/22/2020   121      311      388      580        3      365     2271      666
TAB:  US_Florida_Palm_Beach Deaths    .           122      315      388      652        5      322     2056      666
TAB:  US_Florida_Palm_Beach Deaths    5/24/2020   123      315      388      594        4      322     1368      652
TAB:  US_Florida_Palm_Beach Deaths    .           124      315      388      623        5      322     2299      609
TAB:  US_Florida_Palm_Beach Deaths    5/26/2020   125      315      388      566        7      322      766      551
TAB:  US_Florida_Palm_Beach Deaths    .           126      320      388      538        7      323      597      449
TAB:  US_Florida_Palm_Beach Deaths    5/28/2020   127      327      388      523        8      351      566      465
TAB:  US_Florida_Palm_Beach Deaths    .           128      335      388      523       11      379      551      465
TAB:  US_Florida_Palm_Beach Deaths    5/30/2020   129      337      388      523       10      365      537      451
TAB:  US_Florida_Palm_Beach Deaths    .           130      337      388      394       12      336      523      437
TAB:  US_Florida_Palm_Beach Deaths    6/1/2020    131      337      388      508        9      336      508      437
TAB:  US_Florida_Palm_Beach Deaths    .           132      351      388      494       10      394      537      465
TAB:  US_Florida_Palm_Beach Deaths    6/3/2020    133      359      388      508       16      408      523      465
TAB:  US_Florida_Palm_Beach Deaths    .           134      363      388      523       22      408      594      494
TAB:  US_Florida_Palm_Beach Deaths    6/5/2020    135      367      388      523       20      379     1010      508
TAB:  US_Florida_Palm_Beach Deaths    .           136      370      388      523       19      379     1038      508
TAB:  US_Florida_Palm_Beach Deaths    6/7/2020    137      372      388      523       20      379      866      508
TAB:  US_Florida_Palm_Beach Deaths    .           138      373      388      523       27      379      709      508
TAB:  US_Florida_Palm_Beach Deaths    6/9/2020    139      388      388      537       15      437     1698      580
