TAB:  US_Illinois_Will Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Will Deaths    3/11/2020    49        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            50        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    3/13/2020    51        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            52        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    3/15/2020    53        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            54        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    3/17/2020    55        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            56        0      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    3/19/2020    57        1      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            58        1      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    3/21/2020    59        1      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            60        1      295        0        0      126      126      126
TAB:  US_Illinois_Will Deaths    3/23/2020    61        1      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            62        1      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    3/25/2020    63        2      295        0        0      101      187      130
TAB:  US_Illinois_Will Deaths    .            64        3      295        0        0      109      109      109
TAB:  US_Illinois_Will Deaths    3/27/2020    65        3      295        0        0    13323    13323    13323
TAB:  US_Illinois_Will Deaths    .            66        4      295        5        2        5       38       38
TAB:  US_Illinois_Will Deaths    3/29/2020    67        4      295        4        2        4       15        7
TAB:  US_Illinois_Will Deaths    .            68        5      295        6        1        6       17        9
TAB:  US_Illinois_Will Deaths    3/31/2020    69        8      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            70        9      295      604        1      604      604      604
TAB:  US_Illinois_Will Deaths    4/2/2020     71        9      295        5        1        5      844       59
TAB:  US_Illinois_Will Deaths    .            72       10      295       16        2        5     1116       38
TAB:  US_Illinois_Will Deaths    4/4/2020     73       11      295       10        4       10      177       38
TAB:  US_Illinois_Will Deaths    .            74       13      295       27        4       27      354       49
TAB:  US_Illinois_Will Deaths    4/6/2020     75       19      295      212        1      212     1367      408
TAB:  US_Illinois_Will Deaths    .            76       30      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    4/8/2020     77       37      295        0        0        0        0        0
TAB:  US_Illinois_Will Deaths    .            78       46      295      397        1      397      397      397
TAB:  US_Illinois_Will Deaths    4/10/2020    79       52      295       70        1       70     1182      103
TAB:  US_Illinois_Will Deaths    .            80       57      295       70        2       70      125       81
TAB:  US_Illinois_Will Deaths    4/12/2020    81       60      295       70        4       70     1770      125
TAB:  US_Illinois_Will Deaths    .            82       63      295       70        5       70      125       92
TAB:  US_Illinois_Will Deaths    4/14/2020    83       77      295      136        1      136     1443      299
TAB:  US_Illinois_Will Deaths    .            84       81      295      136        1      136      833      201
TAB:  US_Illinois_Will Deaths    4/16/2020    85       88      295      125        1      125      942      190
TAB:  US_Illinois_Will Deaths    .            86       90      295       92        1       92      735      157
TAB:  US_Illinois_Will Deaths    4/18/2020    87       94      295      103        2      103     2162      245
TAB:  US_Illinois_Will Deaths    .            88      101      295      136        3      125     1912      364
TAB:  US_Illinois_Will Deaths    4/20/2020    89      102      295      125        3      125     1748      256
TAB:  US_Illinois_Will Deaths    .            90      105      295      125        4      117      875      205
TAB:  US_Illinois_Will Deaths    4/22/2020    91      110      295      125        4      125      538      167
TAB:  US_Illinois_Will Deaths    .            92      119      295      147        5      147      920      234
TAB:  US_Illinois_Will Deaths    4/24/2020    93      125      295      157        4      157      397      223
TAB:  US_Illinois_Will Deaths    .            94      131      295      168        4      157      332      212
TAB:  US_Illinois_Will Deaths    4/26/2020    95      133      295      168        4      147      288      201
TAB:  US_Illinois_Will Deaths    .            96      136      295      168        5      147     1280      212
TAB:  US_Illinois_Will Deaths    4/28/2020    97      145      295      179        5      179     1585      234
TAB:  US_Illinois_Will Deaths    .            98      148      295      179        4      179     1105      245
TAB:  US_Illinois_Will Deaths    4/30/2020    99      151      295      190        5      179      604      245
TAB:  US_Illinois_Will Deaths    .           100      158      295      190        6      190      506      245
TAB:  US_Illinois_Will Deaths    5/2/2020    101      160      295      195        3      191      375      220
TAB:  US_Illinois_Will Deaths    .           102      162      295      196        3      173      302      214
TAB:  US_Illinois_Will Deaths    5/4/2020    103      169      295      201        9      201      310      256
TAB:  US_Illinois_Will Deaths    .           104      178      295      212        7      212      375      288
TAB:  US_Illinois_Will Deaths    5/6/2020    105      189      295      234       11      234      659      517
TAB:  US_Illinois_Will Deaths    .           106      194      295      245       11      245      964      757
TAB:  US_Illinois_Will Deaths    5/8/2020    107      199      295      256        8      223     1160      746
TAB:  US_Illinois_Will Deaths    .           108      202      295      256       11      212     1007      768
TAB:  US_Illinois_Will Deaths    5/10/2020   109      202      295      256       11      201      735      441
TAB:  US_Illinois_Will Deaths    .           110      202      295      256       13      201      571      408
TAB:  US_Illinois_Will Deaths    5/12/2020   111      210      295      256       12      223      964      419
TAB:  US_Illinois_Will Deaths    .           112      214      295      256       11      234      495      375
TAB:  US_Illinois_Will Deaths    5/14/2020   113      231      295      277       12      277     1447      535
TAB:  US_Illinois_Will Deaths    .           114      237      295      288       14      288     2097      626
TAB:  US_Illinois_Will Deaths    5/16/2020   115      240      295      299        9      266     1912      648
TAB:  US_Illinois_Will Deaths    .           116      240      295      299       14      245     1465      615
TAB:  US_Illinois_Will Deaths    5/18/2020   117      240      295      299       14      245      855      539
TAB:  US_Illinois_Will Deaths    .           118      244      295      299       14      245      626      430
TAB:  US_Illinois_Will Deaths    5/20/2020   119      247      295      299       14      256      506      408
TAB:  US_Illinois_Will Deaths    .           120      250      295      299       15      256      463      375
TAB:  US_Illinois_Will Deaths    5/22/2020   121      253      295      299       14      256      430      343
TAB:  US_Illinois_Will Deaths    .           122      257      295      299       11      266      691      354
TAB:  US_Illinois_Will Deaths    5/24/2020   123      257      295      299       12      266      680      343
TAB:  US_Illinois_Will Deaths    .           124      258      295      299       14      256      463      321
TAB:  US_Illinois_Will Deaths    5/26/2020   125      258      295      300       10      259      367      300
TAB:  US_Illinois_Will Deaths    .           126      264      295      299       16      277      397      321
TAB:  US_Illinois_Will Deaths    5/28/2020   127      268      295      299       15      288      735      332
TAB:  US_Illinois_Will Deaths    .           128      269      295      299       16      288      659      332
TAB:  US_Illinois_Will Deaths    5/30/2020   129      273      295      299       21      288     1988      332
TAB:  US_Illinois_Will Deaths    .           130      276      295      310       24      299     1715      332
TAB:  US_Illinois_Will Deaths    6/1/2020    131      277      295      310       28      288      735      321
TAB:  US_Illinois_Will Deaths    .           132      280      295      310       35      299     1389      332
TAB:  US_Illinois_Will Deaths    6/3/2020    133      282      295      310       32      299     1912      386
TAB:  US_Illinois_Will Deaths    .           134      284      295      310       27      299     1857      484
TAB:  US_Illinois_Will Deaths    6/5/2020    135      285      295      315       35      298      693      407
TAB:  US_Illinois_Will Deaths    .           136      285      295      312       24      286      477      320
TAB:  US_Illinois_Will Deaths    6/7/2020    137      288      295      313       24      300      426      322
TAB:  US_Illinois_Will Deaths    .           138      288      295      310       29      299      386      332
TAB:  US_Illinois_Will Deaths    6/9/2020    139      295      295      316       15      316      426      341
