TAB:  US_Colorado_Denver Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Colorado_Denver Deaths    2/18/2020    27        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            28        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    2/20/2020    29        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            30        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    2/22/2020    31        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            32        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    2/24/2020    33        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            34        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    2/26/2020    35        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            36        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    2/28/2020    37        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            38        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/1/2020     39        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            40        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/3/2020     41        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            42        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/5/2020     43        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            44        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/7/2020     45        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            46        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/9/2020     47        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            48        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/11/2020    49        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            50        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/13/2020    51        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            52        0      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    3/15/2020    53        0      349        0        0      114      114      114
TAB:  US_Colorado_Denver Deaths    .            54        0      349        0        0      114     1711     1711
TAB:  US_Colorado_Denver Deaths    3/17/2020    55        0      349        0        0      114    11750      342
TAB:  US_Colorado_Denver Deaths    .            56        0      349        0        0      115     2493      421
TAB:  US_Colorado_Denver Deaths    3/19/2020    57        0      349        0        0      114     2623      570
TAB:  US_Colorado_Denver Deaths    .            58        0      349        0        0      342     3764      798
TAB:  US_Colorado_Denver Deaths    3/21/2020    59        0      349        0        0      570     5133     1711
TAB:  US_Colorado_Denver Deaths    .            60        0      349        0        0     1254     7643     2623
TAB:  US_Colorado_Denver Deaths    3/23/2020    61        0      349        0        0      798    12891     3080
TAB:  US_Colorado_Denver Deaths    .            62        0      349        0        0      798    12891     3536
TAB:  US_Colorado_Denver Deaths    3/25/2020    63        3      349        0        0     1483    17683     4449
TAB:  US_Colorado_Denver Deaths    .            64        3      349        0        0     3536    30688     7187
TAB:  US_Colorado_Denver Deaths    3/27/2020    65        3      349        0        0     5361    42553    13347
TAB:  US_Colorado_Denver Deaths    .            66        5      349        0        0     6502    24984    12891
TAB:  US_Colorado_Denver Deaths    3/29/2020    67        5      349        0        0     1026    34567     8784
TAB:  US_Colorado_Denver Deaths    .            68        6      349        0        0     1026    21105     6502
TAB:  US_Colorado_Denver Deaths    3/31/2020    69        7      349        9        1        9        9        9
TAB:  US_Colorado_Denver Deaths    .            70        8      349       11        1       11       13       13
TAB:  US_Colorado_Denver Deaths    4/2/2020     71       11      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    .            72       14      349        0        0        0        0        0
TAB:  US_Colorado_Denver Deaths    4/4/2020     73       14      349     1024        1     1024     1024     1024
TAB:  US_Colorado_Denver Deaths    .            74       16      349       19        1       19     1050      161
TAB:  US_Colorado_Denver Deaths    4/6/2020     75       15      349       19        3       19     1256      122
TAB:  US_Colorado_Denver Deaths    .            76       15      349       14        5       14       14       14
TAB:  US_Colorado_Denver Deaths    4/8/2020     77       33      349        0        0     1102     3130     1560
TAB:  US_Colorado_Denver Deaths    .            78       33      349        0        0     1587     2938     1961
TAB:  US_Colorado_Denver Deaths    4/10/2020    79       42      349       58        1       58      109      109
TAB:  US_Colorado_Denver Deaths    .            80       46      349       58        2       58       70       70
TAB:  US_Colorado_Denver Deaths    4/12/2020    81       46      349       45        2       45       58       58
TAB:  US_Colorado_Denver Deaths    .            82       51      349       58        5       58       70       70
TAB:  US_Colorado_Denver Deaths    4/14/2020    83       56      349       70        4       58       83       70
TAB:  US_Colorado_Denver Deaths    .            84       61      349       70        4       70     1063       96
TAB:  US_Colorado_Denver Deaths    4/16/2020    85       63      349       70        3       70     1759      148
TAB:  US_Colorado_Denver Deaths    .            86       66      349       83        5       70      973      148
TAB:  US_Colorado_Denver Deaths    4/18/2020    87       74      349       96        2       96      986      161
TAB:  US_Colorado_Denver Deaths    .            88       75      349       91        1       91      471      136
TAB:  US_Colorado_Denver Deaths    4/20/2020    89       83      349      109        3      109     1811      186
TAB:  US_Colorado_Denver Deaths    .            90       91      349      135        2      135      354      225
TAB:  US_Colorado_Denver Deaths    4/22/2020    91       96      349      148        2      135     1347      225
TAB:  US_Colorado_Denver Deaths    .            92       98      349      148        3      109      380      212
TAB:  US_Colorado_Denver Deaths    4/24/2020    93      128      349      380        2      328      457      406
TAB:  US_Colorado_Denver Deaths    .            94      132      349      444        2      380      522      444
TAB:  US_Colorado_Denver Deaths    4/26/2020    95      132      349      380        3      135      509      444
TAB:  US_Colorado_Denver Deaths    .            96      135      349      367        3      135      483      380
TAB:  US_Colorado_Denver Deaths    4/28/2020    97      145      349      367        3      341      470      418
TAB:  US_Colorado_Denver Deaths    .            98      150      349      354        4      161      457      354
TAB:  US_Colorado_Denver Deaths    4/30/2020    99      154      349      341        4      161      882      341
TAB:  US_Colorado_Denver Deaths    .           100      163      349      341        4      186     2159      367
TAB:  US_Colorado_Denver Deaths    5/2/2020    101      164      349      186        3      186     2313      341
TAB:  US_Colorado_Denver Deaths    .           102      166      349      174        3      174      766      315
TAB:  US_Colorado_Denver Deaths    5/4/2020    103      166      349      175        2      166      434      279
TAB:  US_Colorado_Denver Deaths    .           104      188      349      335        2      276      450      314
TAB:  US_Colorado_Denver Deaths    5/6/2020    105      195      349      309        2      309      457      343
TAB:  US_Colorado_Denver Deaths    .           106      199      349      328        6      212      457      354
TAB:  US_Colorado_Denver Deaths    5/8/2020    107      202      349      328        6      199      431      341
TAB:  US_Colorado_Denver Deaths    .           108      205      349      315        5      212      406      328
TAB:  US_Colorado_Denver Deaths    5/10/2020   109      206      349      315        6      212      367      315
TAB:  US_Colorado_Denver Deaths    .           110      212      349      277        6      225      663      315
TAB:  US_Colorado_Denver Deaths    5/12/2020   111      214      349      299        3      222      365      299
TAB:  US_Colorado_Denver Deaths    .           112      233      349      320       10      312      876      346
TAB:  US_Colorado_Denver Deaths    5/14/2020   113      237      349      326        7      326     1106      384
TAB:  US_Colorado_Denver Deaths    .           114      248      349      341        8      341     2313      393
TAB:  US_Colorado_Denver Deaths    5/16/2020   115      261      349      380       10      367     1050      431
TAB:  US_Colorado_Denver Deaths    .           116      265      349      380        7      302      663      431
TAB:  US_Colorado_Denver Deaths    5/18/2020   117      272      349      393        6      302      728      444
TAB:  US_Colorado_Denver Deaths    .           118      285      349      418       11      380     1759      509
TAB:  US_Colorado_Denver Deaths    5/20/2020   119      294      349      431        7      418     1076      534
TAB:  US_Colorado_Denver Deaths    .           120      296      349      444        8      380     1114      534
TAB:  US_Colorado_Denver Deaths    5/22/2020   121      299      349      444        7      302     1050      496
TAB:  US_Colorado_Denver Deaths    .           122      299      349      534        8      302     1579      483
TAB:  US_Colorado_Denver Deaths    5/24/2020   123      299      349      444       10      302     2352      534
TAB:  US_Colorado_Denver Deaths    .           124      298      349      501        7      329     1566      583
TAB:  US_Colorado_Denver Deaths    5/26/2020   125      301      349      427        6      304     1017      488
TAB:  US_Colorado_Denver Deaths    .           126      313      349      430        5      335      791      480
TAB:  US_Colorado_Denver Deaths    5/28/2020   127      324      349      481        5      370      710      473
TAB:  US_Colorado_Denver Deaths    .           128      326      349      470        8      367      689      483
TAB:  US_Colorado_Denver Deaths    5/30/2020   129      327      349      431        9      328      612      483
TAB:  US_Colorado_Denver Deaths    .           130      327      349      431       12      328      560      444
TAB:  US_Colorado_Denver Deaths    6/1/2020    131      329      349      431       13      328      509      418
TAB:  US_Colorado_Denver Deaths    .           132      332      349      431       12      328      483      406
TAB:  US_Colorado_Denver Deaths    6/3/2020    133      334      349      418       11      341      457      406
TAB:  US_Colorado_Denver Deaths    .           134      336      349      418       15      341      444      393
TAB:  US_Colorado_Denver Deaths    6/5/2020    135      338      349      418       23      341      431      393
TAB:  US_Colorado_Denver Deaths    .           136      339      349      418       19      341      431      393
TAB:  US_Colorado_Denver Deaths    6/7/2020    137      339      349      406       21      341      418      380
TAB:  US_Colorado_Denver Deaths    .           138      348      349      409       14      365      413      393
TAB:  US_Colorado_Denver Deaths    6/9/2020    139      349      349      405       15      366      409      389
