TAB:  US_Delaware_New_Castle Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Delaware_New_Castle Deaths    3/31/2020    69        2      185        0        0      838    11048     2362
TAB:  US_Delaware_New_Castle Deaths    .            70        5      185        0        0     1142    11810     2819
TAB:  US_Delaware_New_Castle Deaths    4/2/2020     71        7      185        0        0     1142     6629     2666
TAB:  US_Delaware_New_Castle Deaths    .            72        7      185        0        0      533     8610     2819
TAB:  US_Delaware_New_Castle Deaths    4/4/2020     73        7      185        6        1        6        7        7
TAB:  US_Delaware_New_Castle Deaths    .            74        7      185        7        2        7        7        7
TAB:  US_Delaware_New_Castle Deaths    4/6/2020     75        9      185        9        2        9        9        9
TAB:  US_Delaware_New_Castle Deaths    .            76        9      185        9        3        9        9        9
TAB:  US_Delaware_New_Castle Deaths    4/8/2020     77        9      185        8        3        8        9        9
TAB:  US_Delaware_New_Castle Deaths    .            78        9      185        7        4        7       12       12
TAB:  US_Delaware_New_Castle Deaths    4/10/2020    79        9      185        9        5        9        9        9
TAB:  US_Delaware_New_Castle Deaths    .            80       19      185        0        0     1142    27050     6781
TAB:  US_Delaware_New_Castle Deaths    4/12/2020    81       19      185        0        0        0        0        0
TAB:  US_Delaware_New_Castle Deaths    .            82       20      185       17        3       17       17       17
TAB:  US_Delaware_New_Castle Deaths    4/14/2020    83       20      185       17        4       17       17       17
TAB:  US_Delaware_New_Castle Deaths    .            84       20      185       17        6       17      105       78
TAB:  US_Delaware_New_Castle Deaths    4/16/2020    85       25      185       51        1       51      105       78
TAB:  US_Delaware_New_Castle Deaths    .            86       30      185       58        1       58      194      126
TAB:  US_Delaware_New_Castle Deaths    4/18/2020    87       32      185      153        2       44      180      133
TAB:  US_Delaware_New_Castle Deaths    .            88       32      185       44        4       30      221       92
TAB:  US_Delaware_New_Castle Deaths    4/20/2020    89       33      185       30        3       30      283       71
TAB:  US_Delaware_New_Castle Deaths    .            90       36      185       44        5       44      461       85
TAB:  US_Delaware_New_Castle Deaths    4/22/2020    91       38      185       44        4       44      542       92
TAB:  US_Delaware_New_Castle Deaths    .            92       40      185       51        6       44      215       71
TAB:  US_Delaware_New_Castle Deaths    4/24/2020    93       45      185       64        4       64      242      105
TAB:  US_Delaware_New_Castle Deaths    .            94       52      185      153        3       99      447      146
TAB:  US_Delaware_New_Castle Deaths    4/26/2020    95       55      185      126        2      112     1178      180
TAB:  US_Delaware_New_Castle Deaths    .            96       57      185       64        1       64      898      180
TAB:  US_Delaware_New_Castle Deaths    4/28/2020    97       63      185      201        3      112      768      242
TAB:  US_Delaware_New_Castle Deaths    .            98       65      185      215        3       92     1116      242
TAB:  US_Delaware_New_Castle Deaths    4/30/2020    99       68      185      160        2       85      693      242
TAB:  US_Delaware_New_Castle Deaths    .           100       70      185       78        2       78      809      215
TAB:  US_Delaware_New_Castle Deaths    5/2/2020    101       76      185      167        3      105      665      242
TAB:  US_Delaware_New_Castle Deaths    .           102       79      185      176        2      114      970      248
TAB:  US_Delaware_New_Castle Deaths    5/4/2020    103       82      185      235        3      119      706      228
TAB:  US_Delaware_New_Castle Deaths    .           104       83      185      221        2       86      322      192
TAB:  US_Delaware_New_Castle Deaths    5/6/2020    105       85      185      173        3       90      290      176
TAB:  US_Delaware_New_Castle Deaths    .           106       89      185      112        2      111      264      171
TAB:  US_Delaware_New_Castle Deaths    5/8/2020    107       91      185      112        4      112      249      174
TAB:  US_Delaware_New_Castle Deaths    .           108       93      185      112        5      112      228      160
TAB:  US_Delaware_New_Castle Deaths    5/10/2020   109       93      185      111        3       96      200      146
TAB:  US_Delaware_New_Castle Deaths    .           110       95      185      105        2       98      185      138
TAB:  US_Delaware_New_Castle Deaths    5/12/2020   111      100      185      126        5      119      187      153
TAB:  US_Delaware_New_Castle Deaths    .           112      102      185      133        7      126      180      153
TAB:  US_Delaware_New_Castle Deaths    5/14/2020   113      108      185      153        7      140      180      160
TAB:  US_Delaware_New_Castle Deaths    .           114      114      185      167       11      160      215      180
TAB:  US_Delaware_New_Castle Deaths    5/16/2020   115      121      185      194       11      180      351      201
TAB:  US_Delaware_New_Castle Deaths    .           116      124      185      208        7      194      495      215
TAB:  US_Delaware_New_Castle Deaths    5/18/2020   117      130      185      215        6      174      843      235
TAB:  US_Delaware_New_Castle Deaths    .           118      135      185      228        7      187     1355      256
TAB:  US_Delaware_New_Castle Deaths    5/20/2020   119      138      185      235        8      167      303      256
TAB:  US_Delaware_New_Castle Deaths    .           120      144      185      249        8      194     1355      283
TAB:  US_Delaware_New_Castle Deaths    5/22/2020   121      146      185      256        9      180      385      276
TAB:  US_Delaware_New_Castle Deaths    .           122      146      185      256        8      146      372      276
TAB:  US_Delaware_New_Castle Deaths    5/24/2020   123      148      185      256       10      146      358      269
TAB:  US_Delaware_New_Castle Deaths    .           124      149      185      256        6      146     1355      283
TAB:  US_Delaware_New_Castle Deaths    5/26/2020   125      150      185      249        8      153      843      269
TAB:  US_Delaware_New_Castle Deaths    .           126      155      185      249       10      167      618      269
TAB:  US_Delaware_New_Castle Deaths    5/28/2020   127      155      185      248        7      166      478      258
TAB:  US_Delaware_New_Castle Deaths    .           128      163      185      249       11      187      495      262
TAB:  US_Delaware_New_Castle Deaths    5/30/2020   129      166      185      249       10      201      447      269
TAB:  US_Delaware_New_Castle Deaths    .           130      170      185      249        7      208      618      269
TAB:  US_Delaware_New_Castle Deaths    6/1/2020    131      172      185      256        7      180      379      262
TAB:  US_Delaware_New_Castle Deaths    .           132      172      185      256        8      174      338      249
TAB:  US_Delaware_New_Castle Deaths    6/3/2020    133      173      185      249       10      174      310      235
TAB:  US_Delaware_New_Castle Deaths    .           134      173      185      174        6      174      286      247
TAB:  US_Delaware_New_Castle Deaths    6/5/2020    135      173      185      243        7      174      269      228
TAB:  US_Delaware_New_Castle Deaths    .           136      174      185      242       13      174      256      221
TAB:  US_Delaware_New_Castle Deaths    6/7/2020    137      176      185      238        9      178      243      210
TAB:  US_Delaware_New_Castle Deaths    .           138      176      185      235       21      174      242      208
TAB:  US_Delaware_New_Castle Deaths    6/9/2020    139      185      185      236       10      206      238      217
