TAB:  Guatemala Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Guatemala Confirmed .            42        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/5/2020     43        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            44        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/7/2020     45        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            46        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/9/2020     47        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            48        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/11/2020    49        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            50        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/13/2020    51        0     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            52        1     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/15/2020    53        1     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            54        2     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/17/2020    55        6     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            56        6     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/19/2020    57        9     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            58       12     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/21/2020    59       17     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            60       19     7866      141        3      141      141      141
TAB:  Guatemala Confirmed 3/23/2020    61       20     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            62       21     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 3/25/2020    63       24     7866        0        0        0        0        0
TAB:  Guatemala Confirmed .            64       25     7866      145        7      145      145      145
TAB:  Guatemala Confirmed 3/27/2020    65       28     7866      145        7      145      145      145
TAB:  Guatemala Confirmed .            66       34     7866      145        7      145      145      145
TAB:  Guatemala Confirmed 3/29/2020    67       34     7866      145        7      145      145      145
TAB:  Guatemala Confirmed .            68       36     7866      145        9      145      145      145
TAB:  Guatemala Confirmed 3/31/2020    69       38     7866      145       11      145      145      145
TAB:  Guatemala Confirmed .            70       39     7866      144       13      144      144      144
TAB:  Guatemala Confirmed 4/2/2020     71       47     7866      145        7      145     1307      435
TAB:  Guatemala Confirmed .            72       50     7866      145        7      145     7701     3632
TAB:  Guatemala Confirmed 4/4/2020     73       61     7866      145        6      145     2179     2179
TAB:  Guatemala Confirmed .            74       61     7866      145        5      145     2179      435
TAB:  Guatemala Confirmed 4/6/2020     75       70     7866      145        6      145     9444     2179
TAB:  Guatemala Confirmed .            76       77     7866      145        6      145    55942      726
TAB:  Guatemala Confirmed 4/8/2020     77       87     7866      145        3      145     9154      726
TAB:  Guatemala Confirmed .            78       95     7866      145        3      145     7701      726
TAB:  Guatemala Confirmed 4/10/2020    79      126     7866      435        3      435     3342     2179
TAB:  Guatemala Confirmed .            80      137     7866      435        2      435    12060     5376
TAB:  Guatemala Confirmed 4/12/2020    81      155     7866      435        1      435    55361     1307
TAB:  Guatemala Confirmed .            82      156     7866      145        2      145    21359     1307
TAB:  Guatemala Confirmed 4/14/2020    83      167     7866      145        4      145    23394      726
TAB:  Guatemala Confirmed .            84      180     7866      145        5      145    23684     1598
TAB:  Guatemala Confirmed 4/16/2020    85      196     7866      145        3      145    23975     1888
TAB:  Guatemala Confirmed .            86      214     7866      435        5      435    24556     1888
TAB:  Guatemala Confirmed 4/18/2020    87      235     7866      435        4      435    26881     1598
TAB:  Guatemala Confirmed .            88      257     7866      726        5      726    30078     1888
TAB:  Guatemala Confirmed 4/20/2020    89      289     7866     1307        3     1017    40830     2760
TAB:  Guatemala Confirmed .            90      294     7866     1017        4     1017    37052     3632
TAB:  Guatemala Confirmed 4/22/2020    91      316     7866     1017        4      435    33565     2179
TAB:  Guatemala Confirmed .            92      384     7866     6538        2     1888    51583     5085
TAB:  Guatemala Confirmed 4/24/2020    93      430     7866    19034        2     2470    33856    19034
TAB:  Guatemala Confirmed .            94      473     7866     3051        1     3051    50420    11479
TAB:  Guatemala Confirmed 4/26/2020    95      500     7866      726        1      726    14675     3632
TAB:  Guatemala Confirmed .            96      530     7866      726        3      726    17291     4213
TAB:  Guatemala Confirmed 4/28/2020    97      530     7866      726        3      726    57686    17000
TAB:  Guatemala Confirmed .            98      557     7866      726        5      726    36180    23394
TAB:  Guatemala Confirmed 4/30/2020    99      599     7866      726        3      726    35890    15547
TAB:  Guatemala Confirmed .           100      644     7866     1017        3     1017    42574    12060
TAB:  Guatemala Confirmed 5/2/2020    101      688     7866     1017        2     1017    46061    10026
TAB:  Guatemala Confirmed .           102      703     7866     1017        3     1017    57686     7701
TAB:  Guatemala Confirmed 5/4/2020    103      730     7866     4795        6      726    48967     6248
TAB:  Guatemala Confirmed .           104      763     7866     3923        6     1017    46642     6248
TAB:  Guatemala Confirmed 5/6/2020    105      798     7866     1307        6     1017    46061     5085
TAB:  Guatemala Confirmed .           106      832     7866     1307        9     1307    39087     5666
TAB:  Guatemala Confirmed 5/8/2020    107      900     7866     3051        7     1598    50420     6248
TAB:  Guatemala Confirmed .           108      967     7866     2179        5     1888    50130     6248
TAB:  Guatemala Confirmed 5/10/2020   109     1052     7866     3051        5     2760    43446     8282
TAB:  Guatemala Confirmed .           110     1114     7866     3923        5     3923    39377    10316
TAB:  Guatemala Confirmed 5/12/2020   111     1199     7866     6538        5     5085    38505    10026
TAB:  Guatemala Confirmed .           112     1342     7866     8863        4     7119    45189    14385
TAB:  Guatemala Confirmed 5/14/2020   113     1518     7866    14675        2     8572    55361    25428
TAB:  Guatemala Confirmed .           114     1643     7866    -            3    10607    51583    30368
TAB:  Guatemala Confirmed 5/16/2020   115     1763     7866    -            2     4795    57686    37924
TAB:  Guatemala Confirmed .           116     1837     7866    -            2     2179    51002    32403
TAB:  Guatemala Confirmed 5/18/2020   117     1912     7866     2179        3     2179    53617    22812
TAB:  Guatemala Confirmed .           118     2133     7866     5376        1     5376    43446    24265
TAB:  Guatemala Confirmed 5/20/2020   119     2265     7866     6538        1     6538    51583    21650
TAB:  Guatemala Confirmed .           120     2512     7866    20488        1    20488    35890    34146
TAB:  Guatemala Confirmed 5/22/2020   121     2743     7866    -            1    31240    42283    42283
TAB:  Guatemala Confirmed .           122     3054     7866    -            1    39377    54198    54198
TAB:  Guatemala Confirmed 5/24/2020   123     3424     7866    -            1    52164    52164    52164
TAB:  Guatemala Confirmed .           124     3760     7866        0        0        0        0        0
TAB:  Guatemala Confirmed 5/26/2020   125     3954     7866     7991        1     7991    18453    18453
TAB:  Guatemala Confirmed .           126     4145     7866     4795        1     4795    40540     6829
TAB:  Guatemala Confirmed 5/28/2020   127     4348     7866     5085        2     5085    33856     7410
TAB:  Guatemala Confirmed .           128     4607     7866     5957        2     5666    57104     7119
TAB:  Guatemala Confirmed 5/30/2020   129     4739     7866     5666        2     5666    14385     7410
TAB:  Guatemala Confirmed .           130     5087     7866     7119        3     7119    12350     7991
TAB:  Guatemala Confirmed 6/1/2020    131     5336     7866     7701        2     7701    17581     8863
TAB:  Guatemala Confirmed .           132     5586     7866     8572        3     8572    40249    10026
TAB:  Guatemala Confirmed 6/3/2020    133     5760     7866     8572        2     7991    49549    11479
TAB:  Guatemala Confirmed .           134     6154     7866    10026        3    10026    52164    13222
TAB:  Guatemala Confirmed 6/5/2020    135     6485     7866    11479        3    11479    57104    17581
TAB:  Guatemala Confirmed .           136     6792     7866    12932        2    12641    48677    22231
TAB:  Guatemala Confirmed 6/7/2020    137     7055     7866    13513        3    13513    54198    23394
TAB:  Guatemala Confirmed .           138     7502     7866    16128        2    15547    51002    21069
TAB:  Guatemala Confirmed 6/9/2020    139     7866     7866    18163        2    17581    48967    26590
