TAB:  US_Maryland_Baltimore Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Maryland_Baltimore Confirmed 3/21/2020    59       19     6852      132        3      132     2170     2170
TAB:  US_Maryland_Baltimore Confirmed .            60       28     6852     3670        1     3670     7720     6202
TAB:  US_Maryland_Baltimore Confirmed 3/23/2020    61       35     6852     5442        1     5442     9999     7720
TAB:  US_Maryland_Baltimore Confirmed .            62       42     6852      379        1      379    23922     2911
TAB:  US_Maryland_Baltimore Confirmed 3/25/2020    63       51     6852      126        2      126    12277     1645
TAB:  US_Maryland_Baltimore Confirmed .            64       81     6852        0        0        0        0        0
TAB:  US_Maryland_Baltimore Confirmed 3/27/2020    65      103     6852        0        0        0        0        0
TAB:  US_Maryland_Baltimore Confirmed .            66      141     6852        0        0        0        0        0
TAB:  US_Maryland_Baltimore Confirmed 3/29/2020    67      162     6852      632        1      632      632      632
TAB:  US_Maryland_Baltimore Confirmed .            68      186     6852      379        2      379    36326      886
TAB:  US_Maryland_Baltimore Confirmed 3/31/2020    69      227     6852      632        2      379     7720     3164
TAB:  US_Maryland_Baltimore Confirmed .            70      289     6852     1139        1     1139    43667     6708
TAB:  US_Maryland_Baltimore Confirmed 4/2/2020     71      353     6852     2404        1     2404    41136    12530
TAB:  US_Maryland_Baltimore Confirmed .            72      427     6852     4176        1     4176    43161    16580
TAB:  US_Maryland_Baltimore Confirmed 4/4/2020     73      491     6852     4683        2     2404    30503    14049
TAB:  US_Maryland_Baltimore Confirmed .            74      590     6852     2911        1     2911    29491     9492
TAB:  US_Maryland_Baltimore Confirmed 4/6/2020     75      648     6852     1645        2     1645    50249    19365
TAB:  US_Maryland_Baltimore Confirmed .            76      652     6852      747        1      747    41539     5659
TAB:  US_Maryland_Baltimore Confirmed 4/8/2020     77      866     6852     8599        2     4541    37199    11498
TAB:  US_Maryland_Baltimore Confirmed .            78      979     6852     9492        2     6708    34301    14049
TAB:  US_Maryland_Baltimore Confirmed 4/10/2020    79     1072     6852     6708        2     6708    28731    14302
TAB:  US_Maryland_Baltimore Confirmed .            80     1173     6852     6961        2     1645    25947     9999
TAB:  US_Maryland_Baltimore Confirmed 4/12/2020    81     1257     6852     7457        3     1567    17908     6602
TAB:  US_Maryland_Baltimore Confirmed .            82     1361     6852     5303        2     1846    14652     5695
TAB:  US_Maryland_Baltimore Confirmed 4/14/2020    83     1377     6852     1699        2     1699    11525     4418
TAB:  US_Maryland_Baltimore Confirmed .            84     1485     6852     2099        2     1846     9436     3820
TAB:  US_Maryland_Baltimore Confirmed 4/16/2020    85     1516     6852     1884        4     1801     7725     3376
TAB:  US_Maryland_Baltimore Confirmed .            86     1569     6852     1816        3     1781     6452     2958
TAB:  US_Maryland_Baltimore Confirmed 4/18/2020    87     1664     6852     2151        8     1898     5948     3670
TAB:  US_Maryland_Baltimore Confirmed .            88     1733     6852     2151        6     2151     5189     3670
TAB:  US_Maryland_Baltimore Confirmed 4/20/2020    89     1875     6852     2658        8     2404     5442     3670
TAB:  US_Maryland_Baltimore Confirmed .            90     1925     6852     2658       10     2658     5695     3670
TAB:  US_Maryland_Baltimore Confirmed 4/22/2020    91     2012     6852     2658        8     2658    43920     3923
TAB:  US_Maryland_Baltimore Confirmed .            92     2132     6852     3164       10     2911    10252     3923
TAB:  US_Maryland_Baltimore Confirmed 4/24/2020    93     2234     6852     3164       12     3164    16074     4936
TAB:  US_Maryland_Baltimore Confirmed .            94     2387     6852     3417       11     3417    13290     4176
TAB:  US_Maryland_Baltimore Confirmed 4/26/2020    95     2509     6852     3670       11     3670    23922     4430
TAB:  US_Maryland_Baltimore Confirmed .            96     2548     6852     3923       16     3164    41895     4683
TAB:  US_Maryland_Baltimore Confirmed 4/28/2020    97     2631     6852     3923       15     2911    24428     5442
TAB:  US_Maryland_Baltimore Confirmed .            98     2740     6852     3923       12     3417    34301     4936
TAB:  US_Maryland_Baltimore Confirmed 4/30/2020    99     2831     6852     4176       15     3670    22909     5948
TAB:  US_Maryland_Baltimore Confirmed .           100     3013     6852     4430       13     4176    31010     8480
TAB:  US_Maryland_Baltimore Confirmed 5/2/2020    101     3183     6852     4683       11     4430    46705    12530
TAB:  US_Maryland_Baltimore Confirmed .           102     3301     6852     4683        8     4683    47717     6708
TAB:  US_Maryland_Baltimore Confirmed 5/4/2020    103     3365     6852     4936       14     3923    47211     7467
TAB:  US_Maryland_Baltimore Confirmed .           104     3430     6852     4936       11     3670    32275    11771
TAB:  US_Maryland_Baltimore Confirmed 5/6/2020    105     3527     6852     5033       10     3797    32938     8389
TAB:  US_Maryland_Baltimore Confirmed .           106     3662     6852     5142       10     4380    25203     7554
TAB:  US_Maryland_Baltimore Confirmed 5/8/2020    107     3699     6852     5189       14     4176    17846     7467
TAB:  US_Maryland_Baltimore Confirmed .           108     3737     6852     5255       13     3849    12887     5992
TAB:  US_Maryland_Baltimore Confirmed 5/10/2020   109     3862     6852     5281        8     4434    11099     6128
TAB:  US_Maryland_Baltimore Confirmed .           110     3948     6852     5319       11     4638    10000     6340
TAB:  US_Maryland_Baltimore Confirmed 5/12/2020   111     4051     6852     5442       16     4936    19871     7214
TAB:  US_Maryland_Baltimore Confirmed .           112     4160     6852     5442       16     5442     8986     6961
TAB:  US_Maryland_Baltimore Confirmed 5/14/2020   113     4290     6852     5695        8     5442     8733     6961
TAB:  US_Maryland_Baltimore Confirmed .           114     4399     6852     5695       13     5695     8986     7214
TAB:  US_Maryland_Baltimore Confirmed 5/16/2020   115     4549     6852     5948       14     5948     9239     7720
TAB:  US_Maryland_Baltimore Confirmed .           116     4624     6852     5948       11     5948    28985     7720
TAB:  US_Maryland_Baltimore Confirmed 5/18/2020   117     4749     6852     6202       14     6202    11771     8227
TAB:  US_Maryland_Baltimore Confirmed .           118     4920     6852     6202       10     6202    13036     8733
TAB:  US_Maryland_Baltimore Confirmed 5/20/2020   119     5025     6852     6455       11     6455    15821     9239
TAB:  US_Maryland_Baltimore Confirmed .           120     5135     6852     6708        8     6455    41389    10252
TAB:  US_Maryland_Baltimore Confirmed 5/22/2020   121     5170     6852     6708       11     5442    25441     9239
TAB:  US_Maryland_Baltimore Confirmed .           122     5290     6852     6708       10     5695    22403     9746
TAB:  US_Maryland_Baltimore Confirmed 5/24/2020   123     5373     6852     6961        8     5948    25441     9746
TAB:  US_Maryland_Baltimore Confirmed .           124     5476     6852     6961       12     6202    42654     9999
TAB:  US_Maryland_Baltimore Confirmed 5/26/2020   125     5498     6852     7079        9     6053    33959     9336
TAB:  US_Maryland_Baltimore Confirmed .           126     5562     6852     7097        5     5727    16887     8468
TAB:  US_Maryland_Baltimore Confirmed 5/28/2020   127     5678     6852     6998        5     6418    13380     8304
TAB:  US_Maryland_Baltimore Confirmed .           128     5819     6852     7214       12     6961    27466     9492
TAB:  US_Maryland_Baltimore Confirmed 5/30/2020   129     5955     6852     9746       10     7214    13543     9746
TAB:  US_Maryland_Baltimore Confirmed .           130     6065     6852     9999       11     7214    13796     9999
TAB:  US_Maryland_Baltimore Confirmed 6/1/2020    131     6299     6852     7720        6     7467    21897    11264
TAB:  US_Maryland_Baltimore Confirmed .           132     6385     6852     7720        8     7720    46705    12530
TAB:  US_Maryland_Baltimore Confirmed 6/3/2020    133     6457     6852    11011        8     6961    26453    12024
TAB:  US_Maryland_Baltimore Confirmed .           134     6476     6852     7974        9     6455    31263    11771
TAB:  US_Maryland_Baltimore Confirmed 6/5/2020    135     6590     6852     7974        6     6961    23922    11518
TAB:  US_Maryland_Baltimore Confirmed .           136     6696     6852    11264        8     7214    34554    11518
TAB:  US_Maryland_Baltimore Confirmed 6/7/2020    137     6753     6852    11264        9     7214    28225    12024
TAB:  US_Maryland_Baltimore Confirmed .           138     6814     6852     8227        7     7214    21897    11518
TAB:  US_Maryland_Baltimore Confirmed 6/9/2020    139     6852     6852     8407        6     6982    14678    10308
