TAB:  US_Illinois_Cook Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Cook Confirmed 5/6/2020    105    46689    83271    75373       13    59991   598373   149208
TAB:  US_Illinois_Cook Confirmed .           106    48341    83271    75373       11    66144   598373   146132
TAB:  US_Illinois_Cook Confirmed 5/8/2020    107    50236    83271    78449       10    78449   610679   179973
TAB:  US_Illinois_Cook Confirmed .           108    51674    83271    81526       12    81526   598373   161514
TAB:  US_Illinois_Cook Confirmed 5/10/2020   109    52655    83271    81526       11    63067   592220   164591
TAB:  US_Illinois_Cook Confirmed .           110    53381    83271    84602        8    56914   579914   139979
TAB:  US_Illinois_Cook Confirmed 5/12/2020   111    55470    83271    84602       13    75373   604526   149208
TAB:  US_Illinois_Cook Confirmed .           112    56406    83271    84602       14    75373   499926   143055
TAB:  US_Illinois_Cook Confirmed 5/14/2020   113    58457    83271    84602        9    84602   515308   146132
TAB:  US_Illinois_Cook Confirmed .           114    59905    83271    90755       12    87679   524538   146132
TAB:  US_Illinois_Cook Confirmed 5/16/2020   115    61212    83271    90755       12    81526   533767   143055
TAB:  US_Illinois_Cook Confirmed .           116    62218    83271    90755       16    72297   539920   143055
TAB:  US_Illinois_Cook Confirmed 5/18/2020   117    63690    83271    90755       14    72297   546073   139979
TAB:  US_Illinois_Cook Confirmed .           118    64691    83271    92326       14    73034   464386   133666
TAB:  US_Illinois_Cook Confirmed 5/20/2020   119    66213    83271    96908       12    84602   469161   139979
TAB:  US_Illinois_Cook Confirmed .           120    67551    83271    93832       15    90755   407632   146132
TAB:  US_Illinois_Cook Confirmed 5/22/2020   121    68949    83271    99985       13    93832   364561   146132
TAB:  US_Illinois_Cook Confirmed .           122    70417    83271   103061       13    93832   330720   143055
TAB:  US_Illinois_Cook Confirmed 5/24/2020   123    72010    83271    96908       15    96908   303032   149208
TAB:  US_Illinois_Cook Confirmed .           124    73097    83271   109214       16    96908   278420   146132
TAB:  US_Illinois_Cook Confirmed 5/26/2020   125    73819    83271   124783       10    77895   260910   127808
TAB:  US_Illinois_Cook Confirmed .           126    74521    83271   107277        8    76626   231106   118311
TAB:  US_Illinois_Cook Confirmed 5/28/2020   127    75306    83271   105648       11    77937   217647   117194
TAB:  US_Illinois_Cook Confirmed .           128    76266    83271   104889       10    80726   209229   115872
TAB:  US_Illinois_Cook Confirmed 5/30/2020   129    77119    83271    99985       17    84602   223044   130749
TAB:  US_Illinois_Cook Confirmed .           130    77925    83271   103061       20    84602   253808   130749
TAB:  US_Illinois_Cook Confirmed 6/1/2020    131    78495    83271   101645       29    86008   193238   123985
TAB:  US_Illinois_Cook Confirmed .           132    79673    83271   103061       24    87679   555302   130749
TAB:  US_Illinois_Cook Confirmed 6/3/2020    133    80204    83271    99985       30    90755   176897   130749
TAB:  US_Illinois_Cook Confirmed .           134    80713    83271    99788       18    85965   168042   111020
TAB:  US_Illinois_Cook Confirmed 6/5/2020    135    81344    83271    99354       15    85101   163075   109415
TAB:  US_Illinois_Cook Confirmed .           136    81924    83271    99672       12    85026   158255   109436
TAB:  US_Illinois_Cook Confirmed 6/7/2020    137    82427    83271    99985       25    87679   158438   121520
TAB:  US_Illinois_Cook Confirmed .           138    82819    83271    99455       12    86297   150537   107968
TAB:  US_Illinois_Cook Confirmed 6/9/2020    139    83271    83271    99520       11    86751   147590   109284
