TAB:  US_Massachusetts_Plymouth Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Plymouth Deaths    3/5/2020     43        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            44        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/7/2020     45        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            46        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/9/2020     47        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            48        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/11/2020    49        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            50        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/13/2020    51        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            52        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/15/2020    53        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            54        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/17/2020    55        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            56        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/19/2020    57        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            58        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/21/2020    59        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            60        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/23/2020    61        0      603        0        0      155      155      155
TAB:  US_Massachusetts_Plymouth Deaths    .            62        0      603        0        0     4502     4502     4502
TAB:  US_Massachusetts_Plymouth Deaths    3/25/2020    63        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            64        0      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    3/27/2020    65        0      603        0        0     1086    22820    22820
TAB:  US_Massachusetts_Plymouth Deaths    .            66        0      603        0        0     1397    33687     3260
TAB:  US_Massachusetts_Plymouth Deaths    3/29/2020    67        0      603        0        0     1086    35240     8848
TAB:  US_Massachusetts_Plymouth Deaths    .            68        0      603        0        0      776    13506     4502
TAB:  US_Massachusetts_Plymouth Deaths    3/31/2020    69        2      603        0        0      776    23441     2639
TAB:  US_Massachusetts_Plymouth Deaths    .            70        5      603        0        0     1261     9993     2425
TAB:  US_Massachusetts_Plymouth Deaths    4/2/2020     71        6      603        0        0     1355    11600     2259
TAB:  US_Massachusetts_Plymouth Deaths    .            72        7      603        0        0     1707    22199     2949
TAB:  US_Massachusetts_Plymouth Deaths    4/4/2020     73        8      603        0        0     2328     6364     3260
TAB:  US_Massachusetts_Plymouth Deaths    .            74       10      603        0        0     2354    16289     3860
TAB:  US_Massachusetts_Plymouth Deaths    4/6/2020     75       15      603        0        0     1808     4511     2940
TAB:  US_Massachusetts_Plymouth Deaths    .            76       26      603        0        0     1911     4043     3003
TAB:  US_Massachusetts_Plymouth Deaths    4/8/2020     77       33      603        0        0        0        0        0
TAB:  US_Massachusetts_Plymouth Deaths    .            78       33      603      100        1      100      100      100
TAB:  US_Massachusetts_Plymouth Deaths    4/10/2020    79       33      603       35        1       35       41       41
TAB:  US_Massachusetts_Plymouth Deaths    .            80       51      603      167        2      122      924      345
TAB:  US_Massachusetts_Plymouth Deaths    4/12/2020    81       55      603      122        2      100      478      167
TAB:  US_Massachusetts_Plymouth Deaths    .            82       55      603       77        2       55      345      122
TAB:  US_Massachusetts_Plymouth Deaths    4/14/2020    83       55      603       55        2       55      145       76
TAB:  US_Massachusetts_Plymouth Deaths    .            84       89      603      456        1      456      790      501
TAB:  US_Massachusetts_Plymouth Deaths    4/16/2020    85       89      603      322        2      300     2929      568
TAB:  US_Massachusetts_Plymouth Deaths    .            86       93      603      100        2      100     2350      322
TAB:  US_Massachusetts_Plymouth Deaths    4/18/2020    87      105      603      256        2      122      367      256
TAB:  US_Massachusetts_Plymouth Deaths    .            88      131      603      434        3      300     2082      634
TAB:  US_Massachusetts_Plymouth Deaths    4/20/2020    89      131      603      367        2      189     3797      434
TAB:  US_Massachusetts_Plymouth Deaths    .            90      141      603      389        3      167     2394      389
TAB:  US_Massachusetts_Plymouth Deaths    4/22/2020    91      141      603      305        2      144      458      251
TAB:  US_Massachusetts_Plymouth Deaths    .            92      141      603      142        2      142      317      235
TAB:  US_Massachusetts_Plymouth Deaths    4/24/2020    93      141      603      144        2      141      275      197
TAB:  US_Massachusetts_Plymouth Deaths    .            94      212      603        0        0     6675    41139    10711
TAB:  US_Massachusetts_Plymouth Deaths    4/26/2020    95      212      603      585        1      585     1826      925
TAB:  US_Massachusetts_Plymouth Deaths    .            96      240      603      300        1      300     4377     1904
TAB:  US_Massachusetts_Plymouth Deaths    4/28/2020    97      256      603      746        2      278     3508     1392
TAB:  US_Massachusetts_Plymouth Deaths    .            98      273      603      300        2      300     4421      968
TAB:  US_Massachusetts_Plymouth Deaths    4/30/2020    99      285      603      813        3      300     3129     1058
TAB:  US_Massachusetts_Plymouth Deaths    .           100      301      603      345        2      322     3641      991
TAB:  US_Massachusetts_Plymouth Deaths    5/2/2020    101      312      603      813        4      345     2394      946
TAB:  US_Massachusetts_Plymouth Deaths    .           102      323      603      412        4      345     1681     1013
TAB:  US_Massachusetts_Plymouth Deaths    5/4/2020    103      333      603      403        4      368     1300      785
TAB:  US_Massachusetts_Plymouth Deaths    .           104      341      603      370        2      370     1034      699
TAB:  US_Massachusetts_Plymouth Deaths    5/6/2020    105      357      603      478        3      389      968      657
TAB:  US_Massachusetts_Plymouth Deaths    .           106      364      603      412        4      412     1659      657
TAB:  US_Massachusetts_Plymouth Deaths    5/8/2020    107      375      603      421        3      421     1156      561
TAB:  US_Massachusetts_Plymouth Deaths    .           108      384      603      433        2      430      694      540
TAB:  US_Massachusetts_Plymouth Deaths    5/10/2020   109      393      603      620        3      435      657      540
TAB:  US_Massachusetts_Plymouth Deaths    .           110      408      603      523        5      456     1347      634
TAB:  US_Massachusetts_Plymouth Deaths    5/12/2020   111      409      603      612       11      456      679      568
TAB:  US_Massachusetts_Plymouth Deaths    .           112      424      603      523        6      478     1859      612
TAB:  US_Massachusetts_Plymouth Deaths    5/14/2020   113      435      603      590        7      501      879      634
TAB:  US_Massachusetts_Plymouth Deaths    .           114      444      603      590        7      501     2238      701
TAB:  US_Massachusetts_Plymouth Deaths    5/16/2020   115      455      603      590        9      523     2305      790
TAB:  US_Massachusetts_Plymouth Deaths    .           116      460      603      597        8      492      888      603
TAB:  US_Massachusetts_Plymouth Deaths    5/18/2020   117      464      603      595        6      479      712      577
TAB:  US_Massachusetts_Plymouth Deaths    .           118      470      603      590        7      489      664      573
TAB:  US_Massachusetts_Plymouth Deaths    5/20/2020   119      481      603      591        8      544      657      591
TAB:  US_Massachusetts_Plymouth Deaths    .           120      487      603      590       15      545      657      612
TAB:  US_Massachusetts_Plymouth Deaths    5/22/2020   121      492      603      568       15      545      634      590
TAB:  US_Massachusetts_Plymouth Deaths    .           122      501      603      590       15      568      657      612
TAB:  US_Massachusetts_Plymouth Deaths    5/24/2020   123      508      603      590       16      568      879      657
TAB:  US_Massachusetts_Plymouth Deaths    .           124      513      603      590       19      568      946      657
TAB:  US_Massachusetts_Plymouth Deaths    5/26/2020   125      522      603      590       16      590     1637      746
TAB:  US_Massachusetts_Plymouth Deaths    .           126      530      603      612       15      590     1213      679
TAB:  US_Massachusetts_Plymouth Deaths    5/28/2020   127      539      603      612       25      612     2194      723
TAB:  US_Massachusetts_Plymouth Deaths    .           128      542      603      612       25      612     3374      746
TAB:  US_Massachusetts_Plymouth Deaths    5/30/2020   129      548      603      617       24      580     1703      727
TAB:  US_Massachusetts_Plymouth Deaths    .           130      552      603      619       23      568      936      693
TAB:  US_Massachusetts_Plymouth Deaths    6/1/2020    131      562      603      634       25      634     1147      768
TAB:  US_Massachusetts_Plymouth Deaths    .           132      568      603      634       24      634     1213      813
TAB:  US_Massachusetts_Plymouth Deaths    6/3/2020    133      572      603      634       23      634     1013      790
TAB:  US_Massachusetts_Plymouth Deaths    .           134      579      603      657       16      634      946      790
TAB:  US_Massachusetts_Plymouth Deaths    6/5/2020    135      581      603      647       17      596      848      716
TAB:  US_Massachusetts_Plymouth Deaths    .           136      588      603      652       13      628      830      720
TAB:  US_Massachusetts_Plymouth Deaths    6/7/2020    137      591      603      651       14      627      787      707
TAB:  US_Massachusetts_Plymouth Deaths    .           138      595      603      652       15      628      764      694
TAB:  US_Massachusetts_Plymouth Deaths    6/9/2020    139      603      603      657       24      657      768      723
