Country_Region_Safe                                                                                 Smoothing  Classification_Code  nCases   Start_Cases  Peak_Cases  nDeaths  Start_Deaths  Peak_Deaths  Deaths_per_Case  
Nigeria_SMO5                                                                                        SMO5       c=d=                 12801    62           133         361      65            134          2.82%            
Honduras_SMO5                                                                                       SMO5       c=d=                 6450     63           124         262      63            133          4.06%            
US_Colorado_Adams_SMO5                                                                              SMO5       c=d=                 3605     63           103         138      66            92           3.83%            
US_Indiana_Lake_SMO5                                                                                SMO5       c=d=                 3959     64           97          215      65            103          5.43%            
US_Maryland_Anne_Arundel_SMO5                                                                       SMO5       c=d=                 4267     64           130         185      68            96           4.34%            
US_Iowa_Polk_SMO5                                                                                   SMO5       c=d=                 4820     67           103         146      71            124          3.03%            
US_Minnesota_Ramsey_SMO5                                                                            SMO5       c=d=                 3553     68           120         158      62            134          4.45%            
El_Salvador_SMO5                                                                                    SMO5       c=d=                 3104     72           126         56       69            132          1.80%            
Sudan_SMO5                                                                                          SMO5       c=d=                 6242     85           122         372      63            128          5.96%            
Saudi_Arabia_SMO5                                                                                   SMO5       c===                 105283   49           118         664      60            999          0.71%            
Bolivia_SMO5                                                                                        SMO5       c===                 13949    64           131         423      64            999          3.41%            
Iran_SMO5                                                                                           SMO5       =CdD                 165582   30           999         8351     25            69           4.80%            
US_Tennessee_Davidson_SMO5                                                                          SMO5       =CdD                 5653     55           999         73       59            119          1.23%            
North_Macedonia_SMO5                                                                                SMO5       =CdD                 2863     56           999         156      59            134          4.95%            
US_Texas_Harris_SMO5                                                                                SMO5       =CdD                 14049    57           999         262      61            102          1.76%            
US_Kentucky_Jefferson_SMO5                                                                          SMO5       =CdD                 2876     63           999         169      60            85           5.44%            
US_Florida_Palm_Beach_SMO5                                                                          SMO5       =Cd=                 6854     58           999         373      59            76           5.09%            
Sweden_SMO5                                                                                         SMO5       ==dD                 42458    40           999         4694     48            88           10.40%           
Indonesia_SMO5                                                                                      SMO5       ==dD                 30022    49           999         1883     47            133          5.88%            
US_California_Orange_SMO5                                                                           SMO5       ==dD                 7052     56           999         177      62            121          2.35%            
US_North_Carolina_Mecklenburg_SMO5                                                                  SMO5       ==dD                 5143     57           999         110      68            134          1.94%            
US_Tennessee_Shelby_SMO5                                                                            SMO5       ==dD                 5646     58           999         133      66            131          2.21%            
US_Texas_Bexar_SMO5                                                                                 SMO5       ==dD                 3122     60           999         78       60            80           2.36%            
Cameroon_SMO5                                                                                       SMO5       ==dD                 7367     61           999         212      62            107          2.63%            
US_Arizona_Pima_SMO5                                                                                SMO5       ==dD                 2885     62           999         205      62            107          6.50%            
US_Puerto_Rico_SMO5                                                                                 SMO5       ==dD                 4607     62           999         142      60            82           2.81%            
US_Washington_Yakima_SMO5                                                                           SMO5       ==dD                 4282     63           999         101      63            114          2.17%            
WholeWorld_SMO5                                                                                     SMO5       ==d=                 8235790  1            999         528752   1             81           6.13%            
Brazil_SMO5                                                                                         SMO5       ==d=                 633488   47           999         37134    52            131          5.25%            
Armenia_SMO5                                                                                        SMO5       ==d=                 11891    53           999         211      64            134          1.58%            
Moldova_SMO5                                                                                        SMO5       ==d=                 9223     56           999         353      61            125          3.60%            
US_Texas_Dallas_SMO5                                                                                SMO5       ==d=                 11597    56           999         264      57            116          2.14%            
US_Arizona_Maricopa_SMO5                                                                            SMO5       ==d=                 12637    57           999         491      59            109          3.51%            
US_Utah_Salt_Lake_SMO5                                                                              SMO5       ==d=                 5901     57           999         83       67            111          1.32%            
Ukraine_SMO5                                                                                        SMO5       ==d=                 26527    58           999         805      53            114          2.87%            
US_California_Riverside_SMO5                                                                        SMO5       ==d=                 8705     60           999         356      53            93           3.87%            
US_Texas_El_Paso_SMO5                                                                               SMO5       ==d=                 3140     68           999         90       79            128          2.67%            
Haiti_SMO5                                                                                          SMO5       ==d=                 2986     87           999         54       76            127          1.53%            
Iraq_SMO5                                                                                           SMO5       ====                 11274    44           999         318      40            999          2.74%            
Egypt_SMO5                                                                                          SMO5       ====                 31562    47           999         1157     48            999          3.59%            
India_SMO5                                                                                          SMO5       ====                 238712   47           999         6733     50            999          2.81%            
Chile_SMO5                                                                                          SMO5       ====                 124684   50           999         1920     58            999          1.63%            
Pakistan_SMO5                                                                                       SMO5       ====                 96094    50           999         1939     55            999          2.01%            
