TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           104      295      607      727        3      326     1381      720
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/6/2020    105      311      607      727        3      428     1081      721
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           106      324      607      728        5      482     1087      751
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/8/2020    107      339      607      728        5      526     1020      773
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           108      349      607      616        5      549      953      751
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/10/2020   109      353      607      728        6      370      885      683
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           110      359      607      692        3      372      811      649
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/12/2020   111      373      607      510        4      456      795      663
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           112      389      607      690        5      538      788      665
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/14/2020   113      398      607      683        8      549      796      683
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           114      413      607      683       12      594      975      728
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/16/2020   115      420      607      683       12      482      908      706
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           116      429      607      683       14      482     1984      706
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/18/2020   117      436      607      618        7      475      761      668
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           118      445      607      678        7      495      742      656
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/20/2020   119      453      607      661       15      504      751      661
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           120      466      607      661       16      571      863      683
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/22/2020   121      477      607      683       19      639     1289      728
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           122      484      607      683       20      639     2298      751
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/24/2020   123      490      607      683       21      526      997      706
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           124      497      607      677       12      524      772      677
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/26/2020   125      506      607      676       14      561      747      676
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           126      520      607      683       26      661     1984      885
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/28/2020   127      530      607      683       24      661     2657      840
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           128      530      607      683       26      661     1334      818
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    5/30/2020   129      539      607      683       21      549      997      773
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           130      541      607      692       14      548      780      696
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    6/1/2020    131      545      607      684       16      553      720      669
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           132      552      607      683       39      571      706      639
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    6/3/2020    133      565      607      683       38      661      728      706
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           134      580      607      706       32      683     2253      796
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    6/5/2020    135      587      607      706       32      706     1020      840
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           136      595      607      728       20      661     1154      840
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    6/7/2020    137      598      607      728       26      616     1087      818
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    .           138      602      607      728       29      616     2253      863
TAB:  US_Maryland_Prince_Georges_Prince_George_s Deaths    6/9/2020    139      607      607      728       33      616     1311      840
