TAB:  US_Illinois_Lake Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Lake Confirmed 3/9/2020     47        0     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed .            48        0     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed 3/11/2020    49        1     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed .            50        1     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed 3/13/2020    51        2     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed .            52        3     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed 3/15/2020    53        3     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed .            54        4     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed 3/17/2020    55        7     8861      491        1      491      491      491
TAB:  US_Illinois_Lake Confirmed .            56       18     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed 3/19/2020    57       37     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed .            58       37     8861        0        0        0        0        0
TAB:  US_Illinois_Lake Confirmed 3/21/2020    59       63     8861      163        1      163     1473     1473
TAB:  US_Illinois_Lake Confirmed .            60       69     8861      163        3      163      818      818
TAB:  US_Illinois_Lake Confirmed 3/23/2020    61       96     8861      163        4      163     7365      491
TAB:  US_Illinois_Lake Confirmed .            62      111     8861      163        4      163     4746      818
TAB:  US_Illinois_Lake Confirmed 3/25/2020    63      139     8861      250        2      250     1254      585
TAB:  US_Illinois_Lake Confirmed .            64      139     8861      221        2      221      569      292
TAB:  US_Illinois_Lake Confirmed 3/27/2020    65      230     8861     1129        1     1129     1507     1507
TAB:  US_Illinois_Lake Confirmed .            66      241     8861      818        1      818     2127     1473
TAB:  US_Illinois_Lake Confirmed 3/29/2020    67      300     8861     1145        2     1145     9330     2127
TAB:  US_Illinois_Lake Confirmed .            68      343     8861     1145        3      491    21115     2127
TAB:  US_Illinois_Lake Confirmed 3/31/2020    69      389     8861     1145        3      491     8675     1800
TAB:  US_Illinois_Lake Confirmed .            70      477     8861     1473        4     1473    64982     5728
TAB:  US_Illinois_Lake Confirmed 4/2/2020     71      540     8861     1800        4     1145    26353     2782
TAB:  US_Illinois_Lake Confirmed .            72      608     8861     2127        4     1473    13913     4419
TAB:  US_Illinois_Lake Confirmed 4/4/2020     73      683     8861     1777        3     1777     9160     4238
TAB:  US_Illinois_Lake Confirmed .            74      742     8861     2135        2     1166     5831     2317
TAB:  US_Illinois_Lake Confirmed 4/6/2020     75      815     8861     2033        2     1359     4681     2370
TAB:  US_Illinois_Lake Confirmed .            76      923     8861     2455        7     2127    14240     3764
TAB:  US_Illinois_Lake Confirmed 4/8/2020     77     1041     8861     4419        5     2455     7038     4419
TAB:  US_Illinois_Lake Confirmed .            78     1124     8861     2782        4     2782     6711     4419
TAB:  US_Illinois_Lake Confirmed 4/10/2020    79     1230     8861     3110        5     2782    61054     5074
TAB:  US_Illinois_Lake Confirmed .            80     1331     8861     3133        3     2365    22187     4923
TAB:  US_Illinois_Lake Confirmed 4/12/2020    81     1445     8861     3401        2     3043    14212     4833
TAB:  US_Illinois_Lake Confirmed .            82     1516     8861     4877        2     2597     6634     4391
TAB:  US_Illinois_Lake Confirmed 4/14/2020    83     1621     8861     4827        3     2608     5432     4193
TAB:  US_Illinois_Lake Confirmed .            84     1711     8861     3595        2     2768     4923     3971
TAB:  US_Illinois_Lake Confirmed 4/16/2020    85     1767     8861     4099        3     2300     4590     3632
TAB:  US_Illinois_Lake Confirmed .            86     1914     8861     4092       10     3110     8675     4092
TAB:  US_Illinois_Lake Confirmed 4/18/2020    87     2073     8861     4746       12     3764    10312     5074
TAB:  US_Illinois_Lake Confirmed .            88     2162     8861     4746       10     4092    11294     5074
TAB:  US_Illinois_Lake Confirmed 4/20/2020    89     2216     8861     4746       13     2455    33228     6383
TAB:  US_Illinois_Lake Confirmed .            90     2287     8861     4544        5     2444     5924     4394
TAB:  US_Illinois_Lake Confirmed 4/22/2020    91     2379     8861     3989        5     2786     4590     4266
TAB:  US_Illinois_Lake Confirmed .            92     2540     8861     4571        6     4101     5835     4571
TAB:  US_Illinois_Lake Confirmed 4/24/2020    93     2717     8861     4419        7     4419    17186     7693
TAB:  US_Illinois_Lake Confirmed .            94     2879     8861     5074        6     4419    33882     6383
TAB:  US_Illinois_Lake Confirmed 4/26/2020    95     2990     8861     5401        9     4746    45668     7038
TAB:  US_Illinois_Lake Confirmed .            96     3080     8861     5728        6     3437    62363     7038
TAB:  US_Illinois_Lake Confirmed 4/28/2020    97     3192     8861     5728        8     3764    33555     7365
TAB:  US_Illinois_Lake Confirmed .            98     3382     8861     5074        6     5074    39775     8675
TAB:  US_Illinois_Lake Confirmed 4/30/2020    99     3509     8861     5401        6     5401    34537     9330
TAB:  US_Illinois_Lake Confirmed .           100     3766     8861     5728        6     5728    52542     9657
TAB:  US_Illinois_Lake Confirmed 5/2/2020    101     3975     8861     6056        5     6056    54834     9330
TAB:  US_Illinois_Lake Confirmed .           102     4161     8861     6383        5     6383    45995    10312
TAB:  US_Illinois_Lake Confirmed 5/4/2020    103     4252     8861     6383        3     5074    45995    10639
TAB:  US_Illinois_Lake Confirmed .           104     4370     8861     6711        4     4746    64982    10966
TAB:  US_Illinois_Lake Confirmed 5/6/2020    105     4529     8861     7038        4     5074    51888    11294
TAB:  US_Illinois_Lake Confirmed .           106     4762     8861     7038        5     7038    50906    13258
TAB:  US_Illinois_Lake Confirmed 5/8/2020    107     4985     8861     7693        3     7365    58762    15222
TAB:  US_Illinois_Lake Confirmed .           108     5199     8861     8020        3     7693    58108    15222
TAB:  US_Illinois_Lake Confirmed 5/10/2020   109     5245     8861     8020        4     6383    62363    15550
TAB:  US_Illinois_Lake Confirmed .           110     5323     8861     8881        3     5421    43947    13495
TAB:  US_Illinois_Lake Confirmed 5/12/2020   111     5662     8861     8347        3     8347    43376    15877
TAB:  US_Illinois_Lake Confirmed .           112     5758     8861     8423        2     8423    36749    15088
TAB:  US_Illinois_Lake Confirmed 5/14/2020   113     5992     8861     9002        3     8675    45668    16204
TAB:  US_Illinois_Lake Confirmed .           114     6157     8861     9002        3     8675    35847    15550
TAB:  US_Illinois_Lake Confirmed 5/16/2020   115     6382     8861     9330        3     8675    48614    16859
TAB:  US_Illinois_Lake Confirmed .           116     6489     8861    16859        4     7693    28644    16204
TAB:  US_Illinois_Lake Confirmed 5/18/2020   117     6645     8861    14245        4     7531    26585    14245
TAB:  US_Illinois_Lake Confirmed .           118     6709     8861    14752        3     7165    23905    13187
TAB:  US_Illinois_Lake Confirmed 5/20/2020   119     6905     8861    13618        4     8059    22067    12840
TAB:  US_Illinois_Lake Confirmed .           120     7128     8861    12443        3     9345    21201    13191
TAB:  US_Illinois_Lake Confirmed 5/22/2020   121     7291     8861    12931        6    10312    20787    14567
TAB:  US_Illinois_Lake Confirmed .           122     7465     8861    14895        5    10312    20460    14895
TAB:  US_Illinois_Lake Confirmed 5/24/2020   123     7615     8861    14895        7     9002    23734    14895
TAB:  US_Illinois_Lake Confirmed .           124     7723     8861    14240        8     8347    27008    14567
TAB:  US_Illinois_Lake Confirmed 5/26/2020   125     7767     8861    12970        4     8055    18067    13061
TAB:  US_Illinois_Lake Confirmed .           126     7845     8861    12337        4     8008    17186    12597
TAB:  US_Illinois_Lake Confirmed 5/28/2020   127     7933     8861     8276        4     8276    16347    12723
TAB:  US_Illinois_Lake Confirmed .           128     8063     8861    11621        6     8675    15877    12276
TAB:  US_Illinois_Lake Confirmed 5/30/2020   129     8238     8861    11294        6     9330    15550    12603
TAB:  US_Illinois_Lake Confirmed .           130     8331     8861    11294        9     9657    18496    12276
TAB:  US_Illinois_Lake Confirmed 6/1/2020    131     8408     8861    11294        9     9330    15550    12276
TAB:  US_Illinois_Lake Confirmed .           132     8450     8861    13913        9     8675    14240    11621
TAB:  US_Illinois_Lake Confirmed 6/3/2020    133     8511     8861    13759        7     8669    13759    11177
TAB:  US_Illinois_Lake Confirmed .           134     8584     8861     9811        4     8799    13317    10957
TAB:  US_Illinois_Lake Confirmed 6/5/2020    135     8647     8861     9657       14     9002    12931    10966
TAB:  US_Illinois_Lake Confirmed .           136     8690     8861     9657       12     9002    12931    10966
TAB:  US_Illinois_Lake Confirmed 6/7/2020    137     8768     8861     9657       15     9002    12603    10966
TAB:  US_Illinois_Lake Confirmed .           138     8808     8861    12358        7     9185    12431    10734
TAB:  US_Illinois_Lake Confirmed 6/9/2020    139     8861     8861     9487        8     9304    12110    10585
