TEST last_day=  735 method= last 
MH:     0 Country_Region                                            141 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/6/20  6/7/20  6/8/20
aaa nday1  138 6/8/2020       68135.00000       11.12925
TAB:  China_Hubei Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed China_Hubei 6/2/2020        132   68135    -       68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    -       68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    -       68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    -       68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/2/2020        132   68135    68819   68135    69224    12   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 6/1/2020        131   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    -       68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/31/2020       130   68135    68819   68135    69224    15   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    -       68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    -       68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    -       68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    -       68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    -       68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/30/2020       129   68135    68819   68135    69224    16   999 undefine  
GP: Confirmed China_Hubei 5/29/2020       128   68135    -       68135    69224    17   999 undefine  
GP: Confirmed China_Hubei 5/29/2020       128   68135    -       68135    69224    17   999 undefine  
GP: Confirmed China_Hubei 5/29/2020       128   68135    -       68135    69224    17   999 undefine  
GP: Confirmed China_Hubei 5/29/2020       128   68135    -       68135    69224    17   999 undefine  
GP: Confirmed China_Hubei 5/29/2020       128   68135    -       68135    69224    17   999 undefine  
GP: Confirmed China_Hubei 5/29/2020       128   68135    -       68135    69224    17   999 undefine  
