TAB:  US_Massachusetts_Norfolk Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Norfolk Confirmed 5/4/2020    103     6382     8753     9699        5     6745    11378     9467
TAB:  US_Massachusetts_Norfolk Confirmed .           104     6466     8753     9187        6     6827    11042     9019
TAB:  US_Massachusetts_Norfolk Confirmed 5/6/2020    105     6610     8753     9216       14     7276    11156     9216
TAB:  US_Massachusetts_Norfolk Confirmed .           106     6729     8753     8892       15     7599    10833     9216
TAB:  US_Massachusetts_Norfolk Confirmed 5/8/2020    107     6801     8753     8892       22     7599    34116     9216
TAB:  US_Massachusetts_Norfolk Confirmed .           108     6887     8753     8769       13     7463    10358     8939
TAB:  US_Massachusetts_Norfolk Confirmed 5/10/2020   109     6952     8753     8669        7     7245    10092     8669
TAB:  US_Massachusetts_Norfolk Confirmed .           110     7004     8753     8683        8     7223     9891     8582
TAB:  US_Massachusetts_Norfolk Confirmed 5/12/2020   111     7046     8753     7672        8     7228     9793     8511
TAB:  US_Massachusetts_Norfolk Confirmed .           112     7129     8753     7665        7     7472     9600     8488
TAB:  US_Massachusetts_Norfolk Confirmed 5/14/2020   113     7258     8753     8569       20     7922    13096     8892
TAB:  US_Massachusetts_Norfolk Confirmed .           114     7331     8753     8569       22     7922     9539     8892
TAB:  US_Massachusetts_Norfolk Confirmed 5/16/2020   115     7412     8753     8569       26     7922     9539     8892
TAB:  US_Massachusetts_Norfolk Confirmed .           116     7474     8753     8569       33     7922     9539     8892
TAB:  US_Massachusetts_Norfolk Confirmed 5/18/2020   117     7524     8753     8569       34     7922    18594     9216
TAB:  US_Massachusetts_Norfolk Confirmed .           118     7565     8753     8485       15     7708    15140     8707
TAB:  US_Massachusetts_Norfolk Confirmed 5/20/2020   119     7607     8753     8516       19     7753     9584     8567
TAB:  US_Massachusetts_Norfolk Confirmed .           120     7691     8753     8475       19     8084     9501     8670
TAB:  US_Massachusetts_Norfolk Confirmed 5/22/2020   121     7724     8753     8569       41     8246     9216     8892
TAB:  US_Massachusetts_Norfolk Confirmed .           122     7759     8753     8365       26     8152     9857     8685
TAB:  US_Massachusetts_Norfolk Confirmed 5/24/2020   123     7812     8753     8497       22     8148     9494     8597
TAB:  US_Massachusetts_Norfolk Confirmed .           124     7844     8753     8508       22     8066     8773     8420
TAB:  US_Massachusetts_Norfolk Confirmed 5/26/2020   125     7863     8753     8508       23     7978     8773     8420
TAB:  US_Massachusetts_Norfolk Confirmed .           126     7880     8753     8423       24     7898     8686     8336
TAB:  US_Massachusetts_Norfolk Confirmed 5/28/2020   127     7919     8753     8423       33     8073     8686     8423
TAB:  US_Massachusetts_Norfolk Confirmed .           128     7959     8753     8569       58     8246     8892     8569
TAB:  US_Massachusetts_Norfolk Confirmed 5/30/2020   129     8016     8753     8569       76     8246     8892     8569
TAB:  US_Massachusetts_Norfolk Confirmed .           130     8079     8753     8569       71     8569    15037     9539
TAB:  US_Massachusetts_Norfolk Confirmed 6/1/2020    131     8586     8753        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Confirmed .           132     8600     8753        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Confirmed 6/3/2020    133     8613     8753        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Confirmed .           134     8625     8753        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Confirmed 6/5/2020    135     8646     8753        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Confirmed .           136     8689     8753        0        0        0        0        0
TAB:  US_Massachusetts_Norfolk Confirmed 6/7/2020    137     8713     8753     8892        3     8892     8892     8892
TAB:  US_Massachusetts_Norfolk Confirmed .           138     8715     8753     8892        3     8892     8892     8892
TAB:  US_Massachusetts_Norfolk Confirmed 6/9/2020    139     8753     8753     9216        1     9216     9216     9216
