TAB:  US_New_York_NYC Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_NYC Deaths    .            96    17515    21918    20078        8    18348    23785    20819
TAB:  US_New_York_NYC Deaths    4/28/2020    97    17682    21918    20014        9    17966    22807    20759
TAB:  US_New_York_NYC Deaths    .            98    17875    21918    20017       11    18172    21536    20451
TAB:  US_New_York_NYC Deaths    4/30/2020    99    18069    21918    20091       20    18357    20959    20091
TAB:  US_New_York_NYC Deaths    .           100    18399    21918    19839       19    19839    21458    20649
TAB:  US_New_York_NYC Deaths    5/2/2020    101    18491    21918    20649       23    19839    20649    20649
TAB:  US_New_York_NYC Deaths    .           102    18925    21918    20649       28    20649    22268    21458
TAB:  US_New_York_NYC Deaths    5/4/2020    103    19057    21918    20649       26    20649    22268    21458
TAB:  US_New_York_NYC Deaths    .           104    19067    21918    20649       28    19839    27936    21458
TAB:  US_New_York_NYC Deaths    5/6/2020    105    19174    21918    20558       23    19237    24521    20888
TAB:  US_New_York_NYC Deaths    .           106    19367    21918    20654       22    19840    21469    20887
TAB:  US_New_York_NYC Deaths    5/8/2020    107    19561    21918    20649       33    20649    23078    22268
TAB:  US_New_York_NYC Deaths    .           108    19675    21918    20649       29    20649    22268    21458
TAB:  US_New_York_NYC Deaths    5/10/2020   109    19789    21918    20649       27    20649    22268    21458
TAB:  US_New_York_NYC Deaths    .           110    20056    21918    21458       34    20649    24697    23078
TAB:  US_New_York_NYC Deaths    5/12/2020   111    20237    21918    21458       33    21458    32795    24697
TAB:  US_New_York_NYC Deaths    .           112    20316    21918    21458       31    21458    30366    24697
TAB:  US_New_York_NYC Deaths    5/14/2020   113    20406    21918    21458       32    20649    27127    23078
TAB:  US_New_York_NYC Deaths    .           114    20476    21918    21458       31    20649    27936    23078
TAB:  US_New_York_NYC Deaths    5/16/2020   115    20576    21918    21245       17    20827    23335    22081
TAB:  US_New_York_NYC Deaths    .           116    20720    21918    21458       32    21458    24697    23078
TAB:  US_New_York_NYC Deaths    5/18/2020   117    20806    21918    21458       30    21458    25507    23078
TAB:  US_New_York_NYC Deaths    .           118    20887    21918    21458       29    21458    30366    23078
TAB:  US_New_York_NYC Deaths    5/20/2020   119    20934    21918    21781       19    21115    22778    22113
TAB:  US_New_York_NYC Deaths    .           120    21003    21918    21728       16    21272    22640    21956
TAB:  US_New_York_NYC Deaths    5/22/2020   121    21086    21918    21685       28    21450    22625    22155
TAB:  US_New_York_NYC Deaths    .           122    21138    21918    21692       29    21692    22620    22156
TAB:  US_New_York_NYC Deaths    5/24/2020   123    21216    21918    22268       45    21458    24697    22268
TAB:  US_New_York_NYC Deaths    .           124    21259    21918    22179       23    21684    24279    22302
TAB:  US_New_York_NYC Deaths    5/26/2020   125    21314    21918    22184       26    21728    22640    22184
TAB:  US_New_York_NYC Deaths    .           126    21362    21918    22192       27    21745    22192    21968
TAB:  US_New_York_NYC Deaths    5/28/2020   127    21415    21918    22192       34    21745    22192    21968
TAB:  US_New_York_NYC Deaths    .           128    21477    21918    22268       69    22268    23888    23078
TAB:  US_New_York_NYC Deaths    5/30/2020   129    21512    21918    22268       71    22268    23888    23078
TAB:  US_New_York_NYC Deaths    .           130    21569    21918    22268       69    22268    24697    23078
TAB:  US_New_York_NYC Deaths    6/1/2020    131    21607    21918    22179       36    21931    23043    22549
TAB:  US_New_York_NYC Deaths    .           132    21649    21918    22167       35    21934    22865    22400
TAB:  US_New_York_NYC Deaths    6/3/2020    133    21688    21918    22176       25    21946    22868    22407
TAB:  US_New_York_NYC Deaths    .           134    21752    21918    22268       66    22268    29556    23888
TAB:  US_New_York_NYC Deaths    6/5/2020    135    21782    21918    22268       66    22268    40893    23888
TAB:  US_New_York_NYC Deaths    .           136    21815    21918    22080       31    22080    23548    22814
TAB:  US_New_York_NYC Deaths    6/7/2020    137    21844    21918    22176       32    22176    22868    22637
TAB:  US_New_York_NYC Deaths    .           138    21877    21918    22412       34    22184    22640    22412
TAB:  US_New_York_NYC Deaths    6/9/2020    139    21918    21918    22268       74    22268    23078    23078
