TAB:  France Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  France Confirmed .            48     2360   187599    10396        2    10396   453973   183668
TAB:  France Confirmed 3/11/2020    49     3018   187599    17327        2    17327   495559   176737
TAB:  France Confirmed .            50     3018   187599    10396        3    10396   689624   107428
TAB:  France Confirmed 3/13/2020    51     4844   187599    93567        2    93567  1306473   294563
TAB:  France Confirmed .            52     5913   187599   190599        1   190599   648038   412388
TAB:  France Confirmed 3/15/2020    53     5953   187599    79705        2    38119   918343   322286
TAB:  France Confirmed .            54     8776   187599   246046        1   246046  1098546   523282
TAB:  France Confirmed 3/17/2020    55    10125   187599   183668        1   183668  1361920   578729
TAB:  France Confirmed .            56    11965   187599    31189        1    31189  1195579   557937
TAB:  France Confirmed 3/19/2020    57    14384   187599    -            2    45050  1160924   537144
TAB:  France Confirmed .            58    16688   187599    65843        2    31189  1181717   599522
TAB:  France Confirmed 3/21/2020    59    18897   187599    38119        1    38119  1348059   502489
TAB:  France Confirmed .            60    21194   187599   107428        2    38119  1070823   391595
TAB:  France Confirmed 3/23/2020    61    26273   187599   495559        2   121290  1230233   509420
TAB:  France Confirmed .            62    29512   187599   509420        2   162876  1091616   530213
TAB:  France Confirmed 3/25/2020    63    33387   187599   204461        1   204461   959928   537144
TAB:  France Confirmed .            64    38577   187599   301493        2   252977  1375782   585660
TAB:  France Confirmed 3/27/2020    65    43617   187599    -            2   155945  1306473   613384
TAB:  France Confirmed .            66    49718   187599    -            2   329217  1264888   710416
TAB:  France Confirmed 3/29/2020    67    53157   187599   453973        2   128221  1375782   634176
TAB:  France Confirmed .            68    58947   187599    -            3   107428  1126270   585660
TAB:  France Confirmed 3/31/2020    69    65010   187599   537144        2   155945  1292611   557937
TAB:  France Confirmed .            70    71072   187599    -            4   204461  1167855   523282
TAB:  France Confirmed 4/2/2020     71    73711   187599   142083        3   142083  1320335   460904
TAB:  France Confirmed .            72    80237   187599   162876        3   128221  1147063   384664
TAB:  France Confirmed 4/4/2020     73    85559   187599   169806        2   149014  1264888   384664
TAB:  France Confirmed .            74    87894   187599   142083        4   121290  1375782   315355
TAB:  France Confirmed 4/6/2020     75    92773   187599   128221        3   128221  1133201   301493
TAB:  France Confirmed .            76    97484   187599   149014        5   135152  1195579   280701
TAB:  France Confirmed 4/8/2020     77   102324   187599   155945        6   149014  1244095   294563
TAB:  France Confirmed .            78   107669   187599   169806        6   162876  1292611   294563
TAB:  France Confirmed 4/10/2020    79   113084   187599   176737        5   176737  1348059   301493
TAB:  France Confirmed .            80   116968   187599   183668        7   176737  1098546   280701
TAB:  France Confirmed 4/12/2020    81   120633   187599   183668        6   149014  1126270   287632
TAB:  France Confirmed .            82   124298   187599   183668        7   142083  1133201   266839
TAB:  France Confirmed 4/14/2020    83   129257   187599   190599        8   176737  1147063   280701
TAB:  France Confirmed .            84   132473   187599   190599        8   176737  1147063   273770
TAB:  France Confirmed 4/16/2020    85   144944   187599   218323        7   211392  1230233   329217
TAB:  France Confirmed .            86   145925   187599   218323        8   218323  1251026   363872
TAB:  France Confirmed 4/18/2020    87   146906   187599   218323        9   149014  1216372   363872
TAB:  France Confirmed .            88   151808   187599   218323        9   162876  1230233   322286
TAB:  France Confirmed 4/20/2020    89   154188   187599   218323       12   162876  1230233   315355
TAB:  France Confirmed .            90   154451   187599   218323       11   155945  1216372   308424
TAB:  France Confirmed 4/22/2020    91   154715   187599   211392       12   155945  1202510   301493
TAB:  France Confirmed .            92   157026   187599   204461       15   162876  1181717   294563
TAB:  France Confirmed 4/24/2020    93   158636   187599   204461       12   162876  1160924   280701
TAB:  France Confirmed .            94   160292   187599   197530       13   162876  1133201   280701
TAB:  France Confirmed 4/26/2020    95   160847   187599   190599       12   162876  1375782   287632
TAB:  France Confirmed .            96   164589   187599   190599       13   176737  1361920   294563
TAB:  France Confirmed 4/28/2020    97   164841   187599   190599       13   169806  1348059   287632
TAB:  France Confirmed .            98   165093   187599   183668       12   169806  1320335   280701
TAB:  France Confirmed 4/30/2020    99   165764   187599   183668       15   169806  1306473   294563
TAB:  France Confirmed .           100   166370   187599   172006       12   166872   849764   259293
TAB:  France Confirmed 5/2/2020    101   166976   187599   169806       18   169806   842103   273770
TAB:  France Confirmed .           102   167272   187599   169806       22   169806   703485   266839
TAB:  France Confirmed 5/4/2020    103   167886   187599   169806       24   169806   606453   266839
TAB:  France Confirmed .           104   168935   187599   169806       23   169806   530213   259908
TAB:  France Confirmed 5/6/2020    105   172465   187599   177704        9   177704   424842   224778
TAB:  France Confirmed .           106   173040   187599   180278       13   178170   389022   216123
TAB:  France Confirmed 5/8/2020    107   174318   187599   183668       29   183668   384664   252977
TAB:  France Confirmed .           108   174758   187599   183668       29   176737   350010   246046
TAB:  France Confirmed 5/10/2020   109   175027   187599   183668       31   176737   329217   239115
TAB:  France Confirmed .           110   175479   187599   183668       33   176737   849034   239115
TAB:  France Confirmed 5/12/2020   111   175730   187599   183668       35   176737   336148   232184
TAB:  France Confirmed .           112   175981   187599   183668       37   176737   273770   225254
TAB:  France Confirmed 5/14/2020   113   176712   187599   182519       24   178565   253682   203604
TAB:  France Confirmed .           114   176959   187599   181693       26   177895   246268   200686
TAB:  France Confirmed 5/16/2020   115   177207   187599   183668       51   176737   246046   211392
TAB:  France Confirmed .           116   177240   187599   181749       26   178243   229671   199282
TAB:  France Confirmed 5/18/2020   117   177554   187599   181587       26   178150   225123   197627
TAB:  France Confirmed .           118   178428   187599   183668       61   183668   225254   204461
TAB:  France Confirmed 5/20/2020   119   179069   187599   183668       63   183668   218323   204461
TAB:  France Confirmed .           120   179306   187599   183668       66   183668   211392   197530
TAB:  France Confirmed 5/22/2020   121   179645   187599   183668       69   183668   204461   197530
TAB:  France Confirmed .           122   179752   187599   183668       73   183668   204461   197530
TAB:  France Confirmed 5/24/2020   123   179859   187599   183668       75   183668   266839   197530
TAB:  France Confirmed .           124   179873   187599   181769       40   179777   197705   189737
TAB:  France Confirmed 5/26/2020   125   179887   187599   181932       47   179960   195737   187849
TAB:  France Confirmed .           126   180044   187599   183668       93   183668   197530   190599
TAB:  France Confirmed 5/28/2020   127   183309   187599   185980        9   185980   193790   189885
TAB:  France Confirmed .           128   183816   187599   187995       12   186062   191862   189929
TAB:  France Confirmed 5/30/2020   129   185616   187599   190599       24   190599   433180   433180
TAB:  France Confirmed .           130   185851   187599   189355       13   187197   193671   191513
TAB:  France Confirmed 6/1/2020    131   185952   187599   189356       12   187304   193462   191409
TAB:  France Confirmed .           132   184980   187599   189167       13   189167   198899   192816
TAB:  France Confirmed 6/3/2020    133   185483   187599   189186       14   189186   197479   193333
TAB:  France Confirmed .           134   185986   187599   189952       15   189952   189952   189952
TAB:  France Confirmed 6/5/2020    135   186538   187599   189952       14   188038   189952   189952
TAB:  France Confirmed .           136   187067   187599   189952       16   188038   189952   189952
TAB:  France Confirmed 6/7/2020    137   187360   187599   189929       18   189929   191862   191862
TAB:  France Confirmed .           138   187458   187599   189952       21   188038   189952   189952
TAB:  France Confirmed 6/9/2020    139   187599   187599   189952       22   189952   189952   189952
