TAB:  US_Connecticut_Fairfield Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Connecticut_Fairfield Confirmed .            86     7146    16108    10414        9     9224    30053    11604
TAB:  US_Connecticut_Fairfield Confirmed 4/18/2020    87     7363    16108    10414       12     9819    49096    12199
TAB:  US_Connecticut_Fairfield Confirmed .            88     7434    16108    10066        4     7934    12324    10568
TAB:  US_Connecticut_Fairfield Confirmed 4/20/2020    89     8320    16108    11604       10    11604    12794    12199
TAB:  US_Connecticut_Fairfield Confirmed .            90     8472    16108    12199       14    11604    13389    12794
TAB:  US_Connecticut_Fairfield Confirmed 4/22/2020    91     9883    16108    14580       13    14580    19936    16365
TAB:  US_Connecticut_Fairfield Confirmed .            92    10008    16108    15770       13    15770    21721    17555
TAB:  US_Connecticut_Fairfield Confirmed 4/24/2020    93    10227    16108    15770       12    10414    30648    18150
TAB:  US_Connecticut_Fairfield Confirmed .            94    10373    16108    15770       11    10414    34218    18745
TAB:  US_Connecticut_Fairfield Confirmed 4/26/2020    95    10529    16108    15770       12    10414    26482    18150
TAB:  US_Connecticut_Fairfield Confirmed .            96    10763    16108    15770       12    11009    24101    18150
TAB:  US_Connecticut_Fairfield Confirmed 4/28/2020    97    10874    16108    15770       13    11009    68735    18150
TAB:  US_Connecticut_Fairfield Confirmed .            98    10985    16108    15504       11    11189    18515    15805
TAB:  US_Connecticut_Fairfield Confirmed 4/30/2020    99    11294    16108    15175       12    15175    18745    16960
TAB:  US_Connecticut_Fairfield Confirmed .           100    11612    16108    15175       13    15175    17555    16365
TAB:  US_Connecticut_Fairfield Confirmed 5/2/2020    101    11801    16108    15175       14    15175    16960    16365
TAB:  US_Connecticut_Fairfield Confirmed .           102    12023    16108    15175       14    14580    17555    15770
TAB:  US_Connecticut_Fairfield Confirmed 5/4/2020    103    12245    16108    15175       14    13985    16365    15175
TAB:  US_Connecticut_Fairfield Confirmed .           104    12360    16108    15175       15    13389    19341    15175
TAB:  US_Connecticut_Fairfield Confirmed 5/6/2020    105    12455    16108    15175       18    12794    15770    14580
TAB:  US_Connecticut_Fairfield Confirmed .           106    12679    16108    15175       19    13985    60998    15770
TAB:  US_Connecticut_Fairfield Confirmed 5/8/2020    107    12879    16108    15187       19    13880    31517    15187
TAB:  US_Connecticut_Fairfield Confirmed .           108    13030    16108    15175       21    14580    33028    18150
TAB:  US_Connecticut_Fairfield Confirmed 5/10/2020   109    13236    16108    15175       20    14580    28267    17555
TAB:  US_Connecticut_Fairfield Confirmed .           110    13312    16108    15175       21    13985    22911    16960
TAB:  US_Connecticut_Fairfield Confirmed 5/12/2020   111    13488    16108    15293       18    14772    21280    15943
TAB:  US_Connecticut_Fairfield Confirmed .           112    13636    16108    15356       15    15052    18904    16066
TAB:  US_Connecticut_Fairfield Confirmed 5/14/2020   113    13836    16108    15770       27    15175    27672    18745
TAB:  US_Connecticut_Fairfield Confirmed .           114    14009    16108    15770       34    15770    57428    19936
TAB:  US_Connecticut_Fairfield Confirmed 5/16/2020   115    14140    16108    15770       34    15770    34813    19936
TAB:  US_Connecticut_Fairfield Confirmed .           116    14248    16108    15618       13    15037    25498    18524
TAB:  US_Connecticut_Fairfield Confirmed 5/18/2020   117    14439    16108    15816       13    15816    30307    19244
TAB:  US_Connecticut_Fairfield Confirmed .           118    14522    16108    16087       14    15757    21577    18393
TAB:  US_Connecticut_Fairfield Confirmed 5/20/2020   119    14719    16108    16365       23    15770    22911    19341
TAB:  US_Connecticut_Fairfield Confirmed .           120    14751    16108    16432       10    15920    20323    18173
TAB:  US_Connecticut_Fairfield Confirmed 5/22/2020   121    14889    16108    16083       13    15591    19526    17460
TAB:  US_Connecticut_Fairfield Confirmed .           122    14989    16108    16085       12    15798    18948    17421
TAB:  US_Connecticut_Fairfield Confirmed 5/24/2020   123    15114    16108    16562       12    16085    18948    17421
TAB:  US_Connecticut_Fairfield Confirmed .           124    15213    16108    16365       28    16365    18745    17555
TAB:  US_Connecticut_Fairfield Confirmed 5/26/2020   125    15263    16108    16795       13    15672    18573    17263
TAB:  US_Connecticut_Fairfield Confirmed .           126    15314    16108    16463       13    15454    18206    16738
TAB:  US_Connecticut_Fairfield Confirmed 5/28/2020   127    15353    16108    16299       11    15482    18024    16753
TAB:  US_Connecticut_Fairfield Confirmed .           128    15409    16108    16600       14    15621    17668    16600
TAB:  US_Connecticut_Fairfield Confirmed 5/30/2020   129    15502    16108    16365       40    15770    21721    16960
TAB:  US_Connecticut_Fairfield Confirmed .           130    15549    16108    16365       48    15770    23506    16960
TAB:  US_Connecticut_Fairfield Confirmed 6/1/2020    131    15709    16108    16365       30    16365    17555    16960
TAB:  US_Connecticut_Fairfield Confirmed .           132    15776    16108    16960       37    16365    33028    17555
TAB:  US_Connecticut_Fairfield Confirmed 6/3/2020    133    15789    16108    16960       38    16365    22316    17555
TAB:  US_Connecticut_Fairfield Confirmed .           134    15843    16108    16960       41    15770    44335    17555
TAB:  US_Connecticut_Fairfield Confirmed 6/5/2020    135    15914    16108    16960       46    16365    23506    17555
TAB:  US_Connecticut_Fairfield Confirmed .           136    16020    16108    16960       47    16365    33028    18150
TAB:  US_Connecticut_Fairfield Confirmed 6/7/2020    137    16056    16108    16960       48    16365    27672    18745
TAB:  US_Connecticut_Fairfield Confirmed .           138    16092    16108    16960       53    16365    36004    19341
TAB:  US_Connecticut_Fairfield Confirmed 6/9/2020    139    16108    16108    16897       23    16312    18747    17286
