TAB:  US_New_York_Rockland Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Rockland Confirmed .            94    11091    13353        0        0        0        0        0
TAB:  US_New_York_Rockland Confirmed 4/26/2020    95    11256    13353        0        0        0        0        0
TAB:  US_New_York_Rockland Confirmed .            96    11366    13353        0        0        0        0        0
TAB:  US_New_York_Rockland Confirmed 4/28/2020    97    11453    13353    11468        1    11468    11600    11600
TAB:  US_New_York_Rockland Confirmed .            98    11586    13353    11732        1    11732    11864    11864
TAB:  US_New_York_Rockland Confirmed 4/30/2020    99    11708    13353    11874        1    11874    13220    11944
TAB:  US_New_York_Rockland Confirmed .           100    11812    13353    12086        3    12086    14553    13073
TAB:  US_New_York_Rockland Confirmed 5/2/2020    101    11945    13353    12086        3    12086    18006    13073
TAB:  US_New_York_Rockland Confirmed .           102    12025    13353    12371        4    12371    17026    13351
TAB:  US_New_York_Rockland Confirmed 5/4/2020    103    12095    13353    13185        3    12308    14062    12820
TAB:  US_New_York_Rockland Confirmed .           104    12144    13353    12327        4    12327    13120    12592
TAB:  US_New_York_Rockland Confirmed 5/6/2020    105    12204    13353    12459        8    12327    12988    12724
TAB:  US_New_York_Rockland Confirmed .           106    12280    13353    12709        5    12423    13211    12853
TAB:  US_New_York_Rockland Confirmed 5/8/2020    107    12349    13353    13073       11    12579    23433    13073
TAB:  US_New_York_Rockland Confirmed .           108    12400    13353    13073       11    12579    16033    13073
TAB:  US_New_York_Rockland Confirmed 5/10/2020   109    12451    13353    12701        6    12701    14442    13096
TAB:  US_New_York_Rockland Confirmed .           110    12484    13353    12717        8    12717    13118    12984
TAB:  US_New_York_Rockland Confirmed 5/12/2020   111    12504    13353    12728       10    12597    12989    12858
TAB:  US_New_York_Rockland Confirmed .           112    12543    13353    12728       12    12728    12989    12858
TAB:  US_New_York_Rockland Confirmed 5/14/2020   113    12596    13353    13073       26    12579    13566    13073
TAB:  US_New_York_Rockland Confirmed .           114    12637    13353    13073       28    13073    16526    13566
TAB:  US_New_York_Rockland Confirmed 5/16/2020   115    12688    13353    13073       28    13073    14059    13566
TAB:  US_New_York_Rockland Confirmed .           116    12758    13353    13073       22    13073    14553    14059
TAB:  US_New_York_Rockland Confirmed 5/18/2020   117    12777    13353    13073       21    13073    29846    14059
TAB:  US_New_York_Rockland Confirmed .           118    12798    13353    13073       23    13073    17513    14059
TAB:  US_New_York_Rockland Confirmed 5/20/2020   119    12831    13353    13073       25    13073    32806    14059
TAB:  US_New_York_Rockland Confirmed .           120    12877    13353    13085       18    13085    17306    13741
TAB:  US_New_York_Rockland Confirmed 5/22/2020   121    12905    13353    13073       20    13073    15046    14059
TAB:  US_New_York_Rockland Confirmed .           122    12934    13353    13073       18    13073    14553    14059
TAB:  US_New_York_Rockland Confirmed 5/24/2020   123    12963    13353    13073       19    13073    14059    13566
TAB:  US_New_York_Rockland Confirmed .           124    12996    13353    13566       21    13073    14553    14059
TAB:  US_New_York_Rockland Confirmed 5/26/2020   125    13019    13353    13230       18    13230    16001    13646
TAB:  US_New_York_Rockland Confirmed .           126    13047    13353    13247       17    13247    14475    13631
TAB:  US_New_York_Rockland Confirmed 5/28/2020   127    13076    13353    13210       16    13210    14942    13737
TAB:  US_New_York_Rockland Confirmed .           128    13100    13353    13199       14    13199    14067    13633
TAB:  US_New_York_Rockland Confirmed 5/30/2020   129    13128    13353    13566       32    13073    14553    14059
TAB:  US_New_York_Rockland Confirmed .           130    13151    13353    13323       13    13247    14322    13784
TAB:  US_New_York_Rockland Confirmed 6/1/2020    131    13185    13353    13566       31    13566    24913    15539
TAB:  US_New_York_Rockland Confirmed .           132    13223    13353    13566       21    13566    16033    14553
TAB:  US_New_York_Rockland Confirmed 6/3/2020    133    13259    13353    13566       17    13566    30833    15539
TAB:  US_New_York_Rockland Confirmed .           134    13280    13353    13566       17    13566    41193    16033
TAB:  US_New_York_Rockland Confirmed 6/5/2020    135    13297    13353    13566       18    13566    20473    15539
TAB:  US_New_York_Rockland Confirmed .           136    13315    13353    13566       17    13566    54512    16526
TAB:  US_New_York_Rockland Confirmed 6/7/2020    137    13325    13353    13514       10    13357    15394    14297
TAB:  US_New_York_Rockland Confirmed .           138    13340    13353    13465       15    13465    14498    14056
TAB:  US_New_York_Rockland Confirmed 6/9/2020    139    13353    13353    13497       18    13497    14213    13927
