TAB:  US_Indiana_Marion Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Indiana_Marion Deaths    5/6/2020    105      390      630      570       10      453     4014      686
TAB:  US_Indiana_Marion Deaths    .           106      398      630      570       13      453     4596      686
TAB:  US_Indiana_Marion Deaths    5/8/2020    107      403      630      570       13      453     1827      709
TAB:  US_Indiana_Marion Deaths    .           108      412      630      570       14      430     1198      640
TAB:  US_Indiana_Marion Deaths    5/10/2020   109      416      630      566        6      435      895      588
TAB:  US_Indiana_Marion Deaths    .           110      423      630      566        7      450      786      570
TAB:  US_Indiana_Marion Deaths    5/12/2020   111      429      630      559        8      463      722      563
TAB:  US_Indiana_Marion Deaths    .           112      440      630      570       14      477      709      593
TAB:  US_Indiana_Marion Deaths    5/14/2020   113      451      630      570       15      523      756      616
TAB:  US_Indiana_Marion Deaths    .           114      465      630      570       15      546     3153      663
TAB:  US_Indiana_Marion Deaths    5/16/2020   115      474      630      593       23      570     3409      686
TAB:  US_Indiana_Marion Deaths    .           116      477      630      593       25      500     1896      686
TAB:  US_Indiana_Marion Deaths    5/18/2020   117      480      630      593       25      477     1640      663
TAB:  US_Indiana_Marion Deaths    .           118      497      630      616       18      593     2315      919
TAB:  US_Indiana_Marion Deaths    5/20/2020   119      505      630      616       18      593     2502      779
TAB:  US_Indiana_Marion Deaths    .           120      518      630      616       11      616     2502     1245
TAB:  US_Indiana_Marion Deaths    5/22/2020   121      528      630      640       20      640     4131     1571
TAB:  US_Indiana_Marion Deaths    .           122      531      630      640       19      546     4596      989
TAB:  US_Indiana_Marion Deaths    5/24/2020   123      533      630      640       18      546     2152      896
TAB:  US_Indiana_Marion Deaths    .           124      533      630      646       16      533     1329      719
TAB:  US_Indiana_Marion Deaths    5/26/2020   125      539      630      639       10      547     1020      691
TAB:  US_Indiana_Marion Deaths    .           126      546      630      641       14      565      873      690
TAB:  US_Indiana_Marion Deaths    5/28/2020   127      558      630      686       19      616      849      733
TAB:  US_Indiana_Marion Deaths    .           128      571      630      663       20      663      896      779
TAB:  US_Indiana_Marion Deaths    5/30/2020   129      576      630      663       18      663      919      802
TAB:  US_Indiana_Marion Deaths    .           130      578      630      663       17      593      896      779
TAB:  US_Indiana_Marion Deaths    6/1/2020    131      581      630      709       18      593     1361      756
TAB:  US_Indiana_Marion Deaths    .           132      592      630      686       15      663     1431      779
TAB:  US_Indiana_Marion Deaths    6/3/2020    133      594      630      686       21      640     2152      756
TAB:  US_Indiana_Marion Deaths    .           134      598      630      686       22      640      989      779
TAB:  US_Indiana_Marion Deaths    6/5/2020    135      604      630      681       14      634      891      732
TAB:  US_Indiana_Marion Deaths    .           136      616      630      686       19      686     3083      802
TAB:  US_Indiana_Marion Deaths    6/7/2020    137      621      630      686       16      686     3479      826
TAB:  US_Indiana_Marion Deaths    .           138      623      630      733       15      663     4596      826
TAB:  US_Indiana_Marion Deaths    6/9/2020    139      630      630      756       13      686     2292      849
